start_time,bank_supply_ratio,date,close,change
2021-01-01,0.00051653,2021-01-01,29337.16,
2021-01-02,0.0005165,2021-01-02,32199.91,0.0975810201123763
2021-01-03,0.00051648,2021-01-03,33054.53,0.0265410679719291
2021-01-04,0.00051645,2021-01-04,32031.07,-0.0309627757526729
2021-01-05,0.00051642,2021-01-05,33999.52,0.0614543941242049
2021-01-06,0.00051639,2021-01-06,36823.68,0.083064702089912
2021-01-07,0.00051636,2021-01-07,39498.92,0.0726499904409336
2021-01-08,0.00051633,2021-01-08,40637.23,0.0288187626395861
2021-01-09,0.00051631,2021-01-09,40136.04,-0.0123332717313655
2021-01-10,0.00051628,2021-01-10,38221.67,-0.047697032392832
2021-01-11,0.00051625,2021-01-11,35408.46,-0.0736024878033848
2021-01-12,0.00051623,2021-01-12,34056.9,-0.038170538905109
2021-01-13,0.0005162,2021-01-13,37421.07,0.0987808637897165
2021-01-14,0.0006237,2021-01-14,39163.31,0.0465577280393103
2021-01-15,0.00062367,2021-01-15,36755.24,-0.0614879079424083
2021-01-16,0.00062364,2021-01-16,36025.66,-0.0198496867385438
2021-01-17,0.00062361,2021-01-17,35869.83,-0.0043255279708963
2021-01-18,0.00062358,2021-01-18,36686.86,0.0227776379202242
2021-01-19,0.00062355,2021-01-19,35891.03,-0.0216925078897458
2021-01-20,0.00062352,2021-01-20,35500.0,-0.0108949227703969
2021-01-21,0.00062349,2021-01-21,30879.97,-0.1301416901408451
2021-01-22,0.00062346,2021-01-22,32986.34,0.0682115299982479
2021-01-23,0.00062343,2021-01-23,32086.48,-0.0272797770228524
2021-01-24,0.0006234,2021-01-24,32275.63,0.0058950062456213
2021-01-25,0.00062337,2021-01-25,32253.68,-0.0006800796762139
2021-01-26,0.00062334,2021-01-26,32474.14,0.0068351890388942
2021-01-27,0.00062331,2021-01-27,30381.04,-0.0644543627637251
2021-01-28,0.00062328,2021-01-28,33399.75,0.0993616413394669
2021-01-29,0.00062325,2021-01-29,34269.35,0.0260361230248729
2021-01-30,0.00062322,2021-01-30,34289.85,0.0005982021835839
2021-01-31,0.00062319,2021-01-31,33126.21,-0.0339354065415858
2021-02-01,0.00062316,2021-02-01,33546.09,0.0126751596394516
2021-02-02,0.00062313,2021-02-02,35504.06,0.0583665637336572
2021-02-03,0.0006231,2021-02-03,37652.51,0.0605127976913064
2021-02-04,0.00062307,2021-02-04,36976.93,-0.0179424957326882
2021-02-05,0.00073044,2021-02-05,38362.65,0.0374752582218156
2021-02-06,0.0007304,2021-02-06,39249.54,0.0231185801815045
2021-02-07,0.00073036,2021-02-07,38849.25,-0.0101985908624662
2021-02-08,0.00073032,2021-02-08,46451.32,0.195681255107885
2021-02-09,0.00073029,2021-02-09,46492.54,0.0008873805954277
2021-02-10,0.00073025,2021-02-10,44850.0,-0.0353291087129247
2021-02-11,0.00073022,2021-02-11,48060.21,0.0715765886287624
2021-02-12,0.00073019,2021-02-12,47361.03,-0.0145480013508055
2021-02-13,0.00073015,2021-02-13,47221.62,-0.0029435592933683
2021-02-14,0.00073011,2021-02-14,48655.21,0.0303587636341149
2021-02-15,0.00073007,2021-02-15,47981.58,-0.0138449715868043
2021-02-16,0.00073004,2021-02-16,49197.94,0.0253505616113516
2021-02-17,0.00073001,2021-02-17,52194.62,0.0609106804065373
2021-02-18,0.00072998,2021-02-18,51619.7,-0.0110149283585166
2021-02-19,0.00072994,2021-02-19,56004.1,0.0849365649161075
2021-02-20,0.0007299,2021-02-20,55917.41,-0.0015479223842539
