start_time,date,price_usd_adj_close,price_usd_close,close,change
2024-07-23,2024-07-23,3.269999981,3.269999981,,
2024-07-24,2024-07-24,3.170000076,3.170000076,,
2024-07-25,2024-07-25,2.940000057,2.940000057,,
2024-07-26,2024-07-26,3.079999924,3.079999924,,
2024-07-29,2024-07-29,3.119999886,3.119999886,,
2024-07-30,2024-07-30,3.079999924,3.079999924,,
2024-07-31,2024-07-31,3.079999924,3.079999924,,
2024-08-01,2024-08-01,2.940000057,2.940000057,,
2024-08-02,2024-08-02,2.829999924,2.829999924,,
2024-08-05,2024-08-05,2.269999981,2.269999981,,
2024-08-06,2024-08-06,2.349999905,2.349999905,,
2024-08-07,2024-08-07,2.210000038,2.210000038,,
2024-08-08,2024-08-08,2.430000067,2.430000067,,
2024-08-09,2024-08-09,2.444999933,2.444999933,,
2024-08-12,2024-08-12,2.50999999,2.50999999,,
2024-08-13,2024-08-13,2.549999952,2.549999952,,
2024-08-14,2024-08-14,2.50999999,2.50999999,,
2024-08-15,2024-08-15,2.410000086,2.410000086,,
2024-08-16,2024-08-16,2.480000019,2.480000019,,
2024-08-19,2024-08-19,2.460000038,2.460000038,,
2024-08-20,2024-08-20,2.460000038,2.460000038,,
2024-08-21,2024-08-21,2.5,2.5,,
2024-08-22,2024-08-22,2.450000048,2.450000048,,
2024-08-23,2024-08-23,2.589999914,2.589999914,,
2024-08-26,2024-08-26,2.529999971,2.529999971,,
2024-08-27,2024-08-27,2.440000057,2.440000057,,
2024-08-28,2024-08-28,2.359999895,2.359999895,,
2024-08-29,2024-08-29,2.380000114,2.380000114,,
2024-08-30,2024-08-30,2.359999895,2.359999895,,
2024-09-03,2024-09-03,2.299999952,2.299999952,,
2024-09-04,2024-09-04,2.319999933,2.319999933,,
2024-09-05,2024-09-05,2.220000029,2.220000029,,
2024-09-06,2024-09-06,2.089999914,2.089999914,,
2024-09-09,2024-09-09,2.220000029,2.220000029,,
2024-09-10,2024-09-10,2.24000001,2.24000001,,
2024-09-11,2024-09-11,2.200000048,2.200000048,,
2024-09-12,2024-09-12,2.230000019,2.230000019,,
2024-09-13,2024-09-13,2.279999971,2.279999971,,
2024-09-16,2024-09-16,2.140000105,2.140000105,,
2024-09-17,2024-09-17,2.220000029,2.220000029,,
2024-09-18,2024-09-18,2.180000067,2.180000067,,
2024-09-19,2024-09-19,2.329999924,2.329999924,,
2024-09-20,2024-09-20,2.400000095,2.400000095,,
2024-09-23,2024-09-23,2.519999981,2.519999981,,
2024-09-24,2024-09-24,2.5,2.5,,
2024-09-25,2024-09-25,2.420000076,2.420000076,,
2024-09-26,2024-09-26,2.5,2.5,,
2024-09-27,2024-09-27,2.549999952,2.549999952,,
2024-09-30,2024-09-30,2.440000057,2.440000057,,
2024-10-01,2024-10-01,2.349999905,2.349999905,,
2024-10-02,2024-10-02,2.24000001,2.24000001,,
2024-10-03,2024-10-03,2.220000029,2.220000029,,
2024-10-04,2024-10-04,2.289999962,2.289999962,,
2024-10-07,2024-10-07,2.309999943,2.309999943,,
2024-10-08,2024-10-08,2.299999952,2.299999952,,
