start_time,date,loss_amount,loss_percent,profit_amount,profit_percent,close,change
2021-01-01,2021-01-01,75146.44783642,0.40427706,18496853.35956469,99.51040522,29337.16,
2021-01-02,2021-01-02,99625.33609075,0.53594274,18469802.99668222,99.35983343,32199.91,0.0975810201123763
2021-01-03,2021-01-03,132442.03573801,0.71244504,18418692.99393592,99.0796195,33054.53,0.0265410679719291
2021-01-04,2021-01-04,394023.70344161,2.11944724,18195549.84138067,97.87357353,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,88942.33337479,0.47839415,18500131.14114168,99.50665941,33999.52,0.0614543941242049
2021-01-06,2021-01-06,3275.04843467,0.01761446,18571668.86279142,99.885496,36823.68,0.083064702089912
2021-01-07,2021-01-07,156484.77973992,0.84158711,18416065.44745802,99.04300841,39498.92,0.0726499904409336
2021-01-08,2021-01-08,158864.01903164,0.85434034,18428906.77680191,99.10713976,40637.23,0.0288187626395861
2021-01-09,2021-01-09,259188.42637262,1.39380072,18317099.57095575,98.50126002,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,710478.63452044,3.8204357,17884927.15532338,96.17208853,38221.67,-0.047697032392832
2021-01-11,2021-01-11,859283.74277551,4.62036186,17731838.11480027,95.34395272,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,1327734.25059051,7.13886145,17270038.48352846,92.85624137,34056.9,-0.038170538905109
2021-01-13,2021-01-13,681413.00527214,3.66358296,17901849.80393477,96.2484006,37421.07,0.0987808637897165
2021-01-14,2021-01-14,548314.98399687,2.94784249,18050100.31763413,97.04066864,39163.31,0.0465577280393103
2021-01-15,2021-01-15,993282.52449189,5.33979196,17603003.33834752,94.6320642,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,1045010.60552457,5.61759972,17541749.44677572,94.29811165,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,1153851.23792114,6.20241051,17433882.7485464,93.71407161,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,930623.58448677,5.00222918,17672320.32280901,94.9911412,36686.86,0.0227776379202242
2021-01-19,2021-01-19,1195009.14432575,6.42301625,17389883.6287236,93.46832665,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,1265822.34830501,6.80330561,17336825.90475359,93.17873489,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,2227748.070361,11.97276557,16366380.81000841,87.95915627,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,1772036.67049288,9.52314812,16834647.4207239,90.47151428,32986.34,0.0682115299982479
2021-01-23,2021-01-23,2071878.59026465,11.13395295,16535435.03215296,88.85885324,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,1971445.77864939,10.59374808,16616029.81256771,89.28778861,32275.63,0.0058950062456213
2021-01-25,2021-01-25,1995796.76196289,10.72409613,16613400.06474944,89.26946006,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,1854683.75559854,9.96530904,16755203.36000126,90.02654982,32474.14,0.0068351890388942
2021-01-27,2021-01-27,2430445.01503041,13.05828053,16180379.52125285,86.93384693,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,1554658.63448165,8.35245398,17055687.46957558,91.63223462,33399.75,0.0993616413394669
2021-01-29,2021-01-29,1444608.50351441,7.76080998,17150001.50028583,92.13423736,34269.35,0.0260361230248729
2021-01-30,2021-01-30,1412349.71745305,7.58716099,17198603.16706152,92.3911191,34289.85,0.0005982021835839
2021-01-31,2021-01-31,1887438.22480128,10.13885241,16709635.5619939,89.76003906,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,1812411.79799098,9.73544,16778715.02711385,90.12751609,33546.09,0.0126751596394516
2021-02-02,2021-02-02,1062309.73667665,5.70594471,17535245.3300866,94.18640993,35504.06,0.0583665637336572
2021-02-03,2021-02-03,582803.13294863,3.13023113,18033860.90519289,96.85972776,37652.51,0.0605127976913064
2021-02-04,2021-02-04,996544.10102529,5.35214321,17620254.26598766,94.63316696,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,653693.9464918,3.51059743,17960253.84714892,96.45373237,38362.65,0.0374752582218156
2021-02-06,2021-02-06,512161.027032,2.75036237,18089136.12859781,97.14069743,39249.54,0.0231185801815045
2021-02-07,2021-02-07,555378.94532022,2.98229131,18064939.03344774,97.00567723,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,0.0,0.0,18594604.18343859,99.84446129,46451.32,0.195681255107885
2021-02-09,2021-02-09,223336.08709709,1.19915439,18379660.32848087,98.68557583,46492.54,0.0008873805954277
2021-02-10,2021-02-10,508989.22765484,2.73277546,18115160.74889564,97.26073571,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,12481.36486273,0.06700985,18607682.90334165,99.90077457,48060.21,0.0715765886287624
2021-02-12,2021-02-12,212032.24792076,1.13830275,18392057.29613836,98.7384209,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,431651.47407725,2.31721439,18190276.62379705,97.65001002,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,27128.65891012,0.14562628,18582891.2334713,99.75271129,48655.21,0.0303587636341149
2021-02-15,2021-02-15,298920.74754608,1.60452075,18325940.3683876,98.3683861,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,73814.65948131,0.39619982,18555508.4478232,99.59659868,49197.94,0.0253505616113516
2021-02-17,2021-02-17,44396.56418713,0.2382873,18567630.77031439,99.6570516,52194.62,0.0609106804065373
2021-02-18,2021-02-18,302464.5771982,1.62332735,18329192.88669152,98.37277578,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,9973.99090616,0.05352766,18613224.96469591,99.89204925,56004.1,0.0849365649161075
2021-02-20,2021-02-20,117675.8938065,0.63150317,18493960.45016759,99.2471292,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,89930.10112821,0.48258362,18543330.83275152,99.50736756,57487.43,0.0280774806987662
2021-02-22,2021-02-22,657513.70753866,3.52819784,17950207.05996498,96.3202456,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,1022776.41441073,5.48795227,17588746.10064489,94.37663775,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,992788.56249688,5.32676123,17641423.07812086,94.65424156,49702.03,0.0157782546494993
2021-02-25,2021-02-25,1654899.4578539,8.87882221,16983821.58711651,91.12114426,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,1833525.5249366,9.8367235,16783658.48898514,90.04303767,46313.13,-0.0164843997700543
