start_time,date,nvm,close,change
2021-01-01,2021-01-01,0.55061113,29337.16,
2021-01-02,2021-01-02,0.46052447,32199.91,0.0975810201123763
2021-01-03,2021-01-03,0.43508433,33054.53,0.0265410679719291
2021-01-04,2021-01-04,0.3661015,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,0.41528038,33999.52,0.0614543941242049
2021-01-06,2021-01-06,0.37926547,36823.68,0.083064702089912
2021-01-07,2021-01-07,0.44017353,39498.92,0.0726499904409336
2021-01-08,2021-01-08,0.49398843,40637.23,0.0288187626395861
2021-01-09,2021-01-09,0.61876994,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,0.51051979,38221.67,-0.047697032392832
2021-01-11,2021-01-11,0.45239356,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,0.43285554,34056.9,-0.038170538905109
2021-01-13,2021-01-13,0.51282288,37421.07,0.0987808637897165
2021-01-14,2021-01-14,0.53451355,39163.31,0.0465577280393103
2021-01-15,2021-01-15,0.4710195,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,0.53916449,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,0.65532924,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,0.58187791,36686.86,0.0227776379202242
2021-01-19,2021-01-19,0.55090939,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,0.55358478,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,0.49979805,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,0.50904685,32986.34,0.0682115299982479
2021-01-23,2021-01-23,0.46312752,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,0.60162036,32275.63,0.0058950062456213
2021-01-25,2021-01-25,0.47986355,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,0.43443665,32474.14,0.0068351890388942
2021-01-27,2021-01-27,0.46604002,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,0.51660004,33399.75,0.0993616413394669
2021-01-29,2021-01-29,0.43314172,34269.35,0.0260361230248729
2021-01-30,2021-01-30,0.54230396,34289.85,0.0005982021835839
2021-01-31,2021-01-31,0.53219045,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,0.6489428,33546.09,0.0126751596394516
