start_time,date,puell_multiple,close,change
2021-01-01,2021-01-01,2.0955792328277107,29337.16,
2021-01-02,2021-01-02,2.296319731316388,32199.91,0.0975810201123763
2021-01-03,2021-01-03,2.609117847982483,33054.53,0.0265410679719291
2021-01-04,2021-01-04,2.734710939050112,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,2.5434126716062844,33999.52,0.0614543941242049
2021-01-06,2021-01-06,3.0765412459299912,36823.68,0.083064702089912
2021-01-07,2021-01-07,3.1733719086125403,39498.92,0.0726499904409336
2021-01-08,2021-01-08,2.9956307992191062,40637.23,0.0288187626395861
2021-01-09,2021-01-09,2.7865105325437423,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,3.018024992973261,38221.67,-0.047697032392832
2021-01-11,2021-01-11,2.6276489509908347,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,2.6365823253767218,34056.9,-0.038170538905109
2021-01-13,2021-01-13,2.6069894740015607,37421.07,0.0987808637897165
2021-01-14,2021-01-14,2.809784039200097,39163.31,0.0465577280393103
2021-01-15,2021-01-15,2.859883785819496,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,2.5370280854222003,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,2.1781106048554792,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,2.428575022502861,36686.86,0.0227776379202242
2021-01-19,2021-01-19,2.564989377217448,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,2.30953354030236,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,2.032633225241005,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,2.123790036506463,32986.34,0.0682115299982479
2021-01-23,2021-01-23,2.2715685241979178,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,1.9886290097265464,32275.63,0.0058950062456213
2021-01-25,2021-01-25,2.165152639459797,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,2.3062032509338284,32474.14,0.0068351890388942
2021-01-27,2021-01-27,1.9845335971017115,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,2.0799020742624528,33399.75,0.0993616413394669
