start_time,addresses_count_active,addresses_count_receiver,addresses_count_sender,datetime,close,change
2021-01-01 00:00:00,13873,9042,8052,2021-01-01 00:00:00,734.6,
2021-01-01 01:00:00,15513,9923,8905,2021-01-01 01:00:00,749.33,0.0200517288320174
2021-01-01 02:00:00,17850,12031,9308,2021-01-01 02:00:00,745.15,-0.0055783166295224
2021-01-01 03:00:00,20713,12355,11612,2021-01-01 03:00:00,745.88,0.0009796685231162
2021-01-01 04:00:00,22729,9844,16143,2021-01-01 04:00:00,743.4,-0.0033249316243899
2021-01-01 05:00:00,19754,8925,13509,2021-01-01 05:00:00,741.61,-0.0024078557976862
2021-01-01 06:00:00,13661,8894,7305,2021-01-01 06:00:00,740.76,-0.0011461549871226
2021-01-01 07:00:00,18524,13635,8190,2021-01-01 07:00:00,738.18,-0.0034829094443544
2021-01-01 08:00:00,20490,12779,10580,2021-01-01 08:00:00,731.01,-0.0097130781110297
2021-01-01 09:00:00,19198,9277,12421,2021-01-01 09:00:00,734.38,0.004610060053898
2021-01-01 10:00:00,17506,10560,9892,2021-01-01 10:00:00,737.69,0.0045072033552113
2021-01-01 11:00:00,18874,10927,10857,2021-01-01 11:00:00,739.88,0.0029687267009177
2021-01-01 12:00:00,18801,10786,11054,2021-01-01 12:00:00,734.03,-0.0079066875709574
2021-01-01 13:00:00,19393,11301,11507,2021-01-01 13:00:00,741.06,0.0095772652343908
2021-01-01 14:00:00,20280,12291,11653,2021-01-01 14:00:00,738.81,-0.0030361914015059
2021-01-01 15:00:00,19749,13178,10278,2021-01-01 15:00:00,736.06,-0.0037222019193026
2021-01-01 16:00:00,19406,11799,11274,2021-01-01 16:00:00,736.59,0.0007200499959243
2021-01-01 17:00:00,16404,10493,9453,2021-01-01 17:00:00,729.02,-0.0102770876607067
2021-01-01 18:00:00,19583,10989,12433,2021-01-01 18:00:00,725.14,-0.0053222133823489
2021-01-01 19:00:00,20597,10998,13313,2021-01-01 19:00:00,725.68,0.0007446837852
2021-01-01 20:00:00,18122,11268,10578,2021-01-01 20:00:00,730.01,0.0059668173299527
2021-01-01 21:00:00,17723,10788,10447,2021-01-01 21:00:00,728.89,-0.0015342255585539
2021-01-01 22:00:00,15645,10152,8874,2021-01-01 22:00:00,729.53,0.0008780474420009
2021-01-01 23:00:00,14730,8972,9044,2021-01-01 23:00:00,729.77,0.0003289789316409
2021-01-02 00:00:00,13161,9211,6934,2021-01-02 00:00:00,720.8,-0.0122915439110953
2021-01-02 01:00:00,13882,9343,7508,2021-01-02 01:00:00,730.2,0.013041065482797
2021-01-02 02:00:00,15409,10884,7984,2021-01-02 02:00:00,730.69,0.0006710490276635
2021-01-02 03:00:00,17742,12746,8398,2021-01-02 03:00:00,731.42,0.0009990556870902
2021-01-02 04:00:00,18469,12352,9288,2021-01-02 04:00:00,730.21,-0.0016543162615185
2021-01-02 05:00:00,15526,9560,9059,2021-01-02 05:00:00,732.84,0.0036017036195066
2021-01-02 06:00:00,14462,9509,7536,2021-01-02 06:00:00,737.88,0.0068773538562305
2021-01-02 07:00:00,19678,14839,8262,2021-01-02 07:00:00,735.82,-0.0027917818615492
2021-01-02 08:00:00,19523,13679,9041,2021-01-02 08:00:00,734.51,-0.0017803267103368
2021-01-02 09:00:00,15473,9679,8713,2021-01-02 09:00:00,726.31,-0.011163905188493
2021-01-02 10:00:00,15726,9584,9056,2021-01-02 10:00:00,729.42,0.0042819181892028
2021-01-02 11:00:00,16976,10910,9165,2021-01-02 11:00:00,730.5,0.0014806284445176
2021-01-02 12:00:00,14537,9859,7201,2021-01-02 12:00:00,753.78,0.0318685831622176
2021-01-02 13:00:00,18216,12542,9335,2021-01-02 13:00:00,772.35,0.0246358353896363
2021-01-02 14:00:00,20691,14380,10424,2021-01-02 14:00:00,762.02,-0.0133747653266006
2021-01-02 15:00:00,19755,13668,10171,2021-01-02 15:00:00,769.57,0.0099078764336895
2021-01-02 16:00:00,22417,15156,11858,2021-01-02 16:00:00,783.71,0.0183738971113738
2021-01-02 17:00:00,22194,14869,11887,2021-01-02 17:00:00,780.11,-0.0045935358742392
2021-01-02 18:00:00,20330,13162,11308,2021-01-02 18:00:00,781.16,0.0013459640307136
2021-01-02 19:00:00,21355,13236,12219,2021-01-02 19:00:00,785.41,0.0054406267602027
2021-01-02 20:00:00,22050,14832,11872,2021-01-02 20:00:00,759.77,-0.0326453699341744
2021-01-02 21:00:00,20100,13706,10997,2021-01-02 21:00:00,769.73,0.0131092304249971
2021-01-02 22:00:00,17899,11533,10040,2021-01-02 22:00:00,772.59,0.0037155885830095
2021-01-02 23:00:00,18091,11458,10572,2021-01-02 23:00:00,775.02,0.0031452646293634
2021-01-03 00:00:00,16853,11919,8570,2021-01-03 00:00:00,776.42,0.001806404996
2021-01-03 01:00:00,15812,10107,9099,2021-01-03 01:00:00,777.5,0.0013909997166483
2021-01-03 02:00:00,18443,12347,9844,2021-01-03 02:00:00,779.66,0.0027781350482314
2021-01-03 03:00:00,18950,13344,8983,2021-01-03 03:00:00,773.22,-0.008260010773927
2021-01-03 04:00:00,14538,9517,7900,2021-01-03 04:00:00,778.2,0.0064405990533096
2021-01-03 05:00:00,15871,10555,8421,2021-01-03 05:00:00,787.48,0.0119249550244153
2021-01-03 06:00:00,19819,12678,10828,2021-01-03 06:00:00,801.15,0.0173591710265657
2021-01-03 07:00:00,22982,16595,10362,2021-01-03 07:00:00,801.05,-0.00012482057043
2021-01-03 08:00:00,25360,17320,12104,2021-01-03 08:00:00,819.35,0.0228450159166095
2021-01-03 09:00:00,21326,13743,11714,2021-01-03 09:00:00,819.93,0.0007078781961309
2021-01-03 10:00:00,20734,13275,11407,2021-01-03 10:00:00,827.21,0.0088788067274037
2021-01-03 11:00:00,21102,13281,11625,2021-01-03 11:00:00,830.97,0.004545399596233
2021-01-03 12:00:00,21411,14341,10933,2021-01-03 12:00:00,832.44,0.0017690169320192
2021-01-03 13:00:00,19449,13354,9507,2021-01-03 13:00:00,876.67,0.0531329585315456
2021-01-03 14:00:00,25046,17175,12779,2021-01-03 14:00:00,914.37,0.0430036387694343
2021-01-03 15:00:00,31295,21138,16435,2021-01-03 15:00:00,919.75,0.0058838325841836
2021-01-03 16:00:00,27449,18631,13989,2021-01-03 16:00:00,939.86,0.0218646371296549
2021-01-03 17:00:00,29897,19564,16066,2021-01-03 17:00:00,939.94,8.511906028552119e-05
2021-01-03 18:00:00,27744,17154,16175,2021-01-03 18:00:00,919.81,-0.0214162606123796
2021-01-03 19:00:00,23941,14662,14093,2021-01-03 19:00:00,923.78,0.0043161087615921
2021-01-03 20:00:00,26425,14628,16528,2021-01-03 20:00:00,948.99,0.0272900474138864
2021-01-03 21:00:00,24529,15317,13951,2021-01-03 21:00:00,952.01,0.003182330688416
2021-01-03 22:00:00,22596,15533,11878,2021-01-03 22:00:00,995.52,0.0457033014359091
2021-01-03 23:00:00,22203,14819,12276,2021-01-03 23:00:00,980.24,-0.0153487624558019
2021-01-04 00:00:00,19912,13125,11168,2021-01-04 00:00:00,978.19,-0.0020913245735737
2021-01-04 01:00:00,22437,14926,11805,2021-01-04 01:00:00,969.63,-0.0087508561731362
2021-01-04 02:00:00,21949,15131,11083,2021-01-04 02:00:00,982.81,0.0135928137536998
2021-01-04 03:00:00,25719,18378,11848,2021-01-04 03:00:00,1025.0,0.0429279311362318
2021-01-04 04:00:00,21851,14706,11570,2021-01-04 04:00:00,1029.85,0.0047317073170731
2021-01-04 05:00:00,21495,14620,10927,2021-01-04 05:00:00,1086.44,0.0549497499635871
2021-01-04 06:00:00,22957,15459,11658,2021-01-04 06:00:00,1114.9,0.0261956481720113
2021-01-04 07:00:00,31692,23108,13822,2021-01-04 07:00:00,1052.32,-0.056130594672168
2021-01-04 08:00:00,28961,20550,12554,2021-01-04 08:00:00,1027.1,-0.0239660939638133
2021-01-04 09:00:00,27551,19600,11931,2021-01-04 09:00:00,970.65,-0.054960568591179
2021-01-04 10:00:00,23357,16803,10290,2021-01-04 10:00:00,965.43,-0.0053778395920259
2021-01-04 11:00:00,25340,16473,12856,2021-01-04 11:00:00,977.12,0.0121085940979668
2021-01-04 12:00:00,23246,15735,11543,2021-01-04 12:00:00,1020.19,0.0440785164565253
2021-01-04 13:00:00,26500,17761,13270,2021-01-04 13:00:00,1013.6,-0.0064595810584303
2021-01-04 14:00:00,25171,17235,12266,2021-01-04 14:00:00,1044.66,0.0306432517758485
2021-01-04 15:00:00,27200,17289,14582,2021-01-04 15:00:00,1041.19,-0.0033216548925009
2021-01-04 16:00:00,25504,16935,13178,2021-01-04 16:00:00,1011.28,-0.0287267453586762
2021-01-04 17:00:00,23604,15810,12355,2021-01-04 17:00:00,1000.96,-0.0102048888537298
2021-01-04 18:00:00,23245,14834,13050,2021-01-04 18:00:00,1016.79,0.0158148177749359
2021-01-04 19:00:00,22047,13393,12852,2021-01-04 19:00:00,1044.41,0.0271639178198055
2021-01-04 20:00:00,23125,14501,13095,2021-01-04 20:00:00,1021.61,-0.0218305071763005
2021-01-04 21:00:00,21286,13650,11890,2021-01-04 21:00:00,1007.42,-0.0138898405458052
2021-01-04 22:00:00,20848,12785,12129,2021-01-04 22:00:00,1014.13,0.0066605785074744
2021-01-04 23:00:00,19998,11934,12073,2021-01-04 23:00:00,1043.11,0.0285762180391073
2021-01-05 00:00:00,17994,12378,9584,2021-01-05 00:00:00,1098.85,0.0534363585815493
2021-01-05 01:00:00,21361,14582,11132,2021-01-05 01:00:00,1118.4,0.0177913272967193
2021-01-05 02:00:00,21422,15289,10375,2021-01-05 02:00:00,1081.11,-0.0333422746781117
2021-01-05 03:00:00,22328,16345,9848,2021-01-05 03:00:00,1001.32,-0.0738037757489985
2021-01-05 04:00:00,21017,13442,11451,2021-01-05 04:00:00,1004.72,0.0033955179163502
2021-01-05 05:00:00,20239,12775,10644,2021-01-05 05:00:00,990.92,-0.0137351699976113
2021-01-05 06:00:00,20650,13709,10497,2021-01-05 06:00:00,1015.9,0.0252088967827877
2021-01-05 07:00:00,25651,17065,12944,2021-01-05 07:00:00,1004.14,-0.0115759425140269
2021-01-05 08:00:00,28565,20499,12146,2021-01-05 08:00:00,1028.61,0.0243691118768298
2021-01-05 09:00:00,23487,15331,11864,2021-01-05 09:00:00,1037.75,0.0088857778944402
2021-01-05 10:00:00,21949,14037,11598,2021-01-05 10:00:00,1029.8,-0.0076608046253915
2021-01-05 11:00:00,22257,13809,11993,2021-01-05 11:00:00,1044.18,0.0139638764808702
2021-01-05 12:00:00,22882,14734,12140,2021-01-05 12:00:00,1030.87,-0.0127468444137985
2021-01-05 13:00:00,24367,14906,13760,2021-01-05 13:00:00,1025.28,-0.005422604208096
2021-01-05 14:00:00,21392,13401,11886,2021-01-05 14:00:00,1049.36,0.0234862671660422
2021-01-05 15:00:00,23355,15026,12711,2021-01-05 15:00:00,1053.98,0.0044026835404438
2021-01-05 16:00:00,22853,14415,12883,2021-01-05 16:00:00,1067.87,0.0131786181900983
2021-01-05 17:00:00,24613,15855,13711,2021-01-05 17:00:00,1084.18,0.0152733947016023
2021-01-05 18:00:00,23159,15253,12626,2021-01-05 18:00:00,1076.95,-0.0066686343596081
2021-01-05 19:00:00,22302,14768,12135,2021-01-05 19:00:00,1100.01,0.0214123218348112
2021-01-05 20:00:00,24534,15746,13749,2021-01-05 20:00:00,1101.33,0.0011999890910081
2021-01-05 21:00:00,21553,13425,12560,2021-01-05 21:00:00,1083.5,-0.0161895163120953
2021-01-05 22:00:00,21918,14054,12388,2021-01-05 22:00:00,1113.02,0.0272450392247345
2021-01-05 23:00:00,20936,13573,11819,2021-01-05 23:00:00,1101.29,-0.0105388941797991
2021-01-06 00:00:00,19777,13168,10630,2021-01-06 00:00:00,1082.52,-0.0170436488118479
2021-01-06 01:00:00,19193,12814,10470,2021-01-06 01:00:00,1073.03,-0.0087665816797841
2021-01-06 02:00:00,18759,13476,9314,2021-01-06 02:00:00,1079.14,0.0056941558017951
2021-01-06 03:00:00,21273,14953,10177,2021-01-06 03:00:00,1077.07,-0.0019181941175382
2021-01-06 04:00:00,18859,12897,9585,2021-01-06 04:00:00,1125.36,0.0448345975656176
2021-01-06 05:00:00,21274,13993,11049,2021-01-06 05:00:00,1104.55,-0.0184918603824553
2021-01-06 06:00:00,23320,13450,13579,2021-01-06 06:00:00,1116.31,0.010646869765968
