start_time,date,market_premium,close,change
2021-01-04,2021-01-04,15.497725021325,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,22.04288290731342,33999.52,0.0614543941242049
2021-01-06,2021-01-06,25.644897900896503,36823.68,0.083064702089912
2021-01-07,2021-01-07,20.066939473201156,39498.92,0.0726499904409336
2021-01-08,2021-01-08,15.370824208101164,40637.23,0.0288187626395861
2021-01-11,2021-01-11,11.21994035018372,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,20.326512749794155,34056.9,-0.038170538905109
2021-01-13,2021-01-13,9.705840278418895,37421.07,0.0987808637897165
2021-01-14,2021-01-14,17.239736673615823,39163.31,0.0465577280393103
2021-01-15,2021-01-15,12.797264874238913,36755.24,-0.0614879079424083
2021-01-19,2021-01-19,11.670059150871426,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,4.941884213155512,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,9.018032629689651,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,10.010777496047329,32986.34,0.0682115299982479
2021-01-25,2021-01-25,7.981640796655466,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,2.0972960109414185,32474.14,0.0068351890388942
2021-01-27,2021-01-27,8.674305701778074,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,6.083182930480646,33399.75,0.0993616413394669
2021-01-29,2021-01-29,6.719507932767899,34269.35,0.0260361230248729
2021-02-01,2021-02-01,6.689258190619607,33546.09,0.0126751596394516
2021-02-02,2021-02-02,9.214669869867276,35504.06,0.0583665637336572
2021-02-03,2021-02-03,6.576157453174236,37652.51,0.0605127976913064
2021-02-04,2021-02-04,8.265918988441513,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,4.277849227142005,38362.65,0.0374752582218156
2021-02-08,2021-02-08,3.791250263098145,46451.32,0.195681255107885
2021-02-09,2021-02-09,8.68168122734112,46492.54,0.0008873805954277
2021-02-10,2021-02-10,5.737689768765852,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,5.491454281764807,48060.21,0.0715765886287624
2021-02-12,2021-02-12,8.916515720261264,47361.03,-0.0145480013508055
2021-02-16,2021-02-16,7.997034877124377,49197.94,0.0253505616113516
2021-02-17,2021-02-17,9.42400393806917,52194.62,0.0609106804065373
2021-02-18,2021-02-18,10.65293075246876,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,7.009308987611584,56004.1,0.0849365649161075
2021-02-22,2021-02-22,4.378251138094047,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,-1.0384928619124878,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,2.783981153660076,49702.03,0.0157782546494993
2021-02-25,2021-02-25,8.487506729080142,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,-1.481275194687803,46313.13,-0.0164843997700543
2021-03-01,2021-03-01,-2.480853774225722,49592.7,0.0980737482773645
2021-03-02,2021-03-02,-3.905741271951768,48450.57,-0.023030204042127
2021-03-03,2021-03-03,-3.250832430498441,50373.75,0.0396936506629332
2021-03-04,2021-03-04,-9.59538812862627,48385.77,-0.0394646020993076
2021-03-05,2021-03-05,-5.14846220532601,48770.57,0.0079527513977766
2021-03-08,2021-03-08,-8.47760045329694,52429.43,0.0281233926205313
2021-03-09,2021-03-09,-5.5300452583676885,54917.78,0.0474609393998752
2021-03-10,2021-03-10,-4.674764339323135,55947.98,0.018758952018818
2021-03-11,2021-03-11,-4.443268369504427,57844.52,0.0338982747902603
2021-03-12,2021-03-12,-7.699185214035131,57291.03,-0.0095685814317414
2021-03-15,2021-03-15,-2.4024731118246434,55646.61,-0.0574301388685627
2021-03-16,2021-03-16,-7.401797480520456,56954.19,0.0234979273670039
2021-03-17,2021-03-17,-6.704736757006069,58959.0,0.0352003952650366
2021-03-18,2021-03-18,-6.826669028722998,57700.01,-0.0213536525382044
2021-03-19,2021-03-19,-3.556754253113137,58089.11,0.0067434996978337
2021-03-22,2021-03-22,-3.2582347160673324,54129.56,-0.0572256326636962
2021-03-23,2021-03-23,-9.04821789474337,54400.0,0.0049961610624582
2021-03-24,2021-03-24,-9.046068743747526,52311.54,-0.0383908088235294
2021-03-25,2021-03-25,-8.31407552213036,51325.21,-0.0188549218776583
2021-03-26,2021-03-26,-10.780619566844376,55030.0,0.0721826564372556
2021-03-29,2021-03-29,-9.259329263036964,57677.64,0.0335553680776015
2021-03-30,2021-03-30,-8.587819974534805,58794.16,0.019357934894701
2021-03-31,2021-03-31,-9.950770989016569,58807.24,0.0002224710753584
2021-04-01,2021-04-01,-8.365620916713068,58794.01,-0.000224972299329
2021-04-05,2021-04-05,-5.263505612332009,59243.39,0.0173226883463286
2021-04-06,2021-04-06,-7.666754990079183,58059.99,-0.0199752242402063
2021-04-07,2021-04-07,-10.026542487694943,56018.18,-0.0351672468424468
2021-04-08,2021-04-08,-10.640796565414924,58122.26,0.0375606633417937
2021-04-09,2021-04-09,-9.590014176205198,58176.03,0.000925118878722
2021-04-12,2021-04-12,-8.455655904681148,59911.18,-0.0029791879541088
2021-04-13,2021-04-13,-8.544862580662915,63649.71,0.0624012079214597
2021-04-14,2021-04-14,-13.396858333487703,63019.1,-0.0099075078268228
2021-04-15,2021-04-15,-11.925920141515745,63232.55,0.0033870683649879
2021-04-16,2021-04-16,-11.441336551082726,61424.67,-0.0285909709477161
2021-04-19,2021-04-19,-8.806182886508829,55634.39,-0.0090071170225178
2021-04-20,2021-04-20,-11.862725542040664,56410.56,0.0139512628789495
2021-04-21,2021-04-21,-10.735117177524325,53800.0,-0.0462778600318805
2021-04-22,2021-04-22,-15.36765954262731,51714.61,-0.0387618959107806
2021-04-23,2021-04-23,-12.26374997577675,51122.62,-0.011447248659518
2021-04-26,2021-04-26,-10.02274191485295,53984.33,0.1002852604173247
2021-04-27,2021-04-27,-10.386501854462072,55006.25,0.0189299376319016
2021-04-28,2021-04-28,-10.827718664449126,54861.77,-0.0026266106124304
2021-04-29,2021-04-29,-14.973871721475373,53558.8,-0.0237500539993513
2021-04-30,2021-04-30,-14.028405001062904,57684.16,0.0770248773310828
2021-05-03,2021-05-03,-12.488188796416376,57214.83,0.010321324279763
2021-05-04,2021-05-04,-11.719799468810663,53263.32,-0.0690644366154719
2021-05-05,2021-05-05,-15.111984192855752,57497.77,0.0795003015208213
2021-05-06,2021-05-06,-15.107130785505175,56435.35,-0.0184775861742115
2021-05-07,2021-05-07,-13.381547647366297,57350.88,0.0162226335089619
