start_time,contract_calls_count_mean,contract_calls_count_total,datetime,close,change
2021-01-01 00:00:00,597.06593407,162999,2021-01-01 00:00:00,734.6,
2021-01-01 01:00:00,621.97945205,181618,2021-01-01 01:00:00,749.33,0.0200517288320174
2021-01-01 02:00:00,591.91525424,174615,2021-01-01 02:00:00,745.15,-0.0055783166295224
2021-01-01 03:00:00,577.96296296,156050,2021-01-01 03:00:00,745.88,0.0009796685231162
2021-01-01 04:00:00,553.42599278,153299,2021-01-01 04:00:00,743.4,-0.0033249316243899
2021-01-01 05:00:00,558.6056338,158644,2021-01-01 05:00:00,741.61,-0.0024078557976862
2021-01-01 06:00:00,585.052,146263,2021-01-01 06:00:00,740.76,-0.0011461549871226
2021-01-01 07:00:00,567.86831276,137992,2021-01-01 07:00:00,738.18,-0.0034829094443544
2021-01-01 08:00:00,562.736,140684,2021-01-01 08:00:00,731.01,-0.0097130781110297
2021-01-01 09:00:00,579.89112903,143813,2021-01-01 09:00:00,734.38,0.004610060053898
2021-01-01 10:00:00,545.94648829,163238,2021-01-01 10:00:00,737.69,0.0045072033552113
2021-01-01 11:00:00,596.58888889,161079,2021-01-01 11:00:00,739.88,0.0029687267009177
2021-01-01 12:00:00,604.57093426,174721,2021-01-01 12:00:00,734.03,-0.0079066875709574
2021-01-01 13:00:00,589.19485294,160261,2021-01-01 13:00:00,741.06,0.0095772652343908
2021-01-01 14:00:00,581.27874564,166827,2021-01-01 14:00:00,738.81,-0.0030361914015059
2021-01-01 15:00:00,625.88851351,185263,2021-01-01 15:00:00,736.06,-0.0037222019193026
2021-01-01 16:00:00,635.54006969,182400,2021-01-01 16:00:00,736.59,0.0007200499959243
2021-01-01 17:00:00,633.43951613,157093,2021-01-01 17:00:00,729.02,-0.0102770876607067
2021-01-01 18:00:00,599.64363636,164902,2021-01-01 18:00:00,725.14,-0.0053222133823489
2021-01-01 19:00:00,624.33333333,164824,2021-01-01 19:00:00,725.68,0.0007446837852
2021-01-01 20:00:00,655.68705036,182281,2021-01-01 20:00:00,730.01,0.0059668173299527
2021-01-01 21:00:00,645.73782772,172412,2021-01-01 21:00:00,728.89,-0.0015342255585539
2021-01-01 22:00:00,650.10588235,165777,2021-01-01 22:00:00,729.53,0.0008780474420009
2021-01-01 23:00:00,679.12681159,187439,2021-01-01 23:00:00,729.77,0.0003289789316409
2021-01-02 00:00:00,594.38888889,160485,2021-01-02 00:00:00,720.8,-0.0122915439110953
2021-01-02 01:00:00,580.70895522,155630,2021-01-02 01:00:00,730.2,0.013041065482797
2021-01-02 02:00:00,577.45392491,169194,2021-01-02 02:00:00,730.69,0.0006710490276635
2021-01-02 03:00:00,576.52233677,167768,2021-01-02 03:00:00,731.42,0.0009990556870902
2021-01-02 04:00:00,571.30685921,158252,2021-01-02 04:00:00,730.21,-0.0016543162615185
2021-01-02 05:00:00,598.13108614,159701,2021-01-02 05:00:00,732.84,0.0036017036195066
2021-01-02 06:00:00,582.98106061,153907,2021-01-02 06:00:00,737.88,0.0068773538562305
2021-01-02 07:00:00,590.35793358,159987,2021-01-02 07:00:00,735.82,-0.0027917818615492
2021-01-02 08:00:00,588.64074074,158933,2021-01-02 08:00:00,734.51,-0.0017803267103368
