start_time,datetime,fees_transaction_mean,fees_transaction_mean_usd,fees_transaction_median,fees_transaction_median_usd,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,0.00027402,7.93110734,0.00013039,3.76255696,29015.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,0.0001998,5.86047686,9.492e-05,2.790292,29448.4,0.0149371014992245
2021-01-01 02:00:00,2021-01-01 02:00:00,0.00028227,8.28795392,0.00012825,3.75545355,29237.06,-0.0071766208011301
2021-01-01 03:00:00,2021-01-01 03:00:00,0.00028099,8.23119836,0.0001395,4.08694,29302.11,0.0022249159115177
2021-01-01 04:00:00,2021-01-01 04:00:00,0.0002445,7.16535801,0.00013775,4.04165597,29237.07,-0.0022196353777936
2021-01-01 05:00:00,2021-01-01 05:00:00,0.00023781,6.94189914,0.00012692,3.70421127,29213.8,-0.0007959073874366
2021-01-01 06:00:00,2021-01-01 06:00:00,0.00019327,5.65090489,9.075e-05,2.65081223,29197.3,-0.000564801566383
2021-01-01 07:00:00,2021-01-01 07:00:00,0.00017083,4.96449928,5.271e-05,1.53552883,29107.71,-0.003068434410031
2021-01-01 08:00:00,2021-01-01 08:00:00,0.00019544,5.68298342,4.46e-05,1.30103903,29025.89,-0.0028109390948308
2021-01-01 09:00:00,2021-01-01 09:00:00,0.00018834,5.49915217,7.056e-05,2.06014827,29229.6,0.007018217184727
2021-01-01 10:00:00,2021-01-01 10:00:00,0.00014291,4.18554951,1.706e-05,0.4991807,29259.29,0.0010157511563622
2021-01-01 11:00:00,2021-01-01 11:00:00,0.0001726,5.06381453,4.994e-05,1.46503486,29341.99,0.0028264527266383
2021-01-01 12:00:00,2021-01-01 12:00:00,0.00016991,4.98391534,4.068e-05,1.19908384,29257.82,-0.0028685852595546
2021-01-01 13:00:00,2021-01-01 13:00:00,0.00017568,5.17587691,4.068e-05,1.20042601,29493.66,0.0080607509376979
2021-01-01 14:00:00,2021-01-01 14:00:00,0.00030301,8.92362957,0.00014266,4.19977817,29354.58,-0.0047155897233506
2021-01-01 15:00:00,2021-01-01 15:00:00,0.0001354,3.97266061,2.078e-05,0.60979085,29210.84,-0.0048966805179976
2021-01-01 16:00:00,2021-01-01 16:00:00,0.00019121,5.60454913,8.228e-05,2.41798976,29324.21,0.0038810934570865
2021-01-01 17:00:00,2021-01-01 17:00:00,0.00013811,4.04140592,2.925e-05,0.85814381,29099.0,-0.0076800022916218
2021-01-01 18:00:00,2021-01-01 18:00:00,0.00016475,4.79915419,4.089e-05,1.19147298,29086.62,-0.0004254441733393
2021-01-01 19:00:00,2021-01-01 19:00:00,0.00028459,8.28807549,0.0001551,4.52059214,29048.47,-0.0013115996289702
2021-01-01 20:00:00,2021-01-01 20:00:00,0.00015552,4.54880926,4.202e-05,1.22928692,29214.14,0.0057032263661389
2021-01-01 21:00:00,2021-01-01 21:00:00,0.00014126,4.13660372,3.36e-05,0.98394514,29177.77,-0.0012449450848116
2021-01-01 22:00:00,2021-01-01 22:00:00,0.0002321,6.80935791,0.0001152,3.38214162,29270.89,0.0031914707669571
2021-01-01 23:00:00,2021-01-01 23:00:00,0.00017611,5.17295979,7.488e-05,2.19631324,29337.16,0.002264024086729
2021-01-02 00:00:00,2021-01-02 00:00:00,0.00014538,4.24920888,3.737e-05,1.09209003,29215.89,-0.0041336652900281
2021-01-02 01:00:00,2021-01-02 01:00:00,0.00017299,5.06767206,4.513e-05,1.32060764,29380.0,0.0056171487502179
2021-01-02 02:00:00,2021-01-02 02:00:00,0.00045859,13.49375878,0.00022191,6.52952693,29347.02,-0.0011225323349216
2021-01-02 03:00:00,2021-01-02 03:00:00,0.00023622,6.9389557,7.721e-05,2.26817255,29364.67,0.0006014239265177
2021-01-02 04:00:00,2021-01-02 04:00:00,0.00022394,6.5779224,6.912e-05,2.03001698,29363.03,-5.584942721981179e-05
