start_time,date,price_usd_adj_close,price_usd_close,close,change
2021-01-04,2021-01-04,35.08,35.08,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,39.41,39.41,33999.52,0.0614543941242049
2021-01-06,2021-01-06,43.93,43.93,36823.68,0.083064702089912
2021-01-07,2021-01-07,44.97,44.97,39498.92,0.0726499904409336
2021-01-08,2021-01-08,44.42,44.42,40637.23,0.0288187626395861
2021-01-11,2021-01-11,37.4,37.4,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,38.92,38.92,34056.9,-0.038170538905109
2021-01-13,2021-01-13,38.92,38.92,37421.07,0.0987808637897165
2021-01-14,2021-01-14,43.53,43.53,39163.31,0.0465577280393103
2021-01-15,2021-01-15,39.34,39.34,36755.24,-0.0614879079424083
2021-01-19,2021-01-19,38.055,38.055,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,35.35,35.35,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,31.935,31.935,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,34.45,34.45,32986.34,0.0682115299982479
2021-01-25,2021-01-25,33.05,33.05,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,31.487,31.487,32474.14,0.0068351890388942
2021-01-27,2021-01-27,31.361,31.361,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,33.645,33.645,33399.75,0.0993616413394669
2021-01-29,2021-01-29,34.69,34.69,34269.35,0.0260361230248729
2021-02-01,2021-02-01,33.95,33.95,33546.09,0.0126751596394516
2021-02-02,2021-02-02,36.8,36.8,35504.06,0.0583665637336572
2021-02-03,2021-02-03,38.06,38.06,37652.51,0.0605127976913064
2021-02-04,2021-02-04,37.96,37.96,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,37.88,37.88,38362.65,0.0374752582218156
2021-02-08,2021-02-08,45.69,45.69,46451.32,0.195681255107885
2021-02-09,2021-02-09,47.9,47.9,46492.54,0.0008873805954277
2021-02-10,2021-02-10,44.95,44.95,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,48.0,48.0,48060.21,0.0715765886287624
2021-02-12,2021-02-12,48.91,48.91,47361.03,-0.0145480013508055
2021-02-16,2021-02-16,50.3065,50.3065,49197.94,0.0253505616113516
2021-02-17,2021-02-17,54.07,54.07,52194.62,0.0609106804065373
2021-02-18,2021-02-18,54.07,54.07,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,56.7,56.7,56004.1,0.0849365649161075
2021-02-22,2021-02-22,53.5,53.5,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,45.84,45.84,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,48.4,48.4,49702.03,0.0157782546494993
2021-02-25,2021-02-25,48.4,48.4,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,43.2,43.2,46313.13,-0.0164843997700543
2021-03-01,2021-03-01,45.82,45.82,49592.7,0.0980737482773645
2021-03-02,2021-03-02,44.12,44.12,48450.57,-0.023030204042127
2021-03-03,2021-03-03,46.16,46.16,50373.75,0.0396936506629332
2021-03-04,2021-03-04,41.4,41.4,48385.77,-0.0394646020993076
2021-03-05,2021-03-05,43.8,43.8,48770.57,0.0079527513977766
2021-03-08,2021-03-08,45.4,45.4,52429.43,0.0281233926205313
2021-03-09,2021-03-09,49.12,49.12,54917.78,0.0474609393998752
2021-03-10,2021-03-10,50.42,50.42,55947.98,0.018758952018818
2021-03-11,2021-03-11,52.3,52.3,57844.52,0.0338982747902603
2021-03-12,2021-03-12,50.0,50.0,57291.03,-0.0095685814317414
2021-03-15,2021-03-15,51.38,51.38,55646.61,-0.0574301388685627
2021-03-16,2021-03-16,49.86,49.86,56954.19,0.0234979273670039
2021-03-17,2021-03-17,51.99,51.99,58959.0,0.0352003952650366
2021-03-18,2021-03-18,50.81,50.81,57700.01,-0.0213536525382044
2021-03-19,2021-03-19,52.955,52.955,58089.11,0.0067434996978337
2021-03-22,2021-03-22,49.5,49.5,54129.56,-0.0572256326636962
2021-03-23,2021-03-23,46.75,46.75,54400.0,0.0049961610624582
2021-03-24,2021-03-24,45.0,45.0,52311.54,-0.0383908088235294
2021-03-25,2021-03-25,44.5,44.5,51325.21,-0.0188549218776583
2021-03-26,2021-03-26,46.43,46.43,55030.0,0.0721826564372556
2021-03-29,2021-03-29,49.45,49.45,57677.64,0.0335553680776015
2021-03-30,2021-03-30,50.82,50.82,58794.16,0.019357934894701
2021-03-31,2021-03-31,50.04,50.04,58807.24,0.0002224710753584
2021-04-01,2021-04-01,50.865,50.865,58794.01,-0.000224972299329
2021-04-05,2021-04-05,52.95,52.95,59243.39,0.0173226883463286
2021-04-06,2021-04-06,50.62,50.62,58059.99,-0.0199752242402063
2021-04-07,2021-04-07,47.57,47.57,56018.18,-0.0351672468424468
2021-04-08,2021-04-08,49.05,49.05,58122.26,0.0375606633417937
2021-04-09,2021-04-09,49.65,49.65,58176.03,0.000925118878722
2021-04-12,2021-04-12,51.78,51.78,59911.18,-0.0029791879541088
2021-04-13,2021-04-13,54.93,54.93,63649.71,0.0624012079214597
2021-04-14,2021-04-14,51.5,51.5,63019.1,-0.0099075078268228
2021-04-15,2021-04-15,52.6,52.6,63232.55,0.0033870683649879
2021-04-16,2021-04-16,51.37,51.37,61424.67,-0.0285909709477161
2021-04-19,2021-04-19,47.9499,47.9499,55634.39,-0.0090071170225178
