start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,mean,std,z-score,close,change
2021-01-01 00:00:00,65.31,67.71526586,0.22550503,0.23379061,0.0,0.0,0.0,29015.0,
2021-01-01 00:01:00,69.65,69.21108006,0.24009037,0.23858098,0.0,0.0,0.0,,
2021-01-01 00:02:00,64.46,59.45876596,0.2223579,0.20514129,0.0,0.0,0.0,,
2021-01-01 00:03:00,59.03,32.99224113,0.2036733,0.11393656,0.0,0.0,0.0,,
2021-01-01 00:04:00,58.65,36.0289998,0.20241134,0.12443941,0.0,0.0,0.0,,
2021-01-01 00:05:00,60.23,41.46833536,0.20814103,0.14339795,0.0,0.0,0.0,,
2021-01-01 00:06:00,56.13,45.47634033,0.19392707,0.15717691,0.0,0.0,0.0,,
2021-01-01 00:07:00,62.4,45.17942997,0.21565697,0.1562349,0.0,0.0,0.0,,
2021-01-01 00:08:00,63.26,49.484237,0.21889273,0.17130735,0.0,0.0,0.0,,
2021-01-01 00:09:00,66.61,58.41723552,0.23081236,0.20248082,0.0,0.0,0.0,,
2021-01-01 00:10:00,61.5,47.30702641,0.21318133,0.16406401,0.0,0.0,0.0,,
2021-01-01 00:11:00,57.96,49.92319473,0.20107999,0.17324628,0.0,0.0,0.0,,
2021-01-01 00:12:00,62.9,53.90954151,0.21810984,0.18699312,0.0,0.0,0.0,,
2021-01-01 00:13:00,93.37,73.51218178,0.32525576,0.2562579,0.0,0.0,0.0,,
2021-01-01 00:14:00,62.84,50.0521922,0.21855263,0.17415505,0.0,0.0,0.0,,
2021-01-01 00:15:00,64.49,44.00189599,0.2241589,0.15305382,0.0,0.0,0.0,,
2021-01-01 00:16:00,72.73,65.1742894,0.25244707,0.2262804,0.0,0.0,0.0,,
2021-01-01 00:17:00,68.93,41.21261944,0.23933554,0.14323426,0.0,0.0,0.0,,
2021-01-01 00:18:00,68.78,41.1958998,0.23862713,0.14306292,0.0,0.0,0.0,,
2021-01-01 00:19:00,81.07,54.32062515,0.28129068,0.18865261,0.0,0.0,0.0,,
2021-01-01 00:20:00,68.81,48.64710731,0.23926132,0.16927091,0.0,0.0,0.0,,
2021-01-01 00:21:00,69.36,37.23607766,0.24086486,0.12945312,0.0,0.0,0.0,,
2021-01-01 00:22:00,74.37,47.42156793,0.25826244,0.16483355,0.0,0.0,0.0,,
