start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,datetime,close,change
2021-01-01 00:00:00,71.45,38.09690196,0.24642069,0.13154183,2021-01-01 00:00:00,28990.0,
2021-01-01 01:00:00,77.96,57.78062946,0.26507999,0.1966008,2021-01-01 01:00:00,29411.0,0.0145222490513969
2021-01-01 02:00:00,54.4,19.11709769,0.18633551,0.06556065,2021-01-01 02:00:00,29218.0,-0.006562170616436
2021-01-01 03:00:00,79.9,36.01226397,0.27289743,0.1231838,2021-01-01 03:00:00,29303.0,0.0029091655828599
2021-01-01 04:00:00,70.21,30.83943092,0.24027808,0.10568328,2021-01-01 04:00:00,29229.5,-0.0025082756031805
2021-01-01 05:00:00,53.78,21.66232233,0.18426005,0.07430072,2021-01-01 05:00:00,29204.5,-0.0008553002959339
2021-01-01 06:00:00,59.59,29.72655185,0.20425476,0.10199706,2021-01-01 06:00:00,29175.5,-0.000992997654471
2021-01-01 07:00:00,73.58,29.6169518,0.25291455,0.10195539,2021-01-01 07:00:00,29097.5,-0.0026734760329728
2021-01-01 08:00:00,74.86,57.445784,0.25813784,0.19820779,2021-01-01 08:00:00,29045.0,-0.0018042787181029
2021-01-01 09:00:00,78.22,45.75736325,0.26785644,0.15686563,2021-01-01 09:00:00,29243.5,0.0068342227577895
2021-01-01 10:00:00,90.8,60.17752797,0.31070545,0.20613522,2021-01-01 10:00:00,29270.5,0.0009232820968763
2021-01-01 11:00:00,77.57,27.72680728,0.26462219,0.09474802,2021-01-01 11:00:00,29343.5,0.0024939785791155
2021-01-01 12:00:00,83.6,58.44808987,0.28597338,0.2001074,2021-01-01 12:00:00,29276.0,-0.0023003390870209
2021-01-01 13:00:00,80.36,35.29271975,0.2727323,0.11996251,2021-01-01 13:00:00,29494.5,0.0074634512911599
2021-01-01 14:00:00,77.08,27.77608834,0.26282195,0.09486816,2021-01-01 14:00:00,29360.0,-0.0045601722355015
2021-01-01 15:00:00,73.38,27.12179578,0.25139892,0.09306617,2021-01-01 15:00:00,29226.0,-0.0045640326975476
2021-01-01 16:00:00,81.65,34.62580821,0.27866352,0.11836418,2021-01-01 16:00:00,29325.0,0.003387394785465
2021-01-01 17:00:00,81.79,30.08261973,0.28126208,0.10363302,2021-01-01 17:00:00,29087.5,-0.0080988917306052
2021-01-01 18:00:00,73.06,39.84414952,0.25130105,0.13720663,2021-01-01 18:00:00,29074.5,-0.0004469273743016
2021-01-01 19:00:00,87.95,30.31109934,0.30297247,0.1046238,2021-01-01 19:00:00,29038.5,-0.001238198421297
2021-01-01 20:00:00,95.02,31.23809513,0.32540026,0.10720992,2021-01-01 20:00:00,29230.0,0.0065946932520619
2021-01-01 21:00:00,93.24,35.37237246,0.31974881,0.12154353,2021-01-01 21:00:00,29180.0,-0.0017105713308245
2021-01-01 22:00:00,92.6,30.46087823,0.31644791,0.10431696,2021-01-01 22:00:00,29262.5,0.0028272789581904
2021-01-01 23:00:00,81.15,19.25162791,0.27666323,0.06577273,2021-01-01 23:00:00,29325.0,0.0021358393848782
2021-01-02 00:00:00,76.46,53.99370704,0.26187191,0.18506821,2021-01-02 00:00:00,29196.5,-0.0043819266837169
2021-01-02 01:00:00,95.58,40.69922351,0.32555084,0.13888296,2021-01-02 01:00:00,29384.0,0.0064220026373025
2021-01-02 02:00:00,89.84,10.48123917,0.30637209,0.03583982,2021-01-02 02:00:00,29332.0,-0.0017696705690171
