start_time,datetime,fees_block_mean,fees_block_mean_usd,fees_reward_percent,fees_total,fees_total_usd,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,0.39780274,11513.70183221,0.05983973,2.78461917,80595.91282548,29015.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,0.27924393,8190.74896536,0.04276819,2.23395144,65525.99172292,29448.4,0.0149371014992245
2021-01-01 02:00:00,2021-01-01 02:00:00,0.32610616,9574.95476272,0.04958955,2.28274314,67024.68333901,29237.06,-0.0071766208011301
2021-01-01 03:00:00,2021-01-01 03:00:00,0.38714355,11340.94509356,0.05832984,1.93571773,56704.7254678,29302.11,0.0022249159115177
2021-01-01 04:00:00,2021-01-01 04:00:00,0.42581755,12479.18750963,0.06378508,2.12908773,62395.93754815,29237.07,-0.0022196353777936
2021-01-01 05:00:00,2021-01-01 05:00:00,0.25481868,7438.24492794,0.03917383,1.01927473,29752.97971175,29213.8,-0.0007959073874366
2021-01-01 06:00:00,2021-01-01 06:00:00,0.22421906,6555.67755122,0.0346326,2.01797157,59001.09796096,29197.3,-0.000564801566383
2021-01-01 07:00:00,2021-01-01 07:00:00,0.33452736,9721.48249594,0.05080507,1.67263681,48607.4124797,29107.71,-0.003068434410031
2021-01-01 08:00:00,2021-01-01 08:00:00,0.24541388,7136.20346179,0.03778264,1.71789716,49953.42423253,29025.89,-0.0028109390948308
2021-01-01 09:00:00,2021-01-01 09:00:00,0.38131916,11133.5834733,0.05750276,1.90659579,55667.91736648,29229.6,0.007018217184727
2021-01-01 10:00:00,2021-01-01 10:00:00,0.18269347,5350.80648982,0.02840077,1.82693471,53508.06489822,29259.29,0.0010157511563622
2021-01-01 11:00:00,2021-01-01 11:00:00,0.35127789,10305.87532863,0.05321362,1.75638944,51529.37664316,29341.99,0.0028264527266383
2021-01-01 12:00:00,2021-01-01 12:00:00,0.30746967,9018.7508027,0.04688846,2.15228767,63131.25561893,29257.82,-0.0028685852595546
2021-01-01 13:00:00,2021-01-01 13:00:00,0.37087078,10926.27615848,0.05601541,2.22522467,65557.65695091,29493.66,0.0080607509376979
2021-01-01 14:00:00,2021-01-01 14:00:00,0.52912422,15582.88813925,0.078052,2.11649687,62331.55255701,29354.58,-0.0047155897233506
2021-01-01 15:00:00,2021-01-01 15:00:00,0.25576482,7504.35588469,0.03931357,2.04611853,60034.84707756,29210.84,-0.0048966805179976
2021-01-01 16:00:00,2021-01-01 16:00:00,0.39419106,11554.17835436,0.05932868,2.75933739,80879.24848049,29324.21,0.0038810934570865
2021-01-01 17:00:00,2021-01-01 17:00:00,0.30701196,8984.04535696,0.04682193,2.14908372,62888.3174987,29099.0,-0.0076800022916218
2021-01-01 18:00:00,2021-01-01 18:00:00,0.29013964,8451.91041861,0.04436291,2.32111714,67615.28334887,29086.62,-0.0004254441733393
2021-01-01 19:00:00,2021-01-01 19:00:00,0.72742112,21184.3209637,0.10425358,1.45484225,42368.64192741,29048.47,-0.0013115996289702
2021-01-01 20:00:00,2021-01-01 20:00:00,0.36535,10686.45261166,0.05522761,2.55745001,74805.16828163,29214.14,0.0057032263661389
2021-01-01 21:00:00,2021-01-01 21:00:00,0.34898964,10219.47949786,0.05288531,2.09393784,61316.87698717,29177.77,-0.0012449450848116
2021-01-01 22:00:00,2021-01-01 22:00:00,0.41744901,12247.31114516,0.06261,2.08724506,61236.5557258,29270.89,0.0031914707669571
2021-01-01 23:00:00,2021-01-01 23:00:00,0.33914817,9962.08595509,0.05147071,1.69574083,49810.42977545,29337.16,0.002264024086729
2021-01-02 00:00:00,2021-01-02 00:00:00,0.30669912,8964.13106158,0.04677645,1.53349561,44820.65530792,29215.89,-0.0041336652900281
2021-01-02 01:00:00,2021-01-02 01:00:00,0.20595208,6033.4255618,0.03190112,1.44166455,42233.97893261,29380.0,0.0056171487502179
2021-01-02 02:00:00,2021-01-02 02:00:00,1.1382296,33491.50930154,0.15405986,1.1382296,33491.50930154,29347.02,-0.0011225323349216
2021-01-02 03:00:00,2021-01-02 03:00:00,0.44915647,13193.92862292,0.06704672,3.14409532,92357.50036047,29364.67,0.0006014239265177
2021-01-02 04:00:00,2021-01-02 04:00:00,0.22252893,6536.48149324,0.03438052,2.22528932,65364.81493237,29363.03,-5.584942721981179e-05
2021-01-02 05:00:00,2021-01-02 05:00:00,0.38263958,11300.77268143,0.05769039,1.53055833,45203.0907257,29628.65,0.0090460691556697
2021-01-02 06:00:00,2021-01-02 06:00:00,0.23552899,6986.9909827,0.03631608,1.8842319,55895.9278616,29733.03,0.0035229414772524
2021-01-02 07:00:00,2021-01-02 07:00:00,0.22721777,6765.28624568,0.03507953,1.36330664,40591.71747405,29777.33,0.0014899255138141
2021-01-02 08:00:00,2021-01-02 08:00:00,0.17342946,5175.74342262,0.02699951,2.25458298,67284.66449402,29870.0,0.0031120990364146
2021-01-02 09:00:00,2021-01-02 09:00:00,0.31470027,9364.55353594,0.04793825,1.57350134,46822.76767972,29642.1,-0.0076297288249079
2021-01-02 10:00:00,2021-01-02 10:00:00,0.26071273,7743.46908547,0.04004365,1.82498912,54204.28359827,29708.25,0.0022316232655581
2021-01-02 11:00:00,2021-01-02 11:00:00,0.57882366,17214.33037731,0.08476184,2.31529465,68857.32150923,29775.52,0.0022643541777116
2021-01-02 12:00:00,2021-01-02 12:00:00,0.44321472,13419.02172024,0.06621851,2.21607359,67095.10860121,30660.12,0.0297089689785434
2021-01-02 13:00:00,2021-01-02 13:00:00,0.73731842,22818.25463588,0.10552237,3.6865921,114091.27317941,31616.51,0.031193289523981
2021-01-02 14:00:00,2021-01-02 14:00:00,0.63936212,19982.22856992,0.09280425,4.47553482,139875.59998942,31335.01,-0.008903576011394
2021-01-02 15:00:00,2021-01-02 15:00:00,0.676379,21285.01519362,0.09765261,2.705516,85140.06077447,31717.01,0.0121908370222316
2021-01-02 16:00:00,2021-01-02 16:00:00,0.97229237,31648.74881725,0.13462379,4.86146187,158243.74408626,32543.45,0.0260566806265787
2021-01-02 17:00:00,2021-01-02 17:00:00,0.9266817,30352.86768323,0.12912398,5.56009022,182117.20609937,32904.2,0.0110851799670901
2021-01-02 18:00:00,2021-01-02 18:00:00,0.77827699,25473.56565416,0.11073511,7.00449293,229262.0908874,33100.0,0.0059506081290534
2021-01-02 19:00:00,2021-01-02 19:00:00,0.96487412,31871.73714765,0.13373402,4.8243706,159358.68573825,33115.41,0.0004655589123867
2021-01-02 20:00:00,2021-01-02 20:00:00,0.80968835,26252.61396623,0.1146918,7.28719513,236273.52569603,30912.0,-0.0665373009121735
2021-01-02 21:00:00,2021-01-02 21:00:00,0.791314,24972.54364031,0.11238158,5.53919799,174807.80548219,31722.66,0.0262247670807453
2021-01-02 22:00:00,2021-01-02 22:00:00,0.89904596,28750.64177197,0.12575747,4.49522978,143753.20885987,32171.14,0.0141375281896285
2021-01-02 23:00:00,2021-01-02 23:00:00,0.68772469,21956.13231559,0.09912828,4.81407283,153692.92620914,32199.91,0.0008942797799518
2021-01-03 00:00:00,2021-01-03 00:00:00,0.76877024,24799.15589575,0.10953062,3.07508097,99196.623583,32478.69,0.008657788173942
2021-01-03 01:00:00,2021-01-03 01:00:00,0.46883878,15294.65408032,0.06977973,3.75071028,122357.23264255,32611.14,0.0040780585670172
2021-01-03 02:00:00,2021-01-03 02:00:00,0.48325818,15835.17502457,0.07177182,1.9330327,63340.70009827,32765.99,0.0047483773949639
2021-01-03 03:00:00,2021-01-03 03:00:00,0.61010923,19938.33091159,0.08893579,3.66065537,119629.98546952,32601.49,-0.0050204495576052
2021-01-03 04:00:00,2021-01-03 04:00:00,0.40999409,13414.35302948,0.06156073,3.2799527,107314.82423584,33256.95,0.020105216049941
2021-01-03 05:00:00,2021-01-03 05:00:00,0.32945216,11167.24345769,0.05007289,2.9650694,100505.19111917,33823.58,0.017037942445113
2021-01-03 06:00:00,2021-01-03 06:00:00,0.78195887,26589.04137723,0.11120072,2.34587661,79767.12413168,34016.77,0.0057116958051157
2021-01-03 07:00:00,2021-01-03 07:00:00,0.40584989,13922.65077437,0.06097642,3.65264898,125303.85696937,34472.24,0.013389572260976
2021-01-03 08:00:00,2021-01-03 08:00:00,0.73694765,25325.74812051,0.10547491,3.68473824,126628.74060253,34420.0,-0.0015154222644074
2021-01-03 09:00:00,2021-01-03 09:00:00,0.32989472,11309.55175518,0.05013678,2.30926307,79166.86228625,34239.04,-0.0052574084834398
2021-01-03 10:00:00,2021-01-03 10:00:00,0.91197565,30867.11803283,0.12733577,2.73592695,92601.35409849,33949.75,-0.0084491270783293
2021-01-03 11:00:00,2021-01-03 11:00:00,0.76498396,26163.06105286,0.10904999,3.82491981,130815.30526429,34464.06,0.0151491542647588
2021-01-03 12:00:00,2021-01-03 12:00:00,0.65392939,22401.04046704,0.09471844,5.23143515,179208.32373633,34156.94,-0.0089113122481795
2021-01-03 13:00:00,2021-01-03 13:00:00,0.81507126,27760.60534849,0.11536632,4.89042758,166563.63209097,33939.02,-0.0063799626078918
2021-01-03 14:00:00,2021-01-03 14:00:00,0.58617826,19885.82820996,0.08574649,5.27560435,178972.45388966,33903.75,-0.001039216807085
2021-01-03 15:00:00,2021-01-03 15:00:00,0.80285412,26899.39019849,0.11383393,4.81712472,161396.34119093,33540.46,-0.0107153338495004
2021-01-03 16:00:00,2021-01-03 16:00:00,0.51146898,17060.34918761,0.07564465,5.11468977,170603.49187613,32742.51,-0.023790669537627
2021-01-03 17:00:00,2021-01-03 17:00:00,0.5580051,18405.79322355,0.08196309,3.90603572,128840.55256485,32979.98,0.0072526510643198
2021-01-03 18:00:00,2021-01-03 18:00:00,0.52921733,17305.72476186,0.07806466,4.23373863,138445.7980949,32831.08,-0.0045148602273258
2021-01-03 19:00:00,2021-01-03 19:00:00,0.5074887,16584.63977911,0.07510019,3.55242092,116092.47845379,32823.72,-0.0002241778217469
2021-01-03 20:00:00,2021-01-03 20:00:00,0.61678683,20651.81720774,0.08982175,3.70072097,123910.90324643,33779.07,0.0291054761617512
2021-01-03 21:00:00,2021-01-03 21:00:00,0.42432937,14293.90598893,0.06357633,2.9703056,100057.34192249,33625.0,-0.0045611084023331
2021-01-03 22:00:00,2021-01-03 22:00:00,0.29227363,9742.94002715,0.04467463,2.63046263,87686.46024432,33209.99,-0.0123423048327138
2021-01-03 23:00:00,2021-01-03 23:00:00,0.7197881,23975.88785683,0.10327259,2.8791524,95903.55142734,33054.53,-0.0046811215540865
2021-01-04 00:00:00,2021-01-04 00:00:00,0.3203353,10536.70021673,0.04875479,3.52368834,115903.702384,32907.4,-0.0044511296938724
2021-01-04 01:00:00,2021-01-04 01:00:00,0.35971744,11812.27321832,0.05442251,2.15830462,70873.63930991,33242.22,0.0101746111816793
2021-01-04 02:00:00,2021-01-04 02:00:00,0.56864248,18866.09693554,0.08339526,3.4118549,113196.58161322,33502.99,0.0078445422718458
2021-01-04 03:00:00,2021-01-04 03:00:00,0.24571765,8202.08861347,0.03782764,2.70289414,90222.97474822,33562.22,0.0017679019096505
2021-01-04 04:00:00,2021-01-04 04:00:00,1.00090215,33341.16512394,0.13803829,1.00090215,33341.16512394,33324.51,-0.0070826661645146
2021-01-04 05:00:00,2021-01-04 05:00:00,0.74736282,24771.12948517,0.10680635,3.73681408,123855.64742583,32922.5,-0.0120634932066518
2021-01-04 06:00:00,2021-01-04 06:00:00,0.54895173,18136.49173023,0.08074064,4.39161381,145091.93384184,33265.89,0.0104302528665805
2021-01-04 07:00:00,2021-01-04 07:00:00,0.35874229,11615.99319755,0.05428299,3.22868057,104543.93877792,32186.58,-0.0324449458589564
2021-01-04 08:00:00,2021-01-04 08:00:00,0.3888688,12546.37092211,0.05857456,3.88868801,125463.70922106,32129.54,-0.0017721671578652
2021-01-04 09:00:00,2021-01-04 09:00:00,0.4414433,13864.86624526,0.06597131,4.41443295,138648.66245258,31179.96,-0.0295547337434648
2021-01-04 10:00:00,2021-01-04 10:00:00,0.72482576,21322.42916368,0.10392027,4.34895457,127934.57498206,30279.53,-0.028878484770346
2021-01-04 11:00:00,2021-01-04 11:00:00,0.61572621,18540.95253403,0.08968115,4.31008349,129786.66773824,30760.39,0.0158806956382744
2021-01-04 12:00:00,2021-01-04 12:00:00,0.81751912,25359.0212117,0.11567271,6.54015293,202872.1696936,31225.59,0.0151233453151926
2021-01-04 13:00:00,2021-01-04 13:00:00,0.96048349,29886.07062452,0.13320653,4.80241746,149430.35312258,31424.22,0.0063611288049321
2021-01-04 14:00:00,2021-01-04 14:00:00,0.90592384,28851.9865937,0.12659775,5.43554303,173111.91956221,32107.19,0.0217338727898417
2021-01-04 15:00:00,2021-01-04 15:00:00,0.81591863,26047.16688416,0.11547241,6.52734907,208377.33507331,31758.38,-0.0108639217570892
2021-01-04 16:00:00,2021-01-04 16:00:00,0.89513967,27996.33996714,0.12527952,4.47569833,139981.69983572,31341.04,-0.0131410985069138
