start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_sell_ratio,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,0.47741566,0.91356671,0.52258434,28990.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,0.59153215,1.44817312,0.40846785,29411.0,0.0145222490513969
2021-01-01 02:00:00,2021-01-01 02:00:00,0.39343383,0.64862475,0.60656617,29218.0,-0.006562170616436
2021-01-01 03:00:00,2021-01-01 03:00:00,0.49515186,0.98079366,0.50484814,29303.0,0.0029091655828599
2021-01-01 04:00:00,2021-01-01 04:00:00,0.38066912,0.61464581,0.61933088,29229.5,-0.0025082756031805
2021-01-01 05:00:00,2021-01-01 05:00:00,0.44419103,0.79917932,0.55580897,29204.5,-0.0008553002959339
2021-01-01 06:00:00,2021-01-01 06:00:00,0.52868432,1.1217202,0.47131568,29175.5,-0.000992997654471
2021-01-01 07:00:00,2021-01-01 07:00:00,0.36564851,0.5764131,0.63435149,29097.5,-0.0026734760329728
2021-01-01 08:00:00,2021-01-01 08:00:00,0.54971176,1.22079973,0.45028824,29045.0,-0.0018042787181029
2021-01-01 09:00:00,2021-01-01 09:00:00,0.64025151,1.77971976,0.35974849,29243.5,0.0068342227577895
2021-01-01 10:00:00,2021-01-01 10:00:00,0.54551613,1.2002981,0.45448387,29270.5,0.0009232820968763
2021-01-01 11:00:00,2021-01-01 11:00:00,0.54806679,1.21271635,0.45193321,29343.5,0.0024939785791155
2021-01-01 12:00:00,2021-01-01 12:00:00,0.470312,0.88790381,0.529688,29276.0,-0.0023003390870209
2021-01-01 13:00:00,2021-01-01 13:00:00,0.59921119,1.49507967,0.40078881,29494.5,0.0074634512911599
2021-01-01 14:00:00,2021-01-01 14:00:00,0.55146576,1.22948419,0.44853424,29360.0,-0.0045601722355015
2021-01-01 15:00:00,2021-01-01 15:00:00,0.43145648,0.75888031,0.56854352,29226.0,-0.0045640326975476
2021-01-01 16:00:00,2021-01-01 16:00:00,0.50424979,1.01714488,0.49575021,29325.0,0.003387394785465
2021-01-01 17:00:00,2021-01-01 17:00:00,0.35252986,0.54447277,0.64747014,29087.5,-0.0080988917306052
2021-01-01 18:00:00,2021-01-01 18:00:00,0.36672143,0.57908391,0.63327857,29074.5,-0.0004469273743016
2021-01-01 19:00:00,2021-01-01 19:00:00,0.47317813,0.89817481,0.52682187,29038.5,-0.001238198421297
2021-01-01 20:00:00,2021-01-01 20:00:00,0.63956462,1.77442242,0.36043538,29230.0,0.0065946932520619
2021-01-01 21:00:00,2021-01-01 21:00:00,0.61280908,1.58270518,0.38719092,29180.0,-0.0017105713308245
2021-01-01 22:00:00,2021-01-01 22:00:00,0.5247784,1.10428147,0.4752216,29262.5,0.0028272789581904
2021-01-01 23:00:00,2021-01-01 23:00:00,0.5143529,1.05910835,0.4856471,29325.0,0.0021358393848782
2021-01-02 00:00:00,2021-01-02 00:00:00,0.41345451,0.70489761,0.58654549,29196.5,-0.0043819266837169
2021-01-02 01:00:00,2021-01-02 01:00:00,0.57082182,1.33003456,0.42917818,29384.0,0.0064220026373025
2021-01-02 02:00:00,2021-01-02 02:00:00,0.51552922,1.06410797,0.48447078,29332.0,-0.0017696705690171
2021-01-02 03:00:00,2021-01-02 03:00:00,0.32206766,0.47507347,0.67793234,29357.5,0.0008693576980771
2021-01-02 04:00:00,2021-01-02 04:00:00,0.46692476,0.87590781,0.53307524,29343.0,-0.0004939112662862
2021-01-02 05:00:00,2021-01-02 05:00:00,0.66841975,2.01586117,0.33158025,29615.5,0.0092867123334354
2021-01-02 06:00:00,2021-01-02 06:00:00,0.58383233,1.40287765,0.41616767,29734.5,0.004018166162989
2021-01-02 07:00:00,2021-01-02 07:00:00,0.54683021,1.20667843,0.45316979,29777.0,0.0014293161142779
2021-01-02 08:00:00,2021-01-02 08:00:00,0.50128063,1.00513569,0.49871937,29866.5,0.0030056755213756
2021-01-02 09:00:00,2021-01-02 09:00:00,0.41860382,0.71999755,0.58139618,29647.0,-0.0073493713692598
2021-01-02 10:00:00,2021-01-02 10:00:00,0.46742656,0.87767532,0.53257344,29701.5,0.0018382972982089
2021-01-02 11:00:00,2021-01-02 11:00:00,0.58449828,1.40672893,0.41550172,29782.5,0.0027271349931821
2021-01-02 12:00:00,2021-01-02 12:00:00,0.59165173,1.44889004,0.40834827,30644.5,0.0289431713254428
2021-01-02 13:00:00,2021-01-02 13:00:00,0.57542705,1.35530783,0.42457295,31610.0,0.0315064693501281
2021-01-02 14:00:00,2021-01-02 14:00:00,0.47113,0.89082383,0.52887,31345.0,-0.0083834229674153
2021-01-02 15:00:00,2021-01-02 15:00:00,0.54497667,1.19768949,0.45502333,31729.0,0.0122507576966022
2021-01-02 16:00:00,2021-01-02 16:00:00,0.49763046,0.99056654,0.50236954,32554.5,0.0260172082322165
2021-01-02 17:00:00,2021-01-02 17:00:00,0.54862725,1.21546384,0.45137275,32912.5,0.0109969435869081
2021-01-02 18:00:00,2021-01-02 18:00:00,0.50340422,1.01371023,0.49659578,33080.5,0.0051044436004556
2021-01-02 19:00:00,2021-01-02 19:00:00,0.51088696,1.04451715,0.48911304,33105.0,0.0007406175843776
2021-01-02 20:00:00,2021-01-02 20:00:00,0.40527468,0.68144851,0.59472532,30906.0,-0.066425011327594
2021-01-02 21:00:00,2021-01-02 21:00:00,0.50418899,1.01689753,0.49581101,31736.0,0.0268556267391444
2021-01-02 22:00:00,2021-01-02 22:00:00,0.55818608,1.26339631,0.44181392,32207.5,0.014856944794555
2021-01-02 23:00:00,2021-01-02 23:00:00,0.42967148,0.75337542,0.57032852,32230.0,0.0006985950477373
2021-01-03 00:00:00,2021-01-03 00:00:00,0.56407176,1.29395552,0.43592824,32491.5,0.0081135587961527
2021-01-03 01:00:00,2021-01-03 01:00:00,0.55660726,1.25533688,0.44339274,32620.5,0.0039702691473153
2021-01-03 02:00:00,2021-01-03 02:00:00,0.5555382,1.24991214,0.4444618,32777.0,0.0047975966033628
2021-01-03 03:00:00,2021-01-03 03:00:00,0.36964126,0.58639824,0.63035874,32638.5,-0.0042255239954845
2021-01-03 04:00:00,2021-01-03 04:00:00,0.68474378,2.17202308,0.31525622,33266.0,0.0192257609877903
2021-01-03 05:00:00,2021-01-03 05:00:00,0.5301639,1.12840179,0.4698361,33803.5,0.0161576384296278
2021-01-03 06:00:00,2021-01-03 06:00:00,0.55387122,1.24150522,0.44612878,34020.0,0.0064046622391171
2021-01-03 07:00:00,2021-01-03 07:00:00,0.51060364,1.04333354,0.48939636,34494.5,0.0139476778365668
2021-01-03 08:00:00,2021-01-03 08:00:00,0.4597646,0.85104495,0.5402354,34429.5,-0.001884358375973
2021-01-03 09:00:00,2021-01-03 09:00:00,0.50224145,1.00900617,0.49775855,34255.5,-0.0050538056027534
2021-01-03 10:00:00,2021-01-03 10:00:00,0.40169339,0.67138384,0.59830661,33940.5,-0.0091956036256951
2021-01-03 11:00:00,2021-01-03 11:00:00,0.57132268,1.33275694,0.42867732,34478.5,0.015851269132747
2021-01-03 12:00:00,2021-01-03 12:00:00,0.47865637,0.91812067,0.52134363,34149.0,-0.0095566802500108
2021-01-03 13:00:00,2021-01-03 13:00:00,0.27588379,0.38099381,0.72411621,33923.5,-0.0066034144484464
2021-01-03 14:00:00,2021-01-03 14:00:00,0.41782997,0.71771122,0.58217003,33884.5,-0.0011496455259628
2021-01-03 15:00:00,2021-01-03 15:00:00,0.4269661,0.74509745,0.5730339,33523.0,-0.0106685947852263
2021-01-03 16:00:00,2021-01-03 16:00:00,0.454104,0.83185076,0.545896,32732.0,-0.0235957402380455
2021-01-03 17:00:00,2021-01-03 17:00:00,0.57224315,1.33777673,0.42775685,32946.5,0.0065532200904314
2021-01-03 18:00:00,2021-01-03 18:00:00,0.66121481,1.95172289,0.33878519,32833.0,-0.0034449789810754
2021-01-03 19:00:00,2021-01-03 19:00:00,0.56957365,1.32327782,0.43042635,32828.5,-0.0001370572290073
2021-01-03 20:00:00,2021-01-03 20:00:00,0.62041265,1.63443973,0.37958735,33788.0,0.0292276528016814
2021-01-03 21:00:00,2021-01-03 21:00:00,0.54126156,1.17989144,0.45873844,33615.0,-0.0051201610039066
2021-01-03 22:00:00,2021-01-03 22:00:00,0.39085185,0.64163678,0.60914815,33173.5,-0.0131340175516881
2021-01-03 23:00:00,2021-01-03 23:00:00,0.46708191,0.87646098,0.53291809,32963.0,-0.0063454263192005
2021-01-04 00:00:00,2021-01-04 00:00:00,0.42833024,0.74926166,0.57166976,32825.0,-0.0041865121499863
2021-01-04 01:00:00,2021-01-04 01:00:00,0.55141374,1.22922565,0.44858626,33154.5,0.0100380807311499
2021-01-04 02:00:00,2021-01-04 02:00:00,0.46333555,0.86336174,0.53666445,33453.0,0.0090033027190878
2021-01-04 03:00:00,2021-01-04 03:00:00,0.49464223,0.97879612,0.50535777,33537.0,0.002510985561833
2021-01-04 04:00:00,2021-01-04 04:00:00,0.49230836,0.96969955,0.50769164,33297.5,-0.007141366252199
2021-01-04 05:00:00,2021-01-04 05:00:00,0.39555988,0.65442361,0.60444012,32920.5,-0.0113221713341842
2021-01-04 06:00:00,2021-01-04 06:00:00,0.50021654,1.00086653,0.49978346,33260.0,0.0103127230752875
2021-01-04 07:00:00,2021-01-04 07:00:00,0.32963467,0.49172392,0.67036533,32226.5,-0.0310733613950691
2021-01-04 08:00:00,2021-01-04 08:00:00,0.49974043,0.99896225,0.50025957,32130.5,-0.0029789148681985
2021-01-04 09:00:00,2021-01-04 09:00:00,0.3959583,0.65551484,0.6040417,31119.0,-0.0314809915812078
2021-01-04 10:00:00,2021-01-04 10:00:00,0.38547435,0.62727137,0.61452565,30229.0,-0.0285998907419904
2021-01-04 11:00:00,2021-01-04 11:00:00,0.50964331,1.0393318,0.49035669,30675.0,0.014754044129809
2021-01-04 12:00:00,2021-01-04 12:00:00,0.53649107,1.15745576,0.46350893,31171.0,0.0161695191524042
2021-01-04 13:00:00,2021-01-04 13:00:00,0.44806308,0.81180126,0.55193692,31379.0,0.0066728690128645
2021-01-04 14:00:00,2021-01-04 14:00:00,0.60003302,1.50020638,0.39996698,32062.0,0.0217661493355427
2021-01-04 15:00:00,2021-01-04 15:00:00,0.43503709,0.77002769,0.56496291,31720.0,-0.0106668330110411
2021-01-04 16:00:00,2021-01-04 16:00:00,0.46535426,0.87039738,0.53464574,31305.0,-0.0130832282471626
2021-01-04 17:00:00,2021-01-04 17:00:00,0.48053797,0.92506852,0.51946203,31023.0,-0.009008145663632
2021-01-04 18:00:00,2021-01-04 18:00:00,0.55459284,1.24513681,0.44540716,31176.5,0.0049479418495954
2021-01-04 19:00:00,2021-01-04 19:00:00,0.62313068,1.65343968,0.37686932,31679.5,0.0161339470434462
2021-01-04 20:00:00,2021-01-04 20:00:00,0.44065902,0.78781822,0.55934098,31293.5,-0.0121845357407787
2021-01-04 21:00:00,2021-01-04 21:00:00,0.44461113,0.80054021,0.55538887,31041.0,-0.0080687682745618
2021-01-04 22:00:00,2021-01-04 22:00:00,0.54425497,1.19420935,0.45574503,31366.5,0.0104861312457718
2021-01-04 23:00:00,2021-01-04 23:00:00,0.58521907,1.41091122,0.41478093,32024.0,0.0209618542075142
