start_time,date,nul,nup,nupl,close,change
2021-01-01,2021-01-01,9.95e-06,0.68348719,0.68363813,29337.16,
2021-01-02,2021-01-02,8.443e-05,0.707238,0.7054091,32199.91,0.0975810201123763
2021-01-03,2021-01-03,0.00012686,0.71857308,0.70864371,33054.53,0.0265410679719291
2021-01-04,2021-01-04,0.00076484,0.69325823,0.6945197,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,2.27e-05,0.70915955,0.70845181,33999.52,0.0614543941242049
2021-01-06,2021-01-06,1.4e-07,0.71405024,0.72602097,36823.68,0.083064702089912
2021-01-07,2021-01-07,8.106e-05,0.73463692,0.73659221,39498.92,0.0726499904409336
2021-01-08,2021-01-08,0.00010018,0.74069967,0.7369958,40637.23,0.0288187626395861
2021-01-09,2021-01-09,0.00018588,0.73517259,0.73014587,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,0.00163699,0.72273088,0.71313788,38221.67,-0.047697032392832
2021-01-11,2021-01-11,0.0050671,0.69371916,0.68936259,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,0.00759531,0.67538878,0.67472535,34056.9,-0.038170538905109
2021-01-13,2021-01-13,0.00234829,0.7017464,0.70181088,37421.07,0.0987808637897165
2021-01-14,2021-01-14,0.00070295,0.71685244,0.71199632,39163.31,0.0465577280393103
2021-01-15,2021-01-15,0.00385867,0.68863824,0.69161212,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,0.00406379,0.69858546,0.68417469,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,0.0049769,0.68451392,0.68193681,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,0.00321618,0.69465403,0.68709835,36686.86,0.0227776379202242
2021-01-19,2021-01-19,0.00389321,0.69417806,0.679117,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,0.00505077,0.68207797,0.67477506,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,0.01877589,0.65497849,0.62581624,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,0.01124915,0.65972471,0.64972681,32986.34,0.0682115299982479
2021-01-23,2021-01-23,0.01420772,0.65228864,0.63944604,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,0.01310327,0.65497368,0.6413617,32275.63,0.0058950062456213
2021-01-25,2021-01-25,0.01275941,0.65885106,0.63999022,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,0.01192737,0.65673645,0.64245189,32474.14,0.0068351890388942
2021-01-27,2021-01-27,0.02059614,0.63692565,0.61574781,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,0.00891165,0.65915078,0.6489097,33399.75,0.0993616413394669
2021-01-29,2021-01-29,0.00709907,0.66416222,0.65422564,34269.35,0.0260361230248729
2021-01-30,2021-01-30,0.00685106,0.66234844,0.65379093,34289.85,0.0005982021835839
2021-01-31,2021-01-31,0.01031174,0.65149665,0.64031279,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,0.00874788,0.65377607,0.64420238,33546.09,0.0126751596394516
2021-02-02,2021-02-02,0.00431118,0.66792549,0.66245807,35504.06,0.0583665637336572
2021-02-03,2021-02-03,0.00167772,0.67978277,0.68011115,37652.51,0.0605127976913064
2021-02-04,2021-02-04,0.00243941,0.67521589,0.67200052,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,0.00141903,0.67083391,0.68075956,38362.65,0.0374752582218156
2021-02-06,2021-02-06,0.00065598,0.68965968,0.68657478,39249.54,0.0231185801815045
2021-02-07,2021-02-07,0.00088343,0.6850957,0.68200889,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,0.0,0.7298297,0.73083671,46451.32,0.195681255107885
2021-02-09,2021-02-09,0.00012766,0.72678004,0.72513905,46492.54,0.0008873805954277
2021-02-10,2021-02-10,0.00077936,0.71841027,0.71176137,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,8.4e-07,0.72885949,0.72819291,48060.21,0.0715765886287624
2021-02-12,2021-02-12,6.642e-05,0.72712753,0.72196433,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,0.00024089,0.71763138,0.71979371,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,6.34e-06,0.73652874,0.72687376,48655.21,0.0303587636341149
2021-02-15,2021-02-15,0.00012738,0.72094104,0.71971368,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,1.602e-05,0.72530465,0.72490073,49197.94,0.0253505616113516
2021-02-17,2021-02-17,3.56e-06,0.73896358,0.73778421,52194.62,0.0609106804065373
2021-02-18,2021-02-18,0.00012314,0.73142423,0.73160868,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,3.96e-06,0.74551976,0.74771251,56004.1,0.0849365649161075
2021-02-20,2021-02-20,6.98e-05,0.74677472,0.74382926,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,3.239e-05,0.74790715,0.74881985,57487.43,0.0280774806987662
2021-02-22,2021-02-22,0.00149083,0.72004708,0.73120498,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,0.00546821,0.70237268,0.69969248,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,0.00418914,0.70635149,0.70211407,49702.03,0.0157782546494993
2021-02-25,2021-02-25,0.0080936,0.69484549,0.6835339,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,0.00968372,0.68322667,0.6754155,46313.13,-0.0164843997700543
2021-02-27,2021-02-27,0.00855162,0.68508216,0.67483352,46102.63,-0.0045451473480631
2021-02-28,2021-02-28,0.01136031,0.67387602,0.66776174,45163.36,-0.0203734580868812
2021-03-01,2021-03-01,0.00324166,0.69937898,0.69562837,49592.7,0.0980737482773645
2021-03-02,2021-03-02,0.00461478,0.68889867,0.68695805,48450.57,-0.023030204042127
2021-03-03,2021-03-03,0.00249041,0.70272057,0.69751602,50373.75,0.0396936506629332
2021-03-04,2021-03-04,0.00470604,0.69213749,0.68392297,48385.77,-0.0394646020993076
2021-03-05,2021-03-05,0.00390085,0.69259096,0.68562808,48770.57,0.0079527513977766
2021-03-06,2021-03-06,0.00390776,0.68949484,0.68579203,48908.21,0.0028221937943313
2021-03-07,2021-03-07,0.00175812,0.70517988,0.69807137,50995.27,0.0426729990731618
2021-03-08,2021-03-08,0.00117279,0.70386402,0.7045756,52429.43,0.0281233926205313
2021-03-09,2021-03-09,0.00038565,0.7111021,0.71644491,54917.78,0.0474609393998752
2021-03-10,2021-03-10,0.00017048,0.72335922,0.7193881,55947.98,0.018758952018818
2021-03-11,2021-03-11,2.36e-06,0.72861971,0.72588751,57844.52,0.0338982747902603
2021-03-12,2021-03-12,3.88e-05,0.72313659,0.72074511,57291.03,-0.0095685814317414
2021-03-13,2021-03-13,1.52e-06,0.73973564,0.73706207,61267.41,0.0694066767520151
2021-03-14,2021-03-14,0.00020954,0.73530495,0.72557788,59037.12,-0.0364025507198688
2021-03-15,2021-03-15,0.00149325,0.71180909,0.70802574,55646.61,-0.0574301388685627
2021-03-16,2021-03-16,0.00092215,0.70352243,0.71277761,56954.19,0.0234979273670039
2021-03-17,2021-03-17,0.0002277,0.71838699,0.72103623,58959.0,0.0352003952650366
2021-03-18,2021-03-18,0.00043795,0.71948876,0.71390846,57700.01,-0.0213536525382044
2021-03-19,2021-03-19,0.00040255,0.71693897,0.7150317,58089.11,0.0067434996978337
2021-03-20,2021-03-20,0.00046595,0.71443117,0.71430383,58145.61,0.0009726435815593
2021-03-21,2021-03-21,0.00067618,0.71256012,0.70995706,57415.18,-0.0125620833627853
2021-03-22,2021-03-22,0.00322613,0.70466172,0.69120833,54129.56,-0.0572256326636962
2021-03-23,2021-03-23,0.00302077,0.6996781,0.69080951,54400.0,0.0049961610624582
2021-03-24,2021-03-24,0.00661565,0.68712311,0.67738407,52311.54,-0.0383908088235294
2021-03-25,2021-03-25,0.00810427,0.68029529,0.66984024,51325.21,-0.0188549218776583
2021-03-26,2021-03-26,0.002324,0.69175642,0.69105791,55030.0,0.0721826564372556
2021-03-27,2021-03-27,0.00142343,0.69574801,0.69405342,55828.0,0.014501181173905
2021-03-28,2021-03-28,0.00147432,0.69466183,0.69307363,55805.08,-0.0004105466790856
2021-03-29,2021-03-29,0.00040667,0.70467972,0.70166376,57677.64,0.0335553680776015
2021-03-30,2021-03-30,0.00020172,0.70563987,0.70610259,58794.16,0.019357934894701
2021-03-31,2021-03-31,0.00025238,0.70368015,0.70452089,58807.24,0.0002224710753584
2021-04-01,2021-04-01,0.00024108,0.70328964,0.70234649,58794.01,-0.000224972299329
2021-04-02,2021-04-02,0.00018269,0.70372737,0.70239331,59031.36,0.0040369758756035
