start_time,datetime,estimated_leverage_ratio,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,0.14048065,29015.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,0.14316107,29448.4,0.0149371014992245
2021-01-01 02:00:00,2021-01-01 02:00:00,0.1439795,29237.06,-0.0071766208011301
2021-01-01 03:00:00,2021-01-01 03:00:00,0.14314417,29302.11,0.0022249159115177
2021-01-01 04:00:00,2021-01-01 04:00:00,0.14311047,29237.07,-0.0022196353777936
2021-01-01 05:00:00,2021-01-01 05:00:00,0.14394426,29213.8,-0.0007959073874366
2021-01-01 06:00:00,2021-01-01 06:00:00,0.14425187,29197.3,-0.000564801566383
2021-01-01 07:00:00,2021-01-01 07:00:00,0.14444138,29107.71,-0.003068434410031
2021-01-01 08:00:00,2021-01-01 08:00:00,0.1453442,29025.89,-0.0028109390948308
2021-01-01 09:00:00,2021-01-01 09:00:00,0.14486009,29229.6,0.007018217184727
2021-01-01 10:00:00,2021-01-01 10:00:00,0.14692017,29259.29,0.0010157511563622
2021-01-01 11:00:00,2021-01-01 11:00:00,0.14782157,29341.99,0.0028264527266383
2021-01-01 12:00:00,2021-01-01 12:00:00,0.14941676,29257.82,-0.0028685852595546
2021-01-01 13:00:00,2021-01-01 13:00:00,0.14990877,29493.66,0.0080607509376979
2021-01-01 14:00:00,2021-01-01 14:00:00,0.14929817,29354.58,-0.0047155897233506
2021-01-01 15:00:00,2021-01-01 15:00:00,0.14667561,29210.84,-0.0048966805179976
2021-01-01 16:00:00,2021-01-01 16:00:00,0.1462833,29324.21,0.0038810934570865
2021-01-01 17:00:00,2021-01-01 17:00:00,0.14626081,29099.0,-0.0076800022916218
2021-01-01 18:00:00,2021-01-01 18:00:00,0.14297037,29086.62,-0.0004254441733393
2021-01-01 19:00:00,2021-01-01 19:00:00,0.14299496,29048.47,-0.0013115996289702
2021-01-01 20:00:00,2021-01-01 20:00:00,0.14150773,29214.14,0.0057032263661389
2021-01-01 21:00:00,2021-01-01 21:00:00,0.14130612,29177.77,-0.0012449450848116
2021-01-01 22:00:00,2021-01-01 22:00:00,0.14073669,29270.89,0.0031914707669571
2021-01-01 23:00:00,2021-01-01 23:00:00,0.14071639,29337.16,0.002264024086729
2021-01-02 00:00:00,2021-01-02 00:00:00,0.14106182,29215.89,-0.0041336652900281
2021-01-02 01:00:00,2021-01-02 01:00:00,0.13900102,29380.0,0.0056171487502179
2021-01-02 02:00:00,2021-01-02 02:00:00,0.13965733,29347.02,-0.0011225323349216
2021-01-02 03:00:00,2021-01-02 03:00:00,0.13867641,29364.67,0.0006014239265177
2021-01-02 04:00:00,2021-01-02 04:00:00,0.1381699,29363.03,-5.584942721981179e-05
2021-01-02 05:00:00,2021-01-02 05:00:00,0.14213028,29628.65,0.0090460691556697
2021-01-02 06:00:00,2021-01-02 06:00:00,0.14640682,29733.03,0.0035229414772524
2021-01-02 07:00:00,2021-01-02 07:00:00,0.14807019,29777.33,0.0014899255138141
2021-01-02 08:00:00,2021-01-02 08:00:00,0.15075256,29870.0,0.0031120990364146
2021-01-02 09:00:00,2021-01-02 09:00:00,0.15132711,29642.1,-0.0076297288249079
2021-01-02 10:00:00,2021-01-02 10:00:00,0.15060151,29708.25,0.0022316232655581
2021-01-02 11:00:00,2021-01-02 11:00:00,0.15042799,29775.52,0.0022643541777116
2021-01-02 12:00:00,2021-01-02 12:00:00,0.15332333,30660.12,0.0297089689785434
2021-01-02 13:00:00,2021-01-02 13:00:00,0.15190056,31616.51,0.031193289523981
2021-01-02 14:00:00,2021-01-02 14:00:00,0.15653784,31335.01,-0.008903576011394
2021-01-02 15:00:00,2021-01-02 15:00:00,0.15512983,31717.01,0.0121908370222316
2021-01-02 16:00:00,2021-01-02 16:00:00,0.14420595,32543.45,0.0260566806265787
2021-01-02 17:00:00,2021-01-02 17:00:00,0.14385619,32904.2,0.0110851799670901
2021-01-02 18:00:00,2021-01-02 18:00:00,0.14373401,33100.0,0.0059506081290534
2021-01-02 19:00:00,2021-01-02 19:00:00,0.14372337,33115.41,0.0004655589123867
2021-01-02 20:00:00,2021-01-02 20:00:00,0.14950047,30912.0,-0.0665373009121735
2021-01-02 21:00:00,2021-01-02 21:00:00,0.14182526,31722.66,0.0262247670807453
2021-01-02 22:00:00,2021-01-02 22:00:00,0.13967785,32171.14,0.0141375281896285
2021-01-02 23:00:00,2021-01-02 23:00:00,0.13973211,32199.91,0.0008942797799518
2021-01-03 00:00:00,2021-01-03 00:00:00,0.13784989,32478.69,0.008657788173942
2021-01-03 01:00:00,2021-01-03 01:00:00,0.13772721,32611.14,0.0040780585670172
2021-01-03 02:00:00,2021-01-03 02:00:00,0.1381133,32765.99,0.0047483773949639
2021-01-03 03:00:00,2021-01-03 03:00:00,0.13678907,32601.49,-0.0050204495576052
2021-01-03 04:00:00,2021-01-03 04:00:00,0.1350951,33256.95,0.020105216049941
2021-01-03 05:00:00,2021-01-03 05:00:00,0.13765412,33823.58,0.017037942445113
2021-01-03 06:00:00,2021-01-03 06:00:00,0.14006527,34016.77,0.0057116958051157
2021-01-03 07:00:00,2021-01-03 07:00:00,0.13521858,34472.24,0.013389572260976
2021-01-03 08:00:00,2021-01-03 08:00:00,0.13200414,34420.0,-0.0015154222644074
2021-01-03 09:00:00,2021-01-03 09:00:00,0.13226383,34239.04,-0.0052574084834398
2021-01-03 10:00:00,2021-01-03 10:00:00,0.13036819,33949.75,-0.0084491270783293
2021-01-03 11:00:00,2021-01-03 11:00:00,0.1295015,34464.06,0.0151491542647588
2021-01-03 12:00:00,2021-01-03 12:00:00,0.13161809,34156.94,-0.0089113122481795
2021-01-03 13:00:00,2021-01-03 13:00:00,0.13307199,33939.02,-0.0063799626078918
2021-01-03 14:00:00,2021-01-03 14:00:00,0.13291184,33903.75,-0.001039216807085
2021-01-03 15:00:00,2021-01-03 15:00:00,0.13573889,33540.46,-0.0107153338495004
2021-01-03 16:00:00,2021-01-03 16:00:00,0.13625738,32742.51,-0.023790669537627
2021-01-03 17:00:00,2021-01-03 17:00:00,0.13683962,32979.98,0.0072526510643198
2021-01-03 18:00:00,2021-01-03 18:00:00,0.13836428,32831.08,-0.0045148602273258
2021-01-03 19:00:00,2021-01-03 19:00:00,0.13977493,32823.72,-0.0002241778217469
2021-01-03 20:00:00,2021-01-03 20:00:00,0.13622136,33779.07,0.0291054761617512
2021-01-03 21:00:00,2021-01-03 21:00:00,0.13593475,33625.0,-0.0045611084023331
2021-01-03 22:00:00,2021-01-03 22:00:00,0.13427898,33209.99,-0.0123423048327138
2021-01-03 23:00:00,2021-01-03 23:00:00,0.13462906,33054.53,-0.0046811215540865
2021-01-04 00:00:00,2021-01-04 00:00:00,0.13517018,32907.4,-0.0044511296938724
2021-01-04 01:00:00,2021-01-04 01:00:00,0.133426,33242.22,0.0101746111816793
2021-01-04 02:00:00,2021-01-04 02:00:00,0.13222437,33502.99,0.0078445422718458
2021-01-04 03:00:00,2021-01-04 03:00:00,0.13232128,33562.22,0.0017679019096505
2021-01-04 04:00:00,2021-01-04 04:00:00,0.13384442,33324.51,-0.0070826661645146
2021-01-04 05:00:00,2021-01-04 05:00:00,0.13593907,32922.5,-0.0120634932066518
2021-01-04 06:00:00,2021-01-04 06:00:00,0.13444966,33265.89,0.0104302528665805
2021-01-04 07:00:00,2021-01-04 07:00:00,0.14095305,32186.58,-0.0324449458589564
2021-01-04 08:00:00,2021-01-04 08:00:00,0.14242906,32129.54,-0.0017721671578652
2021-01-04 09:00:00,2021-01-04 09:00:00,0.14853452,31179.96,-0.0295547337434648
2021-01-04 10:00:00,2021-01-04 10:00:00,0.14806668,30279.53,-0.028878484770346
2021-01-04 11:00:00,2021-01-04 11:00:00,0.14663662,30760.39,0.0158806956382744
2021-01-04 12:00:00,2021-01-04 12:00:00,0.12448724,31225.59,0.0151233453151926
2021-01-04 13:00:00,2021-01-04 13:00:00,0.12223889,31424.22,0.0063611288049321
2021-01-04 14:00:00,2021-01-04 14:00:00,0.12601214,32107.19,0.0217338727898417
2021-01-04 15:00:00,2021-01-04 15:00:00,0.12321057,31758.38,-0.0108639217570892
2021-01-04 16:00:00,2021-01-04 16:00:00,0.12039653,31341.04,-0.0131410985069138
2021-01-04 17:00:00,2021-01-04 17:00:00,0.12199151,31063.98,-0.0088401661208434
2021-01-04 18:00:00,2021-01-04 18:00:00,0.12147171,31195.83,0.0042444657767615
2021-01-04 19:00:00,2021-01-04 19:00:00,0.11925037,31689.27,0.0158174986849204
2021-01-04 20:00:00,2021-01-04 20:00:00,0.12047947,31277.46,-0.0129952504428155
2021-01-04 21:00:00,2021-01-04 21:00:00,0.12125461,31048.19,-0.0073301988077036
2021-01-04 22:00:00,2021-01-04 22:00:00,0.12098935,31366.58,0.010254704058433
2021-01-04 23:00:00,2021-01-04 23:00:00,0.12330484,32031.07,0.0211846493943552
2021-01-05 00:00:00,2021-01-05 00:00:00,0.12353751,32496.46,0.0145293304282372
2021-01-05 01:00:00,2021-01-05 01:00:00,0.12036678,32837.22,0.0104860652514151
2021-01-05 02:00:00,2021-01-05 02:00:00,0.12255322,32358.11,-0.0145904555866788
2021-01-05 03:00:00,2021-01-05 03:00:00,0.12138067,31217.58,-0.0352471142474019
2021-01-05 04:00:00,2021-01-05 04:00:00,0.11848308,30891.77,-0.0104367474993257
2021-01-05 05:00:00,2021-01-05 05:00:00,0.1184875,30460.81,-0.013950641222565
