start_time,datetime,range_0d_1d,range_10y_inf,range_12m_18m,range_18m_2y,range_1d_1w,range_1m_3m,range_1w_1m,range_2y_3y,range_3m_6m,range_3y_5y,range_5y_7y,range_6m_12m,range_7y_10y,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,28704.36848631,0.01888953,9252.6387621,6241.43948341,27083.49559051,15144.62223258,21488.7320093,6945.3666824,10879.16342708,4756.21695739,490.52390138,8367.83237709,125.69324718,28990.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,28828.05569864,0.01888956,9251.79600548,6243.8131796,27093.73686756,15145.17819994,21492.19554923,6943.76636802,10870.86984885,4757.65476464,490.51396716,8367.98396226,125.70248865,29411.0,0.0145222490513969
2021-01-01 02:00:00,2021-01-01 02:00:00,28844.47031729,0.01888957,9251.52935603,6244.38678065,27110.56839967,15148.58368944,21497.06468835,6942.48870896,10871.10739972,4759.17717505,490.51144213,8368.07123229,125.69921725,29218.0,-0.006562170616436
2021-01-01 03:00:00,2021-01-01 03:00:00,28861.32074957,0.01888958,9251.35040469,6244.87788183,27127.99205416,15150.205754,21501.09020763,6941.46388077,10871.1019977,4760.33988403,490.51143039,8368.17826015,125.70217497,29303.0,0.0029091655828599
2021-01-01 04:00:00,2021-01-01 04:00:00,28867.61433977,0.01888987,9251.00497655,6245.54743758,27153.76449013,15153.76269874,21505.92387918,6939.19239754,10871.13684368,4763.34572869,490.48720679,8368.33030415,125.72828797,29229.5,-0.0025082756031805
2021-01-01 05:00:00,2021-01-01 05:00:00,28863.82385707,0.01888988,9250.88463282,6245.72830398,27163.20825735,15157.88830504,21510.19230633,6938.97848897,10871.31672374,4763.59399789,490.48663158,8368.41309693,125.73077615,29204.5,-0.0008553002959339
2021-01-01 06:00:00,2021-01-01 06:00:00,28866.61548256,0.01889739,9249.76400442,6246.19682433,27173.71853162,15174.62719288,21528.54875887,6934.12382436,10872.36482071,4770.41048499,490.46711535,8369.1519514,125.7604896,29175.5,-0.000992997654471
2021-01-01 07:00:00,2021-01-01 07:00:00,28857.77950892,0.01890491,9249.46512462,6246.55074237,27188.25229064,15178.6193356,21533.36175612,6933.93165543,10872.72442463,4770.57779731,490.46488645,8369.38377685,125.76723522,29097.5,-0.0026734760329728
2021-01-01 08:00:00,2021-01-01 08:00:00,28857.11379541,0.01891994,9243.64253471,6261.00454869,27203.25872082,15181.74402583,21537.43630954,6933.11502855,10872.71456959,4771.60776214,490.46240338,8369.4207297,125.77869291,29045.0,-0.0018042787181029
2021-01-01 09:00:00,2021-01-01 09:00:00,28875.50663517,0.01892745,9243.46794004,6261.91098858,27227.60199442,15184.1478714,21542.91558892,6931.99814354,10872.94620652,4772.87847771,490.45531078,8369.52465385,125.78896821,29243.5,0.0068342227577895
2021-01-01 10:00:00,2021-01-01 10:00:00,29095.37307824,0.01892764,9243.12394499,6262.28389145,27253.67206264,15185.9527976,21539.02281264,6931.78293204,10873.06531546,4773.12735909,490.44628525,8369.64916146,125.79777495,29270.5,0.0009232820968763
2021-01-01 11:00:00,2021-01-01 11:00:00,29107.61224794,0.01892764,9242.73178566,6262.76772034,27267.61357356,15187.39745973,21542.70761304,6929.33602629,10873.277028,4776.41458706,490.43702372,8369.75844133,125.80767333,29343.5,0.0024939785791155
2021-01-01 12:00:00,2021-01-01 12:00:00,29124.48649157,0.01893517,9242.31957739,6263.64761148,27276.68724486,15190.98577783,21549.83136585,6928.71125152,10873.27317158,4777.08389698,490.40911724,8369.8505422,125.84279562,29276.0,-0.0023003390870209
2021-01-01 13:00:00,2021-01-01 13:00:00,29144.03260813,0.01893533,9241.83238715,6264.57247735,27290.8228313,15199.22735712,21562.30001797,6921.80097456,10873.28478692,4785.92178148,490.34659473,8369.37843954,125.92091585,29494.5,0.0074634512911599
2021-01-01 14:00:00,2021-01-01 14:00:00,29192.93782013,0.01893559,9241.40913104,6265.38130671,27312.55375596,15200.22365648,21565.59456366,6914.75430307,10873.36808615,4793.64033798,490.34189089,8369.46089469,125.92654455,29360.0,-0.0045601722355015
2021-01-01 15:00:00,2021-01-01 15:00:00,29206.85295637,0.01894316,9240.88123338,6266.11478249,27331.38570258,15216.69117654,21581.70523825,6911.87839656,10873.36201392,4797.27825724,490.32589931,8369.47251813,125.94765932,29226.0,-0.0045640326975476
2021-01-01 16:00:00,2021-01-01 16:00:00,29241.15518532,0.01895068,9240.07540602,6259.51329018,27355.41254544,15220.11030745,21585.88773669,6916.03216414,10873.54346412,4804.34301584,490.28512578,8369.65831186,125.99982964,29325.0,0.003387394785465
2021-01-01 17:00:00,2021-01-01 17:00:00,29266.16738148,0.0189582,9239.42358967,6260.35389435,27394.47453226,15222.09108094,21594.47807185,6912.38688646,10874.41633324,4809.46260476,490.25129179,8369.51176792,126.01644687,29087.5,-0.0080988917306052
2021-01-01 18:00:00,2021-01-01 18:00:00,29262.48519879,0.01895822,9233.18547437,6261.17549035,27403.08319855,15223.43969846,21597.36718393,6911.8223222,10874.58056896,4810.01999534,490.20851075,8372.46463167,126.06668434,29074.5,-0.0004469273743016
2021-01-01 19:00:00,2021-01-01 19:00:00,29267.48897348,0.01895823,9233.01830369,6261.63911945,27415.59175784,15226.88971452,21601.58708006,6910.87712507,10874.74096724,4811.01315842,490.20158108,8372.5696944,126.07369383,29038.5,-0.001238198421297
2021-01-01 20:00:00,2021-01-01 20:00:00,29281.33754659,0.01895856,9232.69674379,6262.36959195,27427.09963983,15231.71490117,21606.83156251,6908.75325796,10874.95184719,4813.65231534,490.15005437,8372.67407186,126.13540329,29230.0,0.0065946932520619
2021-01-01 21:00:00,2021-01-01 21:00:00,29285.95864083,0.01895858,9232.18510556,6262.39759082,27448.95617083,15235.21052347,21610.89748816,6907.46774866,10874.99537708,4815.45829668,490.07221872,8372.7729696,126.22536872,29180.0,-0.0017105713308245
2021-01-01 22:00:00,2021-01-01 22:00:00,29298.57814776,0.01896672,9231.16806166,6263.19795011,27460.48367502,15237.07007336,21613.40280168,6905.8738032,10875.13643685,4817.51963598,489.96788604,8373.18147385,126.34921768,29262.5,0.0028272789581904
2021-01-01 23:00:00,2021-01-01 23:00:00,29313.98683789,0.0189668,9230.69704829,6264.21579324,27481.586357,15238.79971956,21616.79242237,6904.87420899,10869.0881915,4818.72911406,489.84933407,8373.63519304,126.48662923,29325.0,0.0021358393848782
2021-01-02 00:00:00,2021-01-02 00:00:00,29303.68020777,0.01897462,9230.28204186,6264.87174818,27490.76301729,15242.0498934,21622.07360199,6903.29970888,10869.4771754,4820.80686954,489.88616128,8373.88291718,126.52297761,29196.5,-0.0043819266837169
2021-01-02 01:00:00,2021-01-02 01:00:00,29321.49832159,0.01897463,9229.91309533,6256.01891112,27522.42430185,15246.32451297,21633.47040971,6906.82209687,10869.5238088,4828.95732702,489.88158034,8374.04061581,126.52410872,29384.0,0.0064220026373025
2021-01-02 02:00:00,2021-01-02 02:00:00,29303.42690842,0.01898996,9229.54615951,6256.38099976,27614.90660676,15248.76379452,21635.70591785,6900.03762712,10869.83694772,4837.71353063,489.87057248,8374.27269655,126.54522301,29332.0,-0.0017696705690171
