start_time,datetime,reserve,reserve_usd,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,15820.88204803,459683560.8204166,29015.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,15829.59935253,466360685.4545995,29448.4,0.0149371014992245
2021-01-01 02:00:00,2021-01-01 02:00:00,15829.88807828,464737496.3133497,29237.06,-0.0071766208011301
2021-01-01 03:00:00,2021-01-01 03:00:00,15830.15127965,464161682.8345633,29302.11,0.0022249159115177
2021-01-01 04:00:00,2021-01-01 04:00:00,15830.32135898,463256150.65998775,29237.07,-0.0022196353777936
2021-01-01 05:00:00,2021-01-01 05:00:00,15830.37413256,462050216.2860099,29213.8,-0.0007959073874366
2021-01-01 06:00:00,2021-01-01 06:00:00,15830.9086648,462421668.0183681,29197.3,-0.000564801566383
2021-01-01 07:00:00,2021-01-01 07:00:00,15832.9301699,461239246.8507458,29107.71,-0.003068434410031
2021-01-01 08:00:00,2021-01-01 08:00:00,15832.33577517,459460033.1370569,29025.89,-0.0028109390948308
2021-01-01 09:00:00,2021-01-01 09:00:00,15832.70557243,463075342.7111905,29229.6,0.007018217184727
2021-01-01 10:00:00,2021-01-01 10:00:00,15833.08496842,464369558.6557195,29259.29,0.0010157511563622
2021-01-01 11:00:00,2021-01-01 11:00:00,15834.15646288,464333573.2062535,29341.99,0.0028264527266383
2021-01-01 12:00:00,2021-01-01 12:00:00,15804.44407864,462426836.6544565,29257.82,-0.0028685852595546
2021-01-01 13:00:00,2021-01-01 13:00:00,15804.83713483,466695887.3909695,29493.66,0.0080607509376979
2021-01-01 14:00:00,2021-01-01 14:00:00,15804.43173854,464129133.7227912,29354.58,-0.0047155897233506
2021-01-01 15:00:00,2021-01-01 15:00:00,15804.7822863,461403262.3204756,29210.84,-0.0048966805179976
2021-01-01 16:00:00,2021-01-01 16:00:00,15805.36660966,464477572.67135394,29324.21,0.0038810934570865
2021-01-01 17:00:00,2021-01-01 17:00:00,15805.71083305,460928405.393972,29099.0,-0.0076800022916218
2021-01-01 18:00:00,2021-01-01 18:00:00,15805.57376384,460029262.9978955,29086.62,-0.0004254441733393
2021-01-01 19:00:00,2021-01-01 19:00:00,15805.8433859,460845376.1566433,29048.47,-0.0013115996289702
2021-01-01 20:00:00,2021-01-01 20:00:00,15805.41076601,463170642.8050049,29214.14,0.0057032263661389
2021-01-01 21:00:00,2021-01-01 21:00:00,15805.53843237,462589246.240644,29177.77,-0.0012449450848116
2021-01-01 22:00:00,2021-01-01 22:00:00,15805.64997423,463567406.9940876,29270.89,0.0031914707669571
2021-01-01 23:00:00,2021-01-01 23:00:00,15805.80644802,464570891.9464528,29337.16,0.002264024086729
2021-01-02 00:00:00,2021-01-02 00:00:00,15779.43179833,460666228.391737,29215.89,-0.0041336652900281
2021-01-02 01:00:00,2021-01-02 01:00:00,15780.00563874,464486080.0272455,29380.0,0.0056171487502179
2021-01-02 02:00:00,2021-01-02 02:00:00,15780.02066649,464314676.8720309,29347.02,-0.0011225323349216
2021-01-02 03:00:00,2021-01-02 03:00:00,15784.62228783,464003392.8105797,29364.67,0.0006014239265177
2021-01-02 04:00:00,2021-01-02 04:00:00,15784.97505345,464072837.1008518,29363.03,-5.584942721981179e-05
2021-01-02 05:00:00,2021-01-02 05:00:00,15785.07280595,467102534.3554868,29628.65,0.0090460691556697
2021-01-02 06:00:00,2021-01-02 06:00:00,15785.5148385,469403360.0923227,29733.03,0.0035229414772524
2021-01-02 07:00:00,2021-01-02 07:00:00,15785.59188955,470542472.748098,29777.33,0.0014899255138141
2021-01-02 08:00:00,2021-01-02 08:00:00,15784.33540628,471231306.4338832,29870.0,0.0031120990364146
2021-01-02 09:00:00,2021-01-02 09:00:00,15784.44189896,468801543.1920347,29642.1,-0.0076297288249079
2021-01-02 10:00:00,2021-01-02 10:00:00,15795.26496104,470787539.684306,29708.25,0.0022316232655581
2021-01-02 11:00:00,2021-01-02 11:00:00,15795.79470818,470495488.4543569,29775.52,0.0022643541777116
2021-01-02 12:00:00,2021-01-02 12:00:00,15795.87947262,484933745.01566327,30660.12,0.0297089689785434
2021-01-02 13:00:00,2021-01-02 13:00:00,15796.4855337,494885240.3624461,31616.51,0.031193289523981
2021-01-02 14:00:00,2021-01-02 14:00:00,15772.51926318,494511346.2347593,31335.01,-0.008903576011394
2021-01-02 15:00:00,2021-01-02 15:00:00,15772.62334076,498139179.47830594,31717.01,0.0121908370222316
2021-01-02 16:00:00,2021-01-02 16:00:00,15772.76895406,513334119.9763763,32543.45,0.0260566806265787
2021-01-02 17:00:00,2021-01-02 17:00:00,15772.96972801,519100683.944992,32904.2,0.0110851799670901
2021-01-02 18:00:00,2021-01-02 18:00:00,15772.76883753,519314632.8860471,33100.0,0.0059506081290534
2021-01-02 19:00:00,2021-01-02 19:00:00,15769.31882279,523245202.6683129,33115.41,0.0004655589123867
2021-01-02 20:00:00,2021-01-02 20:00:00,15770.02840225,500212453.55742806,30912.0,-0.0665373009121735
2021-01-02 21:00:00,2021-01-02 21:00:00,15750.40594008,498257005.3820099,31722.66,0.0262247670807453
2021-01-02 22:00:00,2021-01-02 22:00:00,15749.4265399,506973380.7036311,32171.14,0.0141375281896285
2021-01-02 23:00:00,2021-01-02 23:00:00,15749.82214432,506763417.9811045,32199.91,0.0008942797799518
2021-01-03 00:00:00,2021-01-03 00:00:00,15760.03799245,511486000.7318772,32478.69,0.008657788173942
2021-01-03 01:00:00,2021-01-03 01:00:00,15768.43402716,515252388.1675208,32611.14,0.0040780585670172
2021-01-03 02:00:00,2021-01-03 02:00:00,15769.74922673,516845865.1811442,32765.99,0.0047483773949639
2021-01-03 03:00:00,2021-01-03 03:00:00,15770.00915124,515583017.9521714,32601.49,-0.0050204495576052
2021-01-03 04:00:00,2021-01-03 04:00:00,15770.65828425,520861726.9626367,33256.95,0.020105216049941
