start_time,date,funding_rates,close,change
2021-01-01,2021-01-01,0.0286498,29337.16,
2021-01-02,2021-01-02,0.07135565,32199.91,0.0975810201123763
2021-01-03,2021-01-03,0.12205606,33054.53,0.0265410679719291
2021-01-04,2021-01-04,0.13498102,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,0.07545928,33999.52,0.0614543941242049
2021-01-06,2021-01-06,0.14723436,36823.68,0.083064702089912
2021-01-07,2021-01-07,0.14178688,39498.92,0.0726499904409336
2021-01-08,2021-01-08,0.11901409,40637.23,0.0288187626395861
2021-01-09,2021-01-09,0.11268614,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,0.11143989,38221.67,-0.047697032392832
2021-01-11,2021-01-11,0.06960056,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,0.04500101,34056.9,-0.038170538905109
2021-01-13,2021-01-13,0.04991114,37421.07,0.0987808637897165
2021-01-14,2021-01-14,0.0732052,39163.31,0.0465577280393103
2021-01-15,2021-01-15,0.07108814,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,0.045507,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,0.02626257,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,0.07414731,36686.86,0.0227776379202242
2021-01-19,2021-01-19,0.14697097,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,0.03616702,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,0.04165337,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,0.01008644,32986.34,0.0682115299982479
2021-01-23,2021-01-23,0.01035531,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,0.02578807,32275.63,0.0058950062456213
2021-01-25,2021-01-25,0.04838661,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,0.01003489,32474.14,0.0068351890388942
2021-01-27,2021-01-27,0.01,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,0.01524837,33399.75,0.0993616413394669
2021-01-29,2021-01-29,0.1005944,34269.35,0.0260361230248729
2021-01-30,2021-01-30,0.04144031,34289.85,0.0005982021835839
2021-01-31,2021-01-31,0.04128088,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,0.04410328,33546.09,0.0126751596394516
2021-02-02,2021-02-02,0.08267592,35504.06,0.0583665637336572
2021-02-03,2021-02-03,0.06958561,37652.51,0.0605127976913064
2021-02-04,2021-02-04,0.06973769,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,0.07232637,38362.65,0.0374752582218156
2021-02-06,2021-02-06,0.09977254,39249.54,0.0231185801815045
2021-02-07,2021-02-07,0.09467498,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,0.13310043,46451.32,0.195681255107885
2021-02-09,2021-02-09,0.17697462,46492.54,0.0008873805954277
2021-02-10,2021-02-10,0.14368866,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,0.11978925,48060.21,0.0715765886287624
2021-02-12,2021-02-12,0.13038573,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,0.11320021,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,0.13469933,48655.21,0.0303587636341149
2021-02-15,2021-02-15,0.07318596,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,0.12320869,49197.94,0.0253505616113516
2021-02-17,2021-02-17,0.12378531,52194.62,0.0609106804065373
2021-02-18,2021-02-18,0.13600988,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,0.11898304,56004.1,0.0849365649161075
2021-02-20,2021-02-20,0.12585014,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,0.11645257,57487.43,0.0280774806987662
2021-02-22,2021-02-22,0.08468316,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,0.02063733,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,0.0340719,49702.03,0.0157782546494993
2021-02-25,2021-02-25,0.02124573,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,0.01294222,46313.13,-0.0164843997700543
2021-02-27,2021-02-27,0.02823111,46102.63,-0.0045451473480631
2021-02-28,2021-02-28,0.02085887,45163.36,-0.0203734580868812
2021-03-01,2021-03-01,0.0102129,49592.7,0.0980737482773645
2021-03-02,2021-03-02,0.01269545,48450.57,-0.023030204042127
2021-03-03,2021-03-03,0.01531867,50373.75,0.0396936506629332
2021-03-04,2021-03-04,0.01,48385.77,-0.0394646020993076
2021-03-05,2021-03-05,0.01,48770.57,0.0079527513977766
2021-03-06,2021-03-06,0.01,48908.21,0.0028221937943313
2021-03-07,2021-03-07,0.01288063,50995.27,0.0426729990731618
2021-03-08,2021-03-08,0.02469454,52429.43,0.0281233926205313
2021-03-09,2021-03-09,0.0503144,54917.78,0.0474609393998752
2021-03-10,2021-03-10,0.05758723,55947.98,0.018758952018818
2021-03-11,2021-03-11,0.09846631,57844.52,0.0338982747902603
2021-03-12,2021-03-12,0.06604346,57291.03,-0.0095685814317414
2021-03-13,2021-03-13,0.06271975,61267.41,0.0694066767520151
2021-03-14,2021-03-14,0.09608697,59037.12,-0.0364025507198688
2021-03-15,2021-03-15,0.05820957,55646.61,-0.0574301388685627
2021-03-16,2021-03-16,0.03619871,56954.19,0.0234979273670039
2021-03-17,2021-03-17,0.02494552,58959.0,0.0352003952650366
2021-03-18,2021-03-18,0.03694611,57700.01,-0.0213536525382044
2021-03-19,2021-03-19,0.02891197,58089.11,0.0067434996978337
2021-03-20,2021-03-20,0.05137785,58145.61,0.0009726435815593
2021-03-21,2021-03-21,0.02891506,57415.18,-0.0125620833627853
2021-03-22,2021-03-22,0.05040377,54129.56,-0.0572256326636962
2021-03-23,2021-03-23,0.03295433,54400.0,0.0049961610624582
2021-03-24,2021-03-24,0.03059453,52311.54,-0.0383908088235294
2021-03-25,2021-03-25,0.01133972,51325.21,-0.0188549218776583
2021-03-26,2021-03-26,0.01055895,55030.0,0.0721826564372556
2021-03-27,2021-03-27,0.01,55828.0,0.014501181173905
2021-03-28,2021-03-28,0.01,55805.08,-0.0004105466790856
2021-03-29,2021-03-29,0.01683428,57677.64,0.0335553680776015
2021-03-30,2021-03-30,0.058789,58794.16,0.019357934894701
2021-03-31,2021-03-31,0.07699675,58807.24,0.0002224710753584
2021-04-01,2021-04-01,0.0800812,58794.01,-0.000224972299329
2021-04-02,2021-04-02,0.09343141,59031.36,0.0040369758756035
2021-04-03,2021-04-03,0.08853206,57134.65,-0.0321305489150173
2021-04-04,2021-04-04,0.04631494,58234.61,0.0192520650778467
2021-04-05,2021-04-05,0.05232029,59243.39,0.0173226883463286
2021-04-06,2021-04-06,0.07548578,58059.99,-0.0199752242402063
2021-04-07,2021-04-07,0.06061752,56018.18,-0.0351672468424468
2021-04-08,2021-04-08,0.02987583,58122.26,0.0375606633417937
2021-04-09,2021-04-09,0.02099129,58176.03,0.000925118878722
2021-04-10,2021-04-10,0.10355551,59832.43,0.028472207539772
2021-04-11,2021-04-11,0.10048458,60090.2,0.004308198747736
2021-04-12,2021-04-12,0.10132387,59911.18,-0.0029791879541088
2021-04-13,2021-04-13,0.1057919,63649.71,0.0624012079214597
2021-04-14,2021-04-14,0.09852633,63019.1,-0.0099075078268228
2021-04-15,2021-04-15,0.09670781,63232.55,0.0033870683649879
2021-04-16,2021-04-16,0.10803924,61424.67,-0.0285909709477161
2021-04-17,2021-04-17,0.0691991,60090.14,-0.0217262868485903
2021-04-18,2021-04-18,0.04125714,56140.05,-0.0657360758354032
2021-04-19,2021-04-19,0.01313844,55634.39,-0.0090071170225178
2021-04-20,2021-04-20,0.01,56410.56,0.0139512628789495
2021-04-21,2021-04-21,0.01,53800.0,-0.0462778600318805
2021-04-22,2021-04-22,0.01,51714.61,-0.0387618959107806
2021-04-23,2021-04-23,0.02005472,51122.62,-0.011447248659518
2021-04-24,2021-04-24,0.02044642,50092.4,-0.0201519405695561
2021-04-25,2021-04-25,0.02129088,49063.94,-0.020531258234782
2021-04-26,2021-04-26,0.01,53984.33,0.1002852604173247
2021-04-27,2021-04-27,0.01,55006.25,0.0189299376319016
2021-04-28,2021-04-28,0.01,54861.77,-0.0026266106124304
2021-04-29,2021-04-29,0.0135725,53558.8,-0.0237500539993513
2021-04-30,2021-04-30,0.01215089,57684.16,0.0770248773310828
2021-05-01,2021-05-01,0.02190877,57836.34,0.0026381592451028
2021-05-02,2021-05-02,0.04335196,56630.33,-0.0208521147776639
2021-05-03,2021-05-03,0.05138939,57214.83,0.010321324279763
2021-05-04,2021-05-04,0.03911802,53263.32,-0.0690644366154719
2021-05-05,2021-05-05,0.04194566,57497.77,0.0795003015208213
2021-05-06,2021-05-06,0.07489403,56435.35,-0.0184775861742115
2021-05-07,2021-05-07,0.04590392,57350.88,0.0162226335089619
2021-05-08,2021-05-08,0.04943532,58924.98,0.0274468325507821
2021-05-09,2021-05-09,0.05770265,58292.53,-0.0107331389845189
2021-05-10,2021-05-10,0.07881369,55869.67,-0.0415638161527729
2021-05-11,2021-05-11,0.0373474,56710.43,0.0150485943446596
2021-05-12,2021-05-12,0.03605213,49595.76,-0.1254561109834645
2021-05-13,2021-05-13,0.01845656,49707.9,0.0022610803826779
2021-05-14,2021-05-14,0.02642819,49873.27,0.0033268353722446
2021-05-15,2021-05-15,0.02045079,46793.41,-0.0617537209811988
2021-05-16,2021-05-16,0.02198923,46429.28,-0.0077816513051731
2021-05-17,2021-05-17,0.0570024,43566.18,-0.0616658281153617
2021-05-18,2021-05-18,0.02174562,42882.53,-0.0156922181380144
2021-05-19,2021-05-19,0.00293476,36689.14,-0.1444268796640496
2021-05-20,2021-05-20,0.00991887,40500.3,0.1038770600782685
2021-05-21,2021-05-21,0.00117902,37211.02,-0.0812161885220604
2021-05-22,2021-05-22,0.00017088,37432.58,0.0059541501415443
2021-05-23,2021-05-23,-0.00070957,34651.6,-0.0742930356390075
2021-05-24,2021-05-24,-0.00677141,38779.66,0.1191304297637052
2021-05-25,2021-05-25,0.01,38326.84,-0.0116767398166979
2021-05-26,2021-05-26,0.01,39224.2,0.023413357323484
2021-05-27,2021-05-27,0.01,38527.38,-0.0177650532069487
2021-05-28,2021-05-28,0.01,35670.99,-0.074139222547705
2021-05-29,2021-05-29,0.01131664,34611.94,-0.0296893918559589
2021-05-30,2021-05-30,0.01,35651.81,0.030043678568725
2021-05-31,2021-05-31,0.01,37243.38,0.0446420532365678
2021-06-01,2021-06-01,0.01,36693.41,-0.0147669196512237
2021-06-02,2021-06-02,0.01,37569.99,0.023889303283614
2021-06-03,2021-06-03,0.01,39247.4,0.0446476030470064
2021-06-04,2021-06-04,0.01118356,36828.03,-0.0616440834297304
2021-06-05,2021-06-05,0.01,35498.62,-0.0360977766119989
2021-06-06,2021-06-06,0.01,35801.71,0.0085380783816384
2021-06-07,2021-06-07,0.01,33550.96,-0.06286710886156
2021-06-08,2021-06-08,0.00589783,33372.58,-0.005316688404743
2021-06-09,2021-06-09,-0.00531943,37368.45,0.1197351238651609
2021-06-10,2021-06-10,0.0036332,36669.66,-0.0186999995985917
2021-06-11,2021-06-11,0.00138256,37300.42,0.017201141215926
2021-06-12,2021-06-12,0.006157,35537.05,-0.0472748028038289
2021-06-13,2021-06-13,-0.00234597,38993.65,0.0972674996939813
2021-06-14,2021-06-14,0.00687944,40489.1,0.0383511161432694
2021-06-15,2021-06-15,0.00993871,40132.86,-0.0087984173518304
2021-06-16,2021-06-16,0.01,38344.97,-0.0445492795679151
2021-06-17,2021-06-17,0.00993641,38060.71,-0.0074132278627419
2021-06-18,2021-06-18,0.00427928,35811.41,-0.0590976889290818
2021-06-19,2021-06-19,0.0011279,35483.0,-0.0091705408974402
2021-06-20,2021-06-20,-0.00299523,35588.64,0.002977200349463
2021-06-21,2021-06-21,-0.00460543,31606.0,-0.1119076199596275
2021-06-22,2021-06-22,-0.00792256,32496.0,0.0281592102765297
2021-06-23,2021-06-23,-0.01194267,33649.0,0.0354812900049237
2021-06-24,2021-06-24,-0.00647505,34644.64,0.0295889922434544
