start_time,datetime,funding_rates,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,-0.0062,28990.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,-0.0062,29411.0,0.0145222490513969
2021-01-01 02:00:00,2021-01-01 02:00:00,-0.0062,29218.0,-0.006562170616436
2021-01-01 03:00:00,2021-01-01 03:00:00,-0.0062,29303.0,0.0029091655828599
2021-01-01 04:00:00,2021-01-01 04:00:00,-0.0062,29229.5,-0.0025082756031805
2021-01-01 05:00:00,2021-01-01 05:00:00,-0.0062,29204.5,-0.0008553002959339
2021-01-01 06:00:00,2021-01-01 06:00:00,-0.0062,29175.5,-0.000992997654471
2021-01-01 07:00:00,2021-01-01 07:00:00,-0.0062,29097.5,-0.0026734760329728
2021-01-01 08:00:00,2021-01-01 08:00:00,0.01,29045.0,-0.0018042787181029
2021-01-01 09:00:00,2021-01-01 09:00:00,0.01,29243.5,0.0068342227577895
2021-01-01 10:00:00,2021-01-01 10:00:00,0.01,29270.5,0.0009232820968763
2021-01-01 11:00:00,2021-01-01 11:00:00,0.01,29343.5,0.0024939785791155
2021-01-01 12:00:00,2021-01-01 12:00:00,0.01,29276.0,-0.0023003390870209
2021-01-01 13:00:00,2021-01-01 13:00:00,0.01,29494.5,0.0074634512911599
2021-01-01 14:00:00,2021-01-01 14:00:00,0.01,29360.0,-0.0045601722355015
2021-01-01 15:00:00,2021-01-01 15:00:00,0.01,29226.0,-0.0045640326975476
2021-01-01 16:00:00,2021-01-01 16:00:00,0.01,29325.0,0.003387394785465
2021-01-01 17:00:00,2021-01-01 17:00:00,0.01,29087.5,-0.0080988917306052
2021-01-01 18:00:00,2021-01-01 18:00:00,0.01,29074.5,-0.0004469273743016
2021-01-01 19:00:00,2021-01-01 19:00:00,0.01,29038.5,-0.001238198421297
2021-01-01 20:00:00,2021-01-01 20:00:00,0.01,29230.0,0.0065946932520619
2021-01-01 21:00:00,2021-01-01 21:00:00,0.01,29180.0,-0.0017105713308245
2021-01-01 22:00:00,2021-01-01 22:00:00,0.01,29262.5,0.0028272789581904
2021-01-01 23:00:00,2021-01-01 23:00:00,0.01,29325.0,0.0021358393848782
2021-01-02 00:00:00,2021-01-02 00:00:00,0.01,29196.5,-0.0043819266837169
