start_time,date,nvt_golden_cross,close,change
2021-01-01,2021-01-01,1.0449468570101037,29337.16,
2021-01-02,2021-01-02,1.232057912483686,32199.91,0.0975810201123763
2021-01-03,2021-01-03,1.3762968014463968,33054.53,0.0265410679719291
2021-01-04,2021-01-04,1.603958404477153,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,1.7405831842928488,33999.52,0.0614543941242049
2021-01-06,2021-01-06,2.1063864433072856,36823.68,0.083064702089912
2021-01-07,2021-01-07,2.0755672932465377,39498.92,0.0726499904409336
2021-01-08,2021-01-08,2.0029728879247326,40637.23,0.0288187626395861
2021-01-09,2021-01-09,2.036481369552209,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,2.286045049496954,38221.67,-0.047697032392832
2021-01-11,2021-01-11,1.9974373866022337,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,1.973781955753932,34056.9,-0.038170538905109
2021-01-13,2021-01-13,2.1604317001924818,37421.07,0.0987808637897165
2021-01-14,2021-01-14,2.1836239541331013,39163.31,0.0465577280393103
2021-01-15,2021-01-15,2.314657438247204,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,2.324051057965219,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,2.755274180530481,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,2.924305542507052,36686.86,0.0227776379202242
2021-01-19,2021-01-19,2.6358723667076505,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,2.2375032003689586,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,2.1297976165393533,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,2.07993075772094,32986.34,0.0682115299982479
2021-01-23,2021-01-23,1.759071885507654,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,1.6055374849574822,32275.63,0.0058950062456213
2021-01-25,2021-01-25,1.036656981782587,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,0.6583215726473147,32474.14,0.0068351890388942
2021-01-27,2021-01-27,-0.1317898740278886,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,-0.5349484394255178,33399.75,0.0993616413394669
2021-01-29,2021-01-29,-0.7093054811057212,34269.35,0.0260361230248729
2021-01-30,2021-01-30,-0.7769658734401369,34289.85,0.0005982021835839
2021-01-31,2021-01-31,-0.5326341103889047,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,-0.5025661753361025,33546.09,0.0126751596394516
2021-02-02,2021-02-02,-0.7028805440719609,35504.06,0.0583665637336572
2021-02-03,2021-02-03,-0.972998254263345,37652.51,0.0605127976913064
2021-02-04,2021-02-04,-0.7846129562536739,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,-0.8052646212185548,38362.65,0.0374752582218156
2021-02-06,2021-02-06,-0.6804181462127867,39249.54,0.0231185801815045
2021-02-07,2021-02-07,-0.4788123113766817,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,0.039645611320488,46451.32,0.195681255107885
2021-02-09,2021-02-09,-0.062732361962619,46492.54,0.0008873805954277
2021-02-10,2021-02-10,0.0903884988447707,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,0.1404341592922846,48060.21,0.0715765886287624
2021-02-12,2021-02-12,0.4239756969820403,47361.03,-0.0145480013508055
