start_time,date,mpi,close,change
2021-01-01,2021-01-01,0.1118792422360057,29337.16,
2021-01-02,2021-01-02,0.6024318992052877,32199.91,0.0975810201123763
2021-01-03,2021-01-03,1.515012402093472,33054.53,0.0265410679719291
2021-01-04,2021-01-04,0.5609917119124619,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,0.2827235419489119,33999.52,0.0614543941242049
2021-01-06,2021-01-06,1.2225147089604562,36823.68,0.083064702089912
2021-01-07,2021-01-07,1.5765924521475077,39498.92,0.0726499904409336
2021-01-08,2021-01-08,1.860880669816037,40637.23,0.0288187626395861
2021-01-09,2021-01-09,0.1976050548946556,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,0.5663236868002907,38221.67,-0.047697032392832
2021-01-11,2021-01-11,0.91069387790308,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,1.0385336556615228,34056.9,-0.038170538905109
2021-01-13,2021-01-13,0.0666216193204905,37421.07,0.0987808637897165
2021-01-14,2021-01-14,1.6043214283060416,39163.31,0.0465577280393103
2021-01-15,2021-01-15,0.4154302625827121,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,0.0945826528632333,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,0.7099398225688056,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,0.814761598580034,36686.86,0.0227776379202242
2021-01-19,2021-01-19,0.3151918946335936,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,0.6865075447253272,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,0.0460224448674781,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,0.6593583789577947,32986.34,0.0682115299982479
2021-01-23,2021-01-23,-0.1830348384278729,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,0.0526677003682408,32275.63,0.0058950062456213
2021-01-25,2021-01-25,0.8562135045544922,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,0.4017998132700596,32474.14,0.0068351890388942
2021-01-27,2021-01-27,0.9024375024336188,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,-0.0989373257674404,33399.75,0.0993616413394669
2021-01-29,2021-01-29,0.6334317630391154,34269.35,0.0260361230248729
2021-01-30,2021-01-30,0.1352790415564296,34289.85,0.0005982021835839
2021-01-31,2021-01-31,-0.186201722808765,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,-0.0990703445027673,33546.09,0.0126751596394516
2021-02-02,2021-02-02,0.8766784530019478,35504.06,0.0583665637336572
2021-02-03,2021-02-03,-0.1681376278387504,37652.51,0.0605127976913064
2021-02-04,2021-02-04,0.3377858265355583,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,0.7016049181282417,38362.65,0.0374752582218156
2021-02-06,2021-02-06,-0.0364455671426258,39249.54,0.0231185801815045
2021-02-07,2021-02-07,0.1887385035593208,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,0.68153643193469,46451.32,0.195681255107885
2021-02-09,2021-02-09,0.798175310127946,46492.54,0.0008873805954277
2021-02-10,2021-02-10,0.2379727670730914,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,0.1156364463995187,48060.21,0.0715765886287624
2021-02-12,2021-02-12,-0.0658277691765256,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,0.024628416657332,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,0.7280224647907827,48655.21,0.0303587636341149
2021-02-15,2021-02-15,0.0647904025120521,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,0.3263018221782773,49197.94,0.0253505616113516
2021-02-17,2021-02-17,1.0493748008536072,52194.62,0.0609106804065373
2021-02-18,2021-02-18,0.8341742403918863,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,0.5010000583563066,56004.1,0.0849365649161075
2021-02-20,2021-02-20,1.495838917582154,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,0.6237607706266192,57487.43,0.0280774806987662
2021-02-22,2021-02-22,1.2706997208358923,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,1.4825745509956954,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,1.2692264006506015,49702.03,0.0157782546494993
2021-02-25,2021-02-25,0.0148357778983843,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,-0.0684578207459295,46313.13,-0.0164843997700543
2021-02-27,2021-02-27,0.283826219189416,46102.63,-0.0045451473480631
2021-02-28,2021-02-28,0.5541588677847381,45163.36,-0.0203734580868812
2021-03-01,2021-03-01,0.7986502886350904,49592.7,0.0980737482773645
2021-03-02,2021-03-02,0.0213111189537378,48450.57,-0.023030204042127
2021-03-03,2021-03-03,0.170696464485929,50373.75,0.0396936506629332
2021-03-04,2021-03-04,-0.136992596078285,48385.77,-0.0394646020993076
2021-03-05,2021-03-05,0.5042598628348912,48770.57,0.0079527513977766
2021-03-06,2021-03-06,-0.1733522307612802,48908.21,0.0028221937943313
2021-03-07,2021-03-07,0.1185010672909461,50995.27,0.0426729990731618
2021-03-08,2021-03-08,0.3961758695006984,52429.43,0.0281233926205313
2021-03-09,2021-03-09,0.3083170422778574,54917.78,0.0474609393998752
2021-03-10,2021-03-10,0.1672357307536296,55947.98,0.018758952018818
2021-03-11,2021-03-11,0.2635219411084218,57844.52,0.0338982747902603
2021-03-12,2021-03-12,0.2884425397212358,57291.03,-0.0095685814317414
2021-03-13,2021-03-13,0.0802578893306927,61267.41,0.0694066767520151
2021-03-14,2021-03-14,0.0725130772085596,59037.12,-0.0364025507198688
2021-03-15,2021-03-15,0.7931840013697514,55646.61,-0.0574301388685627
2021-03-16,2021-03-16,0.7488041533845091,56954.19,0.0234979273670039
2021-03-17,2021-03-17,0.2811878326772762,58959.0,0.0352003952650366
2021-03-18,2021-03-18,0.5476218655900423,57700.01,-0.0213536525382044
2021-03-19,2021-03-19,0.0518145418450756,58089.11,0.0067434996978337
2021-03-20,2021-03-20,-0.1982619682448435,58145.61,0.0009726435815593
2021-03-21,2021-03-21,-0.1131728141396663,57415.18,-0.0125620833627853
2021-03-22,2021-03-22,0.1152820823408653,54129.56,-0.0572256326636962
2021-03-23,2021-03-23,0.5654726631445577,54400.0,0.0049961610624582
2021-03-24,2021-03-24,0.7948498093827417,52311.54,-0.0383908088235294
