start_time,date,close,change
2021-01-04,2021-01-04,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,33999.52,0.0614543941242049
2021-01-06,2021-01-06,36823.68,0.083064702089912
2021-01-07,2021-01-07,39498.92,0.0726499904409336
2021-01-08,2021-01-08,40637.23,0.0288187626395861
2021-01-11,2021-01-11,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,34056.9,-0.038170538905109
2021-01-13,2021-01-13,37421.07,0.0987808637897165
2021-01-14,2021-01-14,39163.31,0.0465577280393103
2021-01-15,2021-01-15,36755.24,-0.0614879079424083
2021-01-19,2021-01-19,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,32986.34,0.0682115299982479
2021-01-25,2021-01-25,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,32474.14,0.0068351890388942
2021-01-27,2021-01-27,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,33399.75,0.0993616413394669
2021-01-29,2021-01-29,34269.35,0.0260361230248729
2021-02-01,2021-02-01,33546.09,0.0126751596394516
2021-02-02,2021-02-02,35504.06,0.0583665637336572
2021-02-03,2021-02-03,37652.51,0.0605127976913064
2021-02-04,2021-02-04,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,38362.65,0.0374752582218156
2021-02-08,2021-02-08,46451.32,0.195681255107885
2021-02-09,2021-02-09,46492.54,0.0008873805954277
2021-02-10,2021-02-10,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,48060.21,0.0715765886287624
2021-02-12,2021-02-12,47361.03,-0.0145480013508055
2021-02-16,2021-02-16,49197.94,0.0253505616113516
2021-02-17,2021-02-17,52194.62,0.0609106804065373
2021-02-18,2021-02-18,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,56004.1,0.0849365649161075
2021-02-22,2021-02-22,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,49702.03,0.0157782546494993
2021-02-25,2021-02-25,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,46313.13,-0.0164843997700543
2021-03-01,2021-03-01,49592.7,0.0980737482773645
2021-03-02,2021-03-02,48450.57,-0.023030204042127
2021-03-03,2021-03-03,50373.75,0.0396936506629332
2021-03-04,2021-03-04,48385.77,-0.0394646020993076
2021-03-05,2021-03-05,48770.57,0.0079527513977766
2021-03-08,2021-03-08,52429.43,0.0281233926205313
2021-03-09,2021-03-09,54917.78,0.0474609393998752
2021-03-10,2021-03-10,55947.98,0.018758952018818
2021-03-11,2021-03-11,57844.52,0.0338982747902603
2021-03-12,2021-03-12,57291.03,-0.0095685814317414
2021-03-15,2021-03-15,55646.61,-0.0574301388685627
2021-03-16,2021-03-16,56954.19,0.0234979273670039
2021-03-17,2021-03-17,58959.0,0.0352003952650366
2021-03-18,2021-03-18,57700.01,-0.0213536525382044
2021-03-19,2021-03-19,58089.11,0.0067434996978337
2021-03-22,2021-03-22,54129.56,-0.0572256326636962
2021-03-23,2021-03-23,54400.0,0.0049961610624582
2021-03-24,2021-03-24,52311.54,-0.0383908088235294
2021-03-25,2021-03-25,51325.21,-0.0188549218776583
2021-03-26,2021-03-26,55030.0,0.0721826564372556
2021-03-29,2021-03-29,57677.64,0.0335553680776015
2021-03-30,2021-03-30,58794.16,0.019357934894701
2021-03-31,2021-03-31,58807.24,0.0002224710753584
2021-04-01,2021-04-01,58794.01,-0.000224972299329
2021-04-05,2021-04-05,59243.39,0.0173226883463286
2021-04-06,2021-04-06,58059.99,-0.0199752242402063
2021-04-07,2021-04-07,56018.18,-0.0351672468424468
2021-04-08,2021-04-08,58122.26,0.0375606633417937
2021-04-09,2021-04-09,58176.03,0.000925118878722
2021-04-12,2021-04-12,59911.18,-0.0029791879541088
2021-04-13,2021-04-13,63649.71,0.0624012079214597
2021-04-14,2021-04-14,63019.1,-0.0099075078268228
2021-04-15,2021-04-15,63232.55,0.0033870683649879
2021-04-16,2021-04-16,61424.67,-0.0285909709477161
2021-04-19,2021-04-19,55634.39,-0.0090071170225178
2021-04-20,2021-04-20,56410.56,0.0139512628789495
2021-04-21,2021-04-21,53800.0,-0.0462778600318805
2021-04-22,2021-04-22,51714.61,-0.0387618959107806
2021-04-23,2021-04-23,51122.62,-0.011447248659518
2021-04-26,2021-04-26,53984.33,0.1002852604173247
2021-04-27,2021-04-27,55006.25,0.0189299376319016
2021-04-28,2021-04-28,54861.77,-0.0026266106124304
2021-04-29,2021-04-29,53558.8,-0.0237500539993513
2021-04-30,2021-04-30,57684.16,0.0770248773310828
2021-05-03,2021-05-03,57214.83,0.010321324279763
2021-05-04,2021-05-04,53263.32,-0.0690644366154719
2021-05-05,2021-05-05,57497.77,0.0795003015208213
2021-05-06,2021-05-06,56435.35,-0.0184775861742115
2021-05-07,2021-05-07,57350.88,0.0162226335089619
2021-05-10,2021-05-10,55869.67,-0.0415638161527729
2021-05-11,2021-05-11,56710.43,0.0150485943446596
2021-05-12,2021-05-12,49595.76,-0.1254561109834645
2021-05-13,2021-05-13,49707.9,0.0022610803826779
