start_time,datetime,exchange_supply_ratio,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,0.03010977,734.6,
2021-01-01 01:00:00,2021-01-01 01:00:00,0.03013231,749.33,0.0200517288320174
2021-01-01 02:00:00,2021-01-01 02:00:00,0.03017021,745.15,-0.0055783166295224
2021-01-01 03:00:00,2021-01-01 03:00:00,0.0302143,745.88,0.0009796685231162
2021-01-01 04:00:00,2021-01-01 04:00:00,0.030227,743.4,-0.0033249316243899
2021-01-01 05:00:00,2021-01-01 05:00:00,0.0302273,741.61,-0.0024078557976862
2021-01-01 06:00:00,2021-01-01 06:00:00,0.03023222,740.76,-0.0011461549871226
2021-01-01 07:00:00,2021-01-01 07:00:00,0.03020903,738.18,-0.0034829094443544
2021-01-01 08:00:00,2021-01-01 08:00:00,0.0302136,731.01,-0.0097130781110297
2021-01-01 09:00:00,2021-01-01 09:00:00,0.03017797,734.38,0.004610060053898
2021-01-01 10:00:00,2021-01-01 10:00:00,0.03014001,737.69,0.0045072033552113
2021-01-01 11:00:00,2021-01-01 11:00:00,0.0301462,739.88,0.0029687267009177
2021-01-01 12:00:00,2021-01-01 12:00:00,0.03012694,734.03,-0.0079066875709574
2021-01-01 13:00:00,2021-01-01 13:00:00,0.03008792,741.06,0.0095772652343908
2021-01-01 14:00:00,2021-01-01 14:00:00,0.03006903,738.81,-0.0030361914015059
2021-01-01 15:00:00,2021-01-01 15:00:00,0.03007017,736.06,-0.0037222019193026
2021-01-01 16:00:00,2021-01-01 16:00:00,0.03002208,736.59,0.0007200499959243
2021-01-01 17:00:00,2021-01-01 17:00:00,0.03000127,729.02,-0.0102770876607067
2021-01-01 18:00:00,2021-01-01 18:00:00,0.02998009,725.14,-0.0053222133823489
2021-01-01 19:00:00,2021-01-01 19:00:00,0.02997727,725.68,0.0007446837852
2021-01-01 20:00:00,2021-01-01 20:00:00,0.03010726,730.01,0.0059668173299527
2021-01-01 21:00:00,2021-01-01 21:00:00,0.03036295,728.89,-0.0015342255585539
2021-01-01 22:00:00,2021-01-01 22:00:00,0.03034442,729.53,0.0008780474420009
2021-01-01 23:00:00,2021-01-01 23:00:00,0.03035029,729.77,0.0003289789316409
2021-01-02 00:00:00,2021-01-02 00:00:00,0.03034143,720.8,-0.0122915439110953
2021-01-02 01:00:00,2021-01-02 01:00:00,0.03029838,730.2,0.013041065482797
2021-01-02 02:00:00,2021-01-02 02:00:00,0.03031797,730.69,0.0006710490276635
2021-01-02 03:00:00,2021-01-02 03:00:00,0.03033972,731.42,0.0009990556870902
2021-01-02 04:00:00,2021-01-02 04:00:00,0.0303947,730.21,-0.0016543162615185
2021-01-02 05:00:00,2021-01-02 05:00:00,0.03038784,732.84,0.0036017036195066
2021-01-02 06:00:00,2021-01-02 06:00:00,0.03039305,737.88,0.0068773538562305
2021-01-02 07:00:00,2021-01-02 07:00:00,0.03043881,735.82,-0.0027917818615492
2021-01-02 08:00:00,2021-01-02 08:00:00,0.03040353,734.51,-0.0017803267103368
2021-01-02 09:00:00,2021-01-02 09:00:00,0.03039409,726.31,-0.011163905188493
2021-01-02 10:00:00,2021-01-02 10:00:00,0.03038074,729.42,0.0042819181892028
2021-01-02 11:00:00,2021-01-02 11:00:00,0.03035927,730.5,0.0014806284445176
2021-01-02 12:00:00,2021-01-02 12:00:00,0.03034206,753.78,0.0318685831622176
2021-01-02 13:00:00,2021-01-02 13:00:00,0.0304253,772.35,0.0246358353896363
2021-01-02 14:00:00,2021-01-02 14:00:00,0.03051667,762.02,-0.0133747653266006
2021-01-02 15:00:00,2021-01-02 15:00:00,0.03052392,769.57,0.0099078764336895
2021-01-02 16:00:00,2021-01-02 16:00:00,0.03051606,783.71,0.0183738971113738
2021-01-02 17:00:00,2021-01-02 17:00:00,0.03060074,780.11,-0.0045935358742392
2021-01-02 18:00:00,2021-01-02 18:00:00,0.03066767,781.16,0.0013459640307136
2021-01-02 19:00:00,2021-01-02 19:00:00,0.03070409,785.41,0.0054406267602027
2021-01-02 20:00:00,2021-01-02 20:00:00,0.0306538,759.77,-0.0326453699341744
