start_time,date,exchange_supply_ratio,close,change
2021-01-01,2021-01-01,0.0170364,29337.16,
2021-01-02,2021-01-02,0.01708511,32199.91,0.0975810201123763
2021-01-03,2021-01-03,0.01738809,33054.53,0.0265410679719291
2021-01-04,2021-01-04,0.01725094,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,0.01707901,33999.52,0.0614543941242049
2021-01-06,2021-01-06,0.0167912,36823.68,0.083064702089912
2021-01-07,2021-01-07,0.01684623,39498.92,0.0726499904409336
2021-01-08,2021-01-08,0.01709502,40637.23,0.0288187626395861
2021-01-09,2021-01-09,0.01717085,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,0.01756359,38221.67,-0.047697032392832
2021-01-11,2021-01-11,0.01750297,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,0.01768121,34056.9,-0.038170538905109
2021-01-13,2021-01-13,0.01760726,37421.07,0.0987808637897165
2021-01-14,2021-01-14,0.01744855,39163.31,0.0465577280393103
2021-01-15,2021-01-15,0.01754663,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,0.01744738,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,0.01748308,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,0.01754901,36686.86,0.0227776379202242
2021-01-19,2021-01-19,0.0173682,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,0.01762125,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,0.017593,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,0.0176133,32986.34,0.0682115299982479
2021-01-23,2021-01-23,0.01754744,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,0.01753497,32275.63,0.0058950062456213
2021-01-25,2021-01-25,0.01756167,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,0.01764534,32474.14,0.0068351890388942
2021-01-27,2021-01-27,0.01751439,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,0.01770124,33399.75,0.0993616413394669
2021-01-29,2021-01-29,0.01803453,34269.35,0.0260361230248729
2021-01-30,2021-01-30,0.01797747,34289.85,0.0005982021835839
2021-01-31,2021-01-31,0.01784443,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,0.01771112,33546.09,0.0126751596394516
2021-02-02,2021-02-02,0.01767498,35504.06,0.0583665637336572
2021-02-03,2021-02-03,0.01760522,37652.51,0.0605127976913064
2021-02-04,2021-02-04,0.01740734,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,0.01728337,38362.65,0.0374752582218156
2021-02-06,2021-02-06,0.01778625,39249.54,0.0231185801815045
2021-02-07,2021-02-07,0.01776399,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,0.0181896,46451.32,0.195681255107885
2021-02-09,2021-02-09,0.01807916,46492.54,0.0008873805954277
2021-02-10,2021-02-10,0.01816112,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,0.01829576,48060.21,0.0715765886287624
2021-02-12,2021-02-12,0.01824972,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,0.01829155,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,0.01843485,48655.21,0.0303587636341149
2021-02-15,2021-02-15,0.01830635,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,0.0185487,49197.94,0.0253505616113516
2021-02-17,2021-02-17,0.01865932,52194.62,0.0609106804065373
2021-02-18,2021-02-18,0.01847273,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,0.01869774,56004.1,0.0849365649161075
2021-02-20,2021-02-20,0.01888964,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,0.01909756,57487.43,0.0280774806987662
2021-02-22,2021-02-22,0.01888223,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,0.01852091,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,0.01852331,49702.03,0.0157782546494993
2021-02-25,2021-02-25,0.01864216,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,0.01876358,46313.13,-0.0164843997700543
2021-02-27,2021-02-27,0.01885091,46102.63,-0.0045451473480631
2021-02-28,2021-02-28,0.0189682,45163.36,-0.0203734580868812
2021-03-01,2021-03-01,0.01874959,49592.7,0.0980737482773645
2021-03-02,2021-03-02,0.01873614,48450.57,-0.023030204042127
2021-03-03,2021-03-03,0.01908436,50373.75,0.0396936506629332
2021-03-04,2021-03-04,0.019242,48385.77,-0.0394646020993076
2021-03-05,2021-03-05,0.01933093,48770.57,0.0079527513977766
2021-03-06,2021-03-06,0.01947193,48908.21,0.0028221937943313
2021-03-07,2021-03-07,0.01941242,50995.27,0.0426729990731618
2021-03-08,2021-03-08,0.01934735,52429.43,0.0281233926205313
2021-03-09,2021-03-09,0.01949869,54917.78,0.0474609393998752
2021-03-10,2021-03-10,0.01953674,55947.98,0.018758952018818
