start_time,datetime,reserve,reserve_usd,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,28393.64817315,824991505.3592693,28990.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,28398.66488625,836661783.2453392,29411.0,0.0145222490513969
2021-01-01 02:00:00,2021-01-01 02:00:00,28440.52395176,834963445.7186215,29218.0,-0.006562170616436
2021-01-01 03:00:00,2021-01-01 03:00:00,28442.66027519,833977693.8578863,29303.0,0.0029091655828599
2021-01-01 04:00:00,2021-01-01 04:00:00,28452.42399713,832627469.7120606,29229.5,-0.0025082756031805
2021-01-01 05:00:00,2021-01-01 05:00:00,28461.17658868,830712697.5291071,29204.5,-0.0008553002959339
2021-01-01 06:00:00,2021-01-01 06:00:00,28165.47859274,822715099.1244137,29175.5,-0.000992997654471
2021-01-01 07:00:00,2021-01-01 07:00:00,28189.34283546,821201831.8228431,29097.5,-0.0026734760329728
2021-01-01 08:00:00,2021-01-01 08:00:00,27599.39595293,800944317.95613,29045.0,-0.0018042787181029
2021-01-01 09:00:00,2021-01-01 09:00:00,27620.33185999,807840111.9347432,29243.5,0.0068342227577895
2021-01-01 10:00:00,2021-01-01 10:00:00,27639.44349522,810639000.7358004,29270.5,0.0009232820968763
2021-01-01 11:00:00,2021-01-01 11:00:00,27642.75495291,810618438.0986584,29343.5,0.0024939785791155
2021-01-01 12:00:00,2021-01-01 12:00:00,27661.12583416,809344944.6335845,29276.0,-0.0023003390870209
2021-01-01 13:00:00,2021-01-01 13:00:00,27682.02065011,817413370.4679385,29494.5,0.0074634512911599
2021-01-01 14:00:00,2021-01-01 14:00:00,27689.43525049,813156322.7764904,29360.0,-0.0045601722355015
2021-01-01 15:00:00,2021-01-01 15:00:00,27694.39040487,808507314.3880283,29226.0,-0.0045640326975476
2021-01-01 16:00:00,2021-01-01 16:00:00,27703.17997134,814122576.6001054,29325.0,0.003387394785465
2021-01-01 17:00:00,2021-01-01 17:00:00,27705.24317514,807944273.6018519,29087.5,-0.0080988917306052
2021-01-01 18:00:00,2021-01-01 18:00:00,27709.82575675,806508571.668632,29074.5,-0.0004469273743016
2021-01-01 19:00:00,2021-01-01 19:00:00,27712.83045171,808013179.8140274,29038.5,-0.001238198421297
2021-01-01 20:00:00,2021-01-01 20:00:00,27730.97662052,813117102.931828,29230.0,0.0065946932520619
2021-01-01 21:00:00,2021-01-01 21:00:00,27737.11808668,811797244.5865659,29180.0,-0.0017105713308245
2021-01-01 22:00:00,2021-01-01 22:00:00,27740.93865427,813620130.8082229,29262.5,0.0028272789581904
2021-01-01 23:00:00,2021-01-01 23:00:00,27743.17249042,815438961.0985829,29325.0,0.0021358393848782
2021-01-02 00:00:00,2021-01-02 00:00:00,27756.95402067,810339148.0609697,29196.5,-0.0043819266837169
2021-01-02 01:00:00,2021-01-02 01:00:00,27763.68941284,817227037.6637009,29384.0,0.0064220026373025
2021-01-02 02:00:00,2021-01-02 02:00:00,27766.55437433,817008988.4321053,29332.0,-0.0017696705690171
2021-01-02 03:00:00,2021-01-02 03:00:00,27770.91027579,816351278.7594384,29357.5,0.0008693576980771
