start_time,datetime,total_value_staked,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,2168405.747378638,734.6,
2021-01-01 01:00:00,2021-01-01 01:00:00,2177645.980240152,749.33,0.0200517288320174
2021-01-01 02:00:00,2021-01-01 02:00:00,2177667.894952362,745.15,-0.0055783166295224
2021-01-01 03:00:00,2021-01-01 03:00:00,2177689.756937462,745.88,0.0009796685231162
2021-01-01 04:00:00,2021-01-01 04:00:00,2177713.918168149,743.4,-0.0033249316243899
2021-01-01 05:00:00,2021-01-01 05:00:00,2177735.850706722,741.61,-0.0024078557976862
2021-01-01 06:00:00,2021-01-01 06:00:00,2177760.210718599,740.76,-0.0011461549871226
2021-01-01 07:00:00,2021-01-01 07:00:00,2177782.113678191,738.18,-0.0034829094443544
2021-01-01 08:00:00,2021-01-01 08:00:00,2184171.891794595,731.01,-0.0097130781110297
2021-01-01 09:00:00,2021-01-01 09:00:00,2184196.32912605,734.38,0.004610060053898
2021-01-01 10:00:00,2021-01-01 10:00:00,2184218.108106775,737.69,0.0045072033552113
2021-01-01 11:00:00,2021-01-01 11:00:00,2184239.651387167,739.88,0.0029687267009177
2021-01-01 12:00:00,2021-01-01 12:00:00,2184264.39889113,734.03,-0.0079066875709574
2021-01-01 13:00:00,2021-01-01 13:00:00,2184286.152303341,741.06,0.0095772652343908
2021-01-01 14:00:00,2021-01-01 14:00:00,2184310.532824288,738.81,-0.0030361914015059
2021-01-01 15:00:00,2021-01-01 15:00:00,2186316.477069128,736.06,-0.0037222019193026
2021-01-01 16:00:00,2021-01-01 16:00:00,2186338.520005613,736.59,0.0007200499959243
2021-01-01 17:00:00,2021-01-01 17:00:00,2186362.510965355,729.02,-0.0102770876607067
2021-01-01 18:00:00,2021-01-01 18:00:00,2186384.367940409,725.14,-0.0053222133823489
2021-01-01 19:00:00,2021-01-01 19:00:00,2186406.332577488,725.68,0.0007446837852
2021-01-01 20:00:00,2021-01-01 20:00:00,2186430.775815659,730.01,0.0059668173299527
2021-01-01 21:00:00,2021-01-01 21:00:00,2186452.934356805,728.89,-0.0015342255585539
2021-01-01 22:00:00,2021-01-01 22:00:00,2188813.73600565,729.53,0.0008780474420009
2021-01-01 23:00:00,2021-01-01 23:00:00,2188835.839896394,729.77,0.0003289789316409
2021-01-02 00:00:00,2021-01-02 00:00:00,2188857.905126595,720.8,-0.0122915439110953
2021-01-02 01:00:00,2021-01-02 01:00:00,2188882.36924355,730.2,0.013041065482797
2021-01-02 02:00:00,2021-01-02 02:00:00,2188904.203401392,730.69,0.0006710490276635
2021-01-02 03:00:00,2021-01-02 03:00:00,2188926.48593464,731.42,0.0009990556870902
2021-01-02 04:00:00,2021-01-02 04:00:00,2188950.970411012,730.21,-0.0016543162615185
2021-01-02 05:00:00,2021-01-02 05:00:00,2193261.016892132,732.84,0.0036017036195066
2021-01-02 06:00:00,2021-01-02 06:00:00,2193285.63508309,737.88,0.0068773538562305
2021-01-02 07:00:00,2021-01-02 07:00:00,2193307.736226607,735.82,-0.0027917818615492
2021-01-02 08:00:00,2021-01-02 08:00:00,2193329.912781858,734.51,-0.0017803267103368
2021-01-02 09:00:00,2021-01-02 09:00:00,2193354.307169351,726.31,-0.011163905188493
2021-01-02 10:00:00,2021-01-02 10:00:00,2193376.503218468,729.42,0.0042819181892028
2021-01-02 11:00:00,2021-01-02 11:00:00,2193398.468302911,730.5,0.0014806284445176
