start_time,date,realized_price,close,change
2021-01-01,2021-01-01,9300.18064858,29337.16,
2021-01-02,2021-01-02,9462.24112624,32199.91,0.0975810201123763
2021-01-03,2021-01-03,9631.5785313,33054.53,0.0265410679719291
2021-01-04,2021-01-04,9776.94449579,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,9920.60383968,33999.52,0.0614543941242049
2021-01-06,2021-01-06,10094.09665814,36823.68,0.083064702089912
2021-01-07,2021-01-07,10395.8942962,39498.92,0.0726499904409336
2021-01-08,2021-01-08,10670.35894376,40637.23,0.0288187626395861
2021-01-09,2021-01-09,10854.9927528,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,10949.20643799,38221.67,-0.047697032392832
2021-01-11,2021-01-11,11007.19047851,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,11080.68851076,34056.9,-0.038170538905109
2021-01-13,2021-01-13,11141.99026393,37421.07,0.0987808637897165
2021-01-14,2021-01-14,11263.34056764,39163.31,0.0465577280393103
2021-01-15,2021-01-15,11329.51473355,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,11371.46940211,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,11400.12776437,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,11465.48443045,36686.86,0.0227776379202242
2021-01-19,2021-01-19,11521.15404119,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,11543.07684099,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,11549.77646733,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,11558.56249209,32986.34,0.0682115299982479
2021-01-23,2021-01-23,11575.554776,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,11585.99341676,32275.63,0.0058950062456213
2021-01-25,2021-01-25,11613.20283797,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,11622.25990042,32474.14,0.0068351890388942
2021-01-27,2021-01-27,11688.03015514,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,11737.55551667,33399.75,0.0993616413394669
2021-01-29,2021-01-29,11848.56012921,34269.35,0.0260361230248729
2021-01-30,2021-01-30,11878.21203107,34289.85,0.0005982021835839
2021-01-31,2021-01-31,11913.82130904,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,11937.21731892,33546.09,0.0126751596394516
2021-02-02,2021-02-02,11992.18841991,35504.06,0.0583665637336572
2021-02-03,2021-02-03,12045.89797727,37652.51,0.0605127976913064
2021-02-04,2021-02-04,12127.23645365,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,12229.61993277,38362.65,0.0374752582218156
2021-02-06,2021-02-06,12297.57036798,39249.54,0.0231185801815045
2021-02-07,2021-02-07,12353.59543959,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,12497.60154378,46451.32,0.195681255107885
2021-02-09,2021-02-09,12778.07855761,46492.54,0.0008873805954277
2021-02-10,2021-02-10,12925.5282343,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,13046.79658189,48060.21,0.0715765886287624
2021-02-12,2021-02-12,13171.84158809,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,13229.28383414,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,13283.08285252,48655.21,0.0303587636341149
2021-02-15,2021-02-15,13431.95661725,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,13521.97099807,49197.94,0.0253505616113516
2021-02-17,2021-02-17,13672.99991207,52194.62,0.0609106804065373
2021-02-18,2021-02-18,13840.46293142,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,14108.10989308,56004.1,0.0849365649161075
2021-02-20,2021-02-20,14308.1984448,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,14433.42912623,57487.43,0.0280774806987662
2021-02-22,2021-02-22,14542.71057778,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,14684.116303,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,14808.14714329,49702.03,0.0157782546494993
2021-02-25,2021-02-25,14905.50009769,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,15026.89981542,46313.13,-0.0164843997700543
2021-02-27,2021-02-27,15015.84468558,46102.63,-0.0045451473480631
2021-02-28,2021-02-28,15031.02262734,45163.36,-0.0203734580868812
2021-03-01,2021-03-01,15101.47562597,49592.7,0.0980737482773645
2021-03-02,2021-03-02,15177.96512691,48450.57,-0.023030204042127
2021-03-03,2021-03-03,15241.11812324,50373.75,0.0396936506629332
2021-03-04,2021-03-04,15286.97332276,48385.77,-0.0394646020993076
2021-03-05,2021-03-05,15332.57967954,48770.57,0.0079527513977766
2021-03-06,2021-03-06,15360.45698426,48908.21,0.0028221937943313
2021-03-07,2021-03-07,15395.33877134,50995.27,0.0426729990731618
2021-03-08,2021-03-08,15480.67777731,52429.43,0.0281233926205313
2021-03-09,2021-03-09,15575.43512569,54917.78,0.0474609393998752
2021-03-10,2021-03-10,15680.57805609,55947.98,0.018758952018818
2021-03-11,2021-03-11,15851.04063658,57844.52,0.0338982747902603
2021-03-12,2021-03-12,15983.6794783,57291.03,-0.0095685814317414
2021-03-13,2021-03-13,16084.80388405,61267.41,0.0694066767520151
2021-03-14,2021-03-14,16184.21281599,59037.12,-0.0364025507198688
2021-03-15,2021-03-15,16243.52151763,55646.61,-0.0574301388685627
2021-03-16,2021-03-16,16344.48693666,56954.19,0.0234979273670039
2021-03-17,2021-03-17,16430.04896411,58959.0,0.0352003952650366
2021-03-18,2021-03-18,16489.83682776,57700.01,-0.0213536525382044
2021-03-19,2021-03-19,16538.96913731,58089.11,0.0067434996978337
2021-03-20,2021-03-20,16594.07280363,58145.61,0.0009726435815593
2021-03-21,2021-03-21,16636.78334442,57415.18,-0.0125620833627853
2021-03-22,2021-03-22,16703.47963044,54129.56,-0.0572256326636962
2021-03-23,2021-03-23,16802.33605451,54400.0,0.0049961610624582
2021-03-24,2021-03-24,16876.1332966,52311.54,-0.0383908088235294
2021-03-25,2021-03-25,16943.39925033,51325.21,-0.0188549218776583
2021-03-26,2021-03-26,17000.37816534,55030.0,0.0721826564372556
2021-03-27,2021-03-27,17082.83007016,55828.0,0.014501181173905
2021-03-28,2021-03-28,17118.2975459,55805.08,-0.0004105466790856
2021-03-29,2021-03-29,17194.35222135,57677.64,0.0335553680776015
2021-03-30,2021-03-30,17280.83877819,58794.16,0.019357934894701
2021-03-31,2021-03-31,17367.02836832,58807.24,0.0002224710753584
2021-04-01,2021-04-01,17476.56245805,58794.01,-0.000224972299329
2021-04-02,2021-04-02,17549.82432632,59031.36,0.0040369758756035
2021-04-03,2021-04-03,17572.547458,57134.65,-0.0321305489150173
2021-04-04,2021-04-04,17601.6681559,58234.61,0.0192520650778467
2021-04-05,2021-04-05,17648.07033058,59243.39,0.0173226883463286
2021-04-06,2021-04-06,17943.30995091,58059.99,-0.0199752242402063
2021-04-07,2021-04-07,17982.81130805,56018.18,-0.0351672468424468
2021-04-08,2021-04-08,18031.58544089,58122.26,0.0375606633417937
2021-04-09,2021-04-09,18075.71884047,58176.03,0.000925118878722
2021-04-10,2021-04-10,18137.09139244,59832.43,0.028472207539772
2021-04-11,2021-04-11,18205.60728941,60090.2,0.004308198747736
2021-04-12,2021-04-12,18292.67159539,59911.18,-0.0029791879541088
2021-04-13,2021-04-13,18423.97456721,63649.71,0.0624012079214597
2021-04-14,2021-04-14,18581.54256926,63019.1,-0.0099075078268228
2021-04-15,2021-04-15,18695.58394704,63232.55,0.0033870683649879
2021-04-16,2021-04-16,18749.11811576,61424.67,-0.0285909709477161
2021-04-17,2021-04-17,18800.07124611,60090.14,-0.0217262868485903
2021-04-18,2021-04-18,19010.22864625,56140.05,-0.0657360758354032
2021-04-19,2021-04-19,19024.02208683,55634.39,-0.0090071170225178
2021-04-20,2021-04-20,19060.55538223,56410.56,0.0139512628789495
2021-04-21,2021-04-21,19078.26465451,53800.0,-0.0462778600318805
2021-04-22,2021-04-22,19137.70653747,51714.61,-0.0387618959107806
2021-04-23,2021-04-23,19129.0683413,51122.62,-0.011447248659518
2021-04-24,2021-04-24,19164.96339532,50092.4,-0.0201519405695561
2021-04-25,2021-04-25,19167.22254291,49063.94,-0.020531258234782
2021-04-26,2021-04-26,19227.00208948,53984.33,0.1002852604173247
2021-04-27,2021-04-27,19315.03730616,55006.25,0.0189299376319016
2021-04-28,2021-04-28,19352.60699082,54861.77,-0.0026266106124304
2021-04-29,2021-04-29,19420.24044528,53558.8,-0.0237500539993513
2021-04-30,2021-04-30,19510.29672663,57684.16,0.0770248773310828
2021-05-01,2021-05-01,19546.77600005,57836.34,0.0026381592451028
2021-05-02,2021-05-02,19576.95313624,56630.33,-0.0208521147776639
2021-05-03,2021-05-03,19635.92120872,57214.83,0.010321324279763
2021-05-04,2021-05-04,19670.03717197,53263.32,-0.0690644366154719
2021-05-05,2021-05-05,19727.12176991,57497.77,0.0795003015208213
2021-05-06,2021-05-06,19795.46288536,56435.35,-0.0184775861742115
2021-05-07,2021-05-07,19935.51699172,57350.88,0.0162226335089619
2021-05-08,2021-05-08,19982.49404304,58924.98,0.0274468325507821
2021-05-09,2021-05-09,20026.91619709,58292.53,-0.0107331389845189
