start_time,datetime,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,28990.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,29411.0,0.0145222490513969
2021-01-01 02:00:00,2021-01-01 02:00:00,29218.0,-0.006562170616436
2021-01-01 03:00:00,2021-01-01 03:00:00,29303.0,0.0029091655828599
2021-01-01 04:00:00,2021-01-01 04:00:00,29229.5,-0.0025082756031805
2021-01-01 05:00:00,2021-01-01 05:00:00,29204.5,-0.0008553002959339
2021-01-01 06:00:00,2021-01-01 06:00:00,29175.5,-0.000992997654471
2021-01-01 07:00:00,2021-01-01 07:00:00,29097.5,-0.0026734760329728
2021-01-01 08:00:00,2021-01-01 08:00:00,29045.0,-0.0018042787181029
2021-01-01 09:00:00,2021-01-01 09:00:00,29243.5,0.0068342227577895
2021-01-01 10:00:00,2021-01-01 10:00:00,29270.5,0.0009232820968763
2021-01-01 11:00:00,2021-01-01 11:00:00,29343.5,0.0024939785791155
2021-01-01 12:00:00,2021-01-01 12:00:00,29276.0,-0.0023003390870209
2021-01-01 13:00:00,2021-01-01 13:00:00,29494.5,0.0074634512911599
2021-01-01 14:00:00,2021-01-01 14:00:00,29360.0,-0.0045601722355015
2021-01-01 15:00:00,2021-01-01 15:00:00,29226.0,-0.0045640326975476
2021-01-01 16:00:00,2021-01-01 16:00:00,29325.0,0.003387394785465
2021-01-01 17:00:00,2021-01-01 17:00:00,29087.5,-0.0080988917306052
2021-01-01 18:00:00,2021-01-01 18:00:00,29074.5,-0.0004469273743016
2021-01-01 19:00:00,2021-01-01 19:00:00,29038.5,-0.001238198421297
2021-01-01 20:00:00,2021-01-01 20:00:00,29230.0,0.0065946932520619
2021-01-01 21:00:00,2021-01-01 21:00:00,29180.0,-0.0017105713308245
2021-01-01 22:00:00,2021-01-01 22:00:00,29262.5,0.0028272789581904
2021-01-01 23:00:00,2021-01-01 23:00:00,29325.0,0.0021358393848782
2021-01-02 00:00:00,2021-01-02 00:00:00,29196.5,-0.0043819266837169
2021-01-02 01:00:00,2021-01-02 01:00:00,29384.0,0.0064220026373025
2021-01-02 02:00:00,2021-01-02 02:00:00,29332.0,-0.0017696705690171
2021-01-02 03:00:00,2021-01-02 03:00:00,29357.5,0.0008693576980771
2021-01-02 04:00:00,2021-01-02 04:00:00,29343.0,-0.0004939112662862
2021-01-02 05:00:00,2021-01-02 05:00:00,29615.5,0.0092867123334354
2021-01-02 06:00:00,2021-01-02 06:00:00,29734.5,0.004018166162989
2021-01-02 07:00:00,2021-01-02 07:00:00,29777.0,0.0014293161142779
2021-01-02 08:00:00,2021-01-02 08:00:00,29866.5,0.0030056755213756
2021-01-02 09:00:00,2021-01-02 09:00:00,29647.0,-0.0073493713692598
2021-01-02 10:00:00,2021-01-02 10:00:00,29701.5,0.0018382972982089
2021-01-02 11:00:00,2021-01-02 11:00:00,29782.5,0.0027271349931821
2021-01-02 12:00:00,2021-01-02 12:00:00,30644.5,0.0289431713254428
2021-01-02 13:00:00,2021-01-02 13:00:00,31610.0,0.0315064693501281
2021-01-02 14:00:00,2021-01-02 14:00:00,31345.0,-0.0083834229674153
2021-01-02 15:00:00,2021-01-02 15:00:00,31729.0,0.0122507576966022
2021-01-02 16:00:00,2021-01-02 16:00:00,32554.5,0.0260172082322165
2021-01-02 17:00:00,2021-01-02 17:00:00,32912.5,0.0109969435869081
2021-01-02 18:00:00,2021-01-02 18:00:00,33080.5,0.0051044436004556
2021-01-02 19:00:00,2021-01-02 19:00:00,33105.0,0.0007406175843776
2021-01-02 20:00:00,2021-01-02 20:00:00,30906.0,-0.066425011327594
2021-01-02 21:00:00,2021-01-02 21:00:00,31736.0,0.0268556267391444
2021-01-02 22:00:00,2021-01-02 22:00:00,32207.5,0.014856944794555
2021-01-02 23:00:00,2021-01-02 23:00:00,32230.0,0.0006985950477373
2021-01-03 00:00:00,2021-01-03 00:00:00,32491.5,0.0081135587961527
2021-01-03 01:00:00,2021-01-03 01:00:00,32620.5,0.0039702691473153
2021-01-03 02:00:00,2021-01-03 02:00:00,32777.0,0.0047975966033628
2021-01-03 03:00:00,2021-01-03 03:00:00,32638.5,-0.0042255239954845
2021-01-03 04:00:00,2021-01-03 04:00:00,33266.0,0.0192257609877903
2021-01-03 05:00:00,2021-01-03 05:00:00,33803.5,0.0161576384296278
2021-01-03 06:00:00,2021-01-03 06:00:00,34020.0,0.0064046622391171
2021-01-03 07:00:00,2021-01-03 07:00:00,34494.5,0.0139476778365668
