start_time,datetime,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd,close,change
2021-01-01 00:00:00,2021-01-01 00:00:00,7.47852556,215603.9,6.06153682,175826.7855,28990.0,
2021-01-01 01:00:00,2021-01-01 01:00:00,0.69608676,20410.0,75.53860534,2214945.3195,29411.0,0.0145222490513969
2021-01-01 02:00:00,2021-01-01 02:00:00,37.05534302,1083476.1565,0.24617382,7215.7315,29218.0,-0.006562170616436
2021-01-01 03:00:00,2021-01-01 03:00:00,0.0,0.0,0.0,0.0,29303.0,0.0029091655828599
2021-01-01 04:00:00,2021-01-01 04:00:00,46.37762775,1354004.1115,0.2612744,7692.0,29229.5,-0.0025082756031805
2021-01-01 05:00:00,2021-01-01 05:00:00,0.24993586,7300.0,0.0,0.0,29204.5,-0.0008553002959339
2021-01-01 06:00:00,2021-01-01 06:00:00,0.57019934,16633.0,0.0,0.0,29175.5,-0.000992997654471
2021-01-01 07:00:00,2021-01-01 07:00:00,66.35813993,1926040.625,0.00013716,4.0,29097.5,-0.0026734760329728
2021-01-01 08:00:00,2021-01-01 08:00:00,1.37826053,40026.435,1.46947631,42919.0,29045.0,-0.0018042787181029
2021-01-01 09:00:00,2021-01-01 09:00:00,0.0,0.0,10.41120043,304941.509,29243.5,0.0068342227577895
2021-01-01 10:00:00,2021-01-01 10:00:00,0.32309034,9447.0,0.98723093,28960.4,29270.5,0.0009232820968763
2021-01-01 11:00:00,2021-01-01 11:00:00,0.0,0.0,1.55818511,45863.754,29343.5,0.0024939785791155
2021-01-01 12:00:00,2021-01-01 12:00:00,43.02238037,1262507.37,39.15809458,1158378.799,29276.0,-0.0023003390870209
2021-01-01 13:00:00,2021-01-01 13:00:00,0.0,0.0,15.82162747,465719.3285,29494.5,0.0074634512911599
2021-01-01 14:00:00,2021-01-01 14:00:00,3.7789859,111183.161,0.09095391,2691.0,29360.0,-0.0045601722355015
2021-01-01 15:00:00,2021-01-01 15:00:00,77.69872994,2269966.162,0.0,0.0,29226.0,-0.0045640326975476
2021-01-01 16:00:00,2021-01-01 16:00:00,0.0016018,47.0,1.16109171,34114.48,29325.0,0.003387394785465
2021-01-01 17:00:00,2021-01-01 17:00:00,108.22383372,3143318.0085,0.01478743,432.0,29087.5,-0.0080988917306052
2021-01-01 18:00:00,2021-01-01 18:00:00,275.82712978,7976345.1635,6.38668424,185540.0,29074.5,-0.0004469273743016
2021-01-01 19:00:00,2021-01-01 19:00:00,0.0,0.0,0.87364736,25506.0,29038.5,-0.001238198421297
2021-01-01 20:00:00,2021-01-01 20:00:00,1.24360092,36032.68,20.3630037,596096.706,29230.0,0.0065946932520619
2021-01-01 21:00:00,2021-01-01 21:00:00,0.0,0.0,0.07030985,2065.0,29180.0,-0.0017105713308245
2021-01-01 22:00:00,2021-01-01 22:00:00,0.0,0.0,1.62310658,47692.95,29262.5,0.0028272789581904
2021-01-01 23:00:00,2021-01-01 23:00:00,0.0,0.0,0.31999706,9410.0,29325.0,0.0021358393848782
2021-01-02 00:00:00,2021-01-02 00:00:00,54.36923135,1583252.1905,0.49619454,14500.38,29196.5,-0.0043819266837169
2021-01-02 01:00:00,2021-01-02 01:00:00,0.0,0.0,12.13238352,356623.4365,29384.0,0.0064220026373025
2021-01-02 02:00:00,2021-01-02 02:00:00,0.0,0.0,4.46708537,131945.862,29332.0,-0.0017696705690171
2021-01-02 03:00:00,2021-01-02 03:00:00,0.01503403,440.2525,0.0,0.0,29357.5,0.0008693576980771
2021-01-02 04:00:00,2021-01-02 04:00:00,0.00023864,7.0,0.29304464,8635.0,29343.0,-0.0004939112662862
2021-01-02 05:00:00,2021-01-02 05:00:00,0.0,0.0,14.26631703,422101.8255,29615.5,0.0092867123334354
2021-01-02 06:00:00,2021-01-02 06:00:00,0.787,23198.0055,154.89354239,4606059.079,29734.5,0.004018166162989
2021-01-02 07:00:00,2021-01-02 07:00:00,3.363e-05,1.0,29.84101787,889915.4625,29777.0,0.0014293161142779
2021-01-02 08:00:00,2021-01-02 08:00:00,13.29614394,395708.153,16.84527473,503706.6745,29866.5,0.0030056755213756
2021-01-02 09:00:00,2021-01-02 09:00:00,82.49045202,2450397.9075,14.77348018,442220.265,29647.0,-0.0073493713692598
2021-01-02 10:00:00,2021-01-02 10:00:00,97.02844695,2872177.361,2.35930893,70381.388,29701.5,0.0018382972982089
2021-01-02 11:00:00,2021-01-02 11:00:00,0.09817739,2917.0,0.0,0.0,29782.5,0.0027271349931821
2021-01-02 12:00:00,2021-01-02 12:00:00,87.85400419,2668169.576,1094.97873511,33299643.748,30644.5,0.0289431713254428
2021-01-02 13:00:00,2021-01-02 13:00:00,28.65916526,891724.193,384.56624547,12004415.8705,31610.0,0.0315064693501281
2021-01-02 14:00:00,2021-01-02 14:00:00,114.2770955,3577034.847,1.15207435,36338.5555,31345.0,-0.0083834229674153
2021-01-02 15:00:00,2021-01-02 15:00:00,50.63577682,1596981.345,201.51859718,6385403.526,31729.0,0.0122507576966022
2021-01-02 16:00:00,2021-01-02 16:00:00,230.68973287,7497923.825,602.91218484,19558110.3165,32554.5,0.0260172082322165
2021-01-02 17:00:00,2021-01-02 17:00:00,17.7497794,578420.546,26.28320966,866298.3,32912.5,0.0109969435869081
2021-01-02 18:00:00,2021-01-02 18:00:00,68.35577048,2242540.1105,89.28240693,2957388.4985,33080.5,0.0051044436004556
2021-01-02 19:00:00,2021-01-02 19:00:00,77.5148409,2548853.232,2.74653769,91106.646,33105.0,0.0007406175843776
2021-01-02 20:00:00,2021-01-02 20:00:00,1921.13421388,60683338.9735,4.23456908,137198.175,30906.0,-0.066425011327594
2021-01-02 21:00:00,2021-01-02 21:00:00,304.96411577,9441208.888,78.94424784,2481780.557,31736.0,0.0268556267391444
2021-01-02 22:00:00,2021-01-02 22:00:00,45.25488227,1434286.616,145.09200666,4637378.5925,32207.5,0.014856944794555
2021-01-02 23:00:00,2021-01-02 23:00:00,90.70694875,2893203.7325,21.00340341,674230.619,32230.0,0.0006985950477373
2021-01-03 00:00:00,2021-01-03 00:00:00,2.10205903,67436.892,65.16408461,2108277.308,32491.5,0.0081135587961527
2021-01-03 01:00:00,2021-01-03 01:00:00,9.04799196,294027.013,138.59375813,4512972.213,32620.5,0.0039702691473153
2021-01-03 02:00:00,2021-01-03 02:00:00,0.21606243,7079.68,17.69468196,582149.729,32777.0,0.0047975966033628
2021-01-03 03:00:00,2021-01-03 03:00:00,44.86517715,1464231.3065,0.00335975,110.0,32638.5,-0.0042255239954845
2021-01-03 04:00:00,2021-01-03 04:00:00,10.25934932,333518.5,43.70690127,1446684.7195,33266.0,0.0192257609877903
2021-01-03 05:00:00,2021-01-03 05:00:00,84.84359073,2869445.746,298.04470041,10047739.1625,33803.5,0.0161576384296278
2021-01-03 06:00:00,2021-01-03 06:00:00,30.19329959,1021769.781,1.99777481,67850.5655,34020.0,0.0064046622391171
2021-01-03 07:00:00,2021-01-03 07:00:00,84.92023796,2911918.811,125.1484482,4314524.299,34494.5,0.0139476778365668
2021-01-03 08:00:00,2021-01-03 08:00:00,95.02865444,3234870.789,44.59580658,1524027.9455,34429.5,-0.001884358375973
2021-01-03 09:00:00,2021-01-03 09:00:00,65.18636877,2222664.4775,13.82918827,472989.719,34255.5,-0.0050538056027534
2021-01-03 10:00:00,2021-01-03 10:00:00,108.10743504,3644898.4345,24.9572155,851481.1805,33940.5,-0.0091956036256951
2021-01-03 11:00:00,2021-01-03 11:00:00,37.27933374,1274425.496,28.45629875,973504.5135,34478.5,0.015851269132747
2021-01-03 12:00:00,2021-01-03 12:00:00,45.07146674,1538499.373,13.24847933,457083.507,34149.0,-0.0095566802500108
2021-01-03 13:00:00,2021-01-03 13:00:00,55.20034051,1876303.5155,35.88625578,1225581.787,33923.5,-0.0066034144484464
2021-01-03 14:00:00,2021-01-03 14:00:00,175.17623806,5901297.75,145.27481331,4939413.9945,33884.5,-0.0011496455259628
2021-01-03 15:00:00,2021-01-03 15:00:00,824.76595841,27376981.6615,95.89717675,3211670.7095,33523.0,-0.0106685947852263
2021-01-03 16:00:00,2021-01-03 16:00:00,326.5896054,10782531.888,15.92844777,535492.957,32732.0,-0.0235957402380455
2021-01-03 17:00:00,2021-01-03 17:00:00,142.82533445,4670599.754,310.7023945,10244297.043,32946.5,0.0065532200904314
2021-01-03 18:00:00,2021-01-03 18:00:00,213.09315624,6925155.8575,3.50458593,114406.997,32833.0,-0.0034449789810754
2021-01-03 19:00:00,2021-01-03 19:00:00,13.66082188,445472.3505,1.02211737,33537.81,32828.5,-0.0001370572290073
2021-01-03 20:00:00,2021-01-03 20:00:00,32.73920867,1100737.1265,80.83664232,2705907.2645,33788.0,0.0292276528016814
2021-01-03 21:00:00,2021-01-03 21:00:00,71.4120721,2404300.035,3.59655627,121810.669,33615.0,-0.0051201610039066
2021-01-03 22:00:00,2021-01-03 22:00:00,249.49673195,8312064.8575,6.69463665,224841.8965,33173.5,-0.0131340175516881
2021-01-03 23:00:00,2021-01-03 23:00:00,191.40992452,6308846.235,165.3812704,5544345.467,32963.0,-0.0063454263192005
2021-01-04 00:00:00,2021-01-04 00:00:00,183.15089504,5976343.0285,34.38027566,1133612.1065,32825.0,-0.0041865121499863
2021-01-04 01:00:00,2021-01-04 01:00:00,3.5748411,117066.0,36.73262668,1218242.5955,33154.5,0.0100380807311499
2021-01-04 02:00:00,2021-01-04 02:00:00,14.97093561,496929.0,40.48962643,1358376.1845,33453.0,0.0090033027190878
2021-01-04 03:00:00,2021-01-04 03:00:00,13.66120654,455264.275,1.16622574,39152.0,33537.0,0.002510985561833
2021-01-04 04:00:00,2021-01-04 04:00:00,21.70616309,724850.7995,1.8613749,62610.816,33297.5,-0.007141366252199
2021-01-04 05:00:00,2021-01-04 05:00:00,57.06403761,1886136.254,0.0029963,100.0,32920.5,-0.0113221713341842
2021-01-04 06:00:00,2021-01-04 06:00:00,12.32199138,409006.944,13.39144689,446576.126,33260.0,0.0103127230752875
2021-01-04 07:00:00,2021-01-04 07:00:00,790.75456176,25430129.0575,30.79375145,993779.178,32226.5,-0.0310733613950691
