start_time,date,stablecoin_supply_ratio,close,change
2021-01-01,2021-01-01,26.91078963,29337.16,
2021-01-02,2021-01-02,29.24375307,32199.91,0.0975810201123763
2021-01-03,2021-01-03,29.73304968,33054.53,0.0265410679719291
2021-01-04,2021-01-04,28.51287246,32031.07,-0.0309627757526729
2021-01-05,2021-01-05,30.09073195,33999.52,0.0614543941242049
2021-01-06,2021-01-06,32.19085248,36823.68,0.083064702089912
2021-01-07,2021-01-07,33.87819157,39498.92,0.0726499904409336
2021-01-08,2021-01-08,34.46487856,40637.23,0.0288187626395861
2021-01-09,2021-01-09,33.82853326,40136.04,-0.0123332717313655
2021-01-10,2021-01-10,31.99050842,38221.67,-0.047697032392832
2021-01-11,2021-01-11,29.65955979,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,28.33266717,34056.9,-0.038170538905109
2021-01-13,2021-01-13,30.99181255,37421.07,0.0987808637897165
2021-01-14,2021-01-14,32.18302206,39163.31,0.0465577280393103
2021-01-15,2021-01-15,30.21763605,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,29.30696577,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,28.98734044,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,29.55711685,36686.86,0.0227776379202242
2021-01-19,2021-01-19,28.85245135,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,28.29040489,35500.0,-0.0108949227703969
2021-01-21,2021-01-21,24.68210424,30879.97,-0.1301416901408451
2021-01-22,2021-01-22,26.16890848,32986.34,0.0682115299982479
2021-01-23,2021-01-23,25.3700913,32086.48,-0.0272797770228524
2021-01-24,2021-01-24,25.42430378,32275.63,0.0058950062456213
2021-01-25,2021-01-25,25.26914387,32253.68,-0.0006800796762139
2021-01-26,2021-01-26,25.39267694,32474.14,0.0068351890388942
2021-01-27,2021-01-27,23.48977136,30381.04,-0.0644543627637251
2021-01-28,2021-01-28,25.69369104,33399.75,0.0993616413394669
2021-01-29,2021-01-29,25.7234487,34269.35,0.0260361230248729
2021-01-30,2021-01-30,25.46442958,34289.85,0.0005982021835839
2021-01-31,2021-01-31,24.52083489,33126.21,-0.0339354065415858
2021-02-01,2021-02-01,24.82612449,33546.09,0.0126751596394516
2021-02-02,2021-02-02,26.02794724,35504.06,0.0583665637336572
2021-02-03,2021-02-03,25.135259,37652.51,0.0605127976913064
2021-02-04,2021-02-04,24.39408739,36976.93,-0.0179424957326882
2021-02-05,2021-02-05,24.80515875,38362.65,0.0374752582218156
2021-02-06,2021-02-06,25.29320308,39249.54,0.0231185801815045
2021-02-07,2021-02-07,24.74883736,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,29.3470897,46451.32,0.195681255107885
2021-02-09,2021-02-09,29.13772489,46492.54,0.0008873805954277
2021-02-10,2021-02-10,27.89081213,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,29.71040219,48060.21,0.0715765886287624
2021-02-12,2021-02-12,29.08256637,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,28.75907753,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,29.40454225,48655.21,0.0303587636341149
2021-02-15,2021-02-15,28.89799784,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,29.43876636,49197.94,0.0253505616113516
2021-02-17,2021-02-17,31.16273404,52194.62,0.0609106804065373
2021-02-18,2021-02-18,30.67033119,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,32.94846475,56004.1,0.0849365649161075
2021-02-20,2021-02-20,32.60362681,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,33.28054121,57487.43,0.0280774806987662
2021-02-22,2021-02-22,31.23808201,54121.1,-0.0585576707812472
2021-02-23,2021-02-23,28.11412769,48930.0,-0.0959163801179207
2021-02-24,2021-02-24,28.30298616,49702.03,0.0157782546494993
2021-02-25,2021-02-25,26.6653466,47089.37,-0.0525664645890719
2021-02-26,2021-02-26,25.99369234,46313.13,-0.0164843997700543
2021-02-27,2021-02-27,25.86459433,46102.63,-0.0045451473480631
2021-02-28,2021-02-28,25.17354114,45163.36,-0.0203734580868812
2021-03-01,2021-03-01,27.40904536,49592.7,0.0980737482773645
2021-03-02,2021-03-02,26.76231584,48450.57,-0.023030204042127
2021-03-03,2021-03-03,27.87911813,50373.75,0.0396936506629332
2021-03-04,2021-03-04,26.80652843,48385.77,-0.0394646020993076
2021-03-05,2021-03-05,26.97129723,48770.57,0.0079527513977766
2021-03-06,2021-03-06,26.92449613,48908.21,0.0028221937943313
2021-03-07,2021-03-07,27.97800365,50995.27,0.0426729990731618
2021-03-08,2021-03-08,28.77371638,52429.43,0.0281233926205313
2021-03-09,2021-03-09,30.05470254,54917.78,0.0474609393998752
2021-03-10,2021-03-10,30.38040562,55947.98,0.018758952018818
2021-03-11,2021-03-11,31.16618807,57844.52,0.0338982747902603
2021-03-12,2021-03-12,30.78675958,57291.03,-0.0095685814317414
2021-03-13,2021-03-13,32.76056874,61267.41,0.0694066767520151
2021-03-14,2021-03-14,31.51925811,59037.12,-0.0364025507198688
2021-03-15,2021-03-15,29.41665005,55646.61,-0.0574301388685627
2021-03-16,2021-03-16,29.87041942,56954.19,0.0234979273670039
2021-03-17,2021-03-17,30.76104601,58959.0,0.0352003952650366
2021-03-18,2021-03-18,29.94409519,57700.01,-0.0213536525382044
2021-03-19,2021-03-19,29.88969449,58089.11,0.0067434996978337
2021-03-20,2021-03-20,29.75350235,58145.61,0.0009726435815593
2021-03-21,2021-03-21,29.2780354,57415.18,-0.0125620833627853
2021-03-22,2021-03-22,27.54749351,54129.56,-0.0572256326636962
