start_time,datetime,netflow_total
2021-01-05 03:00:00,2021-01-05 03:00:00,57.19273449
2021-01-05 04:00:00,2021-01-05 04:00:00,43.00489529
2021-01-05 05:00:00,2021-01-05 05:00:00,61.86967573
2021-01-05 06:00:00,2021-01-05 06:00:00,33.90887755
2021-01-05 07:00:00,2021-01-05 07:00:00,22.67306764
2021-01-05 08:00:00,2021-01-05 08:00:00,24.47339055
2021-01-05 09:00:00,2021-01-05 09:00:00,23.09385692
2021-01-05 10:00:00,2021-01-05 10:00:00,50.83129637
2021-01-05 11:00:00,2021-01-05 11:00:00,17.2415358
2021-01-05 12:00:00,2021-01-05 12:00:00,44.34400548
2021-01-05 13:00:00,2021-01-05 13:00:00,185.93359929
2021-01-05 14:00:00,2021-01-05 14:00:00,33.5554666
2021-01-05 15:00:00,2021-01-05 15:00:00,12.36754158
2021-01-05 16:00:00,2021-01-05 16:00:00,67.22221798
2021-01-05 17:00:00,2021-01-05 17:00:00,215.84569801
2021-01-05 18:00:00,2021-01-05 18:00:00,-258.51906628
2021-01-05 19:00:00,2021-01-05 19:00:00,48.32467686
2021-01-05 20:00:00,2021-01-05 20:00:00,88.40399339
2021-01-05 21:00:00,2021-01-05 21:00:00,103.63074597
2021-01-05 22:00:00,2021-01-05 22:00:00,51.78646548
2021-01-05 23:00:00,2021-01-05 23:00:00,135.52768627
2021-01-06 00:00:00,2021-01-06 00:00:00,63.68248609
2021-01-06 01:00:00,2021-01-06 01:00:00,53.25420115
2021-01-06 02:00:00,2021-01-06 02:00:00,43.11741751
2021-01-06 03:00:00,2021-01-06 03:00:00,111.70577285
2021-01-06 04:00:00,2021-01-06 04:00:00,74.57640713
2021-01-06 05:00:00,2021-01-06 05:00:00,102.10780958
2021-01-06 06:00:00,2021-01-06 06:00:00,28.24963143
2021-01-06 07:00:00,2021-01-06 07:00:00,16.24548876
2021-01-06 08:00:00,2021-01-06 08:00:00,29.647908
2021-01-06 09:00:00,2021-01-06 09:00:00,18.19282585
2021-01-06 10:00:00,2021-01-06 10:00:00,18.64151464
2021-01-06 11:00:00,2021-01-06 11:00:00,52.91410229
2021-01-06 12:00:00,2021-01-06 12:00:00,7.55824007
2021-01-06 13:00:00,2021-01-06 13:00:00,51.1022698
2021-01-06 14:00:00,2021-01-06 14:00:00,31.51368785
2021-01-06 15:00:00,2021-01-06 15:00:00,61.98189589
2021-01-06 16:00:00,2021-01-06 16:00:00,60.16403256
2021-01-06 17:00:00,2021-01-06 17:00:00,75.91928474
