start_time,datetime,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd
2021-01-03 17:00:00,2021-01-03 17:00:00,142.82533445,4670599.754,310.7023945,10244297.043
2021-01-03 18:00:00,2021-01-03 18:00:00,213.09315624,6925155.8575,3.50458593,114406.997
2021-01-03 19:00:00,2021-01-03 19:00:00,13.66082188,445472.3505,1.02211737,33537.81
2021-01-03 20:00:00,2021-01-03 20:00:00,32.73920867,1100737.1265,80.83664232,2705907.2645
2021-01-03 21:00:00,2021-01-03 21:00:00,71.4120721,2404300.035,3.59655627,121810.669
2021-01-03 22:00:00,2021-01-03 22:00:00,249.49673195,8312064.8575,6.69463665,224841.8965
2021-01-03 23:00:00,2021-01-03 23:00:00,191.40992452,6308846.235,165.3812704,5544345.467
2021-01-04 00:00:00,2021-01-04 00:00:00,183.15089504,5976343.0285,34.38027566,1133612.1065
2021-01-04 01:00:00,2021-01-04 01:00:00,3.5748411,117066.0,36.73262668,1218242.5955
2021-01-04 02:00:00,2021-01-04 02:00:00,14.97093561,496929.0,40.48962643,1358376.1845
2021-01-04 03:00:00,2021-01-04 03:00:00,13.66120654,455264.275,1.16622574,39152.0
2021-01-04 04:00:00,2021-01-04 04:00:00,21.70616309,724850.7995,1.8613749,62610.816
2021-01-04 05:00:00,2021-01-04 05:00:00,57.06403761,1886136.254,0.0029963,100.0
2021-01-04 06:00:00,2021-01-04 06:00:00,12.32199138,409006.944,13.39144689,446576.126
2021-01-04 07:00:00,2021-01-04 07:00:00,790.75456176,25430129.0575,30.79375145,993779.178
2021-01-04 08:00:00,2021-01-04 08:00:00,453.89310767,14359492.936,31.81860677,1019912.3425
2021-01-04 09:00:00,2021-01-04 09:00:00,1927.45954547,59591977.4315,21.44106619,665787.9975
2021-01-04 10:00:00,2021-01-04 10:00:00,3126.48348252,90916196.9505,334.99566876,9757270.599
2021-01-04 11:00:00,2021-01-04 11:00:00,115.65215594,3463325.3685,95.26171556,2896247.397
2021-01-04 12:00:00,2021-01-04 12:00:00,48.9433089,1511952.559,82.47395594,2567156.9585
2021-01-04 13:00:00,2021-01-04 13:00:00,76.37125386,2354660.305,53.78709064,1675729.9715
2021-01-04 14:00:00,2021-01-04 14:00:00,2.76334842,87290.358,166.95785947,5330554.599
2021-01-04 15:00:00,2021-01-04 15:00:00,59.20570625,1881373.0355,31.76224183,1015065.7665
2021-01-04 16:00:00,2021-01-04 16:00:00,363.12016124,11328192.2865,195.0539776,6088468.969
2021-01-04 17:00:00,2021-01-04 17:00:00,75.72505604,2342797.8605,3.96873327,123336.533
2021-01-04 18:00:00,2021-01-04 18:00:00,38.2101243,1191209.119,10.83617177,338597.2645
2021-01-04 19:00:00,2021-01-04 19:00:00,5.07571771,159665.131,82.77151746,2623883.398
2021-01-04 20:00:00,2021-01-04 20:00:00,37.27408607,1171569.465,1.31731141,41839.0
2021-01-04 21:00:00,2021-01-04 21:00:00,84.65971469,2622071.6575,101.31196519,3196242.03
2021-01-04 22:00:00,2021-01-04 22:00:00,0.0,0.0,129.16334886,4033352.5305
2021-01-04 23:00:00,2021-01-04 23:00:00,67.69585406,2154692.621,30.61256273,972227.3185
2021-01-05 00:00:00,2021-01-05 00:00:00,17.1630201,555830.9765,145.26128559,4722960.947
2021-01-05 01:00:00,2021-01-05 01:00:00,20.67947052,669240.357,2.75216703,90003.639
2021-01-05 02:00:00,2021-01-05 02:00:00,10.66566856,345920.26,7.92169325,257447.473
2021-01-05 03:00:00,2021-01-05 03:00:00,269.18108232,8517416.082,6.25156962,197601.0
