start_time,datetime,fees_burnt_total,fees_burnt_total_usd
2024-07-08 04:00:00,2024-07-08 04:00:00,6.345494552457372,18490.502246126096
2024-07-08 05:00:00,2024-07-08 05:00:00,6.038479589703762,17613.444429547784
2024-07-08 06:00:00,2024-07-08 06:00:00,7.042796925695418,20513.67389256426
2024-07-08 07:00:00,2024-07-08 07:00:00,7.857001575400324,22997.769861087385
2024-07-08 08:00:00,2024-07-08 08:00:00,20.742371841343836,63417.71569273853
2024-07-08 09:00:00,2024-07-08 09:00:00,22.000866786562284,67124.1946977977
2024-07-08 10:00:00,2024-07-08 10:00:00,13.28253233480774,40035.24812497936
2024-07-08 11:00:00,2024-07-08 11:00:00,11.190772935387582,34171.38506655679
2024-07-08 12:00:00,2024-07-08 12:00:00,13.981843721174036,42632.75665387064
2024-07-08 13:00:00,2024-07-08 13:00:00,19.045983397568357,57851.796817792965
2024-07-08 14:00:00,2024-07-08 14:00:00,46.96302048062479,140053.01945071947
2024-07-08 15:00:00,2024-07-08 15:00:00,30.710689668719727,91181.9049684167
2024-07-08 16:00:00,2024-07-08 16:00:00,28.61203791326605,85027.33930585888
2024-07-08 17:00:00,2024-07-08 17:00:00,21.946546580605627,65505.41693657346
2024-07-08 18:00:00,2024-07-08 18:00:00,19.450591058197062,58185.67617372287
2024-07-08 19:00:00,2024-07-08 19:00:00,13.565596626592251,40761.36665130689
2024-07-08 20:00:00,2024-07-08 20:00:00,11.28904428355164,33842.256965855784
2024-07-08 21:00:00,2024-07-08 21:00:00,10.726088122438387,32455.463738140978
2024-07-08 22:00:00,2024-07-08 22:00:00,8.139242009605677,24617.626066598692
2024-07-08 23:00:00,2024-07-08 23:00:00,7.876386012985492,23778.57967289768
2024-07-09 00:00:00,2024-07-09 00:00:00,7.435196421080047,22483.213462155654
2024-07-09 01:00:00,2024-07-09 01:00:00,8.300732560234954,25147.184390600596
2024-07-09 02:00:00,2024-07-09 02:00:00,8.297495666626416,25506.111150274257
2024-07-09 03:00:00,2024-07-09 03:00:00,8.604990129308485,26367.67711068212
2024-07-09 04:00:00,2024-07-09 04:00:00,7.295202886578581,22405.69096595064
2024-07-09 05:00:00,2024-07-09 05:00:00,7.94023683841596,24360.857003028585
2024-07-09 06:00:00,2024-07-09 06:00:00,9.906862278665612,30460.76789889208
2024-07-09 07:00:00,2024-07-09 07:00:00,11.236149987692766,34403.8920821853
2024-07-09 08:00:00,2024-07-09 08:00:00,15.085790043788126,46519.964379812816
2024-07-09 09:00:00,2024-07-09 09:00:00,13.993916871766276,43213.154090062104
2024-07-09 10:00:00,2024-07-09 10:00:00,14.292577540742828,44044.199844180555
2024-07-09 11:00:00,2024-07-09 11:00:00,11.015040194737589,33965.986281446305
2024-07-09 12:00:00,2024-07-09 12:00:00,14.630969781724374,44922.43055264738
2024-07-09 13:00:00,2024-07-09 13:00:00,17.595767496110806,53989.492321257865
2024-07-09 14:00:00,2024-07-09 14:00:00,33.18314031451583,101056.22726231898
2024-07-09 15:00:00,2024-07-09 15:00:00,55.91623960102285,171540.05460048688
2024-07-09 16:00:00,2024-07-09 16:00:00,36.01369444951397,110789.6288908289
2024-07-09 17:00:00,2024-07-09 17:00:00,25.94212316382845,79179.96609119019
2024-07-09 18:00:00,2024-07-09 18:00:00,18.96433465811206,58033.85394143039
2024-07-09 19:00:00,2024-07-09 19:00:00,16.20831125963087,49735.3220862007
2024-07-09 20:00:00,2024-07-09 20:00:00,16.170977996628125,49678.27399838873
2024-07-09 21:00:00,2024-07-09 21:00:00,23.22754213023205,71095.29706859661
2024-07-09 22:00:00,2024-07-09 22:00:00,15.471028239256457,47336.95082628145
2024-07-09 23:00:00,2024-07-09 23:00:00,13.276021814176566,40711.76610061318
2024-07-10 00:00:00,2024-07-10 00:00:00,11.297603803206115,34264.38814617288
2024-07-10 01:00:00,2024-07-10 01:00:00,13.1743635271864,40303.307316721046
2024-07-10 02:00:00,2024-07-10 02:00:00,12.920237121864972,39678.91395881676
2024-07-10 03:00:00,2024-07-10 03:00:00,12.22368200745477,37650.611985553005
2024-07-10 04:00:00,2024-07-10 04:00:00,19.60554823616489,61149.99072612738
2024-07-10 05:00:00,2024-07-10 05:00:00,18.279398764583473,56712.9740439805
2024-07-10 06:00:00,2024-07-10 06:00:00,23.299514452381754,72473.84633623465
2024-07-10 07:00:00,2024-07-10 07:00:00,18.133412676171684,56165.25187798736
2024-07-10 08:00:00,2024-07-10 08:00:00,21.6272058638848,66774.63231671693
2024-07-10 09:00:00,2024-07-10 09:00:00,20.26723269163466,62587.75342030556
2024-07-10 10:00:00,2024-07-10 10:00:00,15.890140766144588,49306.58963666638
2024-07-10 11:00:00,2024-07-10 11:00:00,28.00017479103616,86867.14871756532
2024-07-10 12:00:00,2024-07-10 12:00:00,27.19744912940965,84578.98945217584
2024-07-10 13:00:00,2024-07-10 13:00:00,34.600403102850706,107473.7826848575
2024-07-10 14:00:00,2024-07-10 14:00:00,56.69539043462396,175795.89272282706
2024-07-10 15:00:00,2024-07-10 15:00:00,71.20034014179349,222327.3545668804
2024-07-10 16:00:00,2024-07-10 16:00:00,56.322390226272795,175728.05668297404
2024-07-10 17:00:00,2024-07-10 17:00:00,70.85234662148295,219836.98345719776
2024-07-10 18:00:00,2024-07-10 18:00:00,36.77274748476836,114070.8437258363
2024-07-10 19:00:00,2024-07-10 19:00:00,30.03857852149666,93314.0939764474
2024-07-10 20:00:00,2024-07-10 20:00:00,21.41623697076491,66304.96301382066
2024-07-10 21:00:00,2024-07-10 21:00:00,15.488306225278004,47947.68179665718
2024-07-10 22:00:00,2024-07-10 22:00:00,17.734188952539586,54991.777743106904
2024-07-10 23:00:00,2024-07-10 23:00:00,11.38234309606528,35293.27092489911
2024-07-11 00:00:00,2024-07-11 00:00:00,12.667314392822483,39277.42183042004
2024-07-11 01:00:00,2024-07-11 01:00:00,11.070205728661673,34558.46583661888
2024-07-11 02:00:00,2024-07-11 02:00:00,13.401700825934396,41601.65473358389
2024-07-11 03:00:00,2024-07-11 03:00:00,14.670969132898126,45144.69186165342
2024-07-11 04:00:00,2024-07-11 04:00:00,11.061131981681196,34118.738183046924
2024-07-11 05:00:00,2024-07-11 05:00:00,10.624917202870709,32917.801374305134
2024-07-11 06:00:00,2024-07-11 06:00:00,10.520836306347611,32672.57949879813
2024-07-11 07:00:00,2024-07-11 07:00:00,18.3847271389007,57321.69566316675
2024-07-11 08:00:00,2024-07-11 08:00:00,19.899229208205583,62141.33346798848
2024-07-11 09:00:00,2024-07-11 09:00:00,50.159100145329525,157688.2905793699
2024-07-11 10:00:00,2024-07-11 10:00:00,21.1237378564122,66434.58208808623
2024-07-11 11:00:00,2024-07-11 11:00:00,19.220788177505995,60489.97232253363
2024-07-11 12:00:00,2024-07-11 12:00:00,42.61666132663612,136057.04051463597
2024-07-11 13:00:00,2024-07-11 13:00:00,37.93525261712325,120661.19077942189
2024-07-11 14:00:00,2024-07-11 14:00:00,39.21854884606227,123519.5650054733
2024-07-11 15:00:00,2024-07-11 15:00:00,39.399756700186046,122858.12317692152
2024-07-11 16:00:00,2024-07-11 16:00:00,51.93439906788223,162354.3587560046
2024-07-11 17:00:00,2024-07-11 17:00:00,37.89412026766801,118648.59324671888
2024-07-11 18:00:00,2024-07-11 18:00:00,29.15855622831339,91498.87597102374
2024-07-11 19:00:00,2024-07-11 19:00:00,22.130911357587497,68760.90283495105
2024-07-11 20:00:00,2024-07-11 20:00:00,20.299224322035627,63247.13621386476
2024-07-11 21:00:00,2024-07-11 21:00:00,15.519046025893376,48260.4846914124
2024-07-11 22:00:00,2024-07-11 22:00:00,13.554088069529644,42056.34110513089
2024-07-11 23:00:00,2024-07-11 23:00:00,9.068186225156802,28107.23184983352
2024-07-12 00:00:00,2024-07-12 00:00:00,9.370020848409226,28987.675304471333
2024-07-12 01:00:00,2024-07-12 01:00:00,12.066219050806998,37267.595231444655
2024-07-12 02:00:00,2024-07-12 02:00:00,9.623175950566516,29901.20824661736
2024-07-12 03:00:00,2024-07-12 03:00:00,10.541160821193158,32524.444916468135
2024-07-12 04:00:00,2024-07-12 04:00:00,8.565076651093257,26412.528842755444
2024-07-12 05:00:00,2024-07-12 05:00:00,7.175638321818082,22121.447685210325
2024-07-12 06:00:00,2024-07-12 06:00:00,11.640115653603214,35993.78232240133
2024-07-12 07:00:00,2024-07-12 07:00:00,15.86349406142355,48736.473789651754
2024-07-12 08:00:00,2024-07-12 08:00:00,14.060636134917328,43321.22957622193
2024-07-12 09:00:00,2024-07-12 09:00:00,14.180544467585673,43373.717978927394
2024-07-12 10:00:00,2024-07-12 10:00:00,12.496553339890108,38380.198165236085
2024-07-12 11:00:00,2024-07-12 11:00:00,9.099268224103753,27934.71697967835
2024-07-12 12:00:00,2024-07-12 12:00:00,13.20289174586329,40604.565625694006
2024-07-12 13:00:00,2024-07-12 13:00:00,18.45069967531988,57555.21617359123
2024-07-12 14:00:00,2024-07-12 14:00:00,23.339111531743548,72786.90584305322
2024-07-12 15:00:00,2024-07-12 15:00:00,26.849655772604855,84084.63786864611
2024-07-12 16:00:00,2024-07-12 16:00:00,19.71949920140606,61904.70133452414
2024-07-12 17:00:00,2024-07-12 17:00:00,18.406425998052196,57863.42720686774
2024-07-12 18:00:00,2024-07-12 18:00:00,12.787977035593666,40184.14843761672
2024-07-12 19:00:00,2024-07-12 19:00:00,11.712916036087108,36498.717638339825
2024-07-12 20:00:00,2024-07-12 20:00:00,14.476331295325076,45012.613314899354
2024-07-12 21:00:00,2024-07-12 21:00:00,10.508700762340496,32782.772883287216
2024-07-12 22:00:00,2024-07-12 22:00:00,8.880660303552036,27777.975860976378
2024-07-12 23:00:00,2024-07-12 23:00:00,6.354136727471878,19915.42384730169
2024-07-13 00:00:00,2024-07-13 00:00:00,5.913666427992326,18527.75496887022
2024-07-13 01:00:00,2024-07-13 01:00:00,9.867448232169856,30882.56881014872
2024-07-13 02:00:00,2024-07-13 02:00:00,5.758679587705967,18013.035311387266
2024-07-13 03:00:00,2024-07-13 03:00:00,6.23435145855461,19457.97463976365
2024-07-13 04:00:00,2024-07-13 04:00:00,6.023564121208677,18768.246372109803
2024-07-13 05:00:00,2024-07-13 05:00:00,5.9652759110053415,18695.067797145795
2024-07-13 06:00:00,2024-07-13 06:00:00,6.82500351571195,21400.102164849985
2024-07-13 07:00:00,2024-07-13 07:00:00,6.993795872338358,21963.065812634683
2024-07-13 08:00:00,2024-07-13 08:00:00,7.0284337257655665,21996.48326507894
2024-07-13 09:00:00,2024-07-13 09:00:00,6.728889181583668,21303.51676722557
2024-07-13 10:00:00,2024-07-13 10:00:00,6.730842556583064,21259.22651148414
2024-07-13 11:00:00,2024-07-13 11:00:00,6.365216132056989,20094.639868941347
2024-07-13 12:00:00,2024-07-13 12:00:00,8.25129830732115,26053.22675436468
2024-07-13 13:00:00,2024-07-13 13:00:00,8.245730031372874,26009.280181765393
2024-07-13 14:00:00,2024-07-13 14:00:00,10.46788649704602,33019.79955346094
2024-07-13 15:00:00,2024-07-13 15:00:00,9.718617255394028,30663.686184351944
2024-07-13 16:00:00,2024-07-13 16:00:00,9.167763941947737,28899.46350963297
2024-07-13 17:00:00,2024-07-13 17:00:00,7.363601418844586,23244.355732088396
2024-07-13 18:00:00,2024-07-13 18:00:00,6.9816526987113345,22014.989567430912
2024-07-13 19:00:00,2024-07-13 19:00:00,6.541356147108004,20695.370751774022
2024-07-13 20:00:00,2024-07-13 20:00:00,6.426276765332141,20324.92771801261
2024-07-13 21:00:00,2024-07-13 21:00:00,6.82013540110142,21589.18014551531
2024-07-13 22:00:00,2024-07-13 22:00:00,30.098951266440032,96071.6834815841
2024-07-13 23:00:00,2024-07-13 23:00:00,85.74005300888594,272327.3378514392
2024-07-14 00:00:00,2024-07-14 00:00:00,24.411221234897717,77813.55951461096
2024-07-14 01:00:00,2024-07-14 01:00:00,16.01439693560078,51037.63030335517
2024-07-14 02:00:00,2024-07-14 02:00:00,9.412628398857024,29867.051993007084
2024-07-14 03:00:00,2024-07-14 03:00:00,7.769865387311789,24652.061869036366
2024-07-14 04:00:00,2024-07-14 04:00:00,8.439022020484003,26949.4452527708
2024-07-14 05:00:00,2024-07-14 05:00:00,10.629066594351391,34027.56248906403
2024-07-14 06:00:00,2024-07-14 06:00:00,10.326606494779504,32950.394845200804
2024-07-14 07:00:00,2024-07-14 07:00:00,9.015206391902554,28819.14409382198
2024-07-14 08:00:00,2024-07-14 08:00:00,15.081164254982216,48420.33236594133
2024-07-14 09:00:00,2024-07-14 09:00:00,12.087247906024505,38837.416526766494
2024-07-14 10:00:00,2024-07-14 10:00:00,8.229518192281343,26317.59559050554
2024-07-14 11:00:00,2024-07-14 11:00:00,8.172417656214254,26172.79512359177
2024-07-14 12:00:00,2024-07-14 12:00:00,10.498061526836011,33485.879138175085
2024-07-14 13:00:00,2024-07-14 13:00:00,9.682772651007284,30831.80236818723
2024-07-14 14:00:00,2024-07-14 14:00:00,18.879800479074092,60269.65845981295
2024-07-14 15:00:00,2024-07-14 15:00:00,18.90629239678271,60324.68644183545
2024-07-14 16:00:00,2024-07-14 16:00:00,23.674209317903088,75672.76881192064
2024-07-14 17:00:00,2024-07-14 17:00:00,16.170343875357432,51595.411083528554
2024-07-14 18:00:00,2024-07-14 18:00:00,14.720030141312398,46905.412510633825
2024-07-14 19:00:00,2024-07-14 19:00:00,10.29263067130606,32842.236724799426
2024-07-14 20:00:00,2024-07-14 20:00:00,9.108248348624514,29150.40209120712
2024-07-14 21:00:00,2024-07-14 21:00:00,10.6564170589863,34682.0941086002
2024-07-14 22:00:00,2024-07-14 22:00:00,11.773792377788752,38219.208672372806
2024-07-14 23:00:00,2024-07-14 23:00:00,8.06259819448561,26166.11372684888
2024-07-15 00:00:00,2024-07-15 00:00:00,9.260103513750996,30362.18173486498
2024-07-15 01:00:00,2024-07-15 01:00:00,15.395832444006606,50400.61540105796
