sell,buy,time,close,high,open,low,volume
23249.972,24972.13,1569369600,8430.07,8725.24,8493.32,8200.0,48222.102
30134.557,29931.388,1569456000,8060.15,8464.4,8428.15,7700.67,60065.945
19073.791,20960.862,1569542400,8176.52,8260.0,8061.98,7851.94,40034.653
16958.757,16862.162,1569628800,8195.38,8311.0,8178.26,8001.14,33820.919
15908.437,20057.619,1569715200,8041.96,8226.35,8199.0,7888.98,35966.056
26477.161,27935.359,1569801600,8285.84,8331.89,8042.08,7709.01,54412.52
19665.06,19547.744,1569888000,8290.0,8499.0,8285.31,8171.0,39212.804
16488.579,13840.6,1569974400,8352.14,8365.92,8290.0,8149.35,30329.179
18252.407,15177.823,1570060800,8220.27,8386.0,8353.4,8020.0,33430.23
15983.135,12437.976,1570147200,8130.56,8227.42,8219.95,7979.95,28421.111
18062.305,12199.701,1570233600,8122.14,8175.0,8130.0,8010.0,30262.006
22118.511,19790.528,1570320000,7852.79,8148.43,8122.01,7760.0,41909.039
32212.862,30547.437,1570406400,8186.88,8330.0,7851.01,7764.42,62760.299
23982.908,20732.257,1570492800,8167.62,8322.01,8188.55,8103.88,44715.165
34011.468,31442.175,1570579200,8559.77,8700.0,8168.33,8113.0,65453.643
24193.427,20092.241,1570665600,8556.02,8640.89,8559.77,8419.34,44285.668
36300.582,32857.382,1570752000,8255.58,8788.0,8557.0,8210.0,69157.964
22453.235,15308.279,1570838400,8300.22,8397.45,8255.54,8248.34,37761.514
24392.653,19428.26,1570924800,8274.66,8456.0,8300.31,8137.3,43820.913
33219.617,28780.204,1571011200,8346.05,8381.77,8274.33,8205.02,61999.821
43342.084,42904.665,1571097600,8160.01,8408.62,8346.31,8080.0,86246.749
33340.115,37094.337,1571184000,7992.21,8184.0,8160.55,7900.24,70434.452
28140.132,30214.47,1571270400,8069.2,8124.63,7994.76,7930.0,58354.602
36334.866,38916.486,1571356800,7943.94,8117.3,8069.41,7812.0,75251.352
38076.389,39948.006,1571443200,7947.13,8108.54,7945.57,7852.12,78024.395
38613.581,40050.334,1571529600,8218.23,8300.5,7947.78,7871.17,78663.915
29767.963,30160.553,1571616000,8201.74,8334.57,8218.23,8150.0,59928.516
33797.539,35709.341,1571702400,8020.89,8290.0,8201.0,8000.0,69506.88
55877.609,52606.53,1571788800,7465.0,8047.78,8020.68,7172.76,108484.139
35750.129,30969.405,1571875200,7411.35,7495.81,7465.18,7337.44,66719.534
80998.455,84120.471,1571961600,8650.0,8800.0,7410.07,7359.0,165118.926
125296.201,122864.96,1572048000,9232.22,10408.48,8650.0,8626.89,248161.161
82977.482,80566.537,1572134400,9533.32,9803.83,9234.75,9066.07,163544.019
79326.624,76273.351,1572220800,9217.36,9930.13,9534.37,9156.03,155599.975
62654.136,62048.878,1572307200,9415.02,9569.1,9215.78,9070.0,124703.014
50179.022,48285.836,1572393600,9165.3,9418.65,9415.02,8975.72,98464.858
50529.588,48306.456,1572480000,9150.0,9438.64,9163.4,8933.0,98836.044
43659.673,43597.276,1572566400,9231.01,9280.0,9149.88,9050.27,87256.949
28542.315,28059.74,1572652800,9287.8,9375.0,9231.7,9194.98,56602.055
39102.576,36510.146,1572739200,9197.88,9366.69,9288.96,9073.0,75612.722
44578.2,45855.157,1572825600,9395.46,9550.0,9197.86,9126.01,90433.357
57991.974,55746.252,1572912000,9313.2,9457.13,9395.47,9164.33,113738.226
37055.104,36712.807,1572998400,9343.6,9450.0,9313.1,9259.48,73767.911
39919.198,37470.371,1573084800,9219.64,9381.93,9344.29,9091.2,77389.569
79081.468,72769.692,1573171200,8775.03,9259.3,9221.63,8669.85,151851.16
33690.551,33155.841,1573257600,8811.15,8878.0,8775.6,8727.0,66846.392
44970.697,46128.5,1573344000,9041.31,9187.0,8811.3,8760.0,91099.197
58673.88,54699.882,1573430400,8728.93,9072.91,9041.31,8611.11,113373.762
53805.007,53715.539,1573516800,8817.0,8889.06,8729.89,8552.12,107520.546
29612.098,28973.713,1573603200,8774.76,8838.0,8817.94,8712.0,58585.811
44548.316,42551.679,1573689600,8642.25,8798.06,8774.78,8581.39,87099.995
74708.751,70893.746,1573776000,8473.27,8780.0,8642.47,8380.0,145602.497
24468.127,24188.913,1573862400,8491.06,8540.54,8473.3,8435.0,48657.04
36295.525,35856.741,1573948800,8504.04,8631.0,8491.18,8355.78,72152.266
