start_time,datetime,estimated_leverage_ratio
2021-01-04 14:00:00,2021-01-04 14:00:00,1.10591025
2021-01-04 15:00:00,2021-01-04 15:00:00,1.15254998
2021-01-04 16:00:00,2021-01-04 16:00:00,1.11434813
2021-01-04 17:00:00,2021-01-04 17:00:00,1.09512948
2021-01-04 18:00:00,2021-01-04 18:00:00,1.07658711
2021-01-04 19:00:00,2021-01-04 19:00:00,1.06206543
2021-01-04 20:00:00,2021-01-04 20:00:00,1.06908301
2021-01-04 21:00:00,2021-01-04 21:00:00,1.07089819
2021-01-04 22:00:00,2021-01-04 22:00:00,1.057216
2021-01-04 23:00:00,2021-01-04 23:00:00,1.06799257
2021-01-05 00:00:00,2021-01-05 00:00:00,1.09553268
2021-01-05 01:00:00,2021-01-05 01:00:00,1.08507121
2021-01-05 02:00:00,2021-01-05 02:00:00,1.08498762
2021-01-05 03:00:00,2021-01-05 03:00:00,1.08950122
2021-01-05 04:00:00,2021-01-05 04:00:00,1.11581779
2021-01-05 05:00:00,2021-01-05 05:00:00,1.09785016
2021-01-05 06:00:00,2021-01-05 06:00:00,1.03636302
2021-01-05 07:00:00,2021-01-05 07:00:00,1.03928295
2021-01-05 08:00:00,2021-01-05 08:00:00,1.05339468
2021-01-05 09:00:00,2021-01-05 09:00:00,1.04110615
2021-01-05 10:00:00,2021-01-05 10:00:00,1.04863867
2021-01-05 11:00:00,2021-01-05 11:00:00,1.03893448
2021-01-05 12:00:00,2021-01-05 12:00:00,1.04607214
2021-01-05 13:00:00,2021-01-05 13:00:00,1.05872334
2021-01-05 14:00:00,2021-01-05 14:00:00,1.05790819
2021-01-05 15:00:00,2021-01-05 15:00:00,1.08302877
2021-01-05 16:00:00,2021-01-05 16:00:00,1.09364091
2021-01-05 17:00:00,2021-01-05 17:00:00,1.10639948
2021-01-05 18:00:00,2021-01-05 18:00:00,1.13671852
2021-01-05 19:00:00,2021-01-05 19:00:00,1.09589598
2021-01-05 20:00:00,2021-01-05 20:00:00,1.09421954
2021-01-05 21:00:00,2021-01-05 21:00:00,1.10237867
2021-01-05 22:00:00,2021-01-05 22:00:00,1.11658325
2021-01-05 23:00:00,2021-01-05 23:00:00,1.1246756
2021-01-06 00:00:00,2021-01-06 00:00:00,1.10941928
2021-01-06 01:00:00,2021-01-06 01:00:00,1.1086508
2021-01-06 02:00:00,2021-01-06 02:00:00,1.10889632
2021-01-06 03:00:00,2021-01-06 03:00:00,1.10390287
2021-01-06 04:00:00,2021-01-06 04:00:00,1.0920951
2021-01-06 05:00:00,2021-01-06 05:00:00,1.10321065
2021-01-06 06:00:00,2021-01-06 06:00:00,1.11806634
2021-01-06 07:00:00,2021-01-06 07:00:00,1.11761637
2021-01-06 08:00:00,2021-01-06 08:00:00,1.08608407
2021-01-06 09:00:00,2021-01-06 09:00:00,1.09211353
2021-01-06 10:00:00,2021-01-06 10:00:00,1.10396218
2021-01-06 11:00:00,2021-01-06 11:00:00,1.1101544
2021-01-06 12:00:00,2021-01-06 12:00:00,1.10589727
2021-01-06 13:00:00,2021-01-06 13:00:00,1.09316386
2021-01-06 14:00:00,2021-01-06 14:00:00,1.10474148
2021-01-06 15:00:00,2021-01-06 15:00:00,1.10510622
2021-01-06 16:00:00,2021-01-06 16:00:00,1.13974878
2021-01-06 17:00:00,2021-01-06 17:00:00,1.1701519
2021-01-06 18:00:00,2021-01-06 18:00:00,1.18194471
2021-01-06 19:00:00,2021-01-06 19:00:00,1.15674399
2021-01-06 20:00:00,2021-01-06 20:00:00,1.15627038
2021-01-06 21:00:00,2021-01-06 21:00:00,1.14047295
2021-01-06 22:00:00,2021-01-06 22:00:00,1.11886589
2021-01-06 23:00:00,2021-01-06 23:00:00,1.12283397
2021-01-07 00:00:00,2021-01-07 00:00:00,1.09755141
2021-01-07 01:00:00,2021-01-07 01:00:00,1.10249791
2021-01-07 02:00:00,2021-01-07 02:00:00,1.08838309
2021-01-07 03:00:00,2021-01-07 03:00:00,1.07441033
2021-01-07 04:00:00,2021-01-07 04:00:00,1.07566585
2021-01-07 05:00:00,2021-01-07 05:00:00,1.07725982
2021-01-07 06:00:00,2021-01-07 06:00:00,1.05046356
2021-01-07 07:00:00,2021-01-07 07:00:00,1.0548838
2021-01-07 08:00:00,2021-01-07 08:00:00,1.03942448
2021-01-07 09:00:00,2021-01-07 09:00:00,1.06009755
2021-01-07 10:00:00,2021-01-07 10:00:00,1.0923566
2021-01-07 11:00:00,2021-01-07 11:00:00,1.06036821
2021-01-07 12:00:00,2021-01-07 12:00:00,1.06697089
2021-01-07 13:00:00,2021-01-07 13:00:00,1.07620697
2021-01-07 14:00:00,2021-01-07 14:00:00,1.10255044
2021-01-07 15:00:00,2021-01-07 15:00:00,1.10560748
2021-01-07 16:00:00,2021-01-07 16:00:00,1.13688973
2021-01-07 17:00:00,2021-01-07 17:00:00,1.15550499
2021-01-07 18:00:00,2021-01-07 18:00:00,1.03096221
2021-01-07 19:00:00,2021-01-07 19:00:00,1.04017751
2021-01-07 20:00:00,2021-01-07 20:00:00,1.02344278
2021-01-07 21:00:00,2021-01-07 21:00:00,1.0336066
2021-01-07 22:00:00,2021-01-07 22:00:00,1.04460512
2021-01-07 23:00:00,2021-01-07 23:00:00,1.05199583
2021-01-08 00:00:00,2021-01-08 00:00:00,1.04951787
2021-01-08 01:00:00,2021-01-08 01:00:00,1.02734835
2021-01-08 02:00:00,2021-01-08 02:00:00,1.03321961
2021-01-08 03:00:00,2021-01-08 03:00:00,1.08797059
2021-01-08 04:00:00,2021-01-08 04:00:00,1.10316416
2021-01-08 05:00:00,2021-01-08 05:00:00,1.09540098
2021-01-08 06:00:00,2021-01-08 06:00:00,1.07543399
2021-01-08 07:00:00,2021-01-08 07:00:00,1.10276986
2021-01-08 08:00:00,2021-01-08 08:00:00,1.09114411
2021-01-08 09:00:00,2021-01-08 09:00:00,1.08335887
2021-01-08 10:00:00,2021-01-08 10:00:00,1.0108284
2021-01-08 11:00:00,2021-01-08 11:00:00,1.03469137
2021-01-08 12:00:00,2021-01-08 12:00:00,1.02864593
2021-01-08 13:00:00,2021-01-08 13:00:00,1.0287804
2021-01-08 14:00:00,2021-01-08 14:00:00,1.04858975
2021-01-08 15:00:00,2021-01-08 15:00:00,1.05003139
2021-01-08 16:00:00,2021-01-08 16:00:00,1.04045412
