start_time,block_interval,datetime
2021-01-01 00:00:00,13.13235294,2021-01-01 00:00:00
2021-01-01 01:00:00,12.34707904,2021-01-01 01:00:00
2021-01-01 02:00:00,12.14285714,2021-01-01 02:00:00
2021-01-01 03:00:00,13.24907063,2021-01-01 03:00:00
2021-01-01 04:00:00,12.79347826,2021-01-01 04:00:00
2021-01-01 05:00:00,12.56183746,2021-01-01 05:00:00
2021-01-01 06:00:00,14.36546185,2021-01-01 06:00:00
2021-01-01 07:00:00,14.74380165,2021-01-01 07:00:00
2021-01-01 08:00:00,14.3373494,2021-01-01 08:00:00
2021-01-01 09:00:00,14.50607287,2021-01-01 09:00:00
2021-01-01 10:00:00,11.98322148,2021-01-01 10:00:00
2021-01-01 11:00:00,13.33457249,2021-01-01 11:00:00
2021-01-01 12:00:00,12.40625,2021-01-01 12:00:00
2021-01-01 13:00:00,13.18081181,2021-01-01 13:00:00
2021-01-01 14:00:00,12.51748252,2021-01-01 14:00:00
2021-01-01 15:00:00,12.16610169,2021-01-01 15:00:00
2021-01-01 16:00:00,12.47902098,2021-01-01 16:00:00
2021-01-01 17:00:00,14.54251012,2021-01-01 17:00:00
2021-01-01 18:00:00,13.10948905,2021-01-01 18:00:00
2021-01-01 19:00:00,13.58555133,2021-01-01 19:00:00
2021-01-01 20:00:00,12.94584838,2021-01-01 20:00:00
2021-01-01 21:00:00,13.43233083,2021-01-01 21:00:00
2021-01-01 22:00:00,14.0984252,2021-01-01 22:00:00
2021-01-01 23:00:00,12.99272727,2021-01-01 23:00:00
2021-01-02 00:00:00,13.31226766,2021-01-02 00:00:00
2021-01-02 01:00:00,13.38951311,2021-01-02 01:00:00
2021-01-02 02:00:00,12.24657534,2021-01-02 02:00:00
2021-01-02 03:00:00,12.35517241,2021-01-02 03:00:00
2021-01-02 04:00:00,13.01811594,2021-01-02 04:00:00
2021-01-02 05:00:00,13.5112782,2021-01-02 05:00:00
2021-01-02 06:00:00,13.59695817,2021-01-02 06:00:00
2021-01-02 07:00:00,13.21481481,2021-01-02 07:00:00
2021-01-02 08:00:00,13.34200743,2021-01-02 08:00:00
2021-01-02 09:00:00,12.04026846,2021-01-02 09:00:00
2021-01-02 10:00:00,13.71923077,2021-01-02 10:00:00
2021-01-02 11:00:00,13.51515152,2021-01-02 11:00:00
2021-01-02 12:00:00,12.49477352,2021-01-02 12:00:00
2021-01-02 13:00:00,13.38576779,2021-01-02 13:00:00
2021-01-02 14:00:00,13.35687732,2021-01-02 14:00:00
2021-01-02 15:00:00,14.64489796,2021-01-02 15:00:00
2021-01-02 16:00:00,12.47038328,2021-01-02 16:00:00
2021-01-02 17:00:00,13.37453184,2021-01-02 17:00:00
2021-01-02 18:00:00,11.91582492,2021-01-02 18:00:00
2021-01-02 19:00:00,13.10583942,2021-01-02 19:00:00
2021-01-02 20:00:00,13.31481481,2021-01-02 20:00:00
2021-01-02 21:00:00,12.66784452,2021-01-02 21:00:00
2021-01-02 22:00:00,13.77606178,2021-01-02 22:00:00
2021-01-02 23:00:00,12.47222222,2021-01-02 23:00:00
2021-01-03 00:00:00,14.79012346,2021-01-03 00:00:00
2021-01-03 01:00:00,13.76923077,2021-01-03 01:00:00
2021-01-03 02:00:00,12.84587814,2021-01-03 02:00:00
2021-01-03 03:00:00,12.96727273,2021-01-03 03:00:00
2021-01-03 04:00:00,15.1779661,2021-01-03 04:00:00
2021-01-03 05:00:00,14.10980392,2021-01-03 05:00:00
2021-01-03 06:00:00,13.3037037,2021-01-03 06:00:00
2021-01-03 07:00:00,13.60536398,2021-01-03 07:00:00
2021-01-03 08:00:00,12.58041958,2021-01-03 08:00:00
2021-01-03 09:00:00,12.41608392,2021-01-03 09:00:00
2021-01-03 10:00:00,13.00729927,2021-01-03 10:00:00
2021-01-03 11:00:00,12.53333333,2021-01-03 11:00:00
2021-01-03 12:00:00,13.11678832,2021-01-03 12:00:00
2021-01-03 13:00:00,13.57633588,2021-01-03 13:00:00
2021-01-03 14:00:00,12.84115523,2021-01-03 14:00:00
2021-01-03 15:00:00,12.65492958,2021-01-03 15:00:00
2021-01-03 16:00:00,14.16205534,2021-01-03 16:00:00
2021-01-03 17:00:00,12.89818182,2021-01-03 17:00:00
2021-01-03 18:00:00,12.65124555,2021-01-03 18:00:00
2021-01-03 19:00:00,13.90272374,2021-01-03 19:00:00
2021-01-03 20:00:00,11.87707641,2021-01-03 20:00:00
2021-01-03 21:00:00,14.20717131,2021-01-03 21:00:00
2021-01-03 22:00:00,13.70384615,2021-01-03 22:00:00
2021-01-03 23:00:00,13.36329588,2021-01-03 23:00:00
2021-01-04 00:00:00,13.91828794,2021-01-04 00:00:00
2021-01-04 01:00:00,13.5509434,2021-01-04 01:00:00
2021-01-04 02:00:00,13.28252788,2021-01-04 02:00:00
2021-01-04 03:00:00,12.10472973,2021-01-04 03:00:00
2021-01-04 04:00:00,13.76628352,2021-01-04 04:00:00
2021-01-04 05:00:00,13.70114943,2021-01-04 05:00:00
2021-01-04 06:00:00,14.10629921,2021-01-04 06:00:00
2021-01-04 07:00:00,12.63380282,2021-01-04 07:00:00
2021-01-04 08:00:00,14.41700405,2021-01-04 08:00:00
2021-01-04 09:00:00,13.09225092,2021-01-04 09:00:00
2021-01-04 10:00:00,13.26492537,2021-01-04 10:00:00
2021-01-04 11:00:00,13.26394052,2021-01-04 11:00:00
2021-01-04 12:00:00,13.92248062,2021-01-04 12:00:00
2021-01-04 13:00:00,13.37686567,2021-01-04 13:00:00
2021-01-04 14:00:00,12.94545455,2021-01-04 14:00:00
