start_time,datetime,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total
2021-01-01 00:00:00,2021-01-01 00:00:00,13.083139458745038,5.347144149330818,16949.709537499,21547.930688553075
2021-01-01 01:00:00,2021-01-01 01:00:00,13.85105124841572,6.840703394629351,20296.753305069,24225.488633479097
2021-01-01 02:00:00,2021-01-01 02:00:00,4.98825636163042,7.255772456833332,6396.824475488,8734.436889214865
2021-01-01 03:00:00,2021-01-01 03:00:00,7.334662860088747,6.767514296504992,9145.080233261,11324.719455977023
2021-01-01 04:00:00,2021-01-01 04:00:00,3.4208445382506287,6.73506099264396,3837.512474777,5333.096635132731
2021-01-01 05:00:00,2021-01-01 05:00:00,3.8993800425353786,7.061970265002138,3707.690979183,6098.630386525332
2021-01-01 06:00:00,2021-01-01 06:00:00,14.159773291557004,8.67672968588899,18694.389305254,20290.955126801186
2021-01-01 07:00:00,2021-01-01 07:00:00,3.355590256149968,7.287079799803981,3209.199032279,4919.295315515854
2021-01-01 08:00:00,2021-01-01 08:00:00,6.970553298687107,6.304151521271321,6648.256828087,13055.846328440952
2021-01-01 09:00:00,2021-01-01 09:00:00,15.464035112156214,7.800691342775006,22118.914216558,28175.471974348624
2021-01-01 10:00:00,2021-01-01 10:00:00,3.663906278210559,7.276297545363838,3981.076153762,6591.367394500796
2021-01-01 11:00:00,2021-01-01 11:00:00,2.3635789461249113,7.125259603631592,3551.875349283,4868.972629017318
2021-01-01 12:00:00,2021-01-01 12:00:00,3.3694306335388498,7.049552545203516,3909.839724845,7972.0728789529185
2021-01-01 13:00:00,2021-01-01 13:00:00,9.972022485596316,6.451302430066273,21325.755822149,24999.860371389965
2021-01-01 14:00:00,2021-01-01 14:00:00,3.197499738512435,6.42871807040377,5276.11151551,8671.619290845723
2021-01-01 15:00:00,2021-01-01 15:00:00,2.1740760879835026,5.743507040303255,5537.003524652,9711.597885022307
2021-01-01 16:00:00,2021-01-01 16:00:00,8.582663824836823,4.760453999257628,25812.435842014,29129.561021496174
2021-01-01 17:00:00,2021-01-01 17:00:00,3.4118013042548787,4.724439002978245,4596.320261107,8430.561022813805
2021-01-01 18:00:00,2021-01-01 18:00:00,4.360257786599277,5.009678837331726,4628.885231079,11053.253489029168
2021-01-01 19:00:00,2021-01-01 19:00:00,3.246029609239036,4.99205011957461,9459.523686194,12922.443874380602
2021-01-01 20:00:00,2021-01-01 20:00:00,11.612626980379794,5.2264221902579635,26024.341928070393,29403.17151432164
2021-01-01 21:00:00,2021-01-01 21:00:00,5.7946670767325505,5.59744609571798,10501.294818495,12701.910232197752
2021-01-01 22:00:00,2021-01-01 22:00:00,15.242777023638306,7.464403372240095,26145.88359804773,28046.70972349448
2021-01-01 23:00:00,2021-01-01 23:00:00,2.2672934153099655,6.562207599450544,2648.135103536,4128.741309279447
2021-01-02 00:00:00,2021-01-02 00:00:00,3.5075369809966093,6.575884124699363,3326.107142652,6629.244894083591
2021-01-02 01:00:00,2021-01-02 01:00:00,7.065702783747162,6.962376267149061,7951.43911197,11545.358348642863
