start_time,datetime,tokens_transferred_count_mean,tokens_transferred_count_total
2021-01-04 18:00:00,2021-01-04 18:00:00,80.36231884,22180
2021-01-04 19:00:00,2021-01-04 19:00:00,83.75806452,20772
2021-01-04 20:00:00,2021-01-04 20:00:00,74.82154882,22222
2021-01-04 21:00:00,2021-01-04 21:00:00,71.33793103,20688
2021-01-04 22:00:00,2021-01-04 22:00:00,78.91372549,20123
2021-01-04 23:00:00,2021-01-04 23:00:00,66.86896552,19392
2021-01-05 00:00:00,2021-01-05 00:00:00,65.3740458,17128
2021-01-05 01:00:00,2021-01-05 01:00:00,75.06227106,20492
2021-01-05 02:00:00,2021-01-05 02:00:00,85.75409836,20924
2021-01-05 03:00:00,2021-01-05 03:00:00,88.95951417,21973
2021-01-05 04:00:00,2021-01-05 04:00:00,73.00353357,20660
2021-01-05 05:00:00,2021-01-05 05:00:00,64.18092105,19511
2021-01-05 06:00:00,2021-01-05 06:00:00,78.31923077,20363
2021-01-05 07:00:00,2021-01-05 07:00:00,94.84306569,25987
2021-01-05 08:00:00,2021-01-05 08:00:00,101.58865248,28648
2021-01-05 09:00:00,2021-01-05 09:00:00,89.06923077,23158
2021-01-05 10:00:00,2021-01-05 10:00:00,78.35687732,21078
2021-01-05 11:00:00,2021-01-05 11:00:00,88.60655738,21620
2021-01-05 12:00:00,2021-01-05 12:00:00,76.52430556,22039
2021-01-05 13:00:00,2021-01-05 13:00:00,77.2019544,23701
2021-01-05 14:00:00,2021-01-05 14:00:00,79.83657588,20518
2021-01-05 15:00:00,2021-01-05 15:00:00,87.53696498,22497
2021-01-05 16:00:00,2021-01-05 16:00:00,84.3307393,21673
2021-01-05 17:00:00,2021-01-05 17:00:00,80.13605442,23560
2021-01-05 18:00:00,2021-01-05 18:00:00,79.113879,22231
2021-01-05 19:00:00,2021-01-05 19:00:00,75.15789474,21420
2021-01-05 20:00:00,2021-01-05 20:00:00,81.46875,23463
2021-01-05 21:00:00,2021-01-05 21:00:00,77.14122137,20211
2021-01-05 22:00:00,2021-01-05 22:00:00,75.02536232,20707
2021-01-05 23:00:00,2021-01-05 23:00:00,70.75899281,19671
2021-01-06 00:00:00,2021-01-06 00:00:00,70.45801527,18460
2021-01-06 01:00:00,2021-01-06 01:00:00,71.98461538,18716
2021-01-06 02:00:00,2021-01-06 02:00:00,73.1640625,18730
2021-01-06 03:00:00,2021-01-06 03:00:00,84.82186235,20951
2021-01-06 04:00:00,2021-01-06 04:00:00,69.71590909,18405
2021-01-06 05:00:00,2021-01-06 05:00:00,71.57192982,20398
2021-01-06 06:00:00,2021-01-06 06:00:00,85.59315589,22511
2021-01-06 07:00:00,2021-01-06 07:00:00,96.08365019,25270
2021-01-06 08:00:00,2021-01-06 08:00:00,98.33564014,28419
2021-01-06 09:00:00,2021-01-06 09:00:00,78.93090909,21706
2021-01-06 10:00:00,2021-01-06 10:00:00,81.28417266,22597
2021-01-06 11:00:00,2021-01-06 11:00:00,84.70355731,21430
2021-01-06 12:00:00,2021-01-06 12:00:00,81.54379562,22343
2021-01-06 13:00:00,2021-01-06 13:00:00,85.37226277,23392
