start_time,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
2021-01-01 00:00:00,2021-01-01 00:00:00,0.63305285,0.37369525,46.88206878,66.47054923
2021-01-01 01:00:00,2021-01-01 01:00:00,0.22482775,0.34197079,16.70510628,29.45243581
2021-01-01 02:00:00,2021-01-01 02:00:00,0.4279204,0.36456305,30.12338169,37.22907514
2021-01-01 03:00:00,2021-01-01 03:00:00,0.32547422,0.3684077,22.70249845,28.96720571
2021-01-01 04:00:00,2021-01-01 04:00:00,0.5279389,0.38743285,53.40918413,63.35266827
2021-01-01 05:00:00,2021-01-01 05:00:00,0.24750432,0.39223867,10.91110643,12.8702246
2021-01-01 06:00:00,2021-01-01 06:00:00,0.22311448,0.37283327,13.42170589,16.5104718
2021-01-01 07:00:00,2021-01-01 07:00:00,0.27311545,0.32141365,16.27352593,17.47938863
2021-01-01 08:00:00,2021-01-01 08:00:00,0.27226159,0.32818991,8.54545183,9.25689399
2021-01-01 09:00:00,2021-01-01 09:00:00,0.22674729,0.29945089,10.72247856,12.92459569
2021-01-01 10:00:00,2021-01-01 10:00:00,0.22954257,0.28574637,12.80475477,14.23163921
2021-01-01 11:00:00,2021-01-01 11:00:00,0.27626224,0.24979256,14.0114214,16.02320969
2021-01-01 12:00:00,2021-01-01 12:00:00,0.26637529,0.25248842,13.1406666,17.84714459
2021-01-01 13:00:00,2021-01-01 13:00:00,0.20139125,0.2493851,13.24244528,16.11129986
2021-01-01 14:00:00,2021-01-01 14:00:00,0.30113535,0.25338794,18.00967559,25.29536903
2021-01-01 15:00:00,2021-01-01 15:00:00,0.35151702,0.26471014,24.82296928,43.58811067
2021-01-01 16:00:00,2021-01-01 16:00:00,0.2711129,0.27104809,23.43744618,43.10695038
2021-01-01 17:00:00,2021-01-01 17:00:00,0.34996931,0.28825191,26.44602028,45.49601087
2021-01-01 18:00:00,2021-01-01 18:00:00,0.34394692,0.29792115,31.74997615,49.52835658
2021-01-01 19:00:00,2021-01-01 19:00:00,0.3194711,0.30550626,19.82785162,23.96033242
2021-01-01 20:00:00,2021-01-01 20:00:00,0.30674042,0.32055615,22.09646991,48.77172671
2021-01-01 21:00:00,2021-01-01 21:00:00,0.76261141,0.3864813,84.94969836,116.67954618
2021-01-01 22:00:00,2021-01-01 22:00:00,0.86298359,0.45954795,81.50269024,97.51714524
2021-01-01 23:00:00,2021-01-01 23:00:00,0.23160996,0.45390467,18.33566728,26.86675552
2021-01-02 00:00:00,2021-01-02 00:00:00,0.35242696,0.45425577,29.32797046,43.34851588
2021-01-02 01:00:00,2021-01-02 01:00:00,0.36201093,0.45683634,26.21095094,35.47707115
2021-01-02 02:00:00,2021-01-02 02:00:00,0.28064362,0.45128956,10.78230024,12.62896292
2021-01-02 03:00:00,2021-01-02 03:00:00,0.42108925,0.4676251,56.04595009,81.69131513
2021-01-02 04:00:00,2021-01-02 04:00:00,0.81687325,0.47537679,79.58693558,99.65853616
2021-01-02 05:00:00,2021-01-02 05:00:00,0.324219,0.39841042,19.79480909,24.64064365
2021-01-02 06:00:00,2021-01-02 06:00:00,0.2588252,0.40229832,22.37349641,32.09432536
2021-01-02 07:00:00,2021-01-02 07:00:00,0.28928982,0.39327872,17.87716244,19.38241822
2021-01-02 08:00:00,2021-01-02 08:00:00,0.34856518,0.3913579,19.57794956,25.79382297
2021-01-02 09:00:00,2021-01-02 09:00:00,0.20150219,0.38005198,9.74471844,12.09013118
2021-01-02 10:00:00,2021-01-02 10:00:00,0.37665297,0.37370394,20.29193613,23.7291372
2021-01-02 11:00:00,2021-01-02 11:00:00,0.18468232,0.28339095,9.76511467,14.40522134
2021-01-02 12:00:00,2021-01-02 12:00:00,0.12699401,0.25521596,7.82746224,10.03252643
2021-01-02 13:00:00,2021-01-02 13:00:00,0.19257099,0.24575107,13.06673271,18.67938615
2021-01-02 14:00:00,2021-01-02 14:00:00,1.14273308,0.36767153,185.47829375,209.12015299
2021-01-02 15:00:00,2021-01-02 15:00:00,0.38496294,0.37287121,31.24928087,40.80607153
2021-01-02 16:00:00,2021-01-02 16:00:00,0.34372428,0.39318866,42.11271701,71.15092653
2021-01-02 17:00:00,2021-01-02 17:00:00,0.46928965,0.40642247,52.32124875,88.22645463
2021-01-02 18:00:00,2021-01-02 18:00:00,0.40264107,0.43755943,42.35983938,66.83841709
2021-01-02 19:00:00,2021-01-02 19:00:00,0.30681802,0.46324858,28.38146874,56.45451532
2021-01-02 20:00:00,2021-01-02 20:00:00,0.43179491,0.49742342,46.56184785,72.97333925
2021-01-02 21:00:00,2021-01-02 21:00:00,0.22194165,0.36588179,19.56018964,33.06930629
2021-01-02 22:00:00,2021-01-02 22:00:00,0.18152253,0.33681887,12.75440067,28.31751506
2021-01-02 23:00:00,2021-01-02 23:00:00,0.37859764,0.34180078,36.35195978,66.63318508
2021-01-03 00:00:00,2021-01-03 00:00:00,0.30818823,0.31878629,24.02082979,38.21534085
2021-01-03 01:00:00,2021-01-03 01:00:00,0.31354979,0.30605897,27.42734391,53.61701471
2021-01-03 02:00:00,2021-01-03 02:00:00,0.29297314,0.30408113,19.68131928,25.48866346
2021-01-03 03:00:00,2021-01-03 03:00:00,0.27248738,0.28132291,21.13169038,40.60061965
2021-01-03 04:00:00,2021-01-03 04:00:00,0.54238989,0.32710123,48.59576786,61.29005789
2021-01-03 05:00:00,2021-01-03 05:00:00,0.18586318,0.32772132,15.34614277,26.0208453
2021-01-03 06:00:00,2021-01-03 06:00:00,0.14817103,0.29480323,10.07591825,12.89087957
2021-01-03 07:00:00,2021-01-03 07:00:00,0.22232609,0.28253721,16.68430252,29.12471726
2021-01-03 08:00:00,2021-01-03 08:00:00,0.32816571,0.2846252,25.05740962,32.16023925
2021-01-03 09:00:00,2021-01-03 09:00:00,0.17590247,0.26790082,8.0783234,9.85053848
2021-01-03 10:00:00,2021-01-03 10:00:00,0.1186353,0.24592195,6.55130747,9.37218894
2021-01-03 11:00:00,2021-01-03 11:00:00,0.33295284,0.21600237,21.79994644,25.63736881
2021-01-03 12:00:00,2021-01-03 12:00:00,0.79488926,0.3030061,76.06351425,86.64292965
2021-01-03 13:00:00,2021-01-03 13:00:00,0.28628807,0.32273711,22.81127384,30.34653554
2021-01-03 14:00:00,2021-01-03 14:00:00,0.32989434,0.338104,34.68233376,50.4738347
2021-01-03 15:00:00,2021-01-03 15:00:00,0.28188696,0.33149275,23.07875511,35.51775689
2021-01-03 16:00:00,2021-01-03 16:00:00,0.23097725,0.33936057,17.50114662,37.18733737
2021-01-03 17:00:00,2021-01-03 17:00:00,0.35480473,0.37309906,23.86859084,50.3822719
2021-01-03 18:00:00,2021-01-03 18:00:00,0.24306736,0.36025828,14.39929769,34.51556523
2021-01-03 19:00:00,2021-01-03 19:00:00,0.29199687,0.28841651,28.54367418,42.92353992
2021-01-03 20:00:00,2021-01-03 20:00:00,0.3558315,0.29835129,26.09181008,55.86554589
2021-01-03 21:00:00,2021-01-03 21:00:00,0.49678721,0.32219313,41.33755798,66.56948599
2021-01-03 22:00:00,2021-01-03 22:00:00,0.25154464,0.31785851,20.69236939,29.43072292
2021-01-03 23:00:00,2021-01-03 23:00:00,0.57062675,0.36637987,58.2462682,79.88774568
2021-01-04 00:00:00,2021-01-04 00:00:00,0.17101177,0.34012373,14.83595838,30.78211905
2021-01-04 01:00:00,2021-01-04 01:00:00,0.26005823,0.342551,16.92358791,26.26588088
2021-01-04 02:00:00,2021-01-04 02:00:00,0.45775482,0.3662307,53.03191142,76.90281025
2021-01-04 03:00:00,2021-01-04 03:00:00,0.37614381,0.36913246,29.51343823,44.38497007
2021-01-04 04:00:00,2021-01-04 04:00:00,0.19744888,0.32636984,8.65353873,9.6749953
2021-01-04 05:00:00,2021-01-04 05:00:00,0.23940711,0.32463591,22.33780515,37.58691697
2021-01-04 06:00:00,2021-01-04 06:00:00,0.59136256,0.32759817,51.74886122,59.13625636
2021-01-04 07:00:00,2021-01-04 07:00:00,0.16000616,0.32602594,7.9656435,11.20043108
2021-01-04 08:00:00,2021-01-04 08:00:00,0.36738524,0.34135837,20.37992343,29.7582041
2021-01-04 09:00:00,2021-01-04 09:00:00,0.62757793,0.36561881,52.62348033,62.75779341
2021-01-04 10:00:00,2021-01-04 10:00:00,0.09823424,0.32591745,5.70761491,7.56403631
2021-01-04 11:00:00,2021-01-04 11:00:00,0.22478346,0.32982239,13.11640478,19.10659411
2021-01-04 12:00:00,2021-01-04 12:00:00,0.38378603,0.35044795,36.93440953,49.89218384
2021-01-04 13:00:00,2021-01-04 13:00:00,0.2589766,0.30296424,20.2971927,31.59514494
2021-01-04 14:00:00,2021-01-04 14:00:00,0.4141857,0.3392756,39.3827828,62.12785482
2021-01-04 15:00:00,2021-01-04 15:00:00,0.57044461,0.36828408,52.496086,88.98935868
2021-01-04 16:00:00,2021-01-04 16:00:00,0.21720274,0.30965905,15.71014657,24.76111227
2021-01-04 17:00:00,2021-01-04 17:00:00,0.25798044,0.33247994,19.47909487,25.28208349
2021-01-04 18:00:00,2021-01-04 18:00:00,0.30415867,0.34381926,24.34988876,66.00243104
2021-01-04 19:00:00,2021-01-04 19:00:00,0.47483527,0.35682629,40.77012138,75.02397319
2021-01-04 20:00:00,2021-01-04 20:00:00,0.36892299,0.37253292,35.61107433,48.32891185
2021-01-04 21:00:00,2021-01-04 21:00:00,0.32155089,0.35929937,24.72227525,34.40594575
2021-01-04 22:00:00,2021-01-04 22:00:00,0.5971835,0.36311921,46.21887071,65.69018519
2021-01-04 23:00:00,2021-01-04 23:00:00,0.46892917,0.39908013,48.98010328,101.75763033
2021-01-05 00:00:00,2021-01-05 00:00:00,0.5013971,0.43385394,55.03889552,89.24868458
2021-01-05 01:00:00,2021-01-05 01:00:00,0.76091816,0.4991053,97.80795864,139.24802315
2021-01-05 02:00:00,2021-01-05 02:00:00,0.43809995,0.49385739,29.24906821,58.26729276
2021-01-05 03:00:00,2021-01-05 03:00:00,0.43327829,0.50305101,34.15855757,57.19273449
2021-01-05 04:00:00,2021-01-05 04:00:00,0.33080689,0.50437329,28.33329059,43.00489529
2021-01-05 05:00:00,2021-01-05 05:00:00,0.50300549,0.49091929,46.70933178,61.86967573
2021-01-05 06:00:00,2021-01-05 06:00:00,0.30275784,0.46718053,22.61219178,33.90887755
2021-01-05 07:00:00,2021-01-05 07:00:00,0.37168963,0.44865089,18.34709847,22.67306764
2021-01-05 08:00:00,2021-01-05 08:00:00,0.29845598,0.38258487,19.8766671,24.47339055
2021-01-05 09:00:00,2021-01-05 09:00:00,0.37248156,0.37321081,19.89299071,23.09385692
2021-01-05 10:00:00,2021-01-05 10:00:00,0.84718827,0.43234081,45.99544975,50.83129637
2021-01-05 11:00:00,2021-01-05 11:00:00,0.35186808,0.43534955,15.08569233,17.2415358
2021-01-05 12:00:00,2021-01-05 12:00:00,0.44344005,0.4268402,31.64270573,44.34400548
2021-01-05 13:00:00,2021-01-05 13:00:00,1.67507747,0.62288586,171.83376239,185.93359929
2021-01-05 14:00:00,2021-01-05 14:00:00,0.26421627,0.60753253,16.76335443,33.5554666
2021-01-05 15:00:00,2021-01-05 15:00:00,0.16061742,0.5878413,8.50282445,12.36754158
2021-01-05 16:00:00,2021-01-05 16:00:00,0.40258923,0.5921424,34.575324,67.23240086
2021-01-05 17:00:00,2021-01-05 17:00:00,1.3564355,0.664892,179.36420726,218.38611597
2021-01-05 18:00:00,2021-01-05 18:00:00,0.33012444,0.66178577,20.78260637,43.57642646
2021-01-05 19:00:00,2021-01-05 19:00:00,0.37172828,0.65154123,34.23028096,48.32467686
2021-01-05 20:00:00,2021-01-05 20:00:00,0.53134746,0.48815123,55.36226248,88.73502513
2021-01-05 21:00:00,2021-01-05 21:00:00,0.55715455,0.52999955,63.66401598,103.63074597
2021-01-05 22:00:00,2021-01-05 22:00:00,0.29762336,0.54957183,25.61129603,51.78646548
2021-01-05 23:00:00,2021-01-05 23:00:00,0.9680549,0.63035264,119.76880129,135.52768627
2021-01-06 00:00:00,2021-01-06 00:00:00,0.52198759,0.5111458,39.42064062,63.68248609
2021-01-06 01:00:00,2021-01-06 01:00:00,0.36982084,0.51681671,28.14349561,53.25420115
2021-01-06 02:00:00,2021-01-06 02:00:00,0.82918111,0.58216712,36.43398415,43.11741751
2021-01-06 03:00:00,2021-01-06 03:00:00,0.56133554,0.58645113,68.58057428,111.70577285
2021-01-06 04:00:00,2021-01-06 04:00:00,0.53652091,0.58350346,55.45899807,74.57640713
2021-01-06 05:00:00,2021-01-06 05:00:00,0.64625196,0.63330755,84.17270946,102.10780958
2021-01-06 06:00:00,2021-01-06 06:00:00,0.20925653,0.52490778,17.50626152,28.24963143
2021-01-06 07:00:00,2021-01-06 07:00:00,0.19572878,0.47829938,11.63225465,16.24548876
2021-01-06 08:00:00,2021-01-06 08:00:00,0.42354154,0.48597377,23.69795419,29.647908
2021-01-06 09:00:00,2021-01-06 09:00:00,0.23028893,0.40041774,15.29634601,18.19282585
2021-01-06 10:00:00,2021-01-06 10:00:00,0.25191236,0.35621443,14.70406025,18.64151464
2021-01-06 11:00:00,2021-01-06 11:00:00,0.55699055,0.35913866,44.95781076,52.91410229
2021-01-06 12:00:00,2021-01-06 12:00:00,0.14535077,0.28758135,6.67957552,7.55824007
