start_time,blockreward,blockreward_usd,datetime
2021-01-01 00:00:00,818.1529558443764,601260.3719901497,2021-01-01 00:00:00
2021-01-01 01:00:00,856.7547564427588,641648.2659205338,2021-01-01 01:00:00
2021-01-01 02:00:00,823.7325215179172,613824.1599347293,2021-01-01 02:00:00
2021-01-01 03:00:00,766.9919410064516,572219.1485141335,2021-01-01 03:00:00
2021-01-01 04:00:00,740.4613020442587,550404.07467162,2021-01-01 04:00:00
2021-01-01 05:00:00,745.8005818579295,553134.0748389045,2021-01-01 05:00:00
2021-01-01 06:00:00,671.6844029502698,497577.8547966887,2021-01-01 06:00:00
2021-01-01 07:00:00,657.2824275773057,485246.17236487305,2021-01-01 07:00:00
2021-01-01 08:00:00,687.7587418372709,502546.0051510159,2021-01-01 08:00:00
2021-01-01 09:00:00,689.4461637236152,506446.0107769368,2021-01-01 09:00:00
2021-01-01 10:00:00,806.848616839713,595159.4776646997,2021-01-01 10:00:00
2021-01-01 11:00:00,737.6734794127624,545985.1896787146,2021-01-01 11:00:00
2021-01-01 12:00:00,809.9120344717718,594310.6404034371,2021-01-01 12:00:00
2021-01-01 13:00:00,785.7308626736559,582579.2477211,2021-01-01 13:00:00
2021-01-01 14:00:00,817.0935183308444,604105.6965949467,2021-01-01 14:00:00
2021-01-01 15:00:00,890.4951882569461,655954.0812525456,2021-01-01 15:00:00
2021-01-01 16:00:00,894.2662726479315,659392.6028703063,2021-01-01 16:00:00
2021-01-01 17:00:00,836.4588031187159,610096.2120084174,2021-01-01 17:00:00
2021-01-01 18:00:00,936.0171488650216,679184.7410500557,2021-01-01 18:00:00
2021-01-01 19:00:00,779.4604805472295,566619.0268333673,2021-01-01 19:00:00
2021-01-01 20:00:00,756.2667672951251,553013.6344872981,2021-01-01 20:00:00
2021-01-01 21:00:00,733.3923620183255,535130.9856380466,2021-01-01 21:00:00
2021-01-01 22:00:00,691.4782237825277,505232.2291934151,2021-01-01 22:00:00
2021-01-01 23:00:00,789.7012974684515,576961.1387047687,2021-01-01 23:00:00
2021-01-02 00:00:00,868.2348660673946,625503.2154666707,2021-01-02 00:00:00
2021-01-02 01:00:00,831.9480135901667,608002.1466149118,2021-01-02 01:00:00
2021-01-02 02:00:00,801.2079760579298,586038.2766606767,2021-01-02 02:00:00
2021-01-02 03:00:00,780.1016038262621,570917.886054327,2021-01-02 03:00:00
2021-01-02 04:00:00,738.8161387785914,540132.9349826856,2021-01-02 04:00:00
