start_time,datetime,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd
2021-01-03 09:00:00,2021-01-03 09:00:00,236.36241499,193099.08133,949.01571176,782331.72893
2021-01-03 10:00:00,2021-01-03 10:00:00,237.97054978,195218.21152,302.13289208,250273.85555
2021-01-03 11:00:00,2021-01-03 11:00:00,57.10289898,47223.74652,1276.21391356,1058118.66842
2021-01-03 12:00:00,2021-01-03 12:00:00,73.35721898999999,60924.50766,664.08526896,554591.60974
2021-01-03 13:00:00,2021-01-03 13:00:00,1150.28756073,1006253.41431,18576.52226744,16085274.75056
2021-01-03 14:00:00,2021-01-03 14:00:00,4003.48776952,3576666.59894,10452.74218083,9504462.36768
2021-01-03 15:00:00,2021-01-03 15:00:00,4758.130261740001,4250084.180579999,1316.5581512600002,1205654.68637
2021-01-03 16:00:00,2021-01-03 16:00:00,6784.94914091,6432062.97102,15425.884335,14756390.91018
2021-01-03 17:00:00,2021-01-03 17:00:00,7429.290617889999,6904952.39003,1160.69485168,1097762.25825
2021-01-03 18:00:00,2021-01-03 18:00:00,10621.80916574,9673492.54009,621.71222913,569942.11122
2021-01-03 19:00:00,2021-01-03 19:00:00,1118.88887901,1016145.47397,191.01099128,175606.0872
2021-01-03 20:00:00,2021-01-03 20:00:00,1000.61040805,948922.68046,2626.88553152,2497027.57846
2021-01-03 21:00:00,2021-01-03 21:00:00,430.9472897,405519.46978,139.7517175,133413.93626
2021-01-03 22:00:00,2021-01-03 22:00:00,1359.04497856,1332218.82984,6187.06299311,6129760.84522
2021-01-03 23:00:00,2021-01-03 23:00:00,7261.918555249999,7079687.63968,1858.40408897,1878099.48667
2021-01-04 00:00:00,2021-01-04 00:00:00,1903.30930354,1836196.97733,436.92002615,429383.51677
2021-01-04 01:00:00,2021-01-04 01:00:00,254.93367092,245866.39476,177.57,172432.42379
2021-01-04 02:00:00,2021-01-04 02:00:00,87.3307025,84749.99059,37.976,37179.77328
2021-01-04 03:00:00,2021-01-04 03:00:00,27.59406116,27756.61279,2353.76269679,2381062.88477
2021-01-04 04:00:00,2021-01-04 04:00:00,431.22189749,439750.07555,532.0121127900001,538975.63104
2021-01-04 05:00:00,2021-01-04 05:00:00,266.45831064000004,284052.42238,6900.42025416,7362662.75717
2021-01-04 06:00:00,2021-01-04 06:00:00,9038.27137476,10125810.44678,8886.02035842,10124896.88852
2021-01-04 07:00:00,2021-01-04 07:00:00,17414.69388051,18562641.16445,1751.41395733,1887357.26521
2021-01-04 08:00:00,2021-01-04 08:00:00,15760.47098144,15970576.68436,940.24089409,976784.83926
2021-01-04 09:00:00,2021-01-04 09:00:00,30889.70541423,29473198.90010999,3815.55714355,3693053.9325
2021-01-04 10:00:00,2021-01-04 10:00:00,15541.35526003,14214775.56219,3219.49556983,3043852.47108
2021-01-04 11:00:00,2021-01-04 11:00:00,855.63500101,806203.62075,800.4024162,772010.00777
2021-01-04 12:00:00,2021-01-04 12:00:00,699.1647639,682049.26625,2344.38260655,2357268.98912
2021-01-04 13:00:00,2021-01-04 13:00:00,2833.56629948,2812478.23178,333.06076301,335044.70383
2021-01-04 14:00:00,2021-01-04 14:00:00,198.50263147,200419.28517,1167.17273482,1205386.41043
2021-01-04 15:00:00,2021-01-04 15:00:00,948.90487745,981058.33599,976.92651244,1027382.40508
2021-01-04 16:00:00,2021-01-04 16:00:00,6866.59298986,6883119.3307,488.54653175,492843.14417
2021-01-04 17:00:00,2021-01-04 17:00:00,768.9398343900001,767765.01938,648.7641924100001,662322.14596
2021-01-04 18:00:00,2021-01-04 18:00:00,248.2360408,251027.12848,352.605,358740.36226
2021-01-04 19:00:00,2021-01-04 19:00:00,81.17572003,83266.17082,846.65640521,881147.67188
2021-01-04 20:00:00,2021-01-04 20:00:00,646.1238628899999,665147.19661,398.58385818,418777.00858
2021-01-04 21:00:00,2021-01-04 21:00:00,1688.78164386,1694921.82181,13.96,14263.37506
2021-01-04 22:00:00,2021-01-04 22:00:00,80.38973339,81459.71781,67.00369903,68174.10311
2021-01-04 23:00:00,2021-01-04 23:00:00,98.21039486,99192.49564,408.58955835,423525.83197
2021-01-05 00:00:00,2021-01-05 00:00:00,813.93945363,899547.7489,5102.72536835,5617672.27771
2021-01-05 01:00:00,2021-01-05 01:00:00,1343.56654394,1454208.75659,1071.79235815,1183767.11271
2021-01-05 02:00:00,2021-01-05 02:00:00,1252.27100178,1354398.57138,57.76287134,64317.17178
2021-01-05 03:00:00,2021-01-05 03:00:00,11175.29190046,11459242.76097,434.07153507,443331.56881
2021-01-05 04:00:00,2021-01-05 04:00:00,2193.90484081,2187917.34809,536.45437609,546109.78873
2021-01-05 05:00:00,2021-01-05 05:00:00,3401.77918265,3348103.51397,138.50501157,139321.38944
2021-01-05 06:00:00,2021-01-05 06:00:00,234.52338633999997,231988.30842,939.04792565,951948.79647
2021-01-05 07:00:00,2021-01-05 07:00:00,197.3270379,198823.88778,102.475,104815.06613
2021-01-05 08:00:00,2021-01-05 08:00:00,280.26972912,287420.55903,845.11427459,876663.74813
2021-01-05 09:00:00,2021-01-05 09:00:00,222.48252797,229814.47296,130.1097806,135871.61893
2021-01-05 10:00:00,2021-01-05 10:00:00,850.84130428,871557.16871,46.96193877,48504.43649
2021-01-05 11:00:00,2021-01-05 11:00:00,12.30860484,12671.31968,127.22674108,132305.96013
2021-01-05 12:00:00,2021-01-05 12:00:00,717.6612690899999,742116.66402,810.91134938,853679.79692
2021-01-05 13:00:00,2021-01-05 13:00:00,356.58812191000004,366016.13346,41.29770947,42908.20008
2021-01-05 14:00:00,2021-01-05 14:00:00,2327.32670198,2356704.45725,882.45992025,911559.87372
2021-01-05 15:00:00,2021-01-05 15:00:00,261.1340941,273942.45058,450.62144831,477885.99504
2021-01-05 16:00:00,2021-01-05 16:00:00,657.0403324299999,691859.0144,917.64603834,983216.22241
2021-01-05 17:00:00,2021-01-05 17:00:00,25.26118171,26908.25683,277.40106364999997,300447.48438
2021-01-05 18:00:00,2021-01-05 18:00:00,377.30791506,407323.27931,476.3906967,519526.54952
2021-01-05 19:00:00,2021-01-05 19:00:00,2836.43806797,3008240.64857,888.0344710300001,979408.31679
2021-01-05 20:00:00,2021-01-05 20:00:00,643.32630027,698827.97831,100.75506249,110784.50963
2021-01-05 21:00:00,2021-01-05 21:00:00,813.1803905400001,879763.72002,34.97278058,38486.75124
2021-01-05 22:00:00,2021-01-05 22:00:00,106.66301203,118315.70303,1016.38074168,1139473.08427
2021-01-05 23:00:00,2021-01-05 23:00:00,2005.07529444,2191420.03288,31.397,34703.2192
2021-01-06 00:00:00,2021-01-06 00:00:00,2738.45981148,2947310.24148,48.567,53086.61493
2021-01-06 01:00:00,2021-01-06 01:00:00,1069.45962906,1140152.70128,69.71055576,75187.67023
2021-01-06 02:00:00,2021-01-06 02:00:00,37.587903100000005,40602.41226,184.71187504,199912.1071
2021-01-06 03:00:00,2021-01-06 03:00:00,485.20261988,518267.60113,2.41237245,2598.94682
2021-01-06 04:00:00,2021-01-06 04:00:00,304.63845097,341732.06675,2505.67932797,2802246.23828
2021-01-06 05:00:00,2021-01-06 05:00:00,1809.34373407,1991011.09386,117.49,130215.26833
2021-01-06 06:00:00,2021-01-06 06:00:00,31.79924697,35298.47221,462.97413447,515927.78873
2021-01-06 07:00:00,2021-01-06 07:00:00,810.36697993,892827.70485,73.60223282999999,81715.98037
2021-01-06 08:00:00,2021-01-06 08:00:00,242.63033449,267627.3148,219.73204787,245980.66425
2021-01-06 09:00:00,2021-01-06 09:00:00,269.15041211,295313.48923,88.007,97527.46329
2021-01-06 10:00:00,2021-01-06 10:00:00,11.8059028,13107.19448,159.9033336,178459.02479
2021-01-06 11:00:00,2021-01-06 11:00:00,504.49167486,577937.60503,2771.52966653,3206403.89494
2021-01-06 12:00:00,2021-01-06 12:00:00,1350.23764671,1534969.09379,78.43890397,90386.67819
2021-01-06 13:00:00,2021-01-06 13:00:00,572.18098653,644962.38016,44.08285758,50678.64931
2021-01-06 14:00:00,2021-01-06 14:00:00,359.23757354,407115.68202,147.94697222,169405.1777
2021-01-06 15:00:00,2021-01-06 15:00:00,9.041,10340.28959,38.53829897,44359.02327
2021-01-06 16:00:00,2021-01-06 16:00:00,1062.88550381,1240215.03673,2241.73883056,2655278.54123
2021-01-06 17:00:00,2021-01-06 17:00:00,308.13132116,366512.82438,1284.34477458,1549447.92605
2021-01-06 18:00:00,2021-01-06 18:00:00,152.67379089000002,182273.26617,80.53989382,97317.44012
2021-01-06 19:00:00,2021-01-06 19:00:00,3006.33610813,3517604.748,872.312,1053105.85051
2021-01-06 20:00:00,2021-01-06 20:00:00,9454.22201109,10712767.65392,1353.78313858,1598236.29722
2021-01-06 21:00:00,2021-01-06 21:00:00,422.9886059,500388.04095,44.017,52612.55432
2021-01-06 22:00:00,2021-01-06 22:00:00,132.93597829,156950.86759,10.647,12696.98794
2021-01-06 23:00:00,2021-01-06 23:00:00,76.039,89938.38761,696.4688654500001,841397.72566
2021-01-07 00:00:00,2021-01-07 00:00:00,679.3314864,814010.46706,456.20288027,555076.34261
2021-01-07 01:00:00,2021-01-07 01:00:00,51.29804349,61690.66908,10.745,13012.37106
2021-01-07 02:00:00,2021-01-07 02:00:00,658.43864684,782110.61097,196.461,235688.33542
2021-01-07 03:00:00,2021-01-07 03:00:00,36.33984367,44160.59854,574.21850194,701414.92992
2021-01-07 04:00:00,2021-01-07 04:00:00,192.47693973,233028.40643,6.465092390000001,7834.02205
2021-01-07 05:00:00,2021-01-07 05:00:00,106.74653157,129031.98162,8.30463375,10124.08093
2021-01-07 06:00:00,2021-01-07 06:00:00,1032.39911828,1230576.50441,5.683,6819.8418
2021-01-07 07:00:00,2021-01-07 07:00:00,423.43171733,501643.11401,5.537,6627.02844
2021-01-07 08:00:00,2021-01-07 08:00:00,3750.68881522,4389220.35819,234.34512052,277849.85288
2021-01-07 09:00:00,2021-01-07 09:00:00,94.28750711,111964.87363,68.40285352000001,82046.56778
2021-01-07 10:00:00,2021-01-07 10:00:00,138.86632794,165212.97196,9.272,11061.5312
2021-01-07 11:00:00,2021-01-07 11:00:00,34.25049397,40935.36236,77.00785156,92881.40833
2021-01-07 12:00:00,2021-01-07 12:00:00,63.1646695,76202.9311,665.47818192,815097.07694
2021-01-07 13:00:00,2021-01-07 13:00:00,313.68518369000003,382169.94885,371.55238352,457295.16504
2021-01-07 14:00:00,2021-01-07 14:00:00,37.58818449,45850.38005,51.87658349,63692.95154
2021-01-07 15:00:00,2021-01-07 15:00:00,9.735,12091.60431,3466.39114752,4349850.04142
2021-01-07 16:00:00,2021-01-07 16:00:00,281.53953601,353639.61149,1472.4414497,1869542.90037
2021-01-07 17:00:00,2021-01-07 17:00:00,32.56088782,41350.16828,39.24,50039.40114
2021-01-07 18:00:00,2021-01-07 18:00:00,21554.28504985,25759756.1931,2072.8787511600003,2586891.06289
2021-01-07 19:00:00,2021-01-07 19:00:00,1996.67790037,2371629.88456,667.54137555,814217.98634
2021-01-07 20:00:00,2021-01-07 20:00:00,227.09609883,278909.26857,118.71092937,147276.77447
2021-01-07 21:00:00,2021-01-07 21:00:00,751.5611496500001,935672.67885,451.4407878,567633.69982
2021-01-07 22:00:00,2021-01-07 22:00:00,290.80584773,361804.32323,27.92787932,35175.74957
2021-01-07 23:00:00,2021-01-07 23:00:00,3947.1598039,4802286.15423,226.85720236,277353.5106
2021-01-08 00:00:00,2021-01-08 00:00:00,3026.18424251,3619749.26952,40.4722522,49968.0738
2021-01-08 01:00:00,2021-01-08 01:00:00,4821.77049251,5652277.12867,168.24289352,199653.44917
2021-01-08 02:00:00,2021-01-08 02:00:00,30621.73214414,33896106.97136,1300.66077339,1443294.7644
2021-01-08 03:00:00,2021-01-08 03:00:00,48.40706884,55378.68817,712.8946674199999,815292.53145
2021-01-08 04:00:00,2021-01-08 04:00:00,136.65255311,156721.96335,286.96065352,335461.0809
2021-01-08 05:00:00,2021-01-08 05:00:00,348.76670602999997,401760.29477,111.807,131172.0963
2021-01-08 06:00:00,2021-01-08 06:00:00,1397.3174176,1581033.50602,666.85606757,781364.18773
2021-01-08 07:00:00,2021-01-08 07:00:00,74.67916124999999,89216.55086,690.5234941299999,826983.07725
2021-01-08 08:00:00,2021-01-08 08:00:00,141.57950836,169055.18711,26.492,31771.79597
2021-01-08 09:00:00,2021-01-08 09:00:00,66.88260348,80727.70695,581.76608906,707426.29086
2021-01-08 10:00:00,2021-01-08 10:00:00,651.37389133,814092.03606,2010.42802621,2518609.86251
2021-01-08 11:00:00,2021-01-08 11:00:00,238.07175211,297748.94714,208.63487833,263133.57677000004
2021-01-08 12:00:00,2021-01-08 12:00:00,1858.31693365,2300575.30719,444.80933786,564717.55338
2021-01-08 13:00:00,2021-01-08 13:00:00,543.27511587,667144.82085,80.12103064,100499.98672
2021-01-08 14:00:00,2021-01-08 14:00:00,112.38285477,139784.55946,17.33379719,21723.99378
2021-01-08 15:00:00,2021-01-08 15:00:00,10618.71585165,12750297.03803,304.77165306,372683.23959
2021-01-08 16:00:00,2021-01-08 16:00:00,250.38667689,302819.39434,279.50902791000004,344728.18981
2021-01-08 17:00:00,2021-01-08 17:00:00,628.49910288,764453.65259,234.85,290784.82949
2021-01-08 18:00:00,2021-01-08 18:00:00,2123.8554796099997,2520442.916,142.55000331,171116.67109
2021-01-08 19:00:00,2021-01-08 19:00:00,120.74021909,143376.95626,46.142,55321.30364
2021-01-08 20:00:00,2021-01-08 20:00:00,4902.16844711,5683434.82052,301.75880477,356486.08991
2021-01-08 21:00:00,2021-01-08 21:00:00,1282.5858997,1466855.16846,469.06983616,552536.4995
