start_time,datetime,hashrate
2021-01-01 00:00:00,2021-01-01 00:00:00,155331251952.63522
2021-01-01 01:00:00,2021-01-01 01:00:00,177521430803.0117
2021-01-01 02:00:00,2021-01-01 02:00:00,155331251952.63522
2021-01-01 03:00:00,2021-01-01 03:00:00,110950894251.88232
2021-01-01 04:00:00,2021-01-01 04:00:00,110950894251.88232
2021-01-01 05:00:00,2021-01-01 05:00:00,88760715401.50584
2021-01-01 06:00:00,2021-01-01 06:00:00,199711609653.38815
2021-01-01 07:00:00,2021-01-01 07:00:00,110950894251.88232
2021-01-01 08:00:00,2021-01-01 08:00:00,155331251952.63522
2021-01-01 09:00:00,2021-01-01 09:00:00,110950894251.88232
2021-01-01 10:00:00,2021-01-01 10:00:00,221901788503.76465
2021-01-01 11:00:00,2021-01-01 11:00:00,110950894251.88232
2021-01-01 12:00:00,2021-01-01 12:00:00,155331251952.63522
2021-01-01 13:00:00,2021-01-01 13:00:00,133141073102.25876
2021-01-01 14:00:00,2021-01-01 14:00:00,88760715401.50584
2021-01-01 15:00:00,2021-01-01 15:00:00,177521430803.0117
2021-01-01 16:00:00,2021-01-01 16:00:00,155331251952.63522
2021-01-01 17:00:00,2021-01-01 17:00:00,155331251952.63522
2021-01-01 18:00:00,2021-01-01 18:00:00,177521430803.0117
2021-01-01 19:00:00,2021-01-01 19:00:00,44380357700.75292
2021-01-01 20:00:00,2021-01-01 20:00:00,155331251952.63522
2021-01-01 21:00:00,2021-01-01 21:00:00,133141073102.25876
2021-01-01 22:00:00,2021-01-01 22:00:00,110950894251.88232
2021-01-01 23:00:00,2021-01-01 23:00:00,110950894251.88232
2021-01-02 00:00:00,2021-01-02 00:00:00,110950894251.88232
2021-01-02 01:00:00,2021-01-02 01:00:00,155331251952.63522
2021-01-02 02:00:00,2021-01-02 02:00:00,22190178850.37646
2021-01-02 03:00:00,2021-01-02 03:00:00,155331251952.63522
2021-01-02 04:00:00,2021-01-02 04:00:00,221901788503.76465
2021-01-02 05:00:00,2021-01-02 05:00:00,88760715401.50584
2021-01-02 06:00:00,2021-01-02 06:00:00,177521430803.0117
2021-01-02 07:00:00,2021-01-02 07:00:00,133141073102.25876
2021-01-02 08:00:00,2021-01-02 08:00:00,288472325054.894
2021-01-02 09:00:00,2021-01-02 09:00:00,110950894251.88232
2021-01-02 10:00:00,2021-01-02 10:00:00,155331251952.63522
2021-01-02 11:00:00,2021-01-02 11:00:00,88760715401.50584
2021-01-02 12:00:00,2021-01-02 12:00:00,110950894251.88232
2021-01-02 13:00:00,2021-01-02 13:00:00,110950894251.88232
2021-01-02 14:00:00,2021-01-02 14:00:00,155331251952.63522
2021-01-02 15:00:00,2021-01-02 15:00:00,88760715401.50584
2021-01-02 16:00:00,2021-01-02 16:00:00,110950894251.88232
2021-01-02 17:00:00,2021-01-02 17:00:00,133141073102.25876
2021-01-02 18:00:00,2021-01-02 18:00:00,199711609653.38815
2021-01-02 19:00:00,2021-01-02 19:00:00,110950894251.88232
2021-01-02 20:00:00,2021-01-02 20:00:00,199711609653.38815
