start_time,datetime,stock_to_flow,stock_to_flow_reversion
2021-01-04 09:00:00,2021-01-04 09:00:00,297442.94284286,0.10433554
2021-01-04 10:00:00,2021-01-04 10:00:00,495739.23807144,0.06105547
2021-01-04 11:00:00,2021-01-04 11:00:00,424920.34691838,0.07236797
2021-01-04 12:00:00,2021-01-04 12:00:00,371806.30355358,0.08405945
2021-01-04 13:00:00,2021-01-04 13:00:00,594891.08568573,0.05278986
2021-01-04 14:00:00,2021-01-04 14:00:00,495743.57140477,0.06482366
2021-01-04 15:00:00,2021-01-04 15:00:00,371808.67855358,0.08541761
2021-01-04 16:00:00,2021-01-04 16:00:00,594894.88568573,0.05265489
2021-01-04 17:00:00,2021-01-04 17:00:00,743619.60710716,0.04170424
2021-01-04 18:00:00,2021-01-04 18:00:00,297448.84284286,0.10474583
2021-01-04 19:00:00,2021-01-04 19:00:00,330499.71426985,0.09581451
2021-01-04 20:00:00,2021-01-04 20:00:00,424929.20406123,0.07349336
2021-01-04 21:00:00,2021-01-04 21:00:00,371814.05355358,0.08342796
2021-01-04 22:00:00,2021-01-04 22:00:00,495753.07140477,0.06321034
2021-01-04 23:00:00,2021-01-04 23:00:00,424932.20406123,0.07531826
2021-01-05 00:00:00,2021-01-05 00:00:00,330503.82538096,0.09815406
2021-01-05 01:00:00,2021-01-05 01:00:00,495756.73807144,0.06614682
2021-01-05 02:00:00,2021-01-05 02:00:00,495757.73807144,0.06522197
2021-01-05 03:00:00,2021-01-05 03:00:00,495758.73807144,0.06294334
2021-01-05 04:00:00,2021-01-05 04:00:00,424937.06120409,0.07264351
2021-01-05 05:00:00,2021-01-05 05:00:00,371820.92855358,0.0818864
2021-01-05 06:00:00,2021-01-05 06:00:00,371821.92855358,0.08371348
2021-01-05 07:00:00,2021-01-05 07:00:00,1487288.71421432,0.02072397
2021-01-05 08:00:00,2021-01-05 08:00:00,743645.35710716,0.0419588
2021-01-05 09:00:00,2021-01-05 09:00:00,424941.20406123,0.07430782
2021-01-05 10:00:00,2021-01-05 10:00:00,495765.73807144,0.06323257
2021-01-05 11:00:00,2021-01-05 11:00:00,495766.73807144,0.06413502
2021-01-05 12:00:00,2021-01-05 12:00:00,743651.10710716,0.04251687
2021-01-05 13:00:00,2021-01-05 13:00:00,371826.55355358,0.08470096
2021-01-05 14:00:00,2021-01-05 14:00:00,330513.49204763,0.09797846
2021-01-05 15:00:00,2021-01-05 15:00:00,743656.35710716,0.04321174
2021-01-05 16:00:00,2021-01-05 16:00:00,424947.48977552,0.07649984
2021-01-05 17:00:00,2021-01-05 17:00:00,270422.12985715,0.12129447
2021-01-05 18:00:00,2021-01-05 18:00:00,495774.90473811,0.06744918
2021-01-05 19:00:00,2021-01-05 19:00:00,743663.35710716,0.04543599
2021-01-05 20:00:00,2021-01-05 20:00:00,594931.68568573,0.05723565
2021-01-05 21:00:00,2021-01-05 21:00:00,330518.60315874,0.10223762
2021-01-05 22:00:00,2021-01-05 22:00:00,424953.48977552,0.08067663
2021-01-05 23:00:00,2021-01-05 23:00:00,371835.30355358,0.09151181
2021-01-06 00:00:00,2021-01-06 00:00:00,270426.67531169,0.12557708
2021-01-06 01:00:00,2021-01-06 01:00:00,424957.20406123,0.07965844
2021-01-06 02:00:00,2021-01-06 02:00:00,991567.80947621,0.0342184
2021-01-06 03:00:00,2021-01-06 03:00:00,330523.60315874,0.10342548
2021-01-06 04:00:00,2021-01-06 04:00:00,743679.10710716,0.04764853
2021-01-06 05:00:00,2021-01-06 05:00:00,371840.55355358,0.09413727
2021-01-06 06:00:00,2021-01-06 06:00:00,270430.49349351,0.12976478
2021-01-06 07:00:00,2021-01-06 07:00:00,594948.08568573,0.0583421
2021-01-06 08:00:00,2021-01-06 08:00:00,371843.55355358,0.09316378
2021-01-06 09:00:00,2021-01-06 09:00:00,424965.06120409,0.07987891
2021-01-06 10:00:00,2021-01-06 10:00:00,330529.38093652,0.10436521
2021-01-06 11:00:00,2021-01-06 11:00:00,297477.44284286,0.11763328
2021-01-06 12:00:00,2021-01-06 12:00:00,743694.60710716,0.04708016
2021-01-06 13:00:00,2021-01-06 13:00:00,330531.93649207,0.10472383
2021-01-06 14:00:00,2021-01-06 14:00:00,594958.48568573,0.05764376
