start_time,date,nrpl
2021-05-05,2021-05-05,1031945540.8623676
2021-05-06,2021-05-06,1238652815.8515365
2021-05-07,2021-05-07,2579642479.0922294
2021-05-08,2021-05-08,837398246.8469042
2021-05-09,2021-05-09,786772037.4785408
2021-05-10,2021-05-10,827470370.5411476
2021-05-11,2021-05-11,315268948.3658132
2021-05-12,2021-05-12,1635753816.32872
2021-05-13,2021-05-13,-334651994.2381811
2021-05-14,2021-05-14,94432504.94186722
2021-05-15,2021-05-15,34706374.39771154
2021-05-16,2021-05-16,-202826102.6156479
2021-05-17,2021-05-17,-958713300.445527
2021-05-18,2021-05-18,-319248791.35029376
2021-05-19,2021-05-19,-2665965676.1754475
2021-05-20,2021-05-20,-1442256003.7757182
2021-05-21,2021-05-21,-700060360.7791308
2021-05-22,2021-05-22,-703960008.936995
2021-05-23,2021-05-23,-627765064.9011024
2021-05-24,2021-05-24,819589399.3415567
2021-05-25,2021-05-25,-552370159.0560232
2021-05-26,2021-05-26,276106060.27354544
2021-05-27,2021-05-27,-301991271.58013105
2021-05-28,2021-05-28,-660286443.3082025
2021-05-29,2021-05-29,-418287645.8472323
2021-05-30,2021-05-30,299805725.4325501
2021-05-31,2021-05-31,-96875143.52238658
2021-06-01,2021-06-01,240698398.73381823
2021-06-02,2021-06-02,-12159403.01472482
2021-06-03,2021-06-03,287592013.3179301
2021-06-04,2021-06-04,-550320578.4958464
2021-06-05,2021-06-05,-237194068.406292
2021-06-06,2021-06-06,-184649245.7266726
2021-06-07,2021-06-07,-356637708.2744668
2021-06-08,2021-06-08,-1345015571.43901
2021-06-09,2021-06-09,472004324.2260864
2021-06-10,2021-06-10,115485407.37397853
2021-06-11,2021-06-11,199304164.62721944
2021-06-12,2021-06-12,-219212075.88375333
2021-06-13,2021-06-13,111563345.98173933
2021-06-14,2021-06-14,702843466.2705395
2021-06-15,2021-06-15,339928996.84164584
2021-06-16,2021-06-16,63573583.18004098
2021-06-17,2021-06-17,-394641810.8571507
2021-06-18,2021-06-18,-268020259.5641045
2021-06-19,2021-06-19,-143998643.15830782
2021-06-20,2021-06-20,-148069202.96998104
2021-06-21,2021-06-21,-910557711.2084466
2021-06-22,2021-06-22,-605872338.8444104
2021-06-23,2021-06-23,-19723032.89649157
2021-06-24,2021-06-24,-58760657.71676422
2021-06-25,2021-06-25,-3448028508.27391
2021-06-26,2021-06-26,-509770966.2395648
2021-06-27,2021-06-27,173215337.00810567
2021-06-28,2021-06-28,78481884.15116358
2021-06-29,2021-06-29,109284034.2717548
2021-06-30,2021-06-30,-284521149.7365131
2021-07-01,2021-07-01,-395568470.5759097
2021-07-02,2021-07-02,-1024837205.3238395
2021-07-03,2021-07-03,49840238.05609315
2021-07-04,2021-07-04,112602489.24098216
2021-07-05,2021-07-05,-103093404.0545354
2021-07-06,2021-07-06,-58026258.66881927
2021-07-07,2021-07-07,61059624.88488367
2021-07-08,2021-07-08,-395027993.82219315
2021-07-09,2021-07-09,29311038.05379942
2021-07-10,2021-07-10,-32828461.05987023
2021-07-11,2021-07-11,27067286.71165281
2021-07-12,2021-07-12,144335594.6894358
2021-07-13,2021-07-13,-232909298.4443796
2021-07-14,2021-07-14,-277623683.3004202
2021-07-15,2021-07-15,-479275616.22100216
2021-07-16,2021-07-16,-315553244.31837946
2021-07-17,2021-07-17,1417401909.824038
2021-07-18,2021-07-18,-164804224.31034124
2021-07-19,2021-07-19,-202699480.0696748
2021-07-20,2021-07-20,-213970324.8503442
2021-07-21,2021-07-21,35253818.10436364
2021-07-22,2021-07-22,196472976.68391484
2021-07-23,2021-07-23,-908492856.5686588
2021-07-24,2021-07-24,86889848.99941447
2021-07-25,2021-07-25,34798613.93973556
2021-07-26,2021-07-26,1838200556.3561168
2021-07-27,2021-07-27,2410841184.117898
2021-07-28,2021-07-28,1766715480.8834083
2021-07-29,2021-07-29,4315728614.219335
2021-07-30,2021-07-30,330884914.47200793
2021-07-31,2021-07-31,261844004.22420067
2021-08-01,2021-08-01,130169442.42949316
2021-08-02,2021-08-02,102958061.27511925
2021-08-03,2021-08-03,-136286109.8954045
2021-08-04,2021-08-04,241337297.19457033
2021-08-05,2021-08-05,225386302.35183975
2021-08-06,2021-08-06,624257294.6082767
2021-08-07,2021-08-07,409929602.1572982
2021-08-08,2021-08-08,306074506.7213204
2021-08-09,2021-08-09,930777905.4113483
2021-08-10,2021-08-10,644715223.3848984
2021-08-11,2021-08-11,535227661.8880947
2021-08-12,2021-08-12,246028069.36515364
2021-08-13,2021-08-13,690454718.7384917
2021-08-14,2021-08-14,865230091.9371077
2021-08-15,2021-08-15,167565822.4821032
2021-08-16,2021-08-16,460416648.1230231
2021-08-17,2021-08-17,230544823.4922854
2021-08-18,2021-08-18,499317414.14754605
2021-08-19,2021-08-19,493823318.1732488
2021-08-20,2021-08-20,785224394.9909077
2021-08-21,2021-08-21,520116124.1465565
2021-08-22,2021-08-22,356329047.5056021
2021-08-23,2021-08-23,1033014503.2732714
2021-08-24,2021-08-24,247709506.03770575
2021-08-25,2021-08-25,1689399364.366164
2021-08-26,2021-08-26,453892275.19533664
2021-08-27,2021-08-27,390852917.3039921
2021-08-28,2021-08-28,319702789.7548308
2021-08-29,2021-08-29,193832857.11420655
2021-08-30,2021-08-30,346127196.8020768
2021-08-31,2021-08-31,408330507.42133415
2021-09-01,2021-09-01,487896170.4080609
2021-09-02,2021-09-02,801664976.5604218
2021-09-03,2021-09-03,575779133.1692853
2021-09-04,2021-09-04,382117437.1248364
2021-09-05,2021-09-05,287657642.9190786
2021-09-06,2021-09-06,583997482.6489141
2021-09-07,2021-09-07,-272391562.82874936
2021-09-08,2021-09-08,10962698.56708885
2021-09-09,2021-09-09,668003635.544883
2021-09-10,2021-09-10,-13783214.6463621
2021-09-11,2021-09-11,72004867.81633422
2021-09-12,2021-09-12,161013709.85578206
2021-09-13,2021-09-13,-153726331.20922172
2021-09-14,2021-09-14,512394958.9095327
2021-09-15,2021-09-15,746160051.3986236
2021-09-16,2021-09-16,501272398.4504986
2021-09-17,2021-09-17,236869363.3926483
2021-09-18,2021-09-18,281777548.65671843
2021-09-19,2021-09-19,119090413.9455407
2021-09-20,2021-09-20,-651940996.639247
2021-09-21,2021-09-21,-645203687.9623504
2021-09-22,2021-09-22,263147726.70628655
2021-09-23,2021-09-23,164753876.38651454
2021-09-24,2021-09-24,-395359794.9556146
2021-09-25,2021-09-25,-8951077.65524241
2021-09-26,2021-09-26,2653284132.159724
2021-09-27,2021-09-27,187953007.8154737
2021-09-28,2021-09-28,-354244272.9628826
2021-09-29,2021-09-29,32088128.88895579
2021-09-30,2021-09-30,515218357.86562896
2021-10-01,2021-10-01,1064430420.79661
2021-10-02,2021-10-02,644835706.385783
2021-10-03,2021-10-03,279874386.8476431
2021-10-04,2021-10-04,532760108.7553147
2021-10-05,2021-10-05,1047446513.1969296
2021-10-06,2021-10-06,2803096968.556783
2021-10-07,2021-10-07,1739305416.0536628
2021-10-08,2021-10-08,757501533.3288815
2021-10-09,2021-10-09,493904381.3917489
2021-10-10,2021-10-10,650943102.1813412
2021-10-11,2021-10-11,1092488829.1123924
2021-10-12,2021-10-12,1091614633.172714
2021-10-13,2021-10-13,929734504.7196498
2021-10-14,2021-10-14,1260288692.9801586
2021-10-15,2021-10-15,2031501342.4248028
2021-10-16,2021-10-16,946562854.4423
2021-10-17,2021-10-17,450872541.3578483
2021-10-18,2021-10-18,1598303968.2413623
2021-10-19,2021-10-19,3077360965.8734155
2021-10-20,2021-10-20,2931194250.5107074
2021-10-21,2021-10-21,1799471577.360889
2021-10-22,2021-10-22,248376198.4572903
2021-10-23,2021-10-23,356841937.9578617
2021-10-24,2021-10-24,860848899.9396627
2021-10-25,2021-10-25,1751790880.9884105
2021-10-26,2021-10-26,948545679.4137932
2021-10-27,2021-10-27,-226532284.92090943
2021-10-28,2021-10-28,954071364.9810818
2021-10-29,2021-10-29,1023682960.955492
2021-10-30,2021-10-30,375195441.44836587
2021-10-31,2021-10-31,823217754.882326
2021-11-01,2021-11-01,2037714924.7360408
2021-11-02,2021-11-02,2607050894.0492806
2021-11-03,2021-11-03,1702847154.2765007
2021-11-04,2021-11-04,232778181.21732655
2021-11-05,2021-11-05,1103237968.3501894
2021-11-06,2021-11-06,478876439.33744293
2021-11-07,2021-11-07,382980945.6448084
2021-11-08,2021-11-08,2571572790.775137
2021-11-09,2021-11-09,1788167628.3259025
2021-11-10,2021-11-10,1410897712.2670362
2021-11-11,2021-11-11,850516492.6392425
2021-11-12,2021-11-12,5863687906.291723
2021-11-13,2021-11-13,380810772.7928276
2021-11-14,2021-11-14,287087640.37982523
2021-11-15,2021-11-15,1231367288.2250082
2021-11-16,2021-11-16,626658890.935066
2021-11-17,2021-11-17,587805198.14765
