start_time,date,range_001_01,range_001_01_percent,range_01_1,range_01_1_percent,range_0_001,range_0_001_percent,range_100_1k,range_100_1k_percent,range_10_100,range_10_100_percent,range_10k_inf,range_10k_inf_percent,range_1_10,range_1_10_percent,range_1k_10k,range_1k_10k_percent
2021-01-24,2021-01-24,349.96577794,4.56221696,1001.01253025,13.04937978,72.57457404,0.94609523,961.82105901,12.53847269,3058.5319458,39.87157375,0.0,0.0,2226.94132124,29.03080847,0.11146839,0.00145312
2021-01-25,2021-01-25,454.31890972,2.77509194,1463.47741578,8.93928098,67.14944126,0.41016535,4486.50662308,27.40468892,6026.79432802,36.81314609,1.997,0.01219817,3871.06644911,23.64542856,0.0,0.0
2021-01-26,2021-01-26,526.04105322,3.30529536,1306.87981512,8.21157163,76.73679029,0.48216343,3879.70101561,24.37748477,5189.64617922,32.60831703,0.0,0.0,3864.42851129,24.28152241,1071.66637798,6.73364538
2021-01-27,2021-01-27,582.80368706,3.19103035,1610.33253078,8.81706841,82.37125155,0.45100807,4769.74142277,26.11580877,4391.71215542,24.04598167,0.0,0.0,5073.40773327,27.77847569,1753.44018456,9.60062705
2021-01-28,2021-01-28,572.28569235,2.17327679,1481.95245483,5.6277711,91.16712461,0.34621064,11083.80631012,42.09117818,6788.32150512,25.77891042,3.02876316,0.01150184,4005.03459084,15.20927196,2307.25236377,8.76187905
2021-01-29,2021-01-29,924.78300303,2.19567322,2582.72351577,6.13205135,125.64776529,0.29832018,16389.99189225,38.91406542,13704.03362295,32.53690816,0.81237333,0.00192878,6910.98806868,16.40846705,1479.44587019,3.51258584
2021-01-30,2021-01-30,559.77352802,4.66712664,1286.98797621,10.73029639,110.29435453,0.91958211,3872.40165153,32.2862515,3575.66260065,29.81218179,0.0,0.0,2462.55665712,20.53163146,126.28806764,1.05293011
2021-01-31,2021-01-31,463.31723218,4.87550817,1166.4681019,12.27479656,98.06302925,1.03192169,1416.64093328,14.90737657,4111.74930894,43.26812381,29.969,0.31536514,2215.19832007,23.31063204,1.54670268,0.01627602
2021-02-01,2021-02-01,508.88002155,3.67687905,1432.80928603,10.35266905,90.65842867,0.6550465,2094.56805602,15.13416342,6223.67455307,44.96875023,7.991,0.05773844,3481.33946952,25.15418885,0.07812054,0.00056445
2021-02-02,2021-02-02,677.6631667,3.55071067,1648.183049,8.63588493,111.79962501,0.58578973,6833.48554872,35.8050005,5674.80639028,29.73393946,1.01086272,0.00529656,3637.78420847,19.06067767,500.54980144,2.62270049
2021-02-03,2021-02-03,694.47207835,3.42931196,1761.41728059,8.69790095,113.57897678,0.56085443,6162.45101937,30.43026155,6941.44984371,34.27696766,15.63598227,0.07721068,3718.43139614,18.36166155,843.62504901,4.16583123
2021-02-04,2021-02-04,935.97150899,4.51871351,2279.83631684,11.00666748,135.85433624,0.65588196,7011.85694367,33.85206967,5240.40113171,25.29977802,0.0,0.0,4578.07724809,22.10218936,531.23219958,2.56469999
2021-02-05,2021-02-05,846.93002949,5.52319707,1813.49176936,11.82656427,134.9421981,0.88001644,3441.64292894,22.44444225,4685.95200436,30.55911996,0.0,0.0,3953.32475399,25.78134076,457.77047141,2.98531926
2021-02-06,2021-02-06,832.15779586,4.30306894,2032.77863133,10.51145183,187.70265126,0.97060612,3996.45033656,20.66555333,7267.62962044,37.58074662,0.11876783,0.00061415,5021.8669145,25.96795901,0.0,0.0
2021-02-07,2021-02-07,493.63745483,3.68654436,1259.68792369,9.40750213,102.33903635,0.76428033,3764.21193378,28.11159108,4760.38597573,35.5511396,0.0,0.0,2957.86713779,22.08971038,52.11914841,0.38923212
2021-02-08,2021-02-08,706.77562716,2.31470909,1918.324782,6.28256498,125.62896216,0.41143821,11512.26968182,37.70299121,9386.10267623,30.73973738,0.34704804,0.00113659,5303.11915906,17.36785712,1581.53377179,5.17956541
2021-02-09,2021-02-09,753.11531948,2.97900892,2165.36756155,8.56528757,119.84133006,0.47404213,8126.61198507,32.1454749,8684.40272168,34.35186154,0.14824342,0.00058639,5235.69690215,20.71022508,195.5498814,0.77351347
2021-02-10,2021-02-10,764.76123214,3.23924219,1786.21558614,7.56574031,120.20919503,0.50916113,7789.76694142,32.9945356,6666.81743247,28.23814201,0.08676201,0.00036749,4217.79995225,17.86502109,2263.60667181,9.58779017
2021-02-11,2021-02-11,640.91968765,3.39422074,1499.47718607,7.94102079,101.75361835,0.53887289,6014.02424074,31.84942856,6241.86668615,33.05605018,0.0,0.0,4254.37298003,22.53056238,130.26109087,0.68984446
2021-02-12,2021-02-12,709.16849794,4.33633753,1583.83413412,9.68463689,121.24473552,0.74137261,3491.47963299,21.34927624,4869.17557128,29.77344428,0.0,0.0,3019.99801804,18.46631764,2559.1883929,15.64861482
2021-02-13,2021-02-13,659.60972216,5.63310804,1302.73826562,11.1254658,139.90866037,1.19482866,2550.11974225,21.77818117,3760.16524499,32.11204501,0.0,0.0,2853.52086379,24.36924561,443.45411437,3.78712571
2021-02-14,2021-02-14,553.70242855,4.33352472,1273.18559428,9.9645242,143.04343295,1.11952237,2968.90094005,23.23595665,4737.88676228,37.08083686,10.75801593,0.08419708,3089.65953254,24.18106781,0.04731617,0.00037032
2021-02-15,2021-02-15,537.26879916,3.90830526,1447.16491524,10.52724866,107.85807466,0.7846022,2979.87432692,21.67678175,5003.01960398,36.39393885,0.0,0.0,3499.70380471,25.4582265,171.95888327,1.25089677
2021-02-16,2021-02-16,533.11007245,3.11046718,1579.22592827,9.2141017,100.0346208,0.58365884,5068.89212043,29.57479779,4894.41358717,28.55679086,42.39854977,0.24737724,4420.97611249,25.79448753,500.17733315,2.91831886
2021-02-17,2021-02-17,740.28650074,4.36290567,1883.2205346,11.09882936,122.8018626,0.72373729,3213.48012164,18.93876308,5875.29945951,34.62629307,0.0,0.0,4438.20251465,26.15670946,694.44923646,4.09276207
2021-02-18,2021-02-18,630.61405875,4.56810466,1604.25075902,11.62103076,122.01081849,0.88383407,3277.7707417,23.74384079,4535.64071522,32.85572406,15.46765416,0.11204613,3510.06564067,25.42656162,108.89962589,0.78885791
2021-02-19,2021-02-19,735.32476879,3.28712762,1788.35933772,7.99451566,134.94198909,0.60323215,7537.47954812,33.69484926,7150.67801745,31.96572758,24.46019048,0.10934457,4831.07965525,21.59641027,167.50367392,0.74879288
2021-02-20,2021-02-20,635.47450757,2.57509949,1807.34351638,7.32380183,140.4780359,0.56925166,9751.77329257,39.51659133,7005.50835364,28.38804824,0.0,0.0,4936.88636227,20.00548156,400.20413348,1.62172589
2021-02-21,2021-02-21,448.65548197,3.46110239,1414.91730266,10.91522083,99.55394518,0.76799774,2970.85696425,22.91834283,4826.10813022,37.23046986,0.0,0.0,3202.68652036,24.70676594,0.01301673,0.00010042
2021-02-22,2021-02-22,603.0721376,2.79448923,1854.20852391,8.59195017,102.54749212,0.47518007,7234.30425232,33.52200189,6575.78390127,30.47057916,1000.01635241,4.63383193,4170.86000487,19.32674824,39.97174179,0.1852193
2021-02-23,2021-02-23,719.85703012,2.48021411,2376.15971502,8.18688242,126.94404125,0.4373763,8089.66550263,27.87234371,8068.64868634,27.79993182,4.54082614,0.01564508,5499.4878715,18.9480784,4138.68364514,14.25952816
2021-02-24,2021-02-24,674.89631498,3.26027258,1774.67149711,8.57303958,128.44069855,0.62046818,4275.82531254,20.65555213,6513.89461532,31.46716247,0.0,0.0,3764.84684484,18.18712987,3568.03482306,17.23637518
2021-02-25,2021-02-25,576.26002839,3.32595017,1433.73412447,8.27495925,112.46048152,0.64907844,5416.89307701,31.26421331,4977.93090191,28.73069328,122.03114804,0.70431662,3686.24980342,21.2756092,1000.61788845,5.77517973
2021-02-26,2021-02-26,653.86663274,2.87459532,1581.85587237,6.95431646,119.90256868,0.52712793,6835.66476639,30.05164809,6686.93470997,29.39778581,0.48799521,0.00214537,3548.22032459,15.59904884,3319.45609993,14.59333217
2021-02-27,2021-02-27,497.12353242,4.32025573,1139.71958725,9.90474149,112.21101307,0.97517064,2925.19279894,25.42140962,3471.48810456,30.16899301,0.0,0.0,2891.19199646,25.1259254,469.88097792,4.08350411
2021-02-28,2021-02-28,417.30133837,3.08412247,1322.20670499,9.77194902,97.41254456,0.7199407,3916.91981045,28.94853018,3936.14898888,29.09064605,61.5870325,0.45516737,2794.53531397,20.65339445,984.52276108,7.27624977
2021-03-01,2021-03-01,494.67826195,3.16978007,1273.37555224,8.15948618,86.37522192,0.55347178,4141.59525864,26.5383525,4895.28336715,31.36780575,0.0,0.0,4413.91646411,28.2833217,300.85111377,1.92778203
2021-03-02,2021-03-02,584.70022753,4.08789317,1345.76140402,9.40880232,115.01282775,0.80410462,3442.15465656,24.06559783,5188.74380227,36.27676094,4.30262584,0.03008153,2622.47780995,18.33488108,1000.06354854,6.99187851
2021-03-03,2021-03-03,646.92974425,2.92879487,1513.60244235,6.85241497,133.75487414,0.60553807,10061.73458025,45.55171076,5976.40030246,27.05649367,0.0,0.0,3751.46883119,16.98373394,4.70790229,0.02131372
2021-03-04,2021-03-04,542.51790827,3.00319314,1278.65256886,7.07818225,101.67831049,0.56285627,6127.63545315,33.92048906,5220.12228314,28.89680729,0.0,0.0,3857.67346799,21.35475775,936.42256015,5.18371425
2021-03-05,2021-03-05,555.13983723,2.91781361,1230.07159058,6.46525324,110.8509986,0.58263257,5143.97645985,27.03672756,4039.07585489,21.22937271,0.0,0.0,3410.88787381,17.92761824,4535.88152029,23.84058206
2021-03-06,2021-03-06,424.07243332,4.28257924,806.22125807,8.14178464,115.31105259,1.16449144,4216.68343592,42.58301068,2520.90965443,25.45790415,9.89e-05,1e-06,1346.29411679,13.5958171,472.775,4.77441173
2021-03-07,2021-03-07,395.39792964,3.8778137,906.42601138,8.88965506,111.02985605,1.08891085,1735.07574812,17.01652943,4811.51856194,47.18834165,6.53157477,0.06405757,2230.43407907,21.87469174,0.0,0.0
2021-03-08,2021-03-08,445.01022224,2.73950725,1168.2322846,7.19170179,111.79835382,0.68823678,4147.40250129,25.53163647,4397.2518581,27.06972276,111.83185034,0.68844298,2965.22774714,18.25410407,2897.41545554,17.8366479
2021-03-09,2021-03-09,622.16881655,3.16770149,1591.07368427,8.10076999,135.10224563,0.68785766,5516.19084627,28.08505584,5306.7377239,27.01864919,0.07758978,0.00039504,3482.45178752,17.73050564,2987.21520933,15.20906515
2021-03-10,2021-03-10,717.38892376,4.65740422,1630.06286995,10.58263021,131.74723061,0.8553242,2791.21241199,18.12099971,5821.76956849,37.79586398,0.01471907,9.556e-05,4310.99646735,27.98768212,0.0,0.0
2021-03-11,2021-03-11,594.01971472,3.74442448,1291.07586381,8.1383428,124.72845281,0.78623026,4241.66290457,26.73747355,5666.5394735,35.71923387,0.0494502,0.00031171,3198.57893676,20.16235652,747.45778435,4.71162683
2021-03-12,2021-03-12,586.24820981,4.40265977,1404.02042736,10.54403946,116.53262036,0.8751472,3093.02941184,23.22831173,4408.58364182,33.10797974,10.15891062,0.0762923,3696.79789638,27.76254684,0.40252997,0.00302296
2021-03-13,2021-03-13,638.65286195,4.34930142,1529.35976933,10.41512065,146.35900295,0.9967221,4126.1809772,28.09977977,4770.7972291,32.48969257,5.66042316,0.03854815,3462.60318989,23.58073667,4.4197,0.03009868
2021-03-14,2021-03-14,481.3687091,3.95763678,1226.05678512,10.0801887,154.20850678,1.26784572,3740.94776988,30.75669895,4085.42676665,33.58887878,0.0,0.0,2474.81390516,20.34701122,0.2116191,0.00173985
2021-03-15,2021-03-15,446.50937161,2.24702804,1344.98314502,6.76853618,104.48766767,0.52582708,5931.2285421,29.84850416,4144.25738504,20.85569337,2000.07759533,10.06525444,4101.94064603,20.64273726,1797.623794,9.04641946
2021-03-16,2021-03-16,492.26428591,3.0643941,1227.15521236,7.63916314,113.44949814,0.7062344,2936.17014487,18.27795092,5858.92672449,36.47240107,0.0,0.0,3171.40232007,19.74229459,2264.63240849,14.09756178
2021-03-17,2021-03-17,501.83718801,2.25114614,1170.94631064,5.25264234,101.44723905,0.45507301,5992.3071904,26.88034985,4332.11876512,19.43306047,0.0,0.0,3032.07671073,13.60131919,7161.78594132,32.126409
2021-03-18,2021-03-18,643.88622333,4.87316054,1346.41518439,10.19015023,143.85996461,1.08878351,3162.6071698,23.93573881,4970.8613354,37.62125114,0.0,0.0,2939.15287702,22.24455704,6.12533402,0.04635871
