start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
2021-01-02 23:00:00,2021-01-02 23:00:00,0.52660867,1.11241722,48944206.05888,0.47339133,43998065.77215
2021-01-03 00:00:00,2021-01-03 00:00:00,0.55889395,1.26702852,39064430.625,0.44110605,30831532.14079
2021-01-03 01:00:00,2021-01-03 01:00:00,0.53161938,1.13501573,38516918.65488,0.46838062,33935140.90946
2021-01-03 02:00:00,2021-01-03 02:00:00,0.50902106,1.03674725,24952111.3168,0.49097894,24067689.80236
2021-01-03 03:00:00,2021-01-03 03:00:00,0.59674846,1.47984174,29294267.12572,0.40325154,19795540.47592
2021-01-03 04:00:00,2021-01-03 04:00:00,0.4958624,0.98358542,28691003.90691,0.5041376,29169814.20185
2021-01-03 05:00:00,2021-01-03 05:00:00,0.50337381,1.01358693,107432746.99832,0.49662619,105992632.23848002
2021-01-03 06:00:00,2021-01-03 06:00:00,0.47479772,0.90402828,94315463.97801,0.52520228,104328001.45663002
2021-01-03 07:00:00,2021-01-03 07:00:00,0.54393273,1.19265897,83293643.87684,0.45606727,69838609.24849
2021-01-03 08:00:00,2021-01-03 08:00:00,0.49388816,0.97584788,108432721.96062,0.50611184,111116418.69763003
2021-01-03 09:00:00,2021-01-03 09:00:00,0.5418519,1.18270033,119393372.15706,0.4581481,100949808.47974
2021-01-03 10:00:00,2021-01-03 10:00:00,0.50252464,1.01014979,111241600.59898998,0.49747536,110123865.94255
2021-01-03 11:00:00,2021-01-03 11:00:00,0.50349997,1.01409855,69565291.14541002,0.49650003,68598156.35717
2021-01-03 12:00:00,2021-01-03 12:00:00,0.50435639,1.01757871,68240883.255,0.49564361,67062019.63342
2021-01-03 13:00:00,2021-01-03 13:00:00,0.50114783,1.00460187,308086236.5059199,0.49885217,306674958.32654
2021-01-03 14:00:00,2021-01-03 14:00:00,0.50278517,1.01120308,446886011.44058985,0.49721483,441934978.7539601
2021-01-03 15:00:00,2021-01-03 15:00:00,0.51096438,1.04484084,363305863.36851,0.48903562,347714072.71676
2021-01-03 16:00:00,2021-01-03 16:00:00,0.52311763,1.09695319,654818223.1106501,0.47688237,596942722.3902398
2021-01-03 17:00:00,2021-01-03 17:00:00,0.52711387,1.114674,328916387.12608004,0.47288613,295078549.70400995
2021-01-03 18:00:00,2021-01-03 18:00:00,0.54585625,1.20194598,286984592.73739,0.45414375,238766630.57800996
2021-01-03 19:00:00,2021-01-03 19:00:00,0.52617449,1.11048155,150912599.24974,0.47382551,135898340.27952
2021-01-03 20:00:00,2021-01-03 20:00:00,0.48796934,0.95300804,248853410.91049,0.51203066,261124147.2832299
2021-01-03 21:00:00,2021-01-03 21:00:00,0.50442242,1.01784752,96396866.92047998,0.49557758,94706589.08459
2021-01-03 22:00:00,2021-01-03 22:00:00,0.49969183,0.99876809,293875303.56209,0.50030817,294237778.44474006
2021-01-03 23:00:00,2021-01-03 23:00:00,0.53889557,1.16870613,380595941.6936301,0.46110443,325655809.83605003
2021-01-04 00:00:00,2021-01-04 00:00:00,0.52951753,1.1254777,232359627.61458,0.47048247,206454227.06283003
2021-01-04 01:00:00,2021-01-04 01:00:00,0.55545367,1.24948432,109257792.257,0.44454633,87442307.33969
2021-01-04 02:00:00,2021-01-04 02:00:00,0.48301672,0.93429853,79973583.84164,0.51698328,85597462.63008001
2021-01-04 03:00:00,2021-01-04 03:00:00,0.46988352,0.88637789,179113214.3378,0.53011648,202073196.53585997
2021-01-04 04:00:00,2021-01-04 04:00:00,0.50713867,1.02896827,206845034.21739,0.49286133,201021781.9364901
2021-01-04 05:00:00,2021-01-04 05:00:00,0.49074732,0.96366174,329486423.81643003,0.50925268,341910870.9007899
2021-01-04 06:00:00,2021-01-04 06:00:00,0.5165964,1.06866477,624537880.7736297,0.4834036,584409533.3134701
2021-01-04 07:00:00,2021-01-04 07:00:00,0.53860189,1.16732573,568576791.7224,0.46139811,487076380.59636
2021-01-04 08:00:00,2021-01-04 08:00:00,0.53609823,1.15562877,443870312.7298799,0.46390177,384094203.05959
2021-01-04 09:00:00,2021-01-04 09:00:00,0.54617414,1.20348838,582112938.6782597,0.45382586,483688042.37724006
2021-01-04 10:00:00,2021-01-04 10:00:00,0.52029866,1.08463039,451173457.32941985,0.47970134,415969771.56813
2021-01-04 11:00:00,2021-01-04 11:00:00,0.50373284,1.01504368,228468861.97912008,0.49626716,225082787.94417995
2021-01-04 12:00:00,2021-01-04 12:00:00,0.49300319,0.97239899,280300573.8039101,0.50699681,288256750.24983007
2021-01-04 13:00:00,2021-01-04 13:00:00,0.52724344,1.11525355,290857004.96162,0.47275656,260798994.64109
2021-01-04 14:00:00,2021-01-04 14:00:00,0.50227937,1.00915923,264020143.73529992,0.49772063,261623870.62391
2021-01-04 15:00:00,2021-01-04 15:00:00,0.5262604,1.11086429,260052927.07379,0.4737396,234099637.23079
2021-01-04 16:00:00,2021-01-04 16:00:00,0.52889044,1.12264852,361740649.17067,0.47110956,322220750.98024
2021-01-04 17:00:00,2021-01-04 17:00:00,0.5443361,1.19460002,182690155.23467007,0.4556639,152929978.05923
2021-01-04 18:00:00,2021-01-04 18:00:00,0.49078325,0.96380028,107039814.97965002,0.50921675,111060161.16299
2021-01-04 19:00:00,2021-01-04 19:00:00,0.50339722,1.01368185,116054776.72714,0.49660278,114488363.98233
