start_time,datetime,netflow_total
2021-01-05 03:00:00,2021-01-05 03:00:00,6.15934313
2021-01-05 04:00:00,2021-01-05 04:00:00,11.18219924
2021-01-05 05:00:00,2021-01-05 05:00:00,11.51302402
2021-01-05 06:00:00,2021-01-05 06:00:00,25.78313237
2021-01-05 07:00:00,2021-01-05 07:00:00,29.80586096
2021-01-05 08:00:00,2021-01-05 08:00:00,-215.59037353
2021-01-05 09:00:00,2021-01-05 09:00:00,24.63368112
2021-01-05 10:00:00,2021-01-05 10:00:00,8.99777573
2021-01-05 11:00:00,2021-01-05 11:00:00,9.01563816
2021-01-05 12:00:00,2021-01-05 12:00:00,42.31912152
2021-01-05 13:00:00,2021-01-05 13:00:00,18.1657019
2021-01-05 14:00:00,2021-01-05 14:00:00,69.83653394
2021-01-05 15:00:00,2021-01-05 15:00:00,85.53276051
2021-01-05 16:00:00,2021-01-05 16:00:00,47.74898186
2021-01-05 17:00:00,2021-01-05 17:00:00,17.23461985
2021-01-05 18:00:00,2021-01-05 18:00:00,16.46003607
2021-01-05 19:00:00,2021-01-05 19:00:00,26.55010507
2021-01-05 20:00:00,2021-01-05 20:00:00,42.69102617
2021-01-05 21:00:00,2021-01-05 21:00:00,42.22033851
2021-01-05 22:00:00,2021-01-05 22:00:00,66.77494525
2021-01-05 23:00:00,2021-01-05 23:00:00,74.03794764
2021-01-06 00:00:00,2021-01-06 00:00:00,-755.28803774
2021-01-06 01:00:00,2021-01-06 01:00:00,13.58002868
2021-01-06 02:00:00,2021-01-06 02:00:00,1.20932012
2021-01-06 03:00:00,2021-01-06 03:00:00,11.94354649
2021-01-06 04:00:00,2021-01-06 04:00:00,55.86112972
2021-01-06 05:00:00,2021-01-06 05:00:00,35.1152948
2021-01-06 06:00:00,2021-01-06 06:00:00,12.48169146
2021-01-06 07:00:00,2021-01-06 07:00:00,25.33010068
2021-01-06 08:00:00,2021-01-06 08:00:00,25.82726101
2021-01-06 09:00:00,2021-01-06 09:00:00,28.7717028
2021-01-06 10:00:00,2021-01-06 10:00:00,12.99266763
2021-01-06 11:00:00,2021-01-06 11:00:00,10.554176
2021-01-06 12:00:00,2021-01-06 12:00:00,8.85750521
2021-01-06 13:00:00,2021-01-06 13:00:00,17.19092386
2021-01-06 14:00:00,2021-01-06 14:00:00,9.08650836
2021-01-06 15:00:00,2021-01-06 15:00:00,11.19738735
2021-01-06 16:00:00,2021-01-06 16:00:00,37.7556647
2021-01-06 17:00:00,2021-01-06 17:00:00,12.02342738
2021-01-06 18:00:00,2021-01-06 18:00:00,13.07487503
2021-01-06 19:00:00,2021-01-06 19:00:00,29.03974258
2021-01-06 20:00:00,2021-01-06 20:00:00,12.32150143
2021-01-06 21:00:00,2021-01-06 21:00:00,19.43869647
2021-01-06 22:00:00,2021-01-06 22:00:00,32.54553139
2021-01-06 23:00:00,2021-01-06 23:00:00,21.04212191
2021-01-07 00:00:00,2021-01-07 00:00:00,44.97146648
2021-01-07 01:00:00,2021-01-07 01:00:00,50.61438159
2021-01-07 02:00:00,2021-01-07 02:00:00,169.1482546
2021-01-07 03:00:00,2021-01-07 03:00:00,183.30435089
2021-01-07 04:00:00,2021-01-07 04:00:00,9.03680525
2021-01-07 05:00:00,2021-01-07 05:00:00,6.58645993
2021-01-07 06:00:00,2021-01-07 06:00:00,506.62305382
2021-01-07 07:00:00,2021-01-07 07:00:00,32.74457904
2021-01-07 08:00:00,2021-01-07 08:00:00,40.07278123
2021-01-07 09:00:00,2021-01-07 09:00:00,18.44006428
2021-01-07 10:00:00,2021-01-07 10:00:00,27.33609158
2021-01-07 11:00:00,2021-01-07 11:00:00,87.61212154
2021-01-07 12:00:00,2021-01-07 12:00:00,31.76345994
