start_time,date,price_usd_adj_close,price_usd_close,price_usd_high,price_usd_low,price_usd_open
2024-07-23,2024-07-23,3.269999981,3.269999981,3.309999943,3.190000057,3.299999952
2024-07-24,2024-07-24,3.170000076,3.170000076,3.269999981,3.160000086,3.269999981
2024-07-25,2024-07-25,2.940000057,2.940000057,3.0,2.920000076,2.980000019
2024-07-26,2024-07-26,3.079999924,3.079999924,3.099999905,3.029999971,3.039999962
2024-07-29,2024-07-29,3.119999886,3.119999886,3.190000057,3.069999933,3.190000057
2024-07-30,2024-07-30,3.079999924,3.079999924,3.165899992,3.069999933,3.160000086
2024-07-31,2024-07-31,3.079999924,3.079999924,3.160000086,3.052999973,3.140000105
2024-08-01,2024-08-01,2.940000057,2.940000057,3.00999999,2.900000095,3.0
2024-08-02,2024-08-02,2.829999924,2.829999924,3.0,2.809999943,2.960000038
2024-08-05,2024-08-05,2.269999981,2.269999981,2.380000114,2.059999943,2.089999914
2024-08-06,2024-08-06,2.349999905,2.349999905,2.40989995,2.280200005,2.319999933
2024-08-07,2024-08-07,2.210000038,2.210000038,2.349999905,2.194999933,2.329999924
2024-08-08,2024-08-08,2.430000067,2.430000067,2.459899902,2.274699926,2.329999924
2024-08-09,2024-08-09,2.444999933,2.444999933,2.50999999,2.404000044,2.49000001
2024-08-12,2024-08-12,2.50999999,2.50999999,2.569900036,2.443500042,2.529999971
2024-08-13,2024-08-13,2.549999952,2.549999952,2.576600075,2.480000019,2.49000001
2024-08-14,2024-08-14,2.50999999,2.50999999,2.579900026,2.480000019,2.569999933
2024-08-15,2024-08-15,2.410000086,2.410000086,2.519999981,2.380000114,2.50999999
2024-08-16,2024-08-16,2.480000019,2.480000019,2.480000019,2.404999971,2.450000048
2024-08-19,2024-08-19,2.460000038,2.460000038,2.480000019,2.412699938,2.450000048
2024-08-20,2024-08-20,2.460000038,2.460000038,2.5,2.410000086,2.480000019
2024-08-21,2024-08-21,2.5,2.5,2.5,2.390000105,2.440000057
