start_time,datetime,total_value_staked
2021-01-04 09:00:00,2021-01-04 09:00:00,2218435.875174963
2021-01-04 10:00:00,2021-01-04 10:00:00,2218457.616867953
2021-01-04 11:00:00,2021-01-04 11:00:00,2220815.055870651
2021-01-04 12:00:00,2021-01-04 12:00:00,2220839.407643665
2021-01-04 13:00:00,2021-01-04 13:00:00,2220861.954417093
2021-01-04 14:00:00,2021-01-04 14:00:00,2220887.148129398
2021-01-04 15:00:00,2021-01-04 15:00:00,2220909.868855502
2021-01-04 16:00:00,2021-01-04 16:00:00,2220932.398196786
2021-01-04 17:00:00,2021-01-04 17:00:00,2220957.480011094
2021-01-04 18:00:00,2021-01-04 18:00:00,2223763.989274647
2021-01-04 19:00:00,2021-01-04 19:00:00,2223786.73331404
2021-01-04 20:00:00,2021-01-04 20:00:00,2223811.629104583
2021-01-04 21:00:00,2021-01-04 21:00:00,2223834.32895206
2021-01-04 22:00:00,2021-01-04 22:00:00,2223859.502515977
2021-01-04 23:00:00,2021-01-04 23:00:00,2223882.099919878
2021-01-05 00:00:00,2021-01-05 00:00:00,2223905.082721014
2021-01-05 01:00:00,2021-01-05 01:00:00,2227610.16061734
2021-01-05 02:00:00,2021-01-05 02:00:00,2227632.762955826
2021-01-05 03:00:00,2021-01-05 03:00:00,2227655.770673878
2021-01-05 04:00:00,2021-01-05 04:00:00,2227681.275696671
2021-01-05 05:00:00,2021-01-05 05:00:00,2227704.092546963
2021-01-05 06:00:00,2021-01-05 06:00:00,2227726.93413613
2021-01-05 07:00:00,2021-01-05 07:00:00,2227752.553330962
2021-01-05 08:00:00,2021-01-05 08:00:00,2254879.148498576
2021-01-05 09:00:00,2021-01-05 09:00:00,2254904.485388545
2021-01-05 10:00:00,2021-01-05 10:00:00,2254927.139240071
2021-01-05 11:00:00,2021-01-05 11:00:00,2254949.922799192
2021-01-05 12:00:00,2021-01-05 12:00:00,2254974.950870078
2021-01-05 13:00:00,2021-01-05 13:00:00,2254996.22123581
2021-01-05 14:00:00,2021-01-05 14:00:00,2255019.526728295
2021-01-05 15:00:00,2021-01-05 15:00:00,2258784.469468562
2021-01-05 16:00:00,2021-01-05 16:00:00,2258807.048467707
2021-01-05 17:00:00,2021-01-05 17:00:00,2258832.33317235
2021-01-05 18:00:00,2021-01-05 18:00:00,2258854.763437772
2021-01-05 19:00:00,2021-01-05 19:00:00,2258877.408230015
2021-01-05 20:00:00,2021-01-05 20:00:00,2258902.813612996
2021-01-05 21:00:00,2021-01-05 21:00:00,2261261.624657734
2021-01-05 22:00:00,2021-01-05 22:00:00,2261286.861748248
2021-01-05 23:00:00,2021-01-05 23:00:00,2261309.753374305
2021-01-06 00:00:00,2021-01-06 00:00:00,2261332.664342611
2021-01-06 01:00:00,2021-01-06 01:00:00,2261357.696913146
2021-01-06 02:00:00,2021-01-06 02:00:00,2261380.46583839
2021-01-06 03:00:00,2021-01-06 03:00:00,2261403.371271135
2021-01-06 04:00:00,2021-01-06 04:00:00,2261428.673639332
2021-01-06 05:00:00,2021-01-06 05:00:00,2261451.536992468
2021-01-06 06:00:00,2021-01-06 06:00:00,2261476.975516613
2021-01-06 07:00:00,2021-01-06 07:00:00,2261499.875530818
2021-01-06 08:00:00,2021-01-06 08:00:00,2261522.738542457
2021-01-06 09:00:00,2021-01-06 09:00:00,2261547.659642671
2021-01-06 10:00:00,2021-01-06 10:00:00,2261570.318365848
2021-01-06 11:00:00,2021-01-06 11:00:00,2278744.844543089
2021-01-06 12:00:00,2021-01-06 12:00:00,2278770.09786669
2021-01-06 13:00:00,2021-01-06 13:00:00,2278792.719739214
2021-01-06 14:00:00,2021-01-06 14:00:00,2278815.624891658
2021-01-06 15:00:00,2021-01-06 15:00:00,2278840.769269995
2021-01-06 16:00:00,2021-01-06 16:00:00,2278863.763801182
2021-01-06 17:00:00,2021-01-06 17:00:00,2278888.794646367
2021-01-06 18:00:00,2021-01-06 18:00:00,2292351.643096307
2021-01-06 19:00:00,2021-01-06 19:00:00,2292374.36780512
2021-01-06 20:00:00,2021-01-06 20:00:00,2292399.855729137
2021-01-06 21:00:00,2021-01-06 21:00:00,2292422.74627593
2021-01-06 22:00:00,2021-01-06 22:00:00,2292448.17564572
2021-01-06 23:00:00,2021-01-06 23:00:00,2292470.894865647
2021-01-07 00:00:00,2021-01-07 00:00:00,2292493.842354681
2021-01-07 01:00:00,2021-01-07 01:00:00,2292519.399399334
2021-01-07 02:00:00,2021-01-07 02:00:00,2292542.552372609
2021-01-07 03:00:00,2021-01-07 03:00:00,2292565.600699896
2021-01-07 04:00:00,2021-01-07 04:00:00,2292591.531711931
2021-01-07 05:00:00,2021-01-07 05:00:00,2292614.6854471
2021-01-07 06:00:00,2021-01-07 06:00:00,2292637.8790375
2021-01-07 07:00:00,2021-01-07 07:00:00,2292663.71789415
2021-01-07 08:00:00,2021-01-07 08:00:00,2303374.811874184
2021-01-07 09:00:00,2021-01-07 09:00:00,2303400.734603437
2021-01-07 10:00:00,2021-01-07 10:00:00,2303424.06591305
2021-01-07 11:00:00,2021-01-07 11:00:00,2303446.914068689
2021-01-07 12:00:00,2021-01-07 12:00:00,2303471.770031833
2021-01-07 13:00:00,2021-01-07 13:00:00,2303494.795704052
2021-01-07 14:00:00,2021-01-07 14:00:00,2316064.676540716
2021-01-07 15:00:00,2021-01-07 15:00:00,2316088.069465825
2021-01-07 16:00:00,2021-01-07 16:00:00,2316111.464194887
2021-01-07 17:00:00,2021-01-07 17:00:00,2316137.328182134
2021-01-07 18:00:00,2021-01-07 18:00:00,2316160.198890108
2021-01-07 19:00:00,2021-01-07 19:00:00,2316183.406083419
2021-01-07 20:00:00,2021-01-07 20:00:00,2316209.093567884
2021-01-07 21:00:00,2021-01-07 21:00:00,2318248.462144602
2021-01-07 22:00:00,2021-01-07 22:00:00,2318271.812088351
2021-01-07 23:00:00,2021-01-07 23:00:00,2318297.670249596
2021-01-08 00:00:00,2021-01-08 00:00:00,2318320.908973099
2021-01-08 01:00:00,2021-01-08 01:00:00,2318346.6254406
2021-01-08 02:00:00,2021-01-08 02:00:00,2318369.808399012
2021-01-08 03:00:00,2021-01-08 03:00:00,2318392.78447153
2021-01-08 04:00:00,2021-01-08 04:00:00,2318418.341639054
2021-01-08 05:00:00,2021-01-08 05:00:00,2318441.941688296
2021-01-08 06:00:00,2021-01-08 06:00:00,2318467.672343933
2021-01-08 07:00:00,2021-01-08 07:00:00,2318491.142817495
2021-01-08 08:00:00,2021-01-08 08:00:00,2318514.403831156
2021-01-08 09:00:00,2021-01-08 09:00:00,2318540.518211301
2021-01-08 10:00:00,2021-01-08 10:00:00,2318563.957178573
2021-01-08 11:00:00,2021-01-08 11:00:00,2323995.146256223
2021-01-08 12:00:00,2021-01-08 12:00:00,2324021.077595654
2021-01-08 13:00:00,2021-01-08 13:00:00,2324044.583835968
2021-01-08 14:00:00,2021-01-08 14:00:00,2324070.103803625
2021-01-08 15:00:00,2021-01-08 15:00:00,2324093.601812647
2021-01-08 16:00:00,2021-01-08 16:00:00,2324117.201043296
2021-01-08 17:00:00,2021-01-08 17:00:00,2324143.008719203
2021-01-08 18:00:00,2021-01-08 18:00:00,2332550.393503238
2021-01-08 19:00:00,2021-01-08 19:00:00,2332573.338430217
2021-01-08 20:00:00,2021-01-08 20:00:00,2332599.335788663
2021-01-08 21:00:00,2021-01-08 21:00:00,2332622.873792231
2021-01-08 22:00:00,2021-01-08 22:00:00,2332648.816791433
2021-01-08 23:00:00,2021-01-08 23:00:00,2332671.833195066
2021-01-09 00:00:00,2021-01-09 00:00:00,2332695.110646387
2021-01-09 01:00:00,2021-01-09 01:00:00,2336817.021417149
