t,shortLiquidationUsd,longLiquidationUsd,high,close,volume,open,low
1569369600.0,0,0,8725.24,8430.07,48222.102,8493.32,8200.0
1569456000.0,0,0,8464.4,8060.15,60065.945,8428.15,7700.67
1569542400.0,0,0,8260.0,8176.52,40034.653,8061.98,7851.94
1569628800.0,0,0,8311.0,8195.38,33820.919,8178.26,8001.14
1569715200.0,0,0,8226.35,8041.96,35966.056,8199.0,7888.98
1569801600.0,0,0,8331.89,8285.84,54412.52,8042.08,7709.01
1569888000.0,0,0,8499.0,8290.0,39212.804,8285.31,8171.0
1569974400.0,0,0,8365.92,8352.14,30329.179,8290.0,8149.35
1570060800.0,0,0,8386.0,8220.27,33430.23,8353.4,8020.0
1570147200.0,0,0,8227.42,8130.56,28421.111,8219.95,7979.95
1570233600.0,0,0,8175.0,8122.14,30262.006,8130.0,8010.0
1570320000.0,0,0,8148.43,7852.79,41909.039,8122.01,7760.0
1570406400.0,0,0,8330.0,8186.88,62760.299,7851.01,7764.42
1570492800.0,0,0,8322.01,8167.62,44715.165,8188.55,8103.88
1570579200.0,0,0,8700.0,8559.77,65453.643,8168.33,8113.0
1570665600.0,0,0,8640.89,8556.02,44285.668,8559.77,8419.34
1570752000.0,0,0,8788.0,8255.58,69157.964,8557.0,8210.0
1570838400.0,0,0,8397.45,8300.22,37761.514,8255.54,8248.34
1570924800.0,0,0,8456.0,8274.66,43820.913,8300.31,8137.3
1571011200.0,0,0,8381.77,8346.05,61999.821,8274.33,8205.02
1571097600.0,0,0,8408.62,8160.01,86246.749,8346.31,8080.0
1571184000.0,0,0,8184.0,7992.21,70434.452,8160.55,7900.24
1571270400.0,0,0,8124.63,8069.2,58354.602,7994.76,7930.0
1571356800.0,0,0,8117.3,7943.94,75251.352,8069.41,7812.0
1571443200.0,0,0,8108.54,7947.13,78024.395,7945.57,7852.12
1571529600.0,0,0,8300.5,8218.23,78663.915,7947.78,7871.17
1571616000.0,0,0,8334.57,8201.74,59928.516,8218.23,8150.0
1571702400.0,0,0,8290.0,8020.89,69506.88,8201.0,8000.0
1571788800.0,0,0,8047.78,7465.0,108484.139,8020.68,7172.76
1571875200.0,0,0,7495.81,7411.35,66719.534,7465.18,7337.44
1571961600.0,0,0,8800.0,8650.0,165118.926,7410.07,7359.0
1572048000.0,0,0,10408.48,9232.22,248161.161,8650.0,8626.89
1572134400.0,0,0,9803.83,9533.32,163544.019,9234.75,9066.07
1572220800.0,0,0,9930.13,9217.36,155599.975,9534.37,9156.03
1572307200.0,0,0,9569.1,9415.02,124703.014,9215.78,9070.0
1572393600.0,0,0,9418.65,9165.3,98464.858,9415.02,8975.72
1572480000.0,0,0,9438.64,9150.0,98836.044,9163.4,8933.0
1572566400.0,0,0,9280.0,9231.01,87256.949,9149.88,9050.27
1572652800.0,0,0,9375.0,9287.8,56602.055,9231.7,9194.98
1572739200.0,0,0,9366.69,9197.88,75612.722,9288.96,9073.0
1572825600.0,0,0,9550.0,9395.46,90433.357,9197.86,9126.01
1572912000.0,0,0,9457.13,9313.2,113738.226,9395.47,9164.33
1572998400.0,0,0,9450.0,9343.6,73767.911,9313.1,9259.48
1573084800.0,0,0,9381.93,9219.64,77389.569,9344.29,9091.2
1573171200.0,0,0,9259.3,8775.03,151851.16,9221.63,8669.85
1573257600.0,0,0,8878.0,8811.15,66846.392,8775.6,8727.0
1573344000.0,0,0,9187.0,9041.31,91099.197,8811.3,8760.0
1573430400.0,0,0,9072.91,8728.93,113373.762,9041.31,8611.11
1573516800.0,0,0,8889.06,8817.0,107520.546,8729.89,8552.12
1573603200.0,0,0,8838.0,8774.76,58585.811,8817.94,8712.0
1573689600.0,0,0,8798.06,8642.25,87099.995,8774.78,8581.39
1573776000.0,0,0,8780.0,8473.27,145602.497,8642.47,8380.0
1573862400.0,0,0,8540.54,8491.06,48657.04,8473.3,8435.0
1573948800.0,0,0,8631.0,8504.04,72152.266,8491.18,8355.78
1574035200.0,0,0,8504.71,8183.26,123477.142,8504.13,8050.0
1574121600.0,0,0,8212.87,8131.7,110854.03,8183.3,8000.0
1574208000.0,0,0,8230.0,8094.05,87352.38,8131.12,8037.5
1574294400.0,0,0,8131.51,7621.9,180289.189,8094.57,7432.0
1574380800.0,0,0,7765.03,7262.72,371213.951,7621.89,6762.73
1574467200.0,0,0,7345.84,7305.99,139643.311,7261.89,7073.38
1574553600.0,0,0,7324.92,6900.86,183676.078,7306.19,6855.91
1574640000.0,0,0,7386.29,7102.03,333987.914,6899.77,6510.19
1574726400.0,0,0,7340.06,7150.0,193962.094,7103.34,7011.9
1574812800.0,0,0,7669.2,7506.77,297842.994,7149.97,6850.0
1574899200.0,0,0,7643.0,7415.79,175000.609,7506.78,7356.0
1574985600.0,0,0,7850.0,7736.66,185819.186,7417.0,7394.57
1575072000.0,0,0,7800.0,7542.93,141966.392,7737.23,7444.18
1575158400.0,0,0,7541.08,7387.38,196291.252,7541.08,7222.29
1575244800.0,0,0,7416.75,7291.0,143966.953,7388.0,7137.74
1575331200.0,0,0,7404.42,7290.86,84699.47,7291.74,7231.35
1575417600.0,0,0,7800.0,7191.0,274879.481,7290.85,7070.0
1575504000.0,0,0,7480.0,7384.99,176315.108,7189.42,7142.54
