start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
2021-01-01 00:00:00,2021-01-01 00:00:00,0.47741566,0.91356671,46504164.0,0.52258434,50903961.0
2021-01-01 01:00:00,2021-01-01 01:00:00,0.59153215,1.44817312,186471684.0,0.40846785,128763393.0
2021-01-01 02:00:00,2021-01-01 02:00:00,0.39343383,0.64862475,61563025.0,0.60656617,94913160.0
2021-01-01 03:00:00,2021-01-01 03:00:00,0.49515186,0.98079366,35949794.0,0.50484814,36653779.0
2021-01-01 04:00:00,2021-01-01 04:00:00,0.38066912,0.61464581,38365815.0,0.61933088,62419388.0
2021-01-01 05:00:00,2021-01-01 05:00:00,0.44419103,0.79917932,31274377.0,0.55580897,39133116.0
2021-01-01 06:00:00,2021-01-01 06:00:00,0.52868432,1.1217202,35093068.0,0.47131568,31285046.0
2021-01-01 07:00:00,2021-01-01 07:00:00,0.36564851,0.5764131,35105376.0,0.63435149,60903154.0
2021-01-01 08:00:00,2021-01-01 08:00:00,0.54971176,1.22079973,69140231.0,0.45028824,56635195.0
2021-01-01 09:00:00,2021-01-01 09:00:00,0.64025151,1.77971976,85568200.0,0.35974849,48079592.0
2021-01-01 10:00:00,2021-01-01 10:00:00,0.54551613,1.2002981,49769451.0,0.45448387,41464242.0
2021-01-01 11:00:00,2021-01-01 11:00:00,0.54806679,1.21271635,59206060.0,0.45193321,48821029.0
2021-01-01 12:00:00,2021-01-01 12:00:00,0.470312,0.88790381,120170477.0,0.529688,135341775.0
2021-01-01 13:00:00,2021-01-01 13:00:00,0.59921119,1.49507967,53346298.0,0.40078881,35681241.0
2021-01-01 14:00:00,2021-01-01 14:00:00,0.55146576,1.22948419,55031588.0,0.44853424,44759899.0
2021-01-01 15:00:00,2021-01-01 15:00:00,0.43145648,0.75888031,63204138.0,0.56854352,83286043.0
2021-01-01 16:00:00,2021-01-01 16:00:00,0.50424979,1.01714488,33718713.0,0.49575021,33150354.0
2021-01-01 17:00:00,2021-01-01 17:00:00,0.35252986,0.54447277,50085029.0,0.64747014,91988125.0
2021-01-01 18:00:00,2021-01-01 18:00:00,0.36672143,0.57908391,99960720.0,0.63327857,172618713.0
2021-01-01 19:00:00,2021-01-01 19:00:00,0.47317813,0.89817481,40875950.0,0.52682187,45510016.0
2021-01-01 20:00:00,2021-01-01 20:00:00,0.63956462,1.77442242,103471309.0,0.36043538,58312670.0
2021-01-01 21:00:00,2021-01-01 21:00:00,0.61280908,1.58270518,39837954.0,0.38719092,25170799.0
2021-01-01 22:00:00,2021-01-01 22:00:00,0.5247784,1.10428147,26745907.0,0.4752216,24220190.0
2021-01-01 23:00:00,2021-01-01 23:00:00,0.5143529,1.05910835,17359506.0,0.4856471,16390680.0
