start_time,datetime,estimated_leverage_ratio
2021-01-04 14:00:00,2021-01-04 14:00:00,0.16707045
2021-01-04 15:00:00,2021-01-04 15:00:00,0.16713576
2021-01-04 16:00:00,2021-01-04 16:00:00,0.16308997
2021-01-04 17:00:00,2021-01-04 17:00:00,0.16095917
2021-01-04 18:00:00,2021-01-04 18:00:00,0.1596776
2021-01-04 19:00:00,2021-01-04 19:00:00,0.16313196
2021-01-04 20:00:00,2021-01-04 20:00:00,0.16522012
2021-01-04 21:00:00,2021-01-04 21:00:00,0.15975992
2021-01-04 22:00:00,2021-01-04 22:00:00,0.16093991
2021-01-04 23:00:00,2021-01-04 23:00:00,0.1603439
2021-01-05 00:00:00,2021-01-05 00:00:00,0.16853017
2021-01-05 01:00:00,2021-01-05 01:00:00,0.1563461
2021-01-05 02:00:00,2021-01-05 02:00:00,0.16059004
2021-01-05 03:00:00,2021-01-05 03:00:00,0.15987706
2021-01-05 04:00:00,2021-01-05 04:00:00,0.15546766
2021-01-05 05:00:00,2021-01-05 05:00:00,0.15192336
2021-01-05 06:00:00,2021-01-05 06:00:00,0.15064312
2021-01-05 07:00:00,2021-01-05 07:00:00,0.15031006
2021-01-05 08:00:00,2021-01-05 08:00:00,0.15024778
2021-01-05 09:00:00,2021-01-05 09:00:00,0.15216977
2021-01-05 10:00:00,2021-01-05 10:00:00,0.15083703
2021-01-05 11:00:00,2021-01-05 11:00:00,0.15093051
2021-01-05 12:00:00,2021-01-05 12:00:00,0.15721053
2021-01-05 13:00:00,2021-01-05 13:00:00,0.15676396
2021-01-05 14:00:00,2021-01-05 14:00:00,0.15195091
2021-01-05 15:00:00,2021-01-05 15:00:00,0.15515097
2021-01-05 16:00:00,2021-01-05 16:00:00,0.15651624
2021-01-05 17:00:00,2021-01-05 17:00:00,0.15695939
2021-01-05 18:00:00,2021-01-05 18:00:00,0.1613027
2021-01-05 19:00:00,2021-01-05 19:00:00,0.16286626
2021-01-05 20:00:00,2021-01-05 20:00:00,0.16119937
2021-01-05 21:00:00,2021-01-05 21:00:00,0.16027445
2021-01-05 22:00:00,2021-01-05 22:00:00,0.16480471
2021-01-05 23:00:00,2021-01-05 23:00:00,0.16256559
2021-01-06 00:00:00,2021-01-06 00:00:00,0.15768092
2021-01-06 01:00:00,2021-01-06 01:00:00,0.15626543
2021-01-06 02:00:00,2021-01-06 02:00:00,0.16066038
2021-01-06 03:00:00,2021-01-06 03:00:00,0.16005078
2021-01-06 04:00:00,2021-01-06 04:00:00,0.16641861
2021-01-06 05:00:00,2021-01-06 05:00:00,0.16727183
2021-01-06 06:00:00,2021-01-06 06:00:00,0.17042733
2021-01-06 07:00:00,2021-01-06 07:00:00,0.16749338
2021-01-06 08:00:00,2021-01-06 08:00:00,0.17094868
2021-01-06 09:00:00,2021-01-06 09:00:00,0.17195335
2021-01-06 10:00:00,2021-01-06 10:00:00,0.17226239
2021-01-06 11:00:00,2021-01-06 11:00:00,0.17840363
2021-01-06 12:00:00,2021-01-06 12:00:00,0.17849624
2021-01-06 13:00:00,2021-01-06 13:00:00,0.179328
2021-01-06 14:00:00,2021-01-06 14:00:00,0.17961794
2021-01-06 15:00:00,2021-01-06 15:00:00,0.17945859
2021-01-06 16:00:00,2021-01-06 16:00:00,0.17460567
2021-01-06 17:00:00,2021-01-06 17:00:00,0.17793221
2021-01-06 18:00:00,2021-01-06 18:00:00,0.1744874
2021-01-06 19:00:00,2021-01-06 19:00:00,0.17559132
2021-01-06 20:00:00,2021-01-06 20:00:00,0.16489019
2021-01-06 21:00:00,2021-01-06 21:00:00,0.16247776
2021-01-06 22:00:00,2021-01-06 22:00:00,0.16188044
2021-01-06 23:00:00,2021-01-06 23:00:00,0.16518099
2021-01-07 00:00:00,2021-01-07 00:00:00,0.16195827
2021-01-07 01:00:00,2021-01-07 01:00:00,0.16219127
2021-01-07 02:00:00,2021-01-07 02:00:00,0.15947671
2021-01-07 03:00:00,2021-01-07 03:00:00,0.16170922
2021-01-07 04:00:00,2021-01-07 04:00:00,0.16307738
2021-01-07 05:00:00,2021-01-07 05:00:00,0.16285377
2021-01-07 06:00:00,2021-01-07 06:00:00,0.16204592
2021-01-07 07:00:00,2021-01-07 07:00:00,0.16221169
2021-01-07 08:00:00,2021-01-07 08:00:00,0.15755578
2021-01-07 09:00:00,2021-01-07 09:00:00,0.15800907
2021-01-07 10:00:00,2021-01-07 10:00:00,0.15816722
2021-01-07 11:00:00,2021-01-07 11:00:00,0.15646853
2021-01-07 12:00:00,2021-01-07 12:00:00,0.15426098
2021-01-07 13:00:00,2021-01-07 13:00:00,0.15587329
2021-01-07 14:00:00,2021-01-07 14:00:00,0.15766197
2021-01-07 15:00:00,2021-01-07 15:00:00,0.160317
2021-01-07 16:00:00,2021-01-07 16:00:00,0.16307668
2021-01-07 17:00:00,2021-01-07 17:00:00,0.16330735
2021-01-07 18:00:00,2021-01-07 18:00:00,0.15359656
2021-01-07 19:00:00,2021-01-07 19:00:00,0.16332449
2021-01-07 20:00:00,2021-01-07 20:00:00,0.15796837
2021-01-07 21:00:00,2021-01-07 21:00:00,0.15980142
2021-01-07 22:00:00,2021-01-07 22:00:00,0.16117525
2021-01-07 23:00:00,2021-01-07 23:00:00,0.15866305
2021-01-08 00:00:00,2021-01-08 00:00:00,0.16360222
2021-01-08 01:00:00,2021-01-08 01:00:00,0.15983383
2021-01-08 02:00:00,2021-01-08 02:00:00,0.15969561
2021-01-08 03:00:00,2021-01-08 03:00:00,0.15861807
2021-01-08 04:00:00,2021-01-08 04:00:00,0.15642299
2021-01-08 05:00:00,2021-01-08 05:00:00,0.15730717
2021-01-08 06:00:00,2021-01-08 06:00:00,0.15717955
2021-01-08 07:00:00,2021-01-08 07:00:00,0.15623608
2021-01-08 08:00:00,2021-01-08 08:00:00,0.15597838
2021-01-08 09:00:00,2021-01-08 09:00:00,0.15395296
2021-01-08 10:00:00,2021-01-08 10:00:00,0.15483861
2021-01-08 11:00:00,2021-01-08 11:00:00,0.15347221
2021-01-08 12:00:00,2021-01-08 12:00:00,0.149875
2021-01-08 13:00:00,2021-01-08 13:00:00,0.1518048
2021-01-08 14:00:00,2021-01-08 14:00:00,0.14909774
2021-01-08 15:00:00,2021-01-08 15:00:00,0.14834079
2021-01-08 16:00:00,2021-01-08 16:00:00,0.14477593
2021-01-08 17:00:00,2021-01-08 17:00:00,0.14683858
2021-01-08 18:00:00,2021-01-08 18:00:00,0.14686505
2021-01-08 19:00:00,2021-01-08 19:00:00,0.14637176
2021-01-08 20:00:00,2021-01-08 20:00:00,0.14964453
2021-01-08 21:00:00,2021-01-08 21:00:00,0.14454694
2021-01-08 22:00:00,2021-01-08 22:00:00,0.14582748
2021-01-08 23:00:00,2021-01-08 23:00:00,0.14656908
2021-01-09 00:00:00,2021-01-09 00:00:00,0.14460412
2021-01-09 01:00:00,2021-01-09 01:00:00,0.14476065
2021-01-09 02:00:00,2021-01-09 02:00:00,0.14500464
2021-01-09 03:00:00,2021-01-09 03:00:00,0.14543664
2021-01-09 04:00:00,2021-01-09 04:00:00,0.14655382
2021-01-09 05:00:00,2021-01-09 05:00:00,0.14647096
