start_time,datetime,range_001_01,range_001_01_percent,range_01_1,range_01_1_percent,range_0_001,range_0_001_percent,range_0_1_usd,range_100_1k,range_100_1k_percent,range_100_1k_usd,range_100k_1M_usd,range_10_100,range_10_100_percent,range_10_100_usd,range_10k_100k_usd,range_10k_inf,range_10k_inf_percent,range_1M_inf_usd,range_1_10,range_1_10_percent,range_1_10_usd,range_1k_10k,range_1k_10k_percent,range_1k_10k_usd
2021-01-01 00:00:00,2021-01-01 00:00:00,277.96016476,0.42292177,1151.33142374,1.75177303,67.43159771,0.10259848,1056.7939141,4945.54261922,7.52473877,3694901.98500604,194626084.42054915,7875.20801683,11.98228134,449449.82662358,65656953.13245359,39576.0577315,60.21573742,1587251202.6703494,3817.35773804,5.80818364,12884.70436759,8012.88895026,12.19176554,15651445.3684577
2021-01-01 01:00:00,2021-01-01 01:00:00,373.61348072,0.40047217,1285.65671585,1.37808124,94.34317013,0.1011254,620.71666055,9417.42097803,10.09442961,6895508.16233964,198749466.08889616,11844.24464272,12.69571511,527302.79345161,62933812.28589254,40601.60143982,43.52040846,2056556333.3459468,3398.49286622,3.64280699,20079.78107581,26277.87204155,28.16696101,16938860.35453884
2021-01-01 02:00:00,2021-01-01 02:00:00,248.52660668,0.22616669,1002.94751944,0.91271242,68.73182524,0.06254803,508.16070799,10504.63277969,9.55953192,3868973.84914744,194525213.08358467,9108.9533648,8.28942166,564133.21622949,51907450.48243642,79188.11298058,72.06356565,2793508298.1399083,3794.77258902,3.45335724,22170.30664084,5969.79862667,5.43269639,14147648.43898165
2021-01-01 03:00:00,2021-01-01 03:00:00,198.10040044,0.31031266,773.46448153,1.21158674,51.54675424,0.08074497,267.69925074,12856.02941287,20.13821589,3270895.44160928,166442735.27055293,7564.95032797,11.8500509,422367.00302994,40048382.06833496,39547.99245904,61.94961015,1462324457.0381274,2846.88522846,4.4594787,17410.929431,0.0,0.0,10897089.7532976
2021-01-01 04:00:00,2021-01-01 04:00:00,216.68142719,0.50584515,993.21614749,2.31867391,51.52756702,0.12029167,121.32526722,8463.46245425,19.75804528,3529439.63804796,215488299.16805333,8252.36317827,19.26523172,365643.37187222,55431832.78930061,13185.02388518,30.78058187,949523277.6025836,3756.26511273,8.76904182,19626.59348827,7916.98536995,18.48228858,11699944.87327071
2021-01-01 05:00:00,2021-01-01 05:00:00,153.32251157,0.30676372,434.98215626,0.87030105,94.25224611,0.18857746,116.68760297,4882.67861114,9.76913711,3872737.6082054,83433885.83249566,3373.09282447,6.7487969,344848.16274363,25084087.80518916,39562.97347463,79.15657428,1322063881.3355482,1479.35212953,2.95984949,4872.01151128,0.0,0.0,5998719.29719361
2021-01-01 06:00:00,2021-01-01 06:00:00,269.38738258,0.58582579,1036.46997926,2.25396914,97.77477843,0.21262684,361.26487118,7913.01415901,17.20811027,4561873.10016746,162874524.98473838,6819.97268154,14.8311174,1063065.81845928,53679621.88157379,26376.63505744,57.3601962,1090503951.894493,3470.95941502,7.54815437,41683.71472787,0.0,0.0,13704826.46027927
2021-01-01 07:00:00,2021-01-01 07:00:00,237.76437887,0.42442357,895.84556365,1.59913767,51.27827704,0.09153478,290.22216344,5625.44462532,10.04175361,3128714.44357551,133518207.66717967,6575.99668956,11.73854565,578324.1210681,44463415.73438815,39577.35655951,70.64793801,1367089148.6477814,3056.85416994,5.45666671,10781.3118357,0.0,0.0,12334983.41753844
2021-01-01 08:00:00,2021-01-01 08:00:00,214.68626168,0.48314515,690.67157199,1.55433618,80.94796541,0.18217103,314.78807947,8933.8473497,20.10536221,3339598.04076226,112217088.33337246,5919.33082366,13.32128092,1010149.20427649,38067639.72376938,26387.47970634,59.38425143,1114992216.0725358,2208.18380413,4.96945308,11224.7164082,0.0,0.0,9713596.9609171
2021-01-01 09:00:00,2021-01-01 09:00:00,263.69945934,0.38625229,1007.98312084,1.47643757,42.41391973,0.06212555,209.35974589,8714.27545507,12.76418567,3505153.79658257,191632165.64204335,8094.32817756,11.85612141,389882.71485439,50411306.45354197,39618.05597215,58.03032336,1713762022.1563096,3146.5669741,4.60891617,9545.92415433,7383.97661618,10.81563798,14073404.26846313
