start_time,datetime,failed_transactions_count_total
2021-01-05 13:00:00,2021-01-05 13:00:00,5997
2021-01-05 14:00:00,2021-01-05 14:00:00,5170
2021-01-05 15:00:00,2021-01-05 15:00:00,5239
2021-01-05 16:00:00,2021-01-05 16:00:00,5491
2021-01-05 17:00:00,2021-01-05 17:00:00,6752
2021-01-05 18:00:00,2021-01-05 18:00:00,7018
2021-01-05 19:00:00,2021-01-05 19:00:00,11150
2021-01-05 20:00:00,2021-01-05 20:00:00,10689
2021-01-05 21:00:00,2021-01-05 21:00:00,8156
2021-01-05 22:00:00,2021-01-05 22:00:00,7226
2021-01-05 23:00:00,2021-01-05 23:00:00,7607
2021-01-06 00:00:00,2021-01-06 00:00:00,6963
2021-01-06 01:00:00,2021-01-06 01:00:00,5970
2021-01-06 02:00:00,2021-01-06 02:00:00,7558
2021-01-06 03:00:00,2021-01-06 03:00:00,4169
2021-01-06 04:00:00,2021-01-06 04:00:00,6640
2021-01-06 05:00:00,2021-01-06 05:00:00,6431
2021-01-06 06:00:00,2021-01-06 06:00:00,4299
2021-01-06 07:00:00,2021-01-06 07:00:00,6059
2021-01-06 08:00:00,2021-01-06 08:00:00,5765
2021-01-06 09:00:00,2021-01-06 09:00:00,4064
2021-01-06 10:00:00,2021-01-06 10:00:00,4664
2021-01-06 11:00:00,2021-01-06 11:00:00,5137
2021-01-06 12:00:00,2021-01-06 12:00:00,4933
2021-01-06 13:00:00,2021-01-06 13:00:00,4858
2021-01-06 14:00:00,2021-01-06 14:00:00,5695
2021-01-06 15:00:00,2021-01-06 15:00:00,4948
2021-01-06 16:00:00,2021-01-06 16:00:00,5698
2021-01-06 17:00:00,2021-01-06 17:00:00,6145
2021-01-06 18:00:00,2021-01-06 18:00:00,6719
2021-01-06 19:00:00,2021-01-06 19:00:00,5424
2021-01-06 20:00:00,2021-01-06 20:00:00,6795
2021-01-06 21:00:00,2021-01-06 21:00:00,6187
2021-01-06 22:00:00,2021-01-06 22:00:00,4632
2021-01-06 23:00:00,2021-01-06 23:00:00,4985
2021-01-07 00:00:00,2021-01-07 00:00:00,4538
2021-01-07 01:00:00,2021-01-07 01:00:00,5346
2021-01-07 02:00:00,2021-01-07 02:00:00,7359
2021-01-07 03:00:00,2021-01-07 03:00:00,5309
2021-01-07 04:00:00,2021-01-07 04:00:00,4660
2021-01-07 05:00:00,2021-01-07 05:00:00,4072
2021-01-07 06:00:00,2021-01-07 06:00:00,4831
2021-01-07 07:00:00,2021-01-07 07:00:00,4571
2021-01-07 08:00:00,2021-01-07 08:00:00,4637
2021-01-07 09:00:00,2021-01-07 09:00:00,4118
2021-01-07 10:00:00,2021-01-07 10:00:00,4109
2021-01-07 11:00:00,2021-01-07 11:00:00,4939
2021-01-07 12:00:00,2021-01-07 12:00:00,4155
2021-01-07 13:00:00,2021-01-07 13:00:00,4641
2021-01-07 14:00:00,2021-01-07 14:00:00,5541
2021-01-07 15:00:00,2021-01-07 15:00:00,6545
2021-01-07 16:00:00,2021-01-07 16:00:00,5747
2021-01-07 17:00:00,2021-01-07 17:00:00,4388
2021-01-07 18:00:00,2021-01-07 18:00:00,8531
2021-01-07 19:00:00,2021-01-07 19:00:00,4891
2021-01-07 20:00:00,2021-01-07 20:00:00,4222
2021-01-07 21:00:00,2021-01-07 21:00:00,4994
2021-01-07 22:00:00,2021-01-07 22:00:00,5905
2021-01-07 23:00:00,2021-01-07 23:00:00,5082
2021-01-08 00:00:00,2021-01-08 00:00:00,4631
2021-01-08 01:00:00,2021-01-08 01:00:00,6565
2021-01-08 02:00:00,2021-01-08 02:00:00,12698
2021-01-08 03:00:00,2021-01-08 03:00:00,6303
2021-01-08 04:00:00,2021-01-08 04:00:00,5368
2021-01-08 05:00:00,2021-01-08 05:00:00,4821
2021-01-08 06:00:00,2021-01-08 06:00:00,4936
2021-01-08 07:00:00,2021-01-08 07:00:00,3949
2021-01-08 08:00:00,2021-01-08 08:00:00,6481
2021-01-08 09:00:00,2021-01-08 09:00:00,5836
2021-01-08 10:00:00,2021-01-08 10:00:00,5029
2021-01-08 11:00:00,2021-01-08 11:00:00,4266
2021-01-08 12:00:00,2021-01-08 12:00:00,5433
2021-01-08 13:00:00,2021-01-08 13:00:00,5418
2021-01-08 14:00:00,2021-01-08 14:00:00,5163
2021-01-08 15:00:00,2021-01-08 15:00:00,4879
2021-01-08 16:00:00,2021-01-08 16:00:00,5686
2021-01-08 17:00:00,2021-01-08 17:00:00,5063
2021-01-08 18:00:00,2021-01-08 18:00:00,5972
2021-01-08 19:00:00,2021-01-08 19:00:00,3906
2021-01-08 20:00:00,2021-01-08 20:00:00,6305
2021-01-08 21:00:00,2021-01-08 21:00:00,6114
2021-01-08 22:00:00,2021-01-08 22:00:00,8563
2021-01-08 23:00:00,2021-01-08 23:00:00,5668
2021-01-09 00:00:00,2021-01-09 00:00:00,6202
2021-01-09 01:00:00,2021-01-09 01:00:00,6584
2021-01-09 02:00:00,2021-01-09 02:00:00,6740
2021-01-09 03:00:00,2021-01-09 03:00:00,6258
2021-01-09 04:00:00,2021-01-09 04:00:00,4039
2021-01-09 05:00:00,2021-01-09 05:00:00,3915
2021-01-09 06:00:00,2021-01-09 06:00:00,3711
2021-01-09 07:00:00,2021-01-09 07:00:00,4206
2021-01-09 08:00:00,2021-01-09 08:00:00,5363
2021-01-09 09:00:00,2021-01-09 09:00:00,4612
2021-01-09 10:00:00,2021-01-09 10:00:00,4941
2021-01-09 11:00:00,2021-01-09 11:00:00,5274
2021-01-09 12:00:00,2021-01-09 12:00:00,4012
2021-01-09 13:00:00,2021-01-09 13:00:00,4830
2021-01-09 14:00:00,2021-01-09 14:00:00,6218
2021-01-09 15:00:00,2021-01-09 15:00:00,8043
2021-01-09 16:00:00,2021-01-09 16:00:00,6596
2021-01-09 17:00:00,2021-01-09 17:00:00,8031
2021-01-09 18:00:00,2021-01-09 18:00:00,4931
2021-01-09 19:00:00,2021-01-09 19:00:00,4521
2021-01-09 20:00:00,2021-01-09 20:00:00,8196
2021-01-09 21:00:00,2021-01-09 21:00:00,5143
2021-01-09 22:00:00,2021-01-09 22:00:00,5335
2021-01-09 23:00:00,2021-01-09 23:00:00,4294
2021-01-10 00:00:00,2021-01-10 00:00:00,5530
2021-01-10 01:00:00,2021-01-10 01:00:00,5478
2021-01-10 02:00:00,2021-01-10 02:00:00,4601
2021-01-10 03:00:00,2021-01-10 03:00:00,3530
2021-01-10 04:00:00,2021-01-10 04:00:00,4331
2021-01-10 05:00:00,2021-01-10 05:00:00,4475
2021-01-10 06:00:00,2021-01-10 06:00:00,5002
2021-01-10 07:00:00,2021-01-10 07:00:00,4566
2021-01-10 08:00:00,2021-01-10 08:00:00,5118
2021-01-10 09:00:00,2021-01-10 09:00:00,4665
2021-01-10 10:00:00,2021-01-10 10:00:00,5634
2021-01-10 11:00:00,2021-01-10 11:00:00,5484
2021-01-10 12:00:00,2021-01-10 12:00:00,4916
2021-01-10 13:00:00,2021-01-10 13:00:00,5100
2021-01-10 14:00:00,2021-01-10 14:00:00,3306
2021-01-10 15:00:00,2021-01-10 15:00:00,3581
2021-01-10 16:00:00,2021-01-10 16:00:00,4453
2021-01-10 17:00:00,2021-01-10 17:00:00,6627
2021-01-10 18:00:00,2021-01-10 18:00:00,4263
2021-01-10 19:00:00,2021-01-10 19:00:00,5941
2021-01-10 20:00:00,2021-01-10 20:00:00,10564
2021-01-10 21:00:00,2021-01-10 21:00:00,6563
2021-01-10 22:00:00,2021-01-10 22:00:00,6411
2021-01-10 23:00:00,2021-01-10 23:00:00,4076
2021-01-11 00:00:00,2021-01-11 00:00:00,7887
2021-01-11 01:00:00,2021-01-11 01:00:00,10398
2021-01-11 02:00:00,2021-01-11 02:00:00,9095
2021-01-11 03:00:00,2021-01-11 03:00:00,18092
2021-01-11 04:00:00,2021-01-11 04:00:00,6456
2021-01-11 05:00:00,2021-01-11 05:00:00,5824
2021-01-11 06:00:00,2021-01-11 06:00:00,10020
2021-01-11 07:00:00,2021-01-11 07:00:00,5990
2021-01-11 08:00:00,2021-01-11 08:00:00,5028
2021-01-11 09:00:00,2021-01-11 09:00:00,3837
2021-01-11 10:00:00,2021-01-11 10:00:00,5872
2021-01-11 11:00:00,2021-01-11 11:00:00,5650
2021-01-11 12:00:00,2021-01-11 12:00:00,4315
2021-01-11 13:00:00,2021-01-11 13:00:00,4357
2021-01-11 14:00:00,2021-01-11 14:00:00,11881
2021-01-11 15:00:00,2021-01-11 15:00:00,6169
2021-01-11 16:00:00,2021-01-11 16:00:00,8828
2021-01-11 17:00:00,2021-01-11 17:00:00,7689
2021-01-11 18:00:00,2021-01-11 18:00:00,4630
2021-01-11 19:00:00,2021-01-11 19:00:00,5435
2021-01-11 20:00:00,2021-01-11 20:00:00,4593
2021-01-11 21:00:00,2021-01-11 21:00:00,8076
2021-01-11 22:00:00,2021-01-11 22:00:00,6565
2021-01-11 23:00:00,2021-01-11 23:00:00,4995
2021-01-12 00:00:00,2021-01-12 00:00:00,5934
2021-01-12 01:00:00,2021-01-12 01:00:00,6347
2021-01-12 02:00:00,2021-01-12 02:00:00,5461
2021-01-12 03:00:00,2021-01-12 03:00:00,5467
2021-01-12 04:00:00,2021-01-12 04:00:00,4676
2021-01-12 05:00:00,2021-01-12 05:00:00,5827
2021-01-12 06:00:00,2021-01-12 06:00:00,5418
2021-01-12 07:00:00,2021-01-12 07:00:00,4973
2021-01-12 08:00:00,2021-01-12 08:00:00,4651
2021-01-12 09:00:00,2021-01-12 09:00:00,3936
2021-01-12 10:00:00,2021-01-12 10:00:00,5034
2021-01-12 11:00:00,2021-01-12 11:00:00,4052
2021-01-12 12:00:00,2021-01-12 12:00:00,4368
2021-01-12 13:00:00,2021-01-12 13:00:00,5030
2021-01-12 14:00:00,2021-01-12 14:00:00,6772
2021-01-12 15:00:00,2021-01-12 15:00:00,8722
2021-01-12 16:00:00,2021-01-12 16:00:00,6863
2021-01-12 17:00:00,2021-01-12 17:00:00,7570
2021-01-12 18:00:00,2021-01-12 18:00:00,8218
2021-01-12 19:00:00,2021-01-12 19:00:00,5515
2021-01-12 20:00:00,2021-01-12 20:00:00,4839
2021-01-12 21:00:00,2021-01-12 21:00:00,4475
2021-01-12 22:00:00,2021-01-12 22:00:00,7100
