start_time,datetime,staking_validator_total
2021-01-05 00:00:00,2021-01-05 00:00:00,70078
2021-01-05 01:00:00,2021-01-05 01:00:00,70090
2021-01-05 02:00:00,2021-01-05 02:00:00,70093
2021-01-05 03:00:00,2021-01-05 03:00:00,70101
2021-01-05 04:00:00,2021-01-05 04:00:00,70106
2021-01-05 05:00:00,2021-01-05 05:00:00,70138
2021-01-05 06:00:00,2021-01-05 06:00:00,70141
2021-01-05 07:00:00,2021-01-05 07:00:00,70157
2021-01-05 08:00:00,2021-01-05 08:00:00,70162
2021-01-05 09:00:00,2021-01-05 09:00:00,70167
2021-01-05 10:00:00,2021-01-05 10:00:00,70196
2021-01-05 11:00:00,2021-01-05 11:00:00,70270
2021-01-05 12:00:00,2021-01-05 12:00:00,70315
2021-01-05 13:00:00,2021-01-05 13:00:00,70322
2021-01-05 14:00:00,2021-01-05 14:00:00,70331
2021-01-05 15:00:00,2021-01-05 15:00:00,70351
2021-01-05 16:00:00,2021-01-05 16:00:00,70362
2021-01-05 17:00:00,2021-01-05 17:00:00,70406
2021-01-05 18:00:00,2021-01-05 18:00:00,70535
2021-01-05 19:00:00,2021-01-05 19:00:00,70543
2021-01-05 20:00:00,2021-01-05 20:00:00,70565
2021-01-05 21:00:00,2021-01-05 21:00:00,70581
2021-01-05 22:00:00,2021-01-05 22:00:00,70651
2021-01-05 23:00:00,2021-01-05 23:00:00,70705
2021-01-06 00:00:00,2021-01-06 00:00:00,70720
2021-01-06 01:00:00,2021-01-06 01:00:00,71031
2021-01-06 02:00:00,2021-01-06 02:00:00,71039
2021-01-06 03:00:00,2021-01-06 03:00:00,71055
2021-01-06 04:00:00,2021-01-06 04:00:00,71057
2021-01-06 05:00:00,2021-01-06 05:00:00,71085
2021-01-06 06:00:00,2021-01-06 06:00:00,71125
2021-01-06 07:00:00,2021-01-06 07:00:00,71185
2021-01-06 08:00:00,2021-01-06 08:00:00,71202
2021-01-06 09:00:00,2021-01-06 09:00:00,71214
2021-01-06 10:00:00,2021-01-06 10:00:00,71267
2021-01-06 11:00:00,2021-01-06 11:00:00,71283
2021-01-06 12:00:00,2021-01-06 12:00:00,71291
2021-01-06 13:00:00,2021-01-06 13:00:00,71299
2021-01-06 14:00:00,2021-01-06 14:00:00,71306
2021-01-06 15:00:00,2021-01-06 15:00:00,71344
2021-01-06 16:00:00,2021-01-06 16:00:00,71366
2021-01-06 17:00:00,2021-01-06 17:00:00,71391
2021-01-06 18:00:00,2021-01-06 18:00:00,71410
2021-01-06 19:00:00,2021-01-06 19:00:00,71435
2021-01-06 20:00:00,2021-01-06 20:00:00,71466
2021-01-06 21:00:00,2021-01-06 21:00:00,71475
2021-01-06 22:00:00,2021-01-06 22:00:00,71481
2021-01-06 23:00:00,2021-01-06 23:00:00,71484
2021-01-07 00:00:00,2021-01-07 00:00:00,71632
2021-01-07 01:00:00,2021-01-07 01:00:00,71836
2021-01-07 02:00:00,2021-01-07 02:00:00,71847
2021-01-07 03:00:00,2021-01-07 03:00:00,71854
2021-01-07 04:00:00,2021-01-07 04:00:00,71863
2021-01-07 05:00:00,2021-01-07 05:00:00,71874
2021-01-07 06:00:00,2021-01-07 06:00:00,71890
2021-01-07 07:00:00,2021-01-07 07:00:00,71892
2021-01-07 08:00:00,2021-01-07 08:00:00,71902
2021-01-07 09:00:00,2021-01-07 09:00:00,71912
2021-01-07 10:00:00,2021-01-07 10:00:00,71919
2021-01-07 11:00:00,2021-01-07 11:00:00,71933
2021-01-07 12:00:00,2021-01-07 12:00:00,71945
2021-01-07 13:00:00,2021-01-07 13:00:00,71961
2021-01-07 14:00:00,2021-01-07 14:00:00,71966
2021-01-07 15:00:00,2021-01-07 15:00:00,71979
2021-01-07 16:00:00,2021-01-07 16:00:00,71994
2021-01-07 17:00:00,2021-01-07 17:00:00,72002
2021-01-07 18:00:00,2021-01-07 18:00:00,72004
2021-01-07 19:00:00,2021-01-07 19:00:00,72018
2021-01-07 20:00:00,2021-01-07 20:00:00,72033
2021-01-07 21:00:00,2021-01-07 21:00:00,72061
2021-01-07 22:00:00,2021-01-07 22:00:00,72075
2021-01-07 23:00:00,2021-01-07 23:00:00,72083
2021-01-08 00:00:00,2021-01-08 00:00:00,72088
2021-01-08 01:00:00,2021-01-08 01:00:00,72092
2021-01-08 02:00:00,2021-01-08 02:00:00,72114
2021-01-08 03:00:00,2021-01-08 03:00:00,72207
2021-01-08 04:00:00,2021-01-08 04:00:00,72331
2021-01-08 05:00:00,2021-01-08 05:00:00,72343
2021-01-08 06:00:00,2021-01-08 06:00:00,72345
2021-01-08 07:00:00,2021-01-08 07:00:00,72348
2021-01-08 08:00:00,2021-01-08 08:00:00,72351
2021-01-08 09:00:00,2021-01-08 09:00:00,72430
2021-01-08 10:00:00,2021-01-08 10:00:00,72440
2021-01-08 11:00:00,2021-01-08 11:00:00,72448
2021-01-08 12:00:00,2021-01-08 12:00:00,72457
2021-01-08 13:00:00,2021-01-08 13:00:00,72476
2021-01-08 14:00:00,2021-01-08 14:00:00,72533
2021-01-08 15:00:00,2021-01-08 15:00:00,72688
2021-01-08 16:00:00,2021-01-08 16:00:00,72720
2021-01-08 17:00:00,2021-01-08 17:00:00,72731
2021-01-08 18:00:00,2021-01-08 18:00:00,72762
2021-01-08 19:00:00,2021-01-08 19:00:00,72834
2021-01-08 20:00:00,2021-01-08 20:00:00,72852
2021-01-08 21:00:00,2021-01-08 21:00:00,72881
2021-01-08 22:00:00,2021-01-08 22:00:00,72917
2021-01-08 23:00:00,2021-01-08 23:00:00,72927
2021-01-09 00:00:00,2021-01-09 00:00:00,72931
2021-01-09 01:00:00,2021-01-09 01:00:00,73047
2021-01-09 02:00:00,2021-01-09 02:00:00,73054
2021-01-09 03:00:00,2021-01-09 03:00:00,73057
2021-01-09 04:00:00,2021-01-09 04:00:00,73077
2021-01-09 05:00:00,2021-01-09 05:00:00,73085
2021-01-09 06:00:00,2021-01-09 06:00:00,73101
2021-01-09 07:00:00,2021-01-09 07:00:00,73134
2021-01-09 08:00:00,2021-01-09 08:00:00,73147
2021-01-09 09:00:00,2021-01-09 09:00:00,73171
2021-01-09 10:00:00,2021-01-09 10:00:00,73206
2021-01-09 11:00:00,2021-01-09 11:00:00,73214
2021-01-09 12:00:00,2021-01-09 12:00:00,73224
2021-01-09 13:00:00,2021-01-09 13:00:00,73231
2021-01-09 14:00:00,2021-01-09 14:00:00,73251
2021-01-09 15:00:00,2021-01-09 15:00:00,73263
2021-01-09 16:00:00,2021-01-09 16:00:00,73345
2021-01-09 17:00:00,2021-01-09 17:00:00,73354
2021-01-09 18:00:00,2021-01-09 18:00:00,73359
2021-01-09 19:00:00,2021-01-09 19:00:00,73375
2021-01-09 20:00:00,2021-01-09 20:00:00,73388
2021-01-09 21:00:00,2021-01-09 21:00:00,73395
2021-01-09 22:00:00,2021-01-09 22:00:00,73412
2021-01-09 23:00:00,2021-01-09 23:00:00,73418
2021-01-10 00:00:00,2021-01-10 00:00:00,73431
2021-01-10 01:00:00,2021-01-10 01:00:00,73440
2021-01-10 02:00:00,2021-01-10 02:00:00,73445
2021-01-10 03:00:00,2021-01-10 03:00:00,73449
2021-01-10 04:00:00,2021-01-10 04:00:00,73469
2021-01-10 05:00:00,2021-01-10 05:00:00,73478
2021-01-10 06:00:00,2021-01-10 06:00:00,73479
2021-01-10 07:00:00,2021-01-10 07:00:00,73484
2021-01-10 08:00:00,2021-01-10 08:00:00,73485
2021-01-10 09:00:00,2021-01-10 09:00:00,73492
2021-01-10 10:00:00,2021-01-10 10:00:00,73502
2021-01-10 11:00:00,2021-01-10 11:00:00,73509
2021-01-10 12:00:00,2021-01-10 12:00:00,73515
2021-01-10 13:00:00,2021-01-10 13:00:00,73518
2021-01-10 14:00:00,2021-01-10 14:00:00,73521
2021-01-10 15:00:00,2021-01-10 15:00:00,73524
2021-01-10 16:00:00,2021-01-10 16:00:00,73534
2021-01-10 17:00:00,2021-01-10 17:00:00,73546
2021-01-10 18:00:00,2021-01-10 18:00:00,73562
2021-01-10 19:00:00,2021-01-10 19:00:00,73628
2021-01-10 20:00:00,2021-01-10 20:00:00,73633
2021-01-10 21:00:00,2021-01-10 21:00:00,73751
2021-01-10 22:00:00,2021-01-10 22:00:00,73785
2021-01-10 23:00:00,2021-01-10 23:00:00,73794
2021-01-11 00:00:00,2021-01-11 00:00:00,73808
2021-01-11 01:00:00,2021-01-11 01:00:00,73835
2021-01-11 02:00:00,2021-01-11 02:00:00,73849
2021-01-11 03:00:00,2021-01-11 03:00:00,73853
2021-01-11 04:00:00,2021-01-11 04:00:00,73855
2021-01-11 05:00:00,2021-01-11 05:00:00,73955
2021-01-11 06:00:00,2021-01-11 06:00:00,73956
2021-01-11 07:00:00,2021-01-11 07:00:00,73958
2021-01-11 08:00:00,2021-01-11 08:00:00,73961
2021-01-11 09:00:00,2021-01-11 09:00:00,74039
2021-01-11 10:00:00,2021-01-11 10:00:00,74238
2021-01-11 11:00:00,2021-01-11 11:00:00,74427
2021-01-11 12:00:00,2021-01-11 12:00:00,74639
2021-01-11 13:00:00,2021-01-11 13:00:00,74806
2021-01-11 14:00:00,2021-01-11 14:00:00,74984
2021-01-11 15:00:00,2021-01-11 15:00:00,75088
2021-01-11 16:00:00,2021-01-11 16:00:00,75091
2021-01-11 17:00:00,2021-01-11 17:00:00,75096
2021-01-11 18:00:00,2021-01-11 18:00:00,75112
2021-01-11 19:00:00,2021-01-11 19:00:00,75125
2021-01-11 20:00:00,2021-01-11 20:00:00,75190
2021-01-11 21:00:00,2021-01-11 21:00:00,75196
2021-01-11 22:00:00,2021-01-11 22:00:00,75197
2021-01-11 23:00:00,2021-01-11 23:00:00,75216
2021-01-12 00:00:00,2021-01-12 00:00:00,75239
2021-01-12 01:00:00,2021-01-12 01:00:00,75246
2021-01-12 02:00:00,2021-01-12 02:00:00,75250
2021-01-12 03:00:00,2021-01-12 03:00:00,75257
2021-01-12 04:00:00,2021-01-12 04:00:00,75264
2021-01-12 05:00:00,2021-01-12 05:00:00,75273
2021-01-12 06:00:00,2021-01-12 06:00:00,75275
2021-01-12 07:00:00,2021-01-12 07:00:00,75312
2021-01-12 08:00:00,2021-01-12 08:00:00,75490
2021-01-12 09:00:00,2021-01-12 09:00:00,75579
2021-01-12 10:00:00,2021-01-12 10:00:00,75615
2021-01-12 11:00:00,2021-01-12 11:00:00,75653
2021-01-12 12:00:00,2021-01-12 12:00:00,75670
2021-01-12 13:00:00,2021-01-12 13:00:00,75675
2021-01-12 14:00:00,2021-01-12 14:00:00,75705
2021-01-12 15:00:00,2021-01-12 15:00:00,75707
2021-01-12 16:00:00,2021-01-12 16:00:00,75723
2021-01-12 17:00:00,2021-01-12 17:00:00,75795
2021-01-12 18:00:00,2021-01-12 18:00:00,75800
2021-01-12 19:00:00,2021-01-12 19:00:00,75806
2021-01-12 20:00:00,2021-01-12 20:00:00,75834
2021-01-12 21:00:00,2021-01-12 21:00:00,75847
2021-01-12 22:00:00,2021-01-12 22:00:00,75862
2021-01-12 23:00:00,2021-01-12 23:00:00,76048
2021-01-13 00:00:00,2021-01-13 00:00:00,76053
2021-01-13 01:00:00,2021-01-13 01:00:00,76065
2021-01-13 02:00:00,2021-01-13 02:00:00,76069
2021-01-13 03:00:00,2021-01-13 03:00:00,76095
2021-01-13 04:00:00,2021-01-13 04:00:00,76111
2021-01-13 05:00:00,2021-01-13 05:00:00,76113
2021-01-13 06:00:00,2021-01-13 06:00:00,76121
2021-01-13 07:00:00,2021-01-13 07:00:00,76131
2021-01-13 08:00:00,2021-01-13 08:00:00,76144
2021-01-13 09:00:00,2021-01-13 09:00:00,76153
2021-01-13 10:00:00,2021-01-13 10:00:00,76157
2021-01-13 11:00:00,2021-01-13 11:00:00,76164
2021-01-13 12:00:00,2021-01-13 12:00:00,76201
2021-01-13 13:00:00,2021-01-13 13:00:00,76239
2021-01-13 14:00:00,2021-01-13 14:00:00,76350
2021-01-13 15:00:00,2021-01-13 15:00:00,76434
2021-01-13 16:00:00,2021-01-13 16:00:00,76480
2021-01-13 17:00:00,2021-01-13 17:00:00,76558
2021-01-13 18:00:00,2021-01-13 18:00:00,76601
2021-01-13 19:00:00,2021-01-13 19:00:00,76606
2021-01-13 20:00:00,2021-01-13 20:00:00,76617
2021-01-13 21:00:00,2021-01-13 21:00:00,76788
2021-01-13 22:00:00,2021-01-13 22:00:00,76874
2021-01-13 23:00:00,2021-01-13 23:00:00,76896
2021-01-14 00:00:00,2021-01-14 00:00:00,76913
2021-01-14 01:00:00,2021-01-14 01:00:00,77015
2021-01-14 02:00:00,2021-01-14 02:00:00,77049
2021-01-14 03:00:00,2021-01-14 03:00:00,77099
2021-01-14 04:00:00,2021-01-14 04:00:00,77143
2021-01-14 05:00:00,2021-01-14 05:00:00,77145
2021-01-14 06:00:00,2021-01-14 06:00:00,77149
2021-01-14 07:00:00,2021-01-14 07:00:00,77284
2021-01-14 08:00:00,2021-01-14 08:00:00,77630
2021-01-14 09:00:00,2021-01-14 09:00:00,77753
2021-01-14 10:00:00,2021-01-14 10:00:00,77758
2021-01-14 11:00:00,2021-01-14 11:00:00,77773
2021-01-14 12:00:00,2021-01-14 12:00:00,77777
2021-01-14 13:00:00,2021-01-14 13:00:00,77807
2021-01-14 14:00:00,2021-01-14 14:00:00,77825
2021-01-14 15:00:00,2021-01-14 15:00:00,77836
2021-01-14 16:00:00,2021-01-14 16:00:00,78033
2021-01-14 17:00:00,2021-01-14 17:00:00,78121
2021-01-14 18:00:00,2021-01-14 18:00:00,78191
2021-01-14 19:00:00,2021-01-14 19:00:00,78220
2021-01-14 20:00:00,2021-01-14 20:00:00,78243
2021-01-14 21:00:00,2021-01-14 21:00:00,78259
2021-01-14 22:00:00,2021-01-14 22:00:00,78288
2021-01-14 23:00:00,2021-01-14 23:00:00,78291
2021-01-15 00:00:00,2021-01-15 00:00:00,78295
2021-01-15 01:00:00,2021-01-15 01:00:00,78345
2021-01-15 02:00:00,2021-01-15 02:00:00,78359
2021-01-15 03:00:00,2021-01-15 03:00:00,78369
2021-01-15 04:00:00,2021-01-15 04:00:00,78372
2021-01-15 05:00:00,2021-01-15 05:00:00,78393
2021-01-15 06:00:00,2021-01-15 06:00:00,78408
2021-01-15 07:00:00,2021-01-15 07:00:00,78423
2021-01-15 08:00:00,2021-01-15 08:00:00,78487
2021-01-15 09:00:00,2021-01-15 09:00:00,78533
2021-01-15 10:00:00,2021-01-15 10:00:00,78541
2021-01-15 11:00:00,2021-01-15 11:00:00,78564
2021-01-15 12:00:00,2021-01-15 12:00:00,78584
2021-01-15 13:00:00,2021-01-15 13:00:00,78595
2021-01-15 14:00:00,2021-01-15 14:00:00,78603
2021-01-15 15:00:00,2021-01-15 15:00:00,78603
2021-01-15 16:00:00,2021-01-15 16:00:00,78609
2021-01-15 17:00:00,2021-01-15 17:00:00,78621
2021-01-15 18:00:00,2021-01-15 18:00:00,78630
2021-01-15 19:00:00,2021-01-15 19:00:00,78637
2021-01-15 20:00:00,2021-01-15 20:00:00,78644
2021-01-15 21:00:00,2021-01-15 21:00:00,78650
2021-01-15 22:00:00,2021-01-15 22:00:00,78671
2021-01-15 23:00:00,2021-01-15 23:00:00,78678
2021-01-16 00:00:00,2021-01-16 00:00:00,78729
2021-01-16 01:00:00,2021-01-16 01:00:00,78734
2021-01-16 02:00:00,2021-01-16 02:00:00,78738
2021-01-16 03:00:00,2021-01-16 03:00:00,78740
2021-01-16 04:00:00,2021-01-16 04:00:00,78748
2021-01-16 05:00:00,2021-01-16 05:00:00,78768
2021-01-16 06:00:00,2021-01-16 06:00:00,78797
2021-01-16 07:00:00,2021-01-16 07:00:00,78800
2021-01-16 08:00:00,2021-01-16 08:00:00,78809
2021-01-16 09:00:00,2021-01-16 09:00:00,78814
2021-01-16 10:00:00,2021-01-16 10:00:00,78822
2021-01-16 11:00:00,2021-01-16 11:00:00,78824
2021-01-16 12:00:00,2021-01-16 12:00:00,78834
2021-01-16 13:00:00,2021-01-16 13:00:00,78834
2021-01-16 14:00:00,2021-01-16 14:00:00,78900
2021-01-16 15:00:00,2021-01-16 15:00:00,78944
2021-01-16 16:00:00,2021-01-16 16:00:00,78977
2021-01-16 17:00:00,2021-01-16 17:00:00,79041
2021-01-16 18:00:00,2021-01-16 18:00:00,79107
2021-01-16 19:00:00,2021-01-16 19:00:00,79147
2021-01-16 20:00:00,2021-01-16 20:00:00,79148
