start_time,datetime,tokens_transferred_mean,tokens_transferred_median,tokens_transferred_total
2021-01-03 22:00:00,2021-01-03 22:00:00,10.4399456,0.01453329,169377.67734278
2021-01-03 23:00:00,2021-01-03 23:00:00,8.07060389,0.03091782,82723.68987695
2021-01-04 00:00:00,2021-01-04 00:00:00,7.71468681,0.0146233,158652.5343334
2021-01-04 01:00:00,2021-01-04 01:00:00,4.78484077,0.02356699,51891.59813389
2021-01-04 02:00:00,2021-01-04 02:00:00,3.63858673,0.03180107,46060.86940252
2021-01-04 03:00:00,2021-01-04 03:00:00,3.97100312,0.0163722,55748.91281269
2021-01-04 04:00:00,2021-01-04 04:00:00,5.01591493,0.05978953,13733.57507867
2021-01-04 05:00:00,2021-01-04 05:00:00,4.65018725,0.07188215,54263.03503257
2021-01-04 06:00:00,2021-01-04 06:00:00,4.90589802,0.0238,88939.02524827
2021-01-04 07:00:00,2021-01-04 07:00:00,2.60563974,0.01975422,47034.40300104
2021-01-04 08:00:00,2021-01-04 08:00:00,9.04043665,0.02749811,130869.36098949
2021-01-04 09:00:00,2021-01-04 09:00:00,3.22824745,0.02906711,67460.68691658
2021-01-04 10:00:00,2021-01-04 10:00:00,5.36458739,0.0553,72395.10682143
2021-01-04 11:00:00,2021-01-04 11:00:00,3.22121471,0.03059885,54161.50407522
2021-01-04 12:00:00,2021-01-04 12:00:00,3.93786856,0.03491666,65352.86656816
2021-01-04 13:00:00,2021-01-04 13:00:00,5.16591541,0.04665981,59392.5295004
2021-01-04 14:00:00,2021-01-04 14:00:00,7.16609234,0.02976912,115295.25962984
2021-01-04 15:00:00,2021-01-04 15:00:00,4.7383087,0.02941876,98234.61592122
2021-01-04 16:00:00,2021-01-04 16:00:00,5.01186427,0.0413656,63189.58470976
2021-01-04 17:00:00,2021-01-04 17:00:00,5.15525557,0.03772577,61497.043753
2021-01-04 18:00:00,2021-01-04 18:00:00,7.23221913,0.02714962,196926.09459376
2021-01-04 19:00:00,2021-01-04 19:00:00,2.86551191,0.02472822,58353.28453659
2021-01-04 20:00:00,2021-01-04 20:00:00,8.08541176,0.02794867,114149.84328782
2021-01-04 21:00:00,2021-01-04 21:00:00,4.71359562,0.02226591,89426.33615769
2021-01-04 22:00:00,2021-01-04 22:00:00,5.0199404,0.0235996,64200.01772339
2021-01-04 23:00:00,2021-01-04 23:00:00,5.79375086,0.02511215,94212.1826742
2021-01-05 00:00:00,2021-01-05 00:00:00,4.93515152,0.01739931,88210.89822399
2021-01-05 01:00:00,2021-01-05 01:00:00,8.70370663,0.02003219,122252.26326254
2021-01-05 02:00:00,2021-01-05 02:00:00,4.2885838,0.02058963,54353.51113514
2021-01-05 03:00:00,2021-01-05 03:00:00,3.88645156,0.02137207,50803.69474105
2021-01-05 04:00:00,2021-01-05 04:00:00,8.32252315,0.02062458,110215.17407939
2021-01-05 05:00:00,2021-01-05 05:00:00,5.7855709,0.01818113,80905.42346234
2021-01-05 06:00:00,2021-01-05 06:00:00,4.46287477,0.02093319,64180.60207197
2021-01-05 07:00:00,2021-01-05 07:00:00,18.47037725,0.04927841,93755.63492294
2021-01-05 08:00:00,2021-01-05 08:00:00,9.64377733,0.04622009,97083.90637374
2021-01-05 09:00:00,2021-01-05 09:00:00,7.59486301,0.02927749,129712.66539199
2021-01-05 10:00:00,2021-01-05 10:00:00,6.59987897,0.02774326,94681.86365633
2021-01-05 11:00:00,2021-01-05 11:00:00,4.89420208,0.01909347,75742.67131549
2021-01-05 12:00:00,2021-01-05 12:00:00,5.34298366,0.06237713,56085.29944784
2021-01-05 13:00:00,2021-01-05 13:00:00,6.06229904,0.03038976,117263.05033591
2021-01-05 14:00:00,2021-01-05 14:00:00,5.68658501,0.02207625,121488.20211849
