start_time,bank_supply_ratio,date
2021-05-20,0.0039328,2021-05-20
2021-05-21,0.00393266,2021-05-21
2021-05-22,0.00393251,2021-05-22
2021-05-23,0.00393235,2021-05-23
2021-05-24,0.00393219,2021-05-24
2021-05-25,0.00393202,2021-05-25
2021-05-26,0.00393186,2021-05-26
2021-05-27,0.00393171,2021-05-27
2021-05-28,0.00393155,2021-05-28
2021-05-29,0.0039314,2021-05-29
2021-05-30,0.00393121,2021-05-30
2021-05-31,0.00393103,2021-05-31
2021-06-01,0.00393084,2021-06-01
2021-06-02,0.00393062,2021-06-02
2021-06-03,0.00393043,2021-06-03
2021-06-04,0.00393026,2021-06-04
2021-06-05,0.00393009,2021-06-05
2021-06-06,0.00392989,2021-06-06
2021-06-07,0.00392972,2021-06-07
2021-06-08,0.00392952,2021-06-08
2021-06-09,0.00392936,2021-06-09
2021-06-10,0.0039292,2021-06-10
2021-06-11,0.00392906,2021-06-11
2021-06-12,0.00392889,2021-06-12
2021-06-13,0.00392872,2021-06-13
2021-06-14,0.00392854,2021-06-14
2021-06-15,0.00392837,2021-06-15
2021-06-16,0.00392821,2021-06-16
2021-06-17,0.00392804,2021-06-17
2021-06-18,0.00392787,2021-06-18
2021-06-19,0.00392774,2021-06-19
2021-06-20,0.0039276,2021-06-20
2021-06-21,0.00392746,2021-06-21
2021-06-22,0.00392735,2021-06-22
2021-06-23,0.00392721,2021-06-23
2021-06-24,0.00392708,2021-06-24
2021-06-25,0.00392693,2021-06-25
2021-06-26,0.00392681,2021-06-26
2021-06-27,0.00392674,2021-06-27
2021-06-28,0.00392662,2021-06-28
2021-06-29,0.00392651,2021-06-29
2021-06-30,0.00392639,2021-06-30
2021-07-01,0.00392627,2021-07-01
2021-07-02,0.00392615,2021-07-02
2021-07-03,0.00392598,2021-07-03
2021-07-04,0.00392583,2021-07-04
2021-07-05,0.00392566,2021-07-05
2021-07-06,0.00392547,2021-07-06
2021-07-07,0.00392531,2021-07-07
2021-07-08,0.00392513,2021-07-08
2021-07-09,0.00392496,2021-07-09
2021-07-10,0.00392475,2021-07-10
2021-07-11,0.00392458,2021-07-11
2021-07-12,0.00392442,2021-07-12
2021-07-13,0.00392424,2021-07-13
2021-07-14,0.00392402,2021-07-14
2021-07-15,0.00392385,2021-07-15
2021-07-16,0.00392366,2021-07-16
2021-07-17,0.00392347,2021-07-17
2021-07-18,0.00392328,2021-07-18
2021-07-19,0.00392306,2021-07-19
2021-07-20,0.0039229,2021-07-20
2021-07-21,0.00392271,2021-07-21
2021-07-22,0.00392251,2021-07-22
2021-07-23,0.00392233,2021-07-23
2021-07-24,0.00392213,2021-07-24
2021-07-25,0.00392193,2021-07-25
2021-07-26,0.00392174,2021-07-26
2021-07-27,0.00392151,2021-07-27
2021-07-28,0.00392131,2021-07-28
2021-07-29,0.0039211,2021-07-29
2021-07-30,0.00392088,2021-07-30
2021-07-31,0.00392068,2021-07-31
2021-08-01,0.00392048,2021-08-01
2021-08-02,0.00392029,2021-08-02
2021-08-03,0.00392007,2021-08-03
2021-08-04,0.00391989,2021-08-04
2021-08-05,0.00391968,2021-08-05
2021-08-06,0.00391947,2021-08-06
2021-08-07,0.00391926,2021-08-07
2021-08-08,0.00391905,2021-08-08
2021-08-09,0.00391885,2021-08-09
2021-08-10,0.00391864,2021-08-10
2021-08-11,0.00391845,2021-08-11
2021-08-12,0.00391825,2021-08-12
2021-08-13,0.00391806,2021-08-13
