start_time,date,loss_amount,loss_percent,profit_amount,profit_percent
2021-01-01,2021-01-01,75146.44783642,0.40427706,18496853.35956469,99.51040522
2021-01-02,2021-01-02,99625.33609075,0.53594274,18469802.99668222,99.35983343
2021-01-03,2021-01-03,132442.03573801,0.71244504,18418692.99393592,99.0796195
2021-01-04,2021-01-04,394023.70344161,2.11944724,18195549.84138067,97.87357353
2021-01-05,2021-01-05,88942.33337479,0.47839415,18500131.14114168,99.50665941
2021-01-06,2021-01-06,3275.04843467,0.01761446,18571668.86279142,99.885496
2021-01-07,2021-01-07,156484.77973992,0.84158711,18416065.44745802,99.04300841
2021-01-08,2021-01-08,158864.01903164,0.85434034,18428906.77680191,99.10713976
2021-01-09,2021-01-09,259188.42637262,1.39380072,18317099.57095575,98.50126002
2021-01-10,2021-01-10,710478.63452044,3.8204357,17884927.15532338,96.17208853
2021-01-11,2021-01-11,859283.74277551,4.62036186,17731838.11480027,95.34395272
2021-01-12,2021-01-12,1327734.25059051,7.13886145,17270038.48352846,92.85624137
2021-01-13,2021-01-13,681413.00527214,3.66358296,17901849.80393477,96.2484006
2021-01-14,2021-01-14,548314.98399687,2.94784249,18050100.31763413,97.04066864
2021-01-15,2021-01-15,993282.52449189,5.33979196,17603003.33834752,94.6320642
2021-01-16,2021-01-16,1045010.60552457,5.61759972,17541749.44677572,94.29811165
2021-01-17,2021-01-17,1153851.23792114,6.20241051,17433882.7485464,93.71407161
2021-01-18,2021-01-18,930623.58448677,5.00222918,17672320.32280901,94.9911412
2021-01-19,2021-01-19,1195009.14432575,6.42301625,17389883.6287236,93.46832665
2021-01-20,2021-01-20,1265822.34830501,6.80330561,17336825.90475359,93.17873489
2021-01-21,2021-01-21,2227748.070361,11.97276557,16366380.81000841,87.95915627
2021-01-22,2021-01-22,1772036.67049288,9.52314812,16834647.4207239,90.47151428
2021-01-23,2021-01-23,2071878.59026465,11.13395295,16535435.03215296,88.85885324
2021-01-24,2021-01-24,1971445.77864939,10.59374808,16616029.81256771,89.28778861
2021-01-25,2021-01-25,1995796.76196289,10.72409613,16613400.06474944,89.26946006
2021-01-26,2021-01-26,1854683.75559854,9.96530904,16755203.36000126,90.02654982
2021-01-27,2021-01-27,2430445.01503041,13.05828053,16180379.52125285,86.93384693
2021-01-28,2021-01-28,1554658.63448165,8.35245398,17055687.46957558,91.63223462
2021-01-29,2021-01-29,1444608.50351441,7.76080998,17150001.50028583,92.13423736
2021-01-30,2021-01-30,1412349.71745305,7.58716099,17198603.16706152,92.3911191
2021-01-31,2021-01-31,1887438.22480128,10.13885241,16709635.5619939,89.76003906
2021-02-01,2021-02-01,1812411.79799098,9.73544,16778715.02711385,90.12751609
2021-02-02,2021-02-02,1062309.73667665,5.70594471,17535245.3300866,94.18640993
2021-02-03,2021-02-03,582803.13294863,3.13023113,18033860.90519289,96.85972776
2021-02-04,2021-02-04,996544.10102529,5.35214321,17620254.26598766,94.63316696
2021-02-05,2021-02-05,653693.9464918,3.51059743,17960253.84714892,96.45373237
2021-02-06,2021-02-06,512161.027032,2.75036237,18089136.12859781,97.14069743
2021-02-07,2021-02-07,555378.94532022,2.98229131,18064939.03344774,97.00567723
2021-02-08,2021-02-08,0.0,0.0,18594604.18343859,99.84446129
2021-02-09,2021-02-09,223336.08709709,1.19915439,18379660.32848087,98.68557583
2021-02-10,2021-02-10,508989.22765484,2.73277546,18115160.74889564,97.26073571
2021-02-11,2021-02-11,12481.36486273,0.06700985,18607682.90334165,99.90077457
2021-02-12,2021-02-12,212032.24792076,1.13830275,18392057.29613836,98.7384209
2021-02-13,2021-02-13,431651.47407725,2.31721439,18190276.62379705,97.65001002
2021-02-14,2021-02-14,27128.65891012,0.14562628,18582891.2334713,99.75271129
2021-02-15,2021-02-15,298920.74754608,1.60452075,18325940.3683876,98.3683861
2021-02-16,2021-02-16,73814.65948131,0.39619982,18555508.4478232,99.59659868
2021-02-17,2021-02-17,44396.56418713,0.2382873,18567630.77031439,99.6570516
2021-02-18,2021-02-18,302464.5771982,1.62332735,18329192.88669152,98.37277578
2021-02-19,2021-02-19,9973.99090616,0.05352766,18613224.96469591,99.89204925
2021-02-20,2021-02-20,117675.8938065,0.63150317,18493960.45016759,99.2471292
2021-02-21,2021-02-21,89930.10112821,0.48258362,18543330.83275152,99.50736756
2021-02-22,2021-02-22,657513.70753866,3.52819784,17950207.05996498,96.3202456
2021-02-23,2021-02-23,1022776.41441073,5.48795227,17588746.10064489,94.37663775
2021-02-24,2021-02-24,992788.56249688,5.32676123,17641423.07812086,94.65424156
