start_time,close,high,low,open,volume,change
2021-01-01,29337.16,29668.86,28627.12,28948.19,210716.398,
2021-01-02,32199.91,33480.0,28958.24,29337.15,545541.08,0.09758102011237635
2021-01-03,33054.53,34832.25,32000.02,32198.41,487486.989,0.026541067971929122
2021-01-04,32031.07,33653.56,27800.0,33053.93,506128.023,-0.030962775752672922
2021-01-05,33999.52,34500.0,29900.0,32029.55,433720.833,0.06145439412420495
2021-01-06,36823.68,37037.51,33356.46,33999.51,444019.83,0.08306470208991201
2021-01-07,39498.92,40565.62,36337.36,36825.77,520147.908,0.07264999044093368
2021-01-08,40637.23,42125.51,36539.77,39498.32,518080.826,0.02881876263958616
2021-01-09,40136.04,41539.88,38733.28,40638.91,260882.805,-0.012333271731365558
2021-01-10,38221.67,41412.12,35268.0,40136.05,436759.048,-0.04769703239283207
2021-01-11,35408.46,38322.18,30448.0,38200.01,906275.651,-0.07360248780338485
2021-01-12,34056.9,36693.44,32600.0,35406.92,449065.693,-0.03817053890510902
2021-01-13,37421.07,37880.0,32420.0,34065.53,398188.088,0.09878086378971651
2021-01-14,39163.31,40189.39,36764.33,37416.34,353142.386,0.04655772803931035
2021-01-15,36755.24,39790.0,34478.0,39163.31,437610.113,-0.061487907942408326
2021-01-16,36025.66,38000.0,35366.0,36755.25,301102.477,-0.019849686738543815
2021-01-17,35869.83,36898.0,33863.5,36025.65,287686.129,-0.004325527970896359
2021-01-18,36686.86,37547.94,34808.47,35875.72,253386.703,0.022777637920224247
2021-01-19,35891.03,37961.0,35850.0,36690.0,257889.419,-0.02169250788974586
2021-01-20,35500.0,36461.44,33403.0,35891.74,329192.419,-0.010894922770396942
2021-01-21,30879.97,35636.17,30069.9,35499.23,550562.277,-0.1301416901408451
2021-01-22,32986.34,33831.52,28880.0,30875.77,453568.538,0.06821152999824798
2021-01-23,32086.48,33495.0,31405.0,32990.08,256776.411,-0.027279777022852447
2021-01-24,32275.63,33125.75,30914.2,32086.48,212107.044,0.005895006245621337
2021-01-25,32253.68,34880.0,31921.47,32274.88,316687.524,-0.0006800796762139738
2021-01-26,32474.14,32950.0,30810.0,32253.68,346861.707,0.0068351890388942405
2021-01-27,30381.04,32562.2,29240.0,32474.81,431022.839,-0.06445436276372518
2021-01-28,33399.75,33778.95,29843.33,30382.96,311528.373,0.0993616413394669
2021-01-29,34269.35,38641.1,31960.0,33399.99,713579.785,0.026036123024872904
2021-01-30,34289.85,34988.88,32849.06,34267.04,267861.872,0.0005982021835839735
2021-01-31,33126.21,34393.22,32193.04,34284.76,211293.891,-0.03393540654158589
2021-02-01,33546.09,34720.0,32322.47,33125.11,240632.325,0.01267515963945165
2021-02-02,35504.06,36041.0,33450.0,33546.08,239856.23,0.05836656373365723
2021-02-03,37652.51,37700.0,35410.0,35504.07,240308.078,0.060512797691306464
2021-02-04,36976.93,38833.0,36233.0,37651.92,306715.022,-0.017942495732688246
2021-02-05,38362.65,38411.82,36586.68,36975.19,196277.444,0.03747525822181563
2021-02-06,39249.54,40992.4,38269.0,38357.17,310826.315,0.02311858018150459
2021-02-07,38849.25,39757.87,37403.27,39249.53,296721.925,-0.010198590862466217
2021-02-08,46451.32,47146.0,38037.0,38849.24,440167.093,0.19568125510788503
2021-02-09,46492.54,48266.36,45057.65,46451.32,381477.426,0.0008873805954277003
2021-02-10,44850.0,47475.0,43770.0,46492.53,334979.017,-0.03532910871292472
2021-02-11,48060.21,48810.0,44038.97,44850.0,330540.045,0.07157658862876248
2021-02-12,47361.03,49278.98,46121.0,48060.21,259186.288,-0.014548001350805584
2021-02-13,47221.62,48290.0,46252.1,47364.0,199965.397,-0.002943559293368314
2021-02-14,48655.21,49875.16,47093.16,47221.63,241935.666,0.030358763634114938
2021-02-15,47981.58,49100.0,45349.21,48655.21,248960.404,-0.013844971586804311
2021-02-16,49197.94,50953.44,47101.02,47981.6,343592.011,0.02535056161135163
2021-02-17,52194.62,52800.0,49029.62,49197.93,312007.458,0.060910680406537354
2021-02-18,51619.7,52640.0,50948.0,52194.62,185489.89,-0.011014928358516696
2021-02-19,56004.1,56582.0,50800.0,51612.46,257911.872,0.08493656491610757
2021-02-20,55917.41,57699.0,53905.0,56005.85,240296.308,-0.0015479223842539414
2021-02-21,57487.43,58472.14,55564.5,55908.45,196820.573,0.028077480698766255
2021-02-22,54121.1,57591.87,47751.42,57475.5,480660.187,-0.058557670781247295
2021-02-23,48930.0,54260.12,44893.82,54125.55,748737.462,-0.0959163801179207
2021-02-24,49702.03,51435.58,47000.0,48930.01,333415.219,0.015778254649499335
2021-02-25,47089.37,52134.96,46685.43,49702.05,349943.016,-0.05256646458907199
2021-02-26,46313.13,48438.01,44100.0,47087.97,440670.32,-0.016484399770054337
2021-02-27,46102.63,48476.05,44926.77,46313.12,256027.074,-0.0045451473480631055
2021-02-28,45163.36,46678.0,43002.05,46097.09,370358.825,-0.02037345808688129
2021-03-01,49592.7,49800.0,44972.49,45162.64,315659.931,0.09807374827736459
2021-03-02,48450.57,50221.77,47058.06,49594.99,273100.435,-0.023030204042127078
2021-03-03,50373.75,52681.51,48110.66,48454.21,350311.234,0.03969365066293329
2021-03-04,48385.77,51800.0,47500.0,50373.75,387428.957,-0.03946460209930769
2021-03-05,48770.57,49470.0,46320.0,48385.77,354602.756,0.007952751397776625
2021-03-06,48908.21,49253.63,47090.0,48772.68,215092.91,0.0028221937943313513
2021-03-07,50995.27,51480.0,48908.21,48908.21,248398.116,0.0426729990731618
2021-03-08,52429.43,52450.0,49310.0,50991.35,308339.866,0.028123392620531318
2021-03-09,54917.78,54950.0,51880.0,52429.43,285604.798,0.04746093939987528
2021-03-10,55947.98,57500.92,53061.0,54917.78,401159.493,0.018758952018818054
2021-03-11,57844.52,58283.0,54356.44,55949.3,364681.318,0.03389827479026031
2021-03-12,57291.03,58186.33,55074.3,57842.64,335495.042,-0.00956858143174144
2021-03-13,61267.41,61950.0,56136.0,57291.04,320322.173,0.06940667675201517
2021-03-14,59037.12,61798.0,59005.0,61267.41,231991.901,-0.036402550719868865
2021-03-15,55646.61,60740.0,54517.28,59037.11,448820.83,-0.05743013886856274
2021-03-16,56954.19,56988.0,53335.0,55646.61,339718.202,0.023497927367003957
2021-03-17,58959.0,59078.79,54154.93,56953.23,339397.712,0.0352003952650366
2021-03-18,57700.01,60510.0,57072.0,58959.01,305100.026,-0.021353652538204426
2021-03-19,58089.11,59550.0,56301.27,57700.01,259039.479,0.006743499697833721
2021-03-20,58145.61,59948.0,57881.0,58089.11,203680.149,0.0009726435815593515
2021-03-21,57415.18,58638.7,55403.55,58144.44,237518.696,-0.012562083362785303
2021-03-22,54129.56,58500.0,53635.81,57415.19,293062.947,-0.05722563266369629
2021-03-23,54400.0,55890.68,52981.4,54129.56,276199.041,0.00499616106245826
2021-03-24,52311.54,57234.79,51666.0,54400.0,394172.526,-0.03839080882352941
2021-03-25,51325.21,53255.2,50452.08,52307.89,416848.091,-0.01885492187765836
2021-03-26,55030.0,55123.0,51260.0,51325.21,271957.842,0.07218265643725563
2021-03-27,55828.0,56658.76,54001.0,55030.0,234435.346,0.014501181173905087
2021-03-28,55805.08,56588.31,54694.91,55828.0,200603.768,-0.0004105466790856882
2021-03-29,57677.64,58490.11,54931.15,55804.16,277215.268,0.03355536807760151
2021-03-30,58794.16,59560.0,57110.0,57676.14,232824.065,0.019357934894701057
2021-03-31,58807.24,59920.0,56812.0,58794.17,337038.349,0.00022247107535844357
2021-04-01,58794.01,59592.22,58002.0,58810.99,196332.114,-0.0002249722993290515
2021-04-02,59031.36,60397.85,58490.03,58797.56,189391.958,0.004036975875603588
2021-04-03,57134.65,59925.0,56900.0,59028.99,198636.171,-0.03213054891501732
2021-04-04,58234.61,58553.0,56517.23,57134.65,152454.122,0.019252065077846714
2021-04-05,59243.39,59385.0,56808.94,58234.61,174338.646,0.017322688346328663
2021-04-06,58059.99,59626.18,57500.0,59243.4,165562.029,-0.01997522424020637
2021-04-07,56018.18,58720.0,55536.07,58060.0,265271.707,-0.035167246842446875
2021-04-08,58122.26,58200.0,55759.13,56018.17,161389.858,0.037560663341793754
