start_time,datetime,transactions_count_mean,transactions_count_total
2021-01-04 19:00:00,2021-01-04 19:00:00,2262.66666667,20364
2021-01-04 20:00:00,2021-01-04 20:00:00,2016.85714286,14118
2021-01-04 21:00:00,2021-01-04 21:00:00,2371.5,18972
2021-01-04 22:00:00,2021-01-04 22:00:00,2131.5,12789
2021-01-04 23:00:00,2021-01-04 23:00:00,2323.0,16261
2021-01-05 00:00:00,2021-01-05 00:00:00,1986.0,17874
2021-01-05 01:00:00,2021-01-05 01:00:00,2341.0,14046
2021-01-05 02:00:00,2021-01-05 02:00:00,2112.33333333,12674
2021-01-05 03:00:00,2021-01-05 03:00:00,2178.66666667,13072
2021-01-05 04:00:00,2021-01-05 04:00:00,1891.85714286,13243
2021-01-05 05:00:00,2021-01-05 05:00:00,1748.0,13984
2021-01-05 06:00:00,2021-01-05 06:00:00,1797.625,14381
2021-01-05 07:00:00,2021-01-05 07:00:00,2538.0,5076
2021-01-05 08:00:00,2021-01-05 08:00:00,2516.75,10067
2021-01-05 09:00:00,2021-01-05 09:00:00,2439.85714286,17079
2021-01-05 10:00:00,2021-01-05 10:00:00,2391.0,14346
2021-01-05 11:00:00,2021-01-05 11:00:00,2579.33333333,15476
2021-01-05 12:00:00,2021-01-05 12:00:00,2624.25,10497
2021-01-05 13:00:00,2021-01-05 13:00:00,2417.875,19343
2021-01-05 14:00:00,2021-01-05 14:00:00,2373.77777778,21364
2021-01-05 15:00:00,2021-01-05 15:00:00,1791.25,7165
2021-01-05 16:00:00,2021-01-05 16:00:00,2579.85714286,18059
2021-01-05 17:00:00,2021-01-05 17:00:00,2431.90909091,26751
2021-01-05 18:00:00,2021-01-05 18:00:00,1992.0,11952
2021-01-05 19:00:00,2021-01-05 19:00:00,2678.5,10714
2021-01-05 20:00:00,2021-01-05 20:00:00,2694.8,13474
2021-01-05 21:00:00,2021-01-05 21:00:00,2510.11111111,22591
2021-01-05 22:00:00,2021-01-05 22:00:00,2206.85714286,15448
2021-01-05 23:00:00,2021-01-05 23:00:00,1902.25,15218
2021-01-06 00:00:00,2021-01-06 00:00:00,1942.45454545,21367
2021-01-06 01:00:00,2021-01-06 01:00:00,1890.28571429,13232
2021-01-06 02:00:00,2021-01-06 02:00:00,1548.0,4644
2021-01-06 03:00:00,2021-01-06 03:00:00,2185.0,19665
2021-01-06 04:00:00,2021-01-06 04:00:00,2144.0,8576
2021-01-06 05:00:00,2021-01-06 05:00:00,2119.875,16959
2021-01-06 06:00:00,2021-01-06 06:00:00,1974.0,21714
2021-01-06 07:00:00,2021-01-06 07:00:00,2437.0,12185
2021-01-06 08:00:00,2021-01-06 08:00:00,2241.125,17929
2021-01-06 09:00:00,2021-01-06 09:00:00,2437.71428571,17064
2021-01-06 10:00:00,2021-01-06 10:00:00,2023.11111111,18208
2021-01-06 11:00:00,2021-01-06 11:00:00,2002.9,20029
2021-01-06 12:00:00,2021-01-06 12:00:00,1872.75,7491
2021-01-06 13:00:00,2021-01-06 13:00:00,2503.44444444,22531
2021-01-06 14:00:00,2021-01-06 14:00:00,2472.2,12361
2021-01-06 15:00:00,2021-01-06 15:00:00,2666.14285714,18663
2021-01-06 16:00:00,2021-01-06 16:00:00,2242.33333333,20181
2021-01-06 17:00:00,2021-01-06 17:00:00,2596.5,20772
2021-01-06 18:00:00,2021-01-06 18:00:00,2423.71428571,16966
2021-01-06 19:00:00,2021-01-06 19:00:00,2616.14285714,18313
2021-01-06 20:00:00,2021-01-06 20:00:00,2137.57142857,14963
2021-01-06 21:00:00,2021-01-06 21:00:00,2489.2,12446
2021-01-06 22:00:00,2021-01-06 22:00:00,2663.875,21311
2021-01-06 23:00:00,2021-01-06 23:00:00,2181.88888889,19637
2021-01-07 00:00:00,2021-01-07 00:00:00,2353.42857143,16474
2021-01-07 01:00:00,2021-01-07 01:00:00,1977.66666667,23732
2021-01-07 02:00:00,2021-01-07 02:00:00,1937.0,7748
2021-01-07 03:00:00,2021-01-07 03:00:00,2479.4,12397
2021-01-07 04:00:00,2021-01-07 04:00:00,1400.42857143,9803
2021-01-07 05:00:00,2021-01-07 05:00:00,2390.8,11954
2021-01-07 06:00:00,2021-01-07 06:00:00,2033.6,10168
2021-01-07 07:00:00,2021-01-07 07:00:00,2419.55555556,21776
2021-01-07 08:00:00,2021-01-07 08:00:00,2240.6,11203
2021-01-07 09:00:00,2021-01-07 09:00:00,2521.2,12606
2021-01-07 10:00:00,2021-01-07 10:00:00,2374.72727273,26122
2021-01-07 11:00:00,2021-01-07 11:00:00,2605.33333333,15632
2021-01-07 12:00:00,2021-01-07 12:00:00,2249.5,17996
2021-01-07 13:00:00,2021-01-07 13:00:00,2381.1,23811
2021-01-07 14:00:00,2021-01-07 14:00:00,2185.8,10929
2021-01-07 15:00:00,2021-01-07 15:00:00,2463.11111111,22168
2021-01-07 16:00:00,2021-01-07 16:00:00,2633.0,13165
2021-01-07 17:00:00,2021-01-07 17:00:00,3027.75,12111
2021-01-07 18:00:00,2021-01-07 18:00:00,2769.0,19383
2021-01-07 19:00:00,2021-01-07 19:00:00,2870.0,20090
2021-01-07 20:00:00,2021-01-07 20:00:00,2517.66666667,22659
2021-01-07 21:00:00,2021-01-07 21:00:00,2799.57142857,19597
2021-01-07 22:00:00,2021-01-07 22:00:00,2548.3,25483
2021-01-07 23:00:00,2021-01-07 23:00:00,2428.5,14571
2021-01-08 00:00:00,2021-01-08 00:00:00,2312.83333333,13877
2021-01-08 01:00:00,2021-01-08 01:00:00,2384.125,19073
2021-01-08 02:00:00,2021-01-08 02:00:00,2103.5,12621
2021-01-08 03:00:00,2021-01-08 03:00:00,2403.33333333,14420
2021-01-08 04:00:00,2021-01-08 04:00:00,2244.0,11220
2021-01-08 05:00:00,2021-01-08 05:00:00,2225.25,8901
2021-01-08 06:00:00,2021-01-08 06:00:00,2338.66666667,14032
2021-01-08 07:00:00,2021-01-08 07:00:00,2289.4,11447
2021-01-08 08:00:00,2021-01-08 08:00:00,2230.6,11153
2021-01-08 09:00:00,2021-01-08 09:00:00,2767.5,5535
2021-01-08 10:00:00,2021-01-08 10:00:00,2386.6,23866
2021-01-08 11:00:00,2021-01-08 11:00:00,2319.0,6957
2021-01-08 12:00:00,2021-01-08 12:00:00,2727.0,8181
2021-01-08 13:00:00,2021-01-08 13:00:00,2526.8,25268
2021-01-08 14:00:00,2021-01-08 14:00:00,2378.375,19027
2021-01-08 15:00:00,2021-01-08 15:00:00,2630.66666667,23676
2021-01-08 16:00:00,2021-01-08 16:00:00,2445.14285714,17116
2021-01-08 17:00:00,2021-01-08 17:00:00,2357.0,11785
2021-01-08 18:00:00,2021-01-08 18:00:00,2924.5,11698
2021-01-08 19:00:00,2021-01-08 19:00:00,2839.5,17037
2021-01-08 20:00:00,2021-01-08 20:00:00,2579.7,25797
2021-01-08 21:00:00,2021-01-08 21:00:00,2803.0,14015
2021-01-08 22:00:00,2021-01-08 22:00:00,2207.33333333,13244
2021-01-08 23:00:00,2021-01-08 23:00:00,2048.0,18432
2021-01-09 00:00:00,2021-01-09 00:00:00,2420.2,12101
2021-01-09 01:00:00,2021-01-09 01:00:00,2410.4,12052
2021-01-09 02:00:00,2021-01-09 02:00:00,2162.5,12975
2021-01-09 03:00:00,2021-01-09 03:00:00,2481.25,9925
