start_time,datetime,fees_block_mean,fees_block_mean_usd,fees_reward_percent,fees_total,fees_total_usd
2021-01-02 23:00:00,2021-01-02 23:00:00,0.68772469,21956.13231559,0.09912828,4.81407283,153692.92620914
2021-01-03 00:00:00,2021-01-03 00:00:00,0.76877024,24799.15589575,0.10953062,3.07508097,99196.623583
2021-01-03 01:00:00,2021-01-03 01:00:00,0.46883878,15294.65408032,0.06977973,3.75071028,122357.23264255
2021-01-03 02:00:00,2021-01-03 02:00:00,0.48325818,15835.17502457,0.07177182,1.9330327,63340.70009827
2021-01-03 03:00:00,2021-01-03 03:00:00,0.61010923,19938.33091159,0.08893579,3.66065537,119629.98546952
2021-01-03 04:00:00,2021-01-03 04:00:00,0.40999409,13414.35302948,0.06156073,3.2799527,107314.82423584
2021-01-03 05:00:00,2021-01-03 05:00:00,0.32945216,11167.24345769,0.05007289,2.9650694,100505.19111917
2021-01-03 06:00:00,2021-01-03 06:00:00,0.78195887,26589.04137723,0.11120072,2.34587661,79767.12413168
2021-01-03 07:00:00,2021-01-03 07:00:00,0.40584989,13922.65077437,0.06097642,3.65264898,125303.85696937
2021-01-03 08:00:00,2021-01-03 08:00:00,0.73694765,25325.74812051,0.10547491,3.68473824,126628.74060253
2021-01-03 09:00:00,2021-01-03 09:00:00,0.32989472,11309.55175518,0.05013678,2.30926307,79166.86228625
2021-01-03 10:00:00,2021-01-03 10:00:00,0.91197565,30867.11803283,0.12733577,2.73592695,92601.35409849
2021-01-03 11:00:00,2021-01-03 11:00:00,0.76498396,26163.06105286,0.10904999,3.82491981,130815.30526429
2021-01-03 12:00:00,2021-01-03 12:00:00,0.65392939,22401.04046704,0.09471844,5.23143515,179208.32373633
2021-01-03 13:00:00,2021-01-03 13:00:00,0.81507126,27760.60534849,0.11536632,4.89042758,166563.63209097
2021-01-03 14:00:00,2021-01-03 14:00:00,0.58617826,19885.82820996,0.08574649,5.27560435,178972.45388966
2021-01-03 15:00:00,2021-01-03 15:00:00,0.80285412,26899.39019849,0.11383393,4.81712472,161396.34119093
2021-01-03 16:00:00,2021-01-03 16:00:00,0.51146898,17060.34918761,0.07564465,5.11468977,170603.49187613
2021-01-03 17:00:00,2021-01-03 17:00:00,0.5580051,18405.79322355,0.08196309,3.90603572,128840.55256485
2021-01-03 18:00:00,2021-01-03 18:00:00,0.52921733,17305.72476186,0.07806466,4.23373863,138445.7980949
2021-01-03 19:00:00,2021-01-03 19:00:00,0.5074887,16584.63977911,0.07510019,3.55242092,116092.47845379
2021-01-03 20:00:00,2021-01-03 20:00:00,0.61678683,20651.81720774,0.08982175,3.70072097,123910.90324643
2021-01-03 21:00:00,2021-01-03 21:00:00,0.42432937,14293.90598893,0.06357633,2.9703056,100057.34192249
2021-01-03 22:00:00,2021-01-03 22:00:00,0.29227363,9742.94002715,0.04467463,2.63046263,87686.46024432
2021-01-03 23:00:00,2021-01-03 23:00:00,0.7197881,23975.88785683,0.10327259,2.8791524,95903.55142734
2021-01-04 00:00:00,2021-01-04 00:00:00,0.3203353,10536.70021673,0.04875479,3.52368834,115903.702384
2021-01-04 01:00:00,2021-01-04 01:00:00,0.35971744,11812.27321832,0.05442251,2.15830462,70873.63930991
2021-01-04 02:00:00,2021-01-04 02:00:00,0.56864248,18866.09693554,0.08339526,3.4118549,113196.58161322
2021-01-04 03:00:00,2021-01-04 03:00:00,0.24571765,8202.08861347,0.03782764,2.70289414,90222.97474822
2021-01-04 04:00:00,2021-01-04 04:00:00,1.00090215,33341.16512394,0.13803829,1.00090215,33341.16512394
2021-01-04 05:00:00,2021-01-04 05:00:00,0.74736282,24771.12948517,0.10680635,3.73681408,123855.64742583
2021-01-04 06:00:00,2021-01-04 06:00:00,0.54895173,18136.49173023,0.08074064,4.39161381,145091.93384184
2021-01-04 07:00:00,2021-01-04 07:00:00,0.35874229,11615.99319755,0.05428299,3.22868057,104543.93877792
2021-01-04 08:00:00,2021-01-04 08:00:00,0.3888688,12546.37092211,0.05857456,3.88868801,125463.70922106
