start_time,datetime,transactions_count_mean,transactions_count_total
2021-01-04 19:00:00,2021-01-04 19:00:00,177.05645161,43910
2021-01-04 20:00:00,2021-01-04 20:00:00,165.52525253,49161
2021-01-04 21:00:00,2021-01-04 21:00:00,165.33793103,47948
2021-01-04 22:00:00,2021-01-04 22:00:00,175.87843137,44849
2021-01-04 23:00:00,2021-01-04 23:00:00,160.90344828,46662
2021-01-05 00:00:00,2021-01-05 00:00:00,169.30152672,44357
2021-01-05 01:00:00,2021-01-05 01:00:00,190.15750916,51913
2021-01-05 02:00:00,2021-01-05 02:00:00,205.55737705,50156
2021-01-05 03:00:00,2021-01-05 03:00:00,205.08502024,50656
2021-01-05 04:00:00,2021-01-05 04:00:00,187.19081272,52975
2021-01-05 05:00:00,2021-01-05 05:00:00,173.11842105,52628
2021-01-05 06:00:00,2021-01-05 06:00:00,203.08846154,52803
2021-01-05 07:00:00,2021-01-05 07:00:00,212.2810219,58165
2021-01-05 08:00:00,2021-01-05 08:00:00,223.92907801,63148
2021-01-05 09:00:00,2021-01-05 09:00:00,215.06153846,55916
2021-01-05 10:00:00,2021-01-05 10:00:00,200.26765799,53872
2021-01-05 11:00:00,2021-01-05 11:00:00,213.40163934,52070
2021-01-05 12:00:00,2021-01-05 12:00:00,199.84027778,57554
2021-01-05 13:00:00,2021-01-05 13:00:00,198.64495114,60984
2021-01-05 14:00:00,2021-01-05 14:00:00,206.06225681,52958
2021-01-05 15:00:00,2021-01-05 15:00:00,202.69649805,52093
2021-01-05 16:00:00,2021-01-05 16:00:00,196.94552529,50615
2021-01-05 17:00:00,2021-01-05 17:00:00,183.07142857,53823
2021-01-05 18:00:00,2021-01-05 18:00:00,177.51957295,49883
2021-01-05 19:00:00,2021-01-05 19:00:00,173.74736842,49518
2021-01-05 20:00:00,2021-01-05 20:00:00,176.60069444,50861
2021-01-05 21:00:00,2021-01-05 21:00:00,172.19083969,45114
2021-01-05 22:00:00,2021-01-05 22:00:00,174.15217391,48066
2021-01-05 23:00:00,2021-01-05 23:00:00,173.78776978,48313
2021-01-06 00:00:00,2021-01-06 00:00:00,174.09541985,45613
2021-01-06 01:00:00,2021-01-06 01:00:00,190.94230769,49645
2021-01-06 02:00:00,2021-01-06 02:00:00,197.3046875,50510
2021-01-06 03:00:00,2021-01-06 03:00:00,204.36437247,50478
2021-01-06 04:00:00,2021-01-06 04:00:00,190.72348485,50351
2021-01-06 05:00:00,2021-01-06 05:00:00,190.35789474,54252
2021-01-06 06:00:00,2021-01-06 06:00:00,205.3460076,54006
2021-01-06 07:00:00,2021-01-06 07:00:00,215.52851711,56684
2021-01-06 08:00:00,2021-01-06 08:00:00,214.98269896,62130
2021-01-06 09:00:00,2021-01-06 09:00:00,200.68363636,55188
2021-01-06 10:00:00,2021-01-06 10:00:00,200.44244604,55723
2021-01-06 11:00:00,2021-01-06 11:00:00,210.14229249,53166
2021-01-06 12:00:00,2021-01-06 12:00:00,202.64963504,55526
2021-01-06 13:00:00,2021-01-06 13:00:00,207.73357664,56919
2021-01-06 14:00:00,2021-01-06 14:00:00,206.76408451,58721
2021-01-06 15:00:00,2021-01-06 15:00:00,198.8590604,59260
2021-01-06 16:00:00,2021-01-06 16:00:00,201.14509804,51292
2021-01-06 17:00:00,2021-01-06 17:00:00,201.09608541,56508
2021-01-06 18:00:00,2021-01-06 18:00:00,198.92481203,52914
2021-01-06 19:00:00,2021-01-06 19:00:00,191.64788732,54428
2021-01-06 20:00:00,2021-01-06 20:00:00,187.32727273,51515
2021-01-06 21:00:00,2021-01-06 21:00:00,182.05090909,50064
2021-01-06 22:00:00,2021-01-06 22:00:00,188.09561753,47212
2021-01-06 23:00:00,2021-01-06 23:00:00,177.02930403,48329
2021-01-07 00:00:00,2021-01-07 00:00:00,183.78438662,49438
2021-01-07 01:00:00,2021-01-07 01:00:00,203.94140625,52209
2021-01-07 02:00:00,2021-01-07 02:00:00,203.83561644,59520
2021-01-07 03:00:00,2021-01-07 03:00:00,218.71821306,63647
2021-01-07 04:00:00,2021-01-07 04:00:00,211.9330855,57010
2021-01-07 05:00:00,2021-01-07 05:00:00,225.56118143,53458
2021-01-07 06:00:00,2021-01-07 06:00:00,206.63601533,53932
2021-01-07 07:00:00,2021-01-07 07:00:00,207.31229236,62401
2021-01-07 08:00:00,2021-01-07 08:00:00,214.76811594,59276
2021-01-07 09:00:00,2021-01-07 09:00:00,219.332,54833
2021-01-07 10:00:00,2021-01-07 10:00:00,202.24074074,54605
2021-01-07 11:00:00,2021-01-07 11:00:00,200.06137184,55417
2021-01-07 12:00:00,2021-01-07 12:00:00,196.96296296,53180
2021-01-07 13:00:00,2021-01-07 13:00:00,209.78308824,57061
2021-01-07 14:00:00,2021-01-07 14:00:00,214.04109589,62500
2021-01-07 15:00:00,2021-01-07 15:00:00,204.28673835,56996
2021-01-07 16:00:00,2021-01-07 16:00:00,200.651341,52370
2021-01-07 17:00:00,2021-01-07 17:00:00,200.625,54570
2021-01-07 18:00:00,2021-01-07 18:00:00,166.99183673,40913
2021-01-07 19:00:00,2021-01-07 19:00:00,193.68595041,46872
2021-01-07 20:00:00,2021-01-07 20:00:00,190.48062016,49144
2021-01-07 21:00:00,2021-01-07 21:00:00,187.20070423,53165
2021-01-07 22:00:00,2021-01-07 22:00:00,186.29739777,50114
2021-01-07 23:00:00,2021-01-07 23:00:00,189.04115226,45937
2021-01-08 00:00:00,2021-01-08 00:00:00,180.3006993,51566
2021-01-08 01:00:00,2021-01-08 01:00:00,195.16725979,54842
2021-01-08 02:00:00,2021-01-08 02:00:00,179.09386282,49609
2021-01-08 03:00:00,2021-01-08 03:00:00,222.40145985,60938
2021-01-08 04:00:00,2021-01-08 04:00:00,198.04615385,51492
2021-01-08 05:00:00,2021-01-08 05:00:00,199.51449275,55066
2021-01-08 06:00:00,2021-01-08 06:00:00,185.44329897,53964
2021-01-08 07:00:00,2021-01-08 07:00:00,210.67049808,54985
2021-01-08 08:00:00,2021-01-08 08:00:00,222.7260274,65036
2021-01-08 09:00:00,2021-01-08 09:00:00,206.03873239,58515
2021-01-08 10:00:00,2021-01-08 10:00:00,200.85365854,57645
2021-01-08 11:00:00,2021-01-08 11:00:00,219.41696113,62095
2021-01-08 12:00:00,2021-01-08 12:00:00,209.10780669,56250
2021-01-08 13:00:00,2021-01-08 13:00:00,213.55555556,55738
2021-01-08 14:00:00,2021-01-08 14:00:00,210.08041958,60083
2021-01-08 15:00:00,2021-01-08 15:00:00,207.80827068,55277
2021-01-08 16:00:00,2021-01-08 16:00:00,205.5962963,55511
2021-01-08 17:00:00,2021-01-08 17:00:00,190.3203125,48722
2021-01-08 18:00:00,2021-01-08 18:00:00,175.29251701,51536
2021-01-08 19:00:00,2021-01-08 19:00:00,178.0234375,45574
