start_time,blockreward,blockreward_usd,datetime
2021-01-01 00:00:00,46.53461917,1346164.2264111,2021-01-01 00:00:00
2021-01-01 01:00:00,52.23395144,1529349.7431481,2021-01-01 01:00:00
2021-01-01 02:00:00,46.03274314,1351338.76123339,2021-01-01 02:00:00
2021-01-01 03:00:00,33.18571773,972438.3716393,2021-01-01 03:00:00
2021-01-01 04:00:00,33.37908773,977959.74960209,2021-01-01 04:00:00
2021-01-01 05:00:00,26.01927473,759539.02899825,2021-01-01 05:00:00
2021-01-01 06:00:00,58.26797157,1701934.3664244,2021-01-01 06:00:00
2021-01-01 07:00:00,32.92263681,956943.72296152,2021-01-01 07:00:00
2021-01-01 08:00:00,45.46789716,1321406.92314578,2021-01-01 08:00:00
2021-01-01 09:00:00,33.15659579,967892.89305955,2021-01-01 09:00:00
2021-01-01 10:00:00,64.32693471,1884111.68068166,2021-01-01 10:00:00
2021-01-01 11:00:00,33.00638944,968336.15301266,2021-01-01 11:00:00
2021-01-01 12:00:00,45.90228767,1347917.51110356,2021-01-01 12:00:00
2021-01-01 13:00:00,39.72522467,1170530.28634978,2021-01-01 13:00:00
2021-01-01 14:00:00,27.11649687,799041.87114351,2021-01-01 14:00:00
2021-01-01 15:00:00,52.04611853,1526937.5430915,2021-01-01 15:00:00
2021-01-01 16:00:00,46.50933739,1363569.15679987,2021-01-01 16:00:00
2021-01-01 17:00:00,45.89908372,1342627.52276045,2021-01-01 17:00:00
2021-01-01 18:00:00,52.32111714,1522724.26006693,2021-01-01 18:00:00
2021-01-01 19:00:00,13.95484225,406271.67381228,2021-01-01 19:00:00
2021-01-01 20:00:00,46.30745001,1355072.79537138,2021-01-01 20:00:00
2021-01-01 21:00:00,39.59393784,1159099.2056816,2021-01-01 21:00:00
2021-01-01 22:00:00,33.33724506,977995.29909511,2021-01-01 22:00:00
2021-01-01 23:00:00,32.94574083,967325.73573564,2021-01-01 23:00:00
2021-01-02 00:00:00,32.78349561,957792.04945255,2021-01-02 00:00:00
2021-01-02 01:00:00,45.19166455,1323747.61328723,2021-01-02 01:00:00
2021-01-02 02:00:00,7.3882296,217392.83565485,2021-01-02 02:00:00
2021-01-02 03:00:00,46.89409532,1377584.89766709,2021-01-02 03:00:00
2021-01-02 04:00:00,64.72528932,1901706.93334743,2021-01-02 04:00:00
2021-01-02 05:00:00,26.53055833,783610.09483901,2021-01-02 05:00:00
2021-01-02 06:00:00,51.8842319,1539159.77511754,2021-01-02 06:00:00
2021-01-02 07:00:00,38.86330664,1157265.57764962,2021-01-02 07:00:00
2021-01-02 08:00:00,83.50458298,2490303.63177921,2021-01-02 08:00:00
2021-01-02 09:00:00,32.82350134,977638.25926059,2021-01-02 09:00:00
2021-01-02 10:00:00,45.57498912,1354748.1922039,2021-01-02 10:00:00
2021-01-02 11:00:00,27.31529465,812343.23628436,2021-01-02 11:00:00
2021-01-02 12:00:00,33.46607359,1009902.12886015,2021-01-02 12:00:00
2021-01-02 13:00:00,34.9365921,1081146.0949431,2021-01-02 13:00:00
2021-01-02 14:00:00,48.22553482,1506868.97761667,2021-01-02 14:00:00
2021-01-02 15:00:00,27.705516,871147.78299009,2021-01-02 15:00:00
2021-01-02 16:00:00,36.11146187,1176504.57961482,2021-01-02 16:00:00
2021-01-02 17:00:00,43.06009022,1410205.32482769,2021-01-02 17:00:00
2021-01-02 18:00:00,63.25449293,2070103.84773947,2021-01-02 18:00:00
2021-01-02 19:00:00,36.0743706,1191534.74208925,2021-01-02 19:00:00
2021-01-02 20:00:00,63.53719513,2061071.61095022,2021-01-02 20:00:00
2021-01-02 21:00:00,49.28919799,1555524.26973756,2021-01-02 21:00:00
2021-01-02 22:00:00,35.74522978,1143519.21978506,2021-01-02 22:00:00
2021-01-02 23:00:00,48.56407283,1550375.33295739,2021-01-02 23:00:00
2021-01-03 00:00:00,28.07508097,906002.968993,2021-01-03 00:00:00
2021-01-03 01:00:00,53.75071028,1754010.95514586,2021-01-03 01:00:00
2021-01-03 02:00:00,26.9330327,882345.42111527,2021-01-03 02:00:00
2021-01-03 03:00:00,41.16065537,1344944.36657033,2021-01-03 03:00:00
2021-01-03 04:00:00,53.2799527,1742719.99917921,2021-01-03 04:00:00
2021-01-03 05:00:00,59.2150694,2007396.99817317,2021-01-03 05:00:00
2021-01-03 06:00:00,21.09587661,717168.1548743,2021-01-03 06:00:00
2021-01-03 07:00:00,59.90264898,2054472.01662125,2021-01-03 07:00:00
2021-01-03 08:00:00,34.93473824,1200235.58019022,2021-01-03 08:00:00
